
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,6,2,-2,-3,-8,-13,63,50,34,1021,1017,1014,16,16,11,45,24,61,0.00,5,Snow,270<br />
2015-1-2,7,4,2,-4,-7,-9,57,47,32,1030,1021,1015,16,16,16,35,24,58,0.00,1,,287<br />
2015-1-3,8,3,-1,7,-3,-10,93,70,46,1038,1033,1022,16,12,2,42,24,53,3.81,5,Rain-Snow,78<br />
2015-1-4,13,10,8,12,10,7,97,95,90,1022,1010,1001,13,3,0,53,29,72,8.38,8,Fog-Rain-Thunderstorm,207<br />
2015-1-5,9,1,-6,7,-4,-17,93,58,28,1026,1013,1004,16,14,4,42,26,58,0.00,4,,282<br />
2015-1-6,-5,-7,-8,-8,-13,-18,82,64,43,1028,1022,1015,16,13,3,26,16,35,0.00,6,Snow,345<br />
2015-1-7,-3,-7,-12,-9,-13,-21,72,56,32,1017,1012,1007,16,15,5,48,26,66,0.00,6,Snow,298<br />
2015-1-8,1,-8,-14,-6,-16,-22,75,56,44,1027,1025,1019,16,15,3,37,29,52,0.00,4,Snow,285<br />
2015-1-9,8,3,-2,0,-6,-13,72,57,41,1023,1017,1014,16,16,11,71,39,90,0.00,6,,253<br />
2015-1-10,-1,-3,-6,-10,-12,-14,60,51,43,1033,1028,1021,16,16,16,32,18,40,0.00,3,,293<br />
2015-1-11,4,-1,-6,1,-8,-16,79,58,34,1039,1036,1034,16,16,16,24,16,32,0.00,2,,258<br />
2015-1-12,11,7,2,10,3,-1,97,88,73,1033,1023,1017,16,10,1,32,11,55,16.76,8,Fog-Rain,305<br />
2015-1-13,3,0,-3,1,-4,-9,92,74,59,1036,1028,1019,16,13,4,42,29,53,4.06,8,Rain-Snow,5<br />
2015-1-14,3,0,-2,2,-2,-8,93,82,61,1034,1025,1018,16,9,2,32,19,45,0.51,8,Rain-Snow,25<br />
2015-1-15,3,1,-2,2,-1,-7,93,88,67,1017,1013,1010,16,8,3,32,26,40,0.76,7,Rain-Snow,308<br />
2015-1-16,4,-1,-6,-2,-7,-18,73,56,34,1018,1010,1006,16,16,16,47,26,63,0.00,1,,282<br />
2015-1-17,-1,-6,-9,-6,-15,-21,70,52,36,1029,1026,1019,16,16,16,39,27,52,0.00,0,,315<br />
2015-1-18,10,6,1,7,3,-4,97,82,70,1026,1015,1004,16,12,2,47,26,85,5.59,6,Rain,160<br />
2015-1-19,7,4,2,6,1,-5,97,78,59,1008,1005,1004,16,14,2,37,24,52,1.02,4,Rain,257<br />
2015-1-20,3,2,0,-4,-6,-12,67,57,42,1014,1011,1008,16,16,16,37,24,48,0.00,2,,282<br />
2015-1-21,3,0,-3,-1,-6,-13,89,65,40,1022,1020,1015,16,15,3,23,14,,1.02,3,Snow,10<br />
2015-1-22,3,1,-1,0,-1,-3,93,87,73,1023,1020,1019,16,11,2,23,14,,2.29,7,Snow,11<br />
2015-1-23,3,0,-2,0,-6,-11,82,63,42,1025,1022,1015,16,16,14,29,19,,0.00,0,,279<br />
2015-1-24,7,3,1,6,2,-1,97,90,79,1014,997,981,16,9,2,47,21,61,28.70,8,Rain-Snow,332<br />
2015-1-25,6,2,-1,-1,-5,-11,82,61,44,1016,1005,994,16,16,16,39,27,58,0.00,2,,285<br />
2015-1-26,1,-1,-3,-1,-3,-11,96,79,49,1018,1013,998,16,6,1,84,29,108,4.06,7,Snow,51<br />
2015-1-27,1,-3,-7,0,-4,-10,96,88,71,1002,993,988,4,1,0,89,74,116,6.10,8,Fog-Snow,1<br />
2015-1-28,-3,-5,-7,-7,-9,-11,78,73,63,1022,1012,1002,16,14,4,35,27,48,0.00,7,Snow,325<br />
2015-1-29,2,-1,-3,-3,-5,-7,88,75,61,1026,1022,1018,16,16,16,24,18,37,0.00,3,,332<br />
2015-1-30,5,2,-2,4,0,-8,100,85,66,1017,1008,1004,16,12,3,40,18,53,1.52,8,Rain,345<br />
2015-1-31,-3,-6,-8,-8,-13,-18,81,59,35,1016,1008,1004,16,12,1,50,39,69,0.00,5,Snow,313<br />
2015-2-1,0,-3,-7,-6,-11,-17,69,59,44,1021,1020,1017,16,16,16,47,31,60,0.00,1,,306<br />
2015-2-2,8,0,-7,7,-1,-10,100,86,58,1019,1001,989,16,6,0,61,27,80,21.84,8,Fog-Rain-Snow,72<br />
2015-2-3,-4,-7,-9,-9,-13,-15,81,63,48,1027,1020,1005,16,16,16,40,29,58,0.00,1,,306<br />
2015-2-4,4,-2,-8,1,-5,-13,89,72,57,1027,1023,1015,16,16,6,23,11,,0.00,4,,206<br />
2015-2-5,4,-2,-9,2,-4,-16,93,77,52,1017,1011,1009,16,10,1,53,24,74,0.25,5,Fog-Snow,324<br />
2015-2-6,-4,-8,-12,-9,-14,-17,72,61,50,1022,1019,1017,16,16,10,40,31,60,0.00,2,Snow,294<br />
2015-2-7,1,-2,-4,-3,-7,-12,79,66,55,1021,1019,1017,16,15,6,29,16,,0.00,6,Snow,277<br />
2015-2-8,3,1,-1,2,-1,-4,96,87,79,1017,1015,1012,16,9,2,21,13,,1.02,8,Rain-Snow,46<br />
2015-2-9,3,2,2,2,1,1,93,90,86,1016,1014,1013,16,10,3,37,27,52,1.52,8,Rain,42<br />
2015-2-10,3,2,1,2,0,-3,93,85,75,1015,1014,1013,16,13,4,50,40,66,0.51,8,Rain-Snow,25<br />
2015-2-11,1,0,-1,-4,-6,-7,73,68,61,1015,1013,1011,16,16,13,55,42,74,0.00,8,,22<br />
2015-2-12,2,-1,-3,0,-4,-7,92,80,66,1011,1006,1004,16,10,2,37,21,50,1.02,8,Snow,303<br />
2015-2-13,-3,-6,-9,-7,-15,-19,75,56,43,1019,1012,1004,16,15,4,45,34,61,0.00,3,Snow,310<br />
2015-2-14,1,-6,-13,1,-6,-19,100,78,51,1019,1007,995,16,10,1,39,16,,1.02,6,Fog-Snow,173<br />
2015-2-15,0,-6,-14,-1,-9,-21,93,78,50,1008,994,986,16,6,0,76,37,103,0.00,6,Fog-Snow,330<br />
2015-2-16,-7,-12,-17,-18,-21,-23,60,50,40,1016,1012,1008,16,15,6,53,42,72,0.00,1,Snow,304<br />
2015-2-17,-2,-6,-8,-4,-8,-17,88,77,48,1017,1011,1008,16,8,1,21,10,,0.00,8,Snow,3<br />
2015-2-18,2,0,-2,-3,-4,-5,86,78,64,1012,1009,1005,16,15,6,24,16,,0.00,7,Snow,26<br />
2015-2-19,1,-4,-11,-1,-7,-19,92,75,46,1008,1004,1002,16,8,2,47,18,60,0.25,6,Snow,273<br />
2015-2-20,-7,-10,-13,-17,-18,-19,61,51,38,1031,1018,1009,16,16,11,45,32,60,0.00,3,,283<br />
2015-2-21,3,-6,-15,2,-5,-19,93,78,49,1035,1029,1023,16,12,1,29,14,,5.59,6,Rain,183<br />
2015-2-22,5,2,0,4,1,-2,100,92,87,1023,1021,1020,8,3,0,40,18,52,21.59,8,Fog-Rain,246<br />
2015-2-23,0,-4,-11,-1,-8,-21,96,70,35,1025,1021,1019,16,9,0,37,16,48,0.00,3,Fog,286<br />
2015-2-24,1,-7,-13,-3,-15,-22,79,61,41,1026,1022,1011,16,16,11,34,23,40,0.00,1,Snow,234<br />
2015-2-25,1,-1,-3,-1,-4,-9,92,79,56,1015,1008,1005,16,10,2,37,18,50,0.51,4,Snow,265<br />
2015-2-26,-1,-2,-4,-3,-6,-13,89,75,49,1019,1014,1010,16,9,0,47,21,58,0.00,6,Fog-Snow,12<br />
2015-2-27,-3,-4,-7,-10,-12,-13,68,60,45,1033,1027,1019,16,16,16,23,16,,0.00,1,,316<br />
2015-2-28,-3,-6,-9,-10,-12,-14,74,60,43,1041,1039,1034,16,16,16,21,13,27,0.00,0,,296<br />
2015-3-1,2,-5,-12,1,-6,-14,96,79,49,1040,1031,1019,16,10,2,16,10,,8.64,6,Rain-Snow,174<br />
2015-3-2,2,0,-2,1,-3,-11,100,80,46,1024,1017,1014,16,10,1,37,14,52,3.30,5,Rain,280<br />
2015-3-3,2,-1,-4,1,-7,-16,93,67,37,1030,1022,1012,16,11,2,37,23,50,1.52,4,Snow,201<br />
2015-3-4,4,3,2,3,2,1,97,93,89,1012,1010,1007,13,5,1,35,27,52,9.40,8,Fog-Rain,233<br />
2015-3-5,3,-2,-6,2,-3,-11,100,88,65,1024,1017,1011,16,3,0,34,18,47,5.08,8,Fog-Rain-Snow,335<br />
2015-3-6,-3,-7,-10,-10,-12,-14,77,64,55,1031,1029,1025,16,16,16,35,23,48,0.00,3,,337<br />
2015-3-7,2,-3,-8,-2,-7,-12,76,69,58,1026,1022,1017,16,16,14,39,18,53,0.00,3,,260<br />
2015-3-8,4,0,-3,1,-3,-7,96,76,54,1021,1017,1014,16,15,6,27,13,39,0.00,4,,259<br />
2015-3-9,7,1,-4,1,-3,-8,85,73,56,1025,1021,1019,16,15,6,37,14,47,0.00,1,,248<br />
2015-3-10,7,3,-1,3,1,-3,93,82,65,1028,1024,1017,16,13,4,24,11,,5.08,3,Rain,188<br />
2015-3-11,9,6,3,6,3,-4,97,87,57,1016,1012,1010,16,7,0,35,18,47,8.89,2,Fog-Rain,258<br />
2015-3-12,5,2,0,-3,-7,-13,62,49,37,1033,1024,1014,16,16,16,42,26,58,0.00,0,,327<br />
2015-3-13,2,-1,-3,-5,-11,-13,64,48,35,1037,1034,1030,16,16,16,35,24,47,0.00,1,,295<br />
2015-3-14,8,4,1,7,3,-4,100,91,67,1029,1014,1003,16,5,0,39,19,52,29.21,8,Fog-Rain,186<br />
2015-3-15,6,2,-2,4,-1,-7,97,83,66,1008,1004,1001,16,11,1,50,23,69,0.25,8,Rain-Snow,305<br />
2015-3-16,5,1,-2,-1,-7,-16,89,60,23,1013,1010,1008,16,16,13,48,34,72,0.00,3,Snow,309<br />
2015-3-17,8,4,-1,4,0,-13,93,79,40,1009,1002,995,16,12,3,55,19,82,5.08,5,Rain,238<br />
2015-3-18,2,-1,-4,-13,-17,-21,43,30,20,1018,1011,1007,16,16,16,52,37,69,0.00,1,,309<br />
2015-3-19,2,-2,-6,-14,-18,-20,36,30,22,1027,1022,1019,16,16,16,45,34,60,0.00,0,,313<br />
2015-3-20,2,-2,-6,-2,-8,-14,89,65,38,1029,1026,1021,16,10,2,24,13,29,0.00,5,Snow,59<br />
2015-3-21,5,1,-1,2,0,-2,92,88,82,1021,1014,1009,16,13,2,26,18,,2.03,8,Rain-Snow,18<br />
2015-3-22,3,0,-3,1,-11,-18,89,44,27,1019,1013,1009,16,16,11,47,29,61,0.00,0,,290<br />
2015-3-23,1,-3,-6,-13,-16,-19,49,35,28,1023,1020,1019,16,16,16,34,26,52,0.00,0,,297<br />
2015-3-24,3,-1,-4,-7,-8,-12,75,59,45,1028,1026,1023,16,16,16,21,13,,0.00,0,,343<br />
2015-3-25,7,2,-3,1,-3,-8,82,71,37,1030,1028,1024,16,16,13,23,14,,0.25,1,,231<br />
2015-3-26,8,6,4,7,6,2,97,93,83,1022,1011,1003,16,4,0,37,26,50,9.65,8,Fog-Rain-Thunderstorm,190<br />
2015-3-27,9,6,3,8,4,2,100,93,85,1007,1004,1002,16,9,0,37,24,58,3.05,8,Fog-Rain,347<br />
2015-3-28,4,2,1,2,1,-2,93,89,82,1015,1007,1003,16,13,6,37,19,52,9.65,8,Rain-Snow,16<br />
2015-3-29,4,1,-2,-1,-5,-9,87,67,43,1022,1019,1016,16,15,8,34,18,42,0.00,5,Snow,353<br />
2015-3-30,7,3,0,2,-1,-6,89,76,65,1020,1013,1008,16,16,13,26,21,37,0.00,4,Rain,215<br />
2015-3-31,8,4,2,1,-1,-2,93,74,53,1009,1008,1007,16,16,10,37,23,48,0.25,3,,256<br />
2015-4-1,6,2,-1,2,-4,-12,93,64,28,1022,1013,1007,16,16,13,39,14,48,0.00,2,,302<br />
2015-4-2,8,2,-4,5,-1,-6,89,72,42,1025,1022,1016,16,16,13,29,11,,0.00,0,,218<br />
2015-4-3,9,7,5,7,6,5,100,91,83,1015,1011,1005,14,6,0,35,26,40,6.35,8,Fog-Rain,222<br />
2015-4-4,14,8,4,9,4,-8,97,77,39,1019,1003,997,16,8,0,48,23,64,1.78,3,Fog-Rain,259<br />
2015-4-5,10,6,2,2,-1,-8,79,62,41,1026,1022,1020,16,16,16,34,23,47,0.00,4,,255<br />
2015-4-6,11,6,2,6,3,0,96,78,56,1029,1026,1024,16,15,10,24,10,,0.00,2,Fog,145<br />
2015-4-7,9,6,4,7,4,3,93,88,77,1028,1025,1022,16,13,3,34,16,39,4.57,8,Rain,2<br />
2015-4-8,8,6,4,3,1,-2,89,75,60,1030,1028,1024,16,16,10,40,26,52,1.78,6,Rain,57<br />
2015-4-9,6,4,3,4,2,1,93,89,82,1026,1025,1022,14,6,3,45,32,61,3.05,8,Rain,48<br />
2015-4-10,12,8,4,11,6,3,100,93,82,1024,1015,1008,16,4,0,39,18,50,6.60,8,Fog-Rain-Thunderstorm,158<br />
2015-4-11,14,9,6,8,4,-1,100,81,44,1019,1011,1007,16,8,0,35,23,45,0.00,3,Fog-Rain,261<br />
2015-4-12,12,7,2,2,0,-2,79,63,41,1027,1024,1020,16,16,16,26,18,,0.00,0,,260<br />
2015-4-13,12,8,4,7,4,2,90,79,61,1030,1028,1024,16,16,13,26,16,,0.00,0,,202<br />
2015-4-14,12,10,7,10,8,6,93,88,83,1023,1020,1019,16,11,2,37,21,55,0.76,5,Rain,223<br />
2015-4-15,17,10,4,7,2,-6,100,68,22,1028,1019,1016,16,12,0,35,6,50,0.00,1,Fog,7<br />
2015-4-16,12,8,4,4,-1,-9,82,57,22,1032,1030,1027,16,16,16,24,16,32,0.00,0,,110<br />
2015-4-17,10,9,8,9,7,4,97,90,79,1025,1016,1012,16,6,0,29,24,45,3.05,6,Fog-Rain,227<br />
2015-4-18,18,11,6,10,7,4,97,82,53,1017,1013,1011,16,11,1,29,13,50,0.00,1,Fog-Rain,284<br />
2015-4-19,11,7,4,5,3,1,89,73,52,1025,1023,1018,16,16,13,37,18,50,0.00,0,,36<br />
2015-4-20,13,8,4,11,6,3,97,86,66,1024,1016,1008,16,11,3,53,29,71,6.35,5,Rain,117<br />
2015-4-21,13,10,8,12,9,4,100,91,74,1008,1004,1002,16,5,0,34,26,52,1.78,6,Fog-Rain-Thunderstorm,188<br />
2015-4-22,14,9,5,7,5,3,89,72,49,1010,1007,1004,16,15,10,29,14,50,2.29,3,Rain-Thunderstorm,196<br />
2015-4-23,10,8,6,6,2,-6,89,66,43,1006,1004,1002,16,16,14,40,23,53,1.02,6,,260<br />
2015-4-24,11,6,3,0,-3,-5,65,52,42,1008,1006,1006,16,16,16,39,26,45,0.00,3,,291<br />
2015-4-25,9,6,3,2,-2,-4,76,57,44,1009,1007,1006,16,16,13,35,23,42,0.00,3,,271<br />
2015-4-26,12,8,4,3,1,0,80,64,47,1006,1004,1003,16,16,13,21,13,,0.00,3,,315<br />
2015-4-27,14,9,6,6,4,2,86,68,47,1002,1001,1000,16,16,16,27,16,39,0.51,6,Rain,314<br />
2015-4-28,12,9,6,5,2,-1,83,69,45,1006,1004,1002,16,15,11,48,29,61,0.00,5,,350<br />
2015-4-29,13,9,6,5,3,2,89,69,51,1009,1005,1001,16,16,16,23,11,34,0.00,3,,37<br />
2015-4-30,14,9,4,6,3,2,86,69,51,1013,1010,1008,16,16,16,29,13,35,0.00,5,,30<br />
2015-5-1,8,7,5,4,3,2,82,78,68,1016,1014,1013,16,16,10,35,24,42,0.00,7,Rain,38<br />
2015-5-2,11,7,3,3,2,1,93,77,61,1017,1015,1014,16,15,3,27,16,,0.00,3,,45<br />
2015-5-3,12,6,1,7,4,0,93,80,57,1023,1020,1017,16,16,14,21,8,,0.00,0,Fog,194<br />
2015-5-4,16,11,8,11,9,7,93,83,72,1025,1023,1022,16,16,13,26,16,37,0.00,0,,205<br />
2015-5-5,22,16,9,12,9,7,86,74,53,1023,1023,1022,16,15,10,29,19,39,0.00,1,,215<br />
2015-5-6,18,12,7,10,5,0,90,64,30,1026,1024,1022,16,16,14,24,11,,0.00,2,,87<br />
2015-5-7,21,14,8,8,6,3,90,65,39,1023,1022,1021,16,16,13,26,13,,0.00,0,,244<br />
2015-5-8,17,13,9,11,9,6,97,87,67,1026,1022,1020,16,7,0,26,16,,0.00,3,Fog,234<br />
2015-5-9,18,14,10,14,11,9,100,89,75,1028,1026,1025,16,6,0,21,11,,0.00,7,Fog-Rain,91<br />
2015-5-10,17,14,12,16,13,12,100,93,83,1025,1022,1021,8,1,0,32,14,,0.25,8,Fog-Rain,227<br />
2015-5-11,19,16,12,16,13,12,100,93,81,1022,1021,1018,10,1,0,27,23,39,0.00,8,Fog-Rain,225<br />
2015-5-12,17,16,14,16,13,12,100,93,81,1018,1011,1007,10,3,0,34,21,45,0.51,7,Fog-Rain,205<br />
2015-5-13,19,13,8,12,7,3,93,61,50,1023,1015,1008,16,16,10,32,19,45,0.00,3,,301<br />
2015-5-14,18,13,8,8,5,-1,83,63,28,1027,1026,1023,16,16,16,24,13,,0.00,0,,273<br />
2015-5-15,17,13,9,9,8,7,89,77,56,1027,1025,1024,16,16,16,24,16,,0.00,0,,237<br />
2015-5-16,18,13,9,13,11,8,93,83,70,1025,1023,1022,16,16,13,21,14,,0.00,4,,188<br />
2015-5-17,26,18,10,17,12,9,96,85,58,1022,1021,1019,16,9,0,34,13,39,0.00,2,Fog,143<br />
2015-5-18,16,12,8,10,9,7,97,87,64,1024,1022,1021,16,7,0,32,16,34,0.00,5,Fog-Rain,58<br />
2015-5-19,14,11,8,13,11,7,100,95,84,1021,1014,1008,16,3,0,24,16,,7.62,8,Fog-Rain,173<br />
2015-5-20,18,16,12,13,9,3,97,76,51,1013,1008,1006,16,10,0,35,18,53,0.00,1,Fog-Rain,278<br />
2015-5-21,16,12,9,9,6,2,86,66,42,1016,1014,1013,16,16,11,23,11,,1.78,2,Rain,237<br />
2015-5-22,16,12,9,11,8,1,96,81,38,1017,1011,1010,16,14,8,29,14,34,15.75,5,Rain,150<br />
2015-5-23,16,13,11,8,1,-6,83,48,30,1028,1025,1019,16,16,16,42,27,52,0.00,1,,277<br />
2015-5-24,17,13,11,11,9,8,84,74,62,1028,1026,1025,16,16,16,40,29,47,0.00,0,,234<br />
2015-5-25,19,15,12,13,12,11,93,82,67,1027,1026,1025,16,16,16,27,21,,0.00,1,,215<br />
2015-5-26,19,17,15,14,13,13,93,85,75,1025,1024,1023,16,15,11,35,27,45,0.00,0,,214<br />
2015-5-27,20,18,15,16,14,14,93,83,73,1025,1024,1023,16,14,10,34,24,45,0.00,3,,203<br />
2015-5-28,19,17,16,16,14,13,90,85,75,1024,1023,1022,16,15,13,29,21,40,0.00,6,,207<br />
2015-5-29,24,19,14,16,14,13,97,82,57,1026,1025,1023,16,11,0,19,11,,0.00,5,Fog,178<br />
2015-5-30,21,18,15,17,16,14,96,90,81,1025,1023,1020,16,6,0,27,14,,0.00,7,Fog,206<br />
2015-5-31,22,17,13,17,15,12,94,89,78,1022,1020,1019,16,9,0,29,21,39,0.00,5,Fog,205<br />
2015-6-1,16,13,11,13,11,10,94,91,80,1022,1021,1021,16,7,2,35,24,40,0.51,8,Rain,33<br />
2015-6-2,14,12,11,11,10,8,94,87,77,1021,1019,1019,16,12,2,35,21,47,3.05,8,Rain,17<br />
2015-6-3,14,11,8,8,7,4,83,74,62,1025,1023,1021,16,16,16,32,24,45,0.25,5,,37<br />
2015-6-4,16,11,7,8,7,4,86,71,59,1027,1025,1024,16,16,16,26,13,34,0.00,2,,67<br />
2015-6-5,16,11,8,12,8,6,90,81,67,1023,1019,1013,16,16,8,21,11,,0.51,6,Rain,70<br />
2015-6-6,17,14,12,13,12,9,94,84,67,1018,1012,1009,16,12,0,40,18,53,4.32,6,Fog-Rain,13<br />
2015-6-7,21,16,11,11,7,2,90,63,31,1023,1021,1018,16,16,16,21,14,,0.00,0,,75<br />
2015-6-8,21,16,12,15,12,7,87,77,68,1022,1017,1013,16,16,16,29,18,,0.00,2,,172<br />
2015-6-9,21,19,17,17,16,14,94,88,76,1013,1008,1007,16,9,0,32,26,47,1.78,7,Fog-Rain,187<br />
2015-6-10,23,18,14,16,14,13,97,83,61,1013,1010,1007,16,10,1,23,13,,0.00,2,Fog,239<br />
2015-6-11,21,19,17,17,16,14,93,85,75,1014,1012,1011,16,14,8,34,21,40,0.00,0,,220<br />
2015-6-12,26,21,17,17,16,13,97,84,45,1016,1014,1011,16,6,0,21,11,,0.00,2,Fog-Rain,199<br />
2015-6-13,24,19,15,19,16,13,97,84,52,1016,1011,1008,16,10,0,39,23,47,0.51,4,Fog-Rain,255<br />
2015-6-14,24,18,13,16,11,6,84,63,38,1020,1018,1015,16,16,16,24,16,29,0.00,0,,55<br />
2015-6-15,16,15,14,15,12,9,93,84,69,1021,1018,1016,16,10,3,35,19,47,11.94,7,Rain,114<br />
2015-6-16,22,19,16,19,17,14,97,93,84,1015,1012,1009,16,5,0,24,14,,0.00,7,Fog,193<br />
2015-6-17,19,16,12,14,8,4,78,56,42,1021,1020,1016,16,16,16,42,31,58,0.00,0,,27<br />
2015-6-18,19,14,10,12,9,7,83,68,47,1021,1019,1015,16,16,16,14,6,,0.00,0,,192<br />
2015-6-19,27,20,14,19,16,9,90,79,60,1016,1013,1011,16,16,16,21,13,26,0.00,4,,229<br />
2015-6-20,20,17,14,14,13,12,93,80,65,1021,1019,1017,16,16,14,27,18,37,0.00,2,Rain,101<br />
2015-6-21,22,19,17,20,18,14,97,92,84,1015,1007,1002,16,5,0,34,23,52,36.07,7,Fog-Rain-Thunderstorm,169<br />
2015-6-22,25,20,15,19,16,14,100,88,69,1016,1011,1007,16,9,0,23,10,,0.00,0,Fog,178<br />
2015-6-23,23,19,15,20,17,13,96,88,76,1016,1011,1007,16,8,0,34,18,52,2.29,4,Fog-Rain-Thunderstorm,202<br />
2015-6-24,26,22,18,20,17,14,93,76,48,1014,1012,1007,16,15,8,23,14,,3.05,0,Thunderstorm,278<br />
