
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,4,-2,-7,-5,-11,-16,78,49,34,1020,1016,1014,16,16,16,32,14,48,0.00,1,,252<br />
2015-1-2,6,2,-1,-8,-8,-9,59,46,34,1030,1021,1014,16,16,16,37,18,50,0.00,2,,268<br />
2015-1-3,6,2,-2,6,-3,-11,97,75,46,1038,1032,1022,16,10,2,23,13,42,9.65,5,Rain-Snow,90<br />
2015-1-4,13,10,7,12,10,6,100,98,83,1021,1010,1001,16,4,0,37,21,50,15.24,8,Fog-Rain,212<br />
2015-1-5,10,1,-8,8,-9,-21,86,47,27,1026,1014,1003,16,16,16,34,21,53,0.00,2,,282<br />
2015-1-6,-7,-8,-9,-11,-15,-21,81,60,37,1028,1022,1015,16,16,16,23,11,35,0.00,4,,284<br />
2015-1-7,-4,-9,-14,-12,-16,-23,77,54,33,1017,1012,1007,16,16,16,32,13,48,0.00,3,,285<br />
2015-1-8,-2,-10,-17,-7,-19,-26,72,49,32,1027,1024,1018,16,16,14,34,16,42,0.00,2,Snow,266<br />
2015-1-9,6,-2,-10,-2,-7,-13,82,65,45,1022,1016,1012,16,16,13,53,26,74,0.00,5,,240<br />
2015-1-10,-3,-8,-13,-12,-16,-18,73,51,34,1033,1027,1020,16,16,16,24,10,26,0.00,1,,280<br />
2015-1-11,1,-5,-11,-3,-12,-19,79,55,36,1038,1035,1033,16,16,16,21,8,,0.00,4,,234<br />
2015-1-12,5,2,-1,5,2,-4,100,90,75,1033,1023,1017,16,11,3,27,8,42,16.26,8,Rain,282<br />
2015-1-13,2,-1,-5,1,-6,-10,92,75,61,1036,1029,1019,16,12,1,35,24,50,1.78,8,Rain-Snow,14<br />
2015-1-14,2,-1,-3,1,-2,-8,96,86,66,1035,1026,1018,16,10,3,24,11,37,0.25,8,Snow,14<br />
2015-1-15,2,0,-3,2,-1,-7,100,94,78,1018,1014,1009,16,6,2,27,21,42,0.76,8,Rain-Snow,315<br />
2015-1-16,3,-2,-7,-5,-9,-19,88,59,34,1018,1009,1005,16,16,14,26,14,48,0.00,2,,271<br />
2015-1-17,-2,-7,-11,-6,-16,-21,72,52,40,1029,1026,1019,16,16,16,26,18,40,0.00,0,,293<br />
2015-1-18,9,4,-1,7,3,-4,97,87,75,1025,1014,1002,16,13,5,29,16,50,4.57,7,Rain,167<br />
2015-1-19,6,3,0,5,-1,-6,97,74,53,1007,1004,1002,16,16,16,26,18,37,0.25,4,Rain,259<br />
2015-1-20,3,0,-2,-6,-8,-13,72,54,37,1014,1010,1007,16,16,16,27,18,39,0.00,0,,265<br />
2015-1-21,1,-2,-6,-3,-7,-12,88,68,45,1022,1020,1015,16,16,16,14,8,,0.00,3,,360<br />
