
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,5,2,-1,0,-2,-3,96,76,55,1020,1017,1015,16,16,14,19,7,19,T,2,,312<br />
2015-1-2,7,3,-1,-2,-3,-4,85,67,49,1020,1016,1010,16,15,8,14,4,16,0.00,5,,257<br />
2015-1-3,10,4,-2,-2,-4,-5,85,61,36,1027,1023,1021,16,16,16,19,9,27,0.00,0,,150<br />
2015-1-4,18,9,-1,1,-2,-4,82,54,26,1029,1027,1024,16,16,16,21,9,27,0.00,0,,145<br />
2015-1-5,23,13,3,2,-3,-10,76,43,10,1027,1024,1021,16,16,16,39,15,52,0.00,0,,115<br />
2015-1-6,25,14,2,0,-4,-7,53,32,11,1027,1023,1020,16,16,16,23,12,29,0.00,0,,121<br />
2015-1-7,26,16,6,0,-3,-7,45,29,13,1023,1020,1018,16,16,16,48,25,58,0.00,0,,126<br />
2015-1-8,18,14,10,9,6,1,83,57,30,1022,1018,1016,16,15,8,40,22,53,6.35,6,Rain,121<br />
2015-1-9,21,15,9,8,6,2,77,57,37,1017,1016,1014,16,16,16,39,21,50,0.00,2,,125<br />
2015-1-10,21,15,9,7,3,1,71,54,37,1019,1016,1014,16,16,16,35,17,47,0.00,1,,121<br />
2015-1-11,21,15,8,8,6,4,77,55,33,1019,1017,1015,16,16,16,23,10,26,T,6,Rain,155<br />
2015-1-12,19,15,11,10,9,7,89,69,48,1023,1018,1016,16,16,11,23,6,29,1.52,6,Rain,169<br />
2015-1-13,19,13,8,9,8,6,89,67,44,1019,1016,1013,16,16,16,40,11,52,T,4,Rain,218<br />
2015-1-14,16,11,7,9,7,3,100,72,44,1023,1019,1016,16,9,0,32,6,40,T,4,Fog,214<br />
2015-1-15,19,12,4,3,-1,-6,82,54,26,1025,1023,1021,16,16,16,40,16,48,0.00,0,,109<br />
2015-1-16,22,16,9,0,-3,-6,48,33,18,1023,1021,1018,16,16,16,39,16,52,0.00,0,,116<br />
2015-1-17,23,14,4,2,-1,-6,67,41,14,1024,1022,1020,16,16,16,23,9,29,0.00,0,,128<br />
2015-1-18,25,16,6,2,1,-4,65,40,15,1024,1022,1019,16,16,16,23,11,26,0.00,0,,150<br />
2015-1-19,25,16,7,2,1,-2,65,42,18,1021,1019,1016,16,16,16,19,10,24,0.00,0,,150<br />
2015-1-20,25,16,7,2,-2,-7,65,39,12,1019,1014,1011,16,16,16,24,10,29,0.00,0,,143<br />
2015-1-21,21,14,6,2,-1,-4,58,38,18,1014,1011,1009,16,16,16,35,10,47,0.00,1,,252<br />
