
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,1,-2,-6,-9,-13,-15,53,43,32,1019,1016,1013,16,16,16,37,23,47,0.00,3,,230<br />
2015-1-2,5,2,-1,-8,-9,-12,53,45,37,1031,1020,1014,16,16,16,42,20,52,0.00,3,,260<br />
2015-1-3,3,-1,-6,2,-7,-13,100,72,43,1039,1034,1024,16,10,1,35,17,40,15.75,7,Rain-Snow,81<br />
2015-1-4,11,7,2,10,5,1,100,95,89,1021,1009,1001,16,6,0,27,13,42,14.48,8,Fog-Rain,260<br />
2015-1-5,10,1,-8,4,-11,-21,65,47,29,1026,1013,1003,16,16,16,60,36,79,0.00,2,,280<br />
2015-1-6,-8,-8,-9,-12,-15,-21,80,59,37,1028,1023,1016,16,11,2,35,14,45,0.51,6,Snow,262<br />
2015-1-7,-3,-9,-16,-11,-16,-25,88,58,28,1020,1012,1008,16,15,3,50,25,64,T,3,Snow,272<br />
2015-1-8,-7,-13,-18,-14,-22,-28,56,49,41,1027,1024,1020,16,16,16,40,23,52,0.00,1,,259<br />
2015-1-9,-1,-4,-7,-6,-10,-13,88,65,42,1021,1016,1012,16,13,1,40,23,56,0.25,4,Snow,240<br />
2015-1-10,-4,-6,-8,-13,-16,-19,62,49,35,1033,1027,1021,16,16,16,32,19,37,0.00,1,,263<br />
2015-1-11,1,-4,-9,-6,-14,-18,63,49,34,1038,1035,1032,16,16,16,27,15,39,0.00,6,,226<br />
2015-1-12,3,2,1,2,-2,-8,100,72,44,1031,1024,1020,16,12,2,27,15,37,5.08,8,Rain,242<br />
2015-1-13,2,-4,-9,-4,-15,-20,75,56,36,1038,1033,1022,16,16,16,34,17,42,0.00,3,,347<br />
2015-1-14,-4,-7,-10,-6,-12,-20,88,67,46,1036,1029,1022,16,15,10,21,14,26,T,8,Snow,323<br />
