
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,15,11,8,12,8,4,86,81,71,1028,1024,1022,16,13,6,27,18,34,0.25,7,,67<br />
2015-1-2,24,18,12,19,17,11,94,85,71,1022,1020,1017,16,13,3,23,14,32,0.51,8,Rain,121<br />
2015-1-3,25,21,18,21,19,17,94,88,79,1018,1016,1013,16,11,2,35,19,52,20.07,8,Rain-Thunderstorm,199<br />
2015-1-4,18,13,9,17,9,4,94,74,51,1032,1024,1017,16,15,10,29,18,40,4.06,6,Rain,333<br />
2015-1-5,11,7,4,3,1,-1,83,67,44,1037,1033,1031,16,15,11,34,19,45,0.00,5,,14<br />
2015-1-6,16,9,2,4,2,-3,89,61,29,1033,1030,1027,16,16,13,11,3,,0.00,4,Fog,355<br />
2015-1-7,14,7,1,5,-1,-8,86,55,30,1037,1031,1027,16,16,13,42,14,63,0.00,3,,8<br />
2015-1-8,2,-1,-4,-2,-8,-13,78,54,28,1037,1033,1028,16,16,14,35,21,45,0.00,4,,33<br />
2015-1-9,7,3,0,1,-3,-7,79,57,25,1032,1030,1028,16,16,11,27,16,,0.00,7,Rain,6<br />
2015-1-10,9,6,2,-2,-4,-9,60,44,23,1034,1031,1029,16,16,16,27,21,40,0.00,5,,58<br />
2015-1-11,16,11,7,14,8,-4,96,76,42,1029,1024,1021,16,10,1,21,16,35,0.00,7,Fog,95<br />
2015-1-12,22,18,13,18,15,10,97,88,75,1023,1022,1020,16,9,2,23,13,,10.92,7,Fog-Rain,276<br />
2015-1-13,13,10,7,9,6,4,86,80,66,1027,1025,1023,16,14,11,27,21,35,0.00,8,,357<br />
2015-1-14,7,6,5,4,3,3,89,81,72,1027,1025,1023,16,13,8,24,18,,0.51,8,Rain,22<br />
2015-1-15,7,7,6,6,5,2,93,86,72,1025,1023,1021,16,11,3,29,14,34,9.91,7,Rain,12<br />
2015-1-16,13,8,4,2,1,0,83,66,42,1028,1025,1024,16,16,11,23,14,,0.00,4,,13<br />
2015-1-17,18,10,2,8,5,1,93,73,50,1024,1022,1020,16,16,11,10,3,,0.00,4,,256<br />
2015-1-18,19,13,8,8,3,-1,90,57,26,1026,1024,1021,16,15,10,19,8,,0.00,2,,298<br />
2015-1-19,19,11,2,9,4,-1,83,61,23,1024,1021,1017,16,16,14,21,6,,0.00,1,,160<br />
2015-1-20,21,14,8,11,9,6,97,71,43,1018,1017,1015,16,13,8,16,5,,0.00,3,Fog,69<br />
2015-1-21,21,13,7,11,7,4,100,74,36,1022,1020,1017,16,10,0,16,5,,0.00,2,Fog,27<br />
2015-1-22,16,12,8,12,8,2,94,76,33,1022,1017,1014,16,11,3,40,23,55,51.05,7,Rain,52<br />
2015-1-23,10,8,6,8,6,3,93,86,72,1020,1015,1012,16,13,4,32,23,50,21.08,8,Rain,335<br />
2015-1-24,14,8,3,4,1,-2,86,65,33,1023,1021,1019,16,16,11,32,21,48,0.00,2,,287<br />
2015-1-25,20,12,5,7,5,3,93,63,33,1019,1016,1011,16,16,11,37,16,48,0.00,1,,236<br />
2015-1-26,17,13,9,3,2,1,66,51,30,1022,1019,1016,16,16,16,26,16,39,0.00,1,,308<br />
2015-1-27,23,15,7,7,4,3,77,53,22,1022,1020,1018,16,16,16,19,10,,0.00,0,,308<br />
2015-1-28,20,14,9,7,4,1,83,56,29,1026,1024,1022,16,16,16,16,10,,0.00,1,,106<br />
