
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,16,11,4,3,-1,-7,61,45,29,1022,1020,1018,16,16,16,14,4,23,0.00,0,,18<br />
2015-1-2,16,11,6,7,4,1,71,57,42,1022,1020,1018,16,16,14,16,3,24,0.00,0,,282<br />
2015-1-3,18,12,6,8,5,3,76,58,39,1026,1024,1021,16,15,11,14,3,21,0.00,1,,316<br />
2015-1-4,22,14,6,9,5,1,82,54,26,1027,1025,1024,16,14,10,14,2,23,0.00,2,,252<br />
2015-1-5,27,17,8,7,6,-1,77,47,17,1024,1022,1020,16,15,11,13,2,14,0.00,1,,212<br />
2015-1-6,30,20,10,5,2,-3,66,39,12,1022,1020,1018,16,16,16,13,2,16,0.00,0,,241<br />
2015-1-7,26,18,11,12,5,2,67,45,23,1020,1019,1017,16,16,16,16,3,23,0.00,2,,208<br />
2015-1-8,24,17,11,12,7,2,72,48,23,1018,1017,1015,16,16,11,23,5,27,0.00,4,,209<br />
2015-1-9,22,18,14,14,11,8,86,65,44,1018,1016,1014,16,12,0,16,4,21,0.00,4,Fog,117<br />
2015-1-10,20,16,12,13,11,8,93,71,48,1017,1015,1014,16,9,0,11,2,19,2.29,6,Fog-Rain,12<br />
2015-1-11,18,16,14,14,13,12,90,84,78,1020,1017,1015,16,9,2,13,4,16,15.24,8,Rain,67<br />
2015-1-12,19,16,12,13,12,11,90,77,63,1023,1020,1019,16,9,1,16,3,21,0.00,4,,68<br />
2015-1-13,21,18,14,12,8,-3,86,54,22,1021,1019,1016,16,13,8,23,8,34,0.00,2,,164<br />
2015-1-14,24,17,10,7,3,0,71,46,21,1023,1021,1019,16,16,16,16,4,23,0.00,1,,300<br />
2015-1-15,26,17,9,9,4,-2,66,41,16,1024,1023,1021,16,16,13,13,1,24,0.00,1,,237<br />
2015-1-16,23,16,9,11,7,2,71,49,27,1022,1020,1019,16,16,16,16,4,19,0.00,1,,187<br />
2015-1-17,25,17,9,8,6,4,72,51,29,1024,1021,1019,16,16,16,13,1,19,0.00,0,,256<br />
2015-1-18,23,17,12,12,8,5,66,51,35,1024,1022,1021,16,14,6,14,3,19,0.00,3,,211<br />
2015-1-19,21,16,11,13,11,6,78,69,59,1022,1019,1017,16,11,3,19,4,23,0.00,4,,205<br />
2015-1-20,17,16,14,12,12,11,86,79,72,1018,1016,1014,13,5,1,16,2,23,0.00,8,,220<br />
2015-1-21,24,19,14,13,8,-11,72,57,41,1019,1016,1014,16,10,5,23,4,27,0.00,3,,135<br />
2015-1-22,23,17,10,11,7,0,93,55,16,1024,1021,1019,16,10,0,13,3,16,0.00,4,Fog,222<br />
2015-1-23,28,19,9,4,-2,-14,61,34,6,1024,1022,1019,16,16,16,21,4,27,0.00,1,,181<br />
2015-1-24,29,26,22,-3,-7,-12,16,13,9,1019,1017,1015,16,16,16,52,29,77,0.00,0,,45<br />
2015-1-25,30,21,12,3,-1,-8,41,26,11,1017,1016,1013,16,16,16,24,5,42,0.00,3,,157<br />
2015-1-26,27,22,17,12,7,1,40,29,18,1020,1016,1014,16,16,11,34,7,45,0.51,6,Rain,75<br />
2015-1-27,23,18,12,12,10,8,83,61,38,1022,1021,1019,16,16,16,16,2,23,0.00,2,,240<br />
2015-1-28,24,18,13,13,10,8,77,57,36,1022,1019,1017,16,16,16,14,3,19,0.00,5,,254<br />
2015-1-29,24,21,16,12,10,6,67,49,31,1017,1016,1015,16,16,16,16,4,21,0.00,6,Rain,211<br />
2015-1-30,21,19,17,14,11,7,60,51,42,1014,1012,1010,16,16,16,16,3,19,T,7,Rain,173<br />
2015-1-31,21,18,14,13,12,11,80,68,55,1016,1012,1010,16,16,13,24,5,29,0.00,4,,137<br />
2015-2-1,25,18,11,13,11,9,83,61,38,1020,1018,1016,16,15,11,16,3,19,0.00,2,,187<br />
2015-2-2,23,17,11,14,11,7,72,59,46,1019,1017,1016,16,14,6,16,4,23,0.00,3,,204<br />
2015-2-3,22,18,14,13,12,11,86,68,49,1019,1018,1016,11,7,1,14,3,21,0.00,6,Fog,173<br />
