
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,1,-3,-8,-10,-14,-16,70,51,32,1019,1016,1013,16,16,16,32,19,42,0.00,2,,215<br />
2015-1-2,4,0,-4,-5,-8,-10,68,56,43,1031,1021,1014,16,16,16,32,13,45,T,5,Snow,264<br />
2015-1-3,1,-2,-6,-3,-7,-11,92,67,41,1037,1032,1022,16,8,1,26,8,31,10.92,8,Rain-Snow,36<br />
2015-1-4,9,4,-1,4,0,-3,100,93,85,1020,1009,1003,16,4,0,42,8,52,6.86,8,Fog-Rain,266<br />
2015-1-5,7,-2,-10,2,-11,-21,76,51,25,1028,1017,1006,16,16,16,52,23,69,T,3,,300<br />
2015-1-6,-7,-10,-13,-12,-14,-18,84,67,49,1029,1023,1016,16,12,2,13,6,21,0.51,6,Snow,200<br />
2015-1-7,-4,-10,-16,-11,-17,-26,83,62,40,1023,1014,1010,16,14,2,52,22,64,T,4,Snow,284<br />
2015-1-8,-6,-12,-18,-17,-21,-26,57,50,42,1028,1025,1022,16,16,16,37,17,50,0.00,1,,237<br />
2015-1-9,-1,-6,-11,-8,-12,-18,84,63,42,1021,1016,1013,16,11,1,48,17,60,2.29,6,Fog-Snow,222<br />
2015-1-10,-6,-10,-14,-15,-18,-21,80,58,35,1033,1028,1022,16,16,16,27,12,32,0.00,0,,255<br />
2015-1-11,0,-8,-16,-7,-14,-21,68,55,42,1038,1035,1032,16,16,16,21,9,24,0.00,7,,187<br />
2015-1-12,2,1,-1,0,-2,-8,96,74,51,1031,1024,1020,16,9,2,21,10,34,7.11,8,Rain-Snow,210<br />
2015-1-13,2,-6,-13,-3,-14,-21,70,53,36,1038,1033,1023,16,16,16,35,19,48,0.00,3,,8<br />
2015-1-14,-7,-11,-14,-11,-16,-21,74,65,55,1037,1031,1023,16,15,6,16,10,23,T,6,Snow,357<br />
2015-1-15,-1,-7,-13,-9,-12,-14,84,65,46,1022,1017,1011,16,16,16,16,5,23,0.00,3,,11<br />
2015-1-16,4,-3,-11,-6,-12,-21,80,57,33,1022,1011,1006,16,16,13,48,21,64,T,2,Snow,263<br />
2015-1-17,-4,-9,-14,-13,-19,-22,62,46,30,1030,1026,1022,16,16,16,27,11,35,0.00,2,,239<br />
