
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,6,4,2,4,2,-2,93,82,70,1026,1023,1019,16,6,0,23,11,27,1.78,8,Fog-Rain,20<br />
2015-1-2,7,6,4,5,4,3,96,91,86,1021,1017,1013,16,7,1,29,11,39,7.87,8,Rain-Thunderstorm,5<br />
2015-1-3,18,12,5,7,4,3,93,69,44,1019,1015,1013,16,15,3,21,9,23,10.67,5,Rain-Thunderstorm,275<br />
2015-1-4,14,8,2,3,0,-4,93,66,38,1036,1030,1020,16,16,16,32,14,42,0.00,3,,8<br />
2015-1-5,12,6,-1,-1,-5,-6,69,49,29,1038,1034,1030,16,16,16,21,8,26,0.00,5,,73<br />
2015-1-6,19,11,2,3,0,-2,76,53,29,1030,1028,1025,16,16,16,19,8,27,0.00,2,,229<br />
2015-1-7,13,7,1,4,-1,-13,76,54,32,1040,1033,1026,16,16,16,47,22,60,0.00,4,,360<br />
2015-1-8,5,2,-2,-6,-11,-14,48,41,33,1040,1032,1025,16,16,16,29,12,39,0.00,7,,149<br />
2015-1-9,6,3,1,2,-2,-6,92,68,43,1033,1029,1025,16,14,2,32,16,42,1.27,8,Rain,24<br />
2015-1-10,4,3,1,1,-1,-3,92,84,75,1032,1029,1024,16,9,2,21,11,26,9.14,8,Rain,28<br />
2015-1-11,12,7,2,7,4,2,100,89,77,1025,1021,1018,16,14,2,19,7,26,T,7,Rain,244<br />
2015-1-12,14,9,3,7,4,2,96,79,62,1029,1024,1020,16,16,11,34,15,47,0.00,6,,5<br />
2015-1-13,7,5,3,3,1,0,82,74,65,1031,1028,1026,16,16,16,34,16,42,T,8,Rain,10<br />
2015-1-14,5,4,4,4,3,1,92,86,79,1028,1026,1024,16,8,1,16,11,21,T,8,Rain,15<br />
2015-1-15,16,10,4,4,3,2,86,65,44,1028,1026,1025,16,16,13,24,10,32,T,6,,329<br />
2015-1-16,18,10,2,4,2,1,92,64,36,1028,1025,1021,16,16,16,21,8,26,0.00,5,,244<br />
2015-1-17,22,13,4,7,4,-1,86,58,30,1023,1020,1016,16,16,16,27,12,35,0.00,5,,265<br />
2015-1-18,21,13,6,1,-2,-6,60,39,17,1028,1024,1022,16,16,16,23,9,31,0.00,3,,296<br />
2015-1-19,23,13,3,9,5,-1,82,58,33,1022,1017,1013,16,16,16,24,9,34,0.00,2,,267<br />
2015-1-20,28,17,6,11,7,3,89,60,30,1016,1012,1010,16,16,16,26,9,31,0.00,0,,266<br />
