
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-1,-5,-9,-9,-12,-15,67,59,50,1021,1016,1013,16,16,16,35,19,47,0.00,6,,254<br />
2015-1-2,0,-4,-8,-6,-8,-11,84,69,53,1027,1024,1021,16,16,14,16,7,23,0.00,5,,216<br />
2015-1-3,1,-1,-2,1,-1,-5,96,83,69,1022,1012,1008,16,4,0,21,7,24,5.33,8,Fog-Rain-Snow,64<br />
2015-1-4,1,-9,-19,-1,-10,-26,92,73,53,1033,1016,1007,16,6,1,45,24,61,4.57,7,Snow,321<br />
2015-1-5,-16,-18,-21,-19,-23,-26,87,70,53,1038,1033,1028,16,12,1,29,17,39,2.29,5,Snow,263<br />
2015-1-6,-12,-14,-17,-18,-19,-21,79,69,58,1029,1026,1023,16,14,3,40,18,55,0.51,4,Snow,279<br />
2015-1-7,-14,-17,-21,-22,-26,-27,60,52,44,1042,1038,1028,16,16,16,40,26,55,0.00,1,,298<br />
2015-1-8,-8,-15,-22,-12,-19,-27,79,68,56,1036,1015,1006,16,5,0,47,27,63,4.57,7,Snow,224<br />
2015-1-9,-13,-15,-18,-19,-22,-24,69,60,51,1030,1024,1015,16,13,1,39,23,61,T,3,Snow,279<br />
2015-1-10,-6,-12,-19,-12,-18,-23,71,61,51,1030,1027,1024,16,16,14,35,19,47,0.00,5,,224<br />
2015-1-11,-1,-4,-8,-10,-12,-13,67,57,47,1025,1024,1023,16,16,14,21,12,27,0.00,5,,231<br />
2015-1-12,-5,-8,-11,-11,-15,-17,68,59,49,1041,1035,1024,16,13,3,32,21,40,T,6,Snow,341<br />
2015-1-13,-7,-9,-11,-12,-13,-14,80,71,62,1043,1038,1031,16,12,3,29,12,35,T,7,Snow,117<br />
2015-1-14,-7,-11,-16,-11,-14,-18,87,75,62,1031,1026,1022,16,14,2,21,12,26,T,6,Snow,241<br />
2015-1-15,2,-2,-7,-5,-8,-11,73,63,52,1021,1016,1012,16,14,11,32,19,40,0.00,4,,249<br />
2015-1-16,0,-2,-3,-3,-7,-9,75,67,58,1024,1020,1015,16,15,11,32,17,42,0.00,7,,85<br />
2015-1-17,6,3,-1,-1,-2,-3,85,71,57,1014,1004,1000,16,15,8,47,22,58,T,6,Rain,220<br />
2015-1-18,6,4,2,-1,-3,-6,76,61,45,1015,1009,1003,16,16,16,32,16,40,T,7,,280<br />
