
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,25,24,22,22,21,20,93,84,74,1023,1021,1020,16,14,2,26,8,29,5.84,7,Rain,140<br />
2015-1-2,28,25,22,22,22,21,100,83,65,1024,1022,1021,16,16,16,32,14,37,T,6,Rain,135<br />
2015-1-3,28,27,24,22,22,20,82,74,65,1024,1023,1022,16,16,16,37,24,47,T,5,,134<br />
2015-1-4,29,26,23,22,21,20,87,76,65,1025,1023,1022,16,16,16,40,18,48,0.00,4,,155<br />
2015-1-5,28,24,20,22,21,19,93,81,69,1027,1025,1024,16,16,16,32,11,39,T,5,Rain,18<br />
2015-1-6,28,25,22,21,20,19,93,78,62,1026,1024,1022,16,16,16,19,9,29,0.00,5,,89<br />
2015-1-7,26,21,16,21,14,6,93,63,33,1022,1021,1019,16,16,16,24,13,31,0.00,5,,317<br />
2015-1-8,22,18,13,13,10,5,77,63,48,1025,1024,1022,16,16,16,37,24,45,T,5,,22<br />
2015-1-9,26,22,17,18,16,13,93,71,48,1024,1023,1021,16,16,11,29,14,37,7.87,5,Rain,57<br />
2015-1-10,24,19,14,17,15,12,93,79,64,1027,1025,1024,16,16,14,27,19,37,0.00,4,,5<br />
2015-1-11,26,24,23,22,20,17,87,77,67,1026,1024,1023,16,16,8,39,26,50,1.78,5,Rain,87<br />
2015-1-12,28,26,23,22,22,21,87,78,69,1023,1021,1019,16,16,8,37,21,47,0.76,6,Rain,124<br />
2015-1-13,27,24,21,22,20,19,93,78,62,1020,1018,1016,16,15,2,27,12,34,1.78,6,Rain,34<br />
2015-1-14,26,23,19,21,18,17,97,83,69,1019,1017,1016,16,11,0,27,17,35,T,8,Fog,348<br />
2015-1-15,26,22,17,19,17,16,93,79,64,1020,1017,1016,16,15,2,27,16,37,6.60,7,Rain,359<br />
2015-1-16,22,18,14,16,13,11,87,70,53,1020,1018,1016,16,16,5,34,18,42,0.25,6,Rain,341<br />
2015-1-17,24,18,12,16,12,11,93,68,43,1022,1020,1019,16,16,16,24,13,40,0.00,3,,71<br />
2015-1-18,25,20,14,16,13,8,90,63,36,1021,1019,1017,16,16,16,34,11,43,0.00,3,,294<br />
2015-1-19,24,17,11,14,12,11,100,75,49,1022,1020,1019,16,16,16,26,11,32,0.00,3,,342<br />
2015-1-20,23,19,15,16,14,13,90,72,53,1020,1017,1016,16,16,16,23,5,29,0.00,7,,159<br />
2015-1-21,27,23,18,17,17,16,87,71,54,1019,1017,1015,16,16,16,21,9,27,0.51,4,,46<br />
2015-1-22,26,22,17,17,17,16,93,75,56,1022,1021,1019,16,16,16,34,16,39,0.00,4,,93<br />
2015-1-23,27,24,22,19,17,16,73,64,54,1020,1017,1015,16,16,16,37,22,47,0.00,5,,144<br />
2015-1-24,25,19,13,21,16,10,87,73,58,1016,1013,1012,16,15,6,50,23,64,T,6,Rain,255<br />
2015-1-25,20,14,8,10,4,-1,86,56,26,1019,1017,1015,16,16,16,26,12,32,0.00,3,,293<br />
2015-1-26,23,17,11,15,11,7,93,64,35,1015,1013,1010,16,15,2,47,20,66,1.27,4,Rain,257<br />
2015-1-27,21,15,9,11,6,-3,83,54,25,1018,1016,1014,16,16,16,35,18,45,0.00,1,,281<br />
2015-1-28,20,15,9,11,4,-3,93,58,22,1022,1020,1017,16,16,16,32,19,40,0.00,1,,329<br />
2015-1-29,23,17,10,11,9,7,89,67,44,1025,1023,1022,16,16,16,27,13,34,0.00,6,,55<br />
