
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,6,-1,-8,-7,-10,-12,80,55,29,1024,1021,1017,16,16,16,29,7,39,0.00,3,,230<br />
2015-1-2,8,2,-3,-6,-7,-8,75,55,34,1030,1025,1020,16,16,16,24,7,32,0.00,6,,282<br />
2015-1-3,4,1,-3,4,0,-6,100,85,70,1033,1028,1019,16,7,1,14,5,19,14.73,8,Fog-Rain,51<br />
2015-1-4,17,11,4,12,8,-1,100,78,56,1018,1012,1006,16,12,3,53,14,76,5.33,8,Rain,235<br />
2015-1-5,8,2,-4,-2,-11,-18,57,43,29,1032,1025,1015,16,16,16,48,24,63,0.00,4,,291<br />
2015-1-6,-2,-6,-10,-6,-9,-16,92,66,40,1030,1025,1020,16,7,0,14,5,21,5.59,7,Fog-Snow,102<br />
2015-1-7,-4,-8,-12,-10,-16,-22,88,64,40,1031,1022,1016,16,15,11,45,19,60,T,4,Snow,288<br />
2015-1-8,-6,-10,-14,-18,-20,-22,55,45,34,1035,1031,1023,16,16,16,29,15,40,0.00,3,,252<br />
2015-1-9,3,-1,-6,-11,-14,-18,46,39,32,1026,1020,1016,16,16,14,37,17,50,T,4,Snow,251<br />
2015-1-10,-4,-8,-12,-16,-18,-21,67,50,32,1037,1034,1027,16,16,16,32,11,45,0.00,0,,292<br />
2015-1-11,3,-1,-6,-3,-11,-16,46,39,32,1039,1036,1033,16,16,14,37,17,50,T,6,Rain,168<br />
2015-1-12,4,2,0,3,0,-3,100,88,75,1032,1025,1020,16,6,2,16,2,27,17.78,8,Rain,356<br />
2015-1-13,4,0,-4,0,-9,-14,82,59,36,1035,1032,1025,16,16,16,29,16,42,0.00,6,,14<br />
2015-1-14,-1,-3,-5,-6,-9,-13,69,60,50,1033,1028,1023,16,15,8,19,9,39,T,8,Snow,11<br />
