
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,5,0,-6,-1,-4,-8,88,66,44,1030,1028,1026,16,14,10,13,3,23,0.00,7,,198<br />
2015-1-2,7,5,3,6,3,-1,100,85,70,1029,1025,1021,16,10,2,13,4,16,2.03,8,Rain,96<br />
2015-1-3,17,12,7,15,12,6,100,92,84,1021,1015,1010,16,11,2,40,18,52,14.73,8,Rain,172<br />
2015-1-4,17,8,-2,15,3,-7,90,76,61,1035,1022,1010,16,16,8,34,18,48,1.02,7,Rain,289<br />
2015-1-5,1,-3,-7,-7,-11,-13,71,54,36,1041,1036,1028,16,16,16,26,10,32,0.00,2,,359<br />
2015-1-6,6,1,-5,-6,-7,-9,74,59,43,1029,1028,1027,16,16,16,24,11,32,0.00,3,,304<br />
2015-1-7,-3,-8,-14,-7,-14,-21,75,59,43,1045,1036,1028,16,14,2,40,21,56,T,5,Snow,343<br />
2015-1-8,-1,-8,-16,-15,-18,-20,79,54,29,1044,1034,1026,16,16,16,35,15,45,0.00,4,,192<br />
2015-1-9,2,-3,-8,-11,-14,-18,56,41,25,1036,1030,1026,16,16,16,26,12,39,0.00,3,,304<br />
2015-1-10,2,-5,-12,-9,-14,-17,76,50,23,1038,1035,1032,16,16,16,14,4,21,0.00,2,,100<br />
2015-1-11,7,2,-3,4,-3,-12,79,60,40,1033,1029,1025,16,16,14,13,4,21,0.51,8,Rain,143<br />
2015-1-12,8,5,1,8,6,0,100,93,85,1029,1024,1022,16,5,1,34,12,40,23.88,8,Fog-Rain,19<br />
2015-1-13,1,0,-2,0,-3,-3,96,86,75,1032,1030,1029,16,12,6,29,18,45,0.00,8,,12<br />
2015-1-14,3,1,-3,-3,-4,-6,92,72,52,1030,1028,1025,16,14,3,13,6,32,T,6,Snow,11<br />
2015-1-15,4,1,-3,-2,-3,-4,92,73,54,1026,1024,1023,16,14,10,13,1,21,0.00,7,,222<br />
2015-1-16,13,4,-5,-2,-3,-6,92,64,35,1026,1024,1022,16,15,11,13,5,27,0.00,0,Fog,176<br />
2015-1-17,15,7,-2,-1,-2,-4,85,57,28,1022,1019,1014,16,16,13,37,16,48,0.00,1,,185<br />
2015-1-18,16,9,2,2,-3,-7,67,44,21,1020,1018,1013,16,16,16,32,12,48,T,2,,246<br />
2015-1-19,19,10,1,-1,-3,-5,75,48,20,1019,1015,1013,16,16,16,21,7,35,0.00,3,,196<br />
2015-1-20,18,12,5,2,1,-1,70,52,34,1017,1014,1012,16,16,16,21,8,29,0.00,5,,279<br />
2015-1-21,15,8,0,2,-2,-6,89,57,25,1025,1022,1018,16,16,16,21,7,32,0.00,3,,302<br />
2015-1-22,7,4,1,-1,-2,-2,82,68,53,1030,1028,1026,16,16,16,19,10,24,0.00,7,,16<br />
2015-1-23,3,2,1,2,1,-2,100,85,70,1026,1018,1013,16,6,1,23,14,34,11.18,8,Rain-Snow,6<br />
2015-1-24,10,4,-2,1,-1,-3,100,75,50,1015,1013,1012,16,12,3,23,11,32,1.02,3,Rain-Snow,264<br />
2015-1-25,14,7,-1,6,3,-2,92,70,47,1012,1007,1003,16,16,6,37,15,45,1.78,7,Rain,230<br />
2015-1-26,7,4,1,4,-1,-3,92,84,75,1017,1014,1007,16,15,11,35,14,50,0.25,8,Snow,325<br />
2015-1-27,6,3,0,1,-1,-2,89,77,64,1025,1019,1013,16,15,11,24,11,34,0.00,8,,344<br />
2015-1-28,11,5,-1,-2,-4,-7,82,57,32,1028,1025,1021,16,16,16,21,12,26,0.00,5,,114<br />
2015-1-29,19,12,4,6,1,-3,70,55,39,1027,1021,1016,16,16,13,42,24,56,T,7,,267<br />
2015-1-30,8,4,-1,-1,-5,-7,70,54,37,1033,1030,1027,16,16,16,35,15,50,0.00,5,,347<br />
2015-1-31,8,2,-5,-4,-7,-11,88,57,25,1030,1027,1022,16,16,14,14,4,16,0.00,6,,122<br />
2015-2-1,13,9,6,12,6,-8,96,64,31,1021,1010,1003,16,12,3,37,21,50,18.54,8,Rain,200<br />
2015-2-2,8,2,-4,3,-6,-9,89,74,58,1028,1021,1009,16,15,3,40,17,52,0.25,7,Rain-Snow,326<br />
2015-2-3,7,0,-8,-5,-7,-9,92,65,37,1030,1027,1024,16,16,14,19,7,27,0.00,2,,182<br />
2015-2-4,12,5,-3,-1,-4,-7,72,50,28,1024,1022,1019,16,16,13,42,10,52,0.00,6,,204<br />
2015-2-5,3,-2,-6,-4,-9,-13,75,54,32,1031,1028,1023,16,16,16,39,17,48,0.00,4,,3<br />
2015-2-6,12,2,-9,-8,-12,-16,84,49,14,1031,1027,1023,16,16,16,29,7,42,0.00,3,,179<br />
2015-2-7,18,8,-2,-2,-6,-11,58,41,24,1023,1019,1015,16,16,16,37,17,50,0.00,1,,199<br />
2015-2-8,17,13,10,11,7,-4,72,50,28,1015,1012,1010,16,16,16,32,16,45,0.00,7,,216<br />
2015-2-9,15,8,1,11,3,-3,86,80,73,1019,1014,1009,16,11,3,27,17,39,T,8,,335<br />
2015-2-10,7,3,-1,-2,-3,-4,78,64,49,1022,1020,1019,16,15,11,27,14,39,0.00,5,,25<br />
2015-2-11,12,4,-5,1,-2,-6,92,65,38,1021,1020,1018,16,14,8,27,8,35,0.00,3,,315<br />
2015-2-12,4,-1,-6,-2,-9,-13,70,53,36,1031,1026,1020,16,16,11,34,21,48,T,6,Snow,337<br />
2015-2-13,3,-2,-8,-11,-12,-15,67,47,27,1030,1027,1023,16,16,16,19,5,27,0.00,3,,333<br />
2015-2-14,11,1,-9,-3,-9,-18,65,49,32,1029,1021,1016,16,16,16,39,18,53,0.00,3,,282<br />
2015-2-15,-3,-7,-11,-16,-18,-20,61,45,29,1033,1029,1024,16,16,16,29,17,37,0.00,6,,51<br />
2015-2-16,-1,-4,-8,-2,-6,-16,92,65,37,1022,1015,1010,16,8,2,27,17,35,28.45,8,Rain-Snow,44<br />
2015-2-17,-2,-6,-10,-6,-9,-12,92,78,63,1022,1020,1017,16,15,10,23,7,32,T,6,Snow,315<br />
2015-2-18,-3,-4,-7,-4,-11,-19,92,69,46,1029,1020,1013,16,12,0,37,18,52,0.25,6,Snow,288<br />
2015-2-19,-7,-11,-15,-17,-18,-20,69,56,43,1033,1031,1029,16,16,16,29,10,40,0.00,2,,332<br />
2015-2-20,-1,-6,-12,-2,-9,-18,92,76,59,1031,1026,1019,16,12,2,32,15,39,8.13,8,Rain-Snow,143<br />
2015-2-21,8,4,-1,7,3,-2,100,91,82,1021,1014,1011,16,6,1,52,19,66,59.94,8,Rain-Snow,188<br />
2015-2-22,6,3,-1,1,-1,-6,96,81,65,1031,1026,1021,16,11,1,27,18,42,0.00,8,,1<br />
2015-2-23,-1,-3,-6,-6,-11,-14,75,61,46,1035,1032,1027,16,16,14,35,21,40,0.00,7,,8<br />
2015-2-24,2,-2,-6,-10,-12,-14,54,45,35,1027,1021,1016,16,16,16,16,5,29,0.00,6,,279<br />
2015-2-25,3,-2,-7,-2,-6,-9,85,67,48,1017,1013,1009,16,13,2,16,7,29,0.76,7,Snow,43<br />
2015-2-26,8,2,-3,-2,-4,-9,100,69,37,1028,1017,1010,16,12,3,29,14,40,T,7,Snow,331<br />
2015-2-27,1,-3,-7,-9,-12,-14,73,55,36,1037,1034,1029,16,16,16,26,16,35,0.00,5,,19<br />
2015-2-28,10,3,-4,-3,-8,-13,55,45,34,1037,1033,1029,16,16,16,19,8,24,0.00,7,,61<br />
2015-3-1,11,7,3,10,6,-2,100,80,59,1029,1027,1026,16,8,0,24,7,45,5.84,8,Fog-Rain,188<br />
2015-3-2,10,5,0,3,-1,-2,96,69,42,1033,1029,1023,16,13,3,24,11,32,0.25,7,Rain,32<br />
2015-3-3,18,12,6,17,12,-1,97,78,58,1023,1016,1011,16,13,2,29,15,39,12.95,8,Rain,186<br />
2015-3-4,18,8,-3,17,8,-4,100,94,87,1022,1014,1010,16,8,2,34,18,45,38.10,8,Rain,349<br />
2015-3-5,-3,-6,-9,-4,-8,-14,92,77,61,1036,1028,1021,16,9,0,35,20,45,7.37,7,Fog-Snow,353<br />
2015-3-6,3,-5,-13,-7,-11,-14,83,61,38,1037,1034,1032,16,16,14,14,4,21,0.00,0,,263<br />
2015-3-7,16,6,-6,-3,-6,-8,92,56,19,1032,1029,1025,16,16,16,26,10,34,0.00,0,,192<br />
2015-3-8,18,9,-1,6,-1,-6,86,55,23,1026,1024,1022,16,16,16,26,8,47,T,6,Rain,200<br />
2015-3-9,16,11,7,11,7,6,96,77,57,1024,1023,1020,16,16,14,14,7,19,2.29,8,Rain,157<br />
2015-3-10,20,16,11,17,13,9,100,91,81,1019,1016,1014,16,13,4,32,13,40,11.43,8,Rain,175<br />
2015-3-11,15,11,7,14,11,8,100,92,83,1027,1022,1019,16,9,2,16,8,32,4.83,7,Fog-Rain,354<br />
2015-3-12,21,13,6,13,9,6,100,82,44,1028,1026,1024,16,8,0,14,5,,T,7,Fog,61<br />
2015-3-13,15,14,12,13,12,9,93,85,77,1023,1021,1018,16,13,2,26,13,45,13.97,8,Rain,150<br />
2015-3-14,16,14,11,14,13,11,93,90,86,1022,1017,1015,16,11,2,19,9,34,3.56,8,Rain,253<br />
2015-3-15,22,14,6,11,6,3,100,65,29,1027,1025,1022,16,14,3,16,5,37,0.00,3,,47<br />
2015-3-16,27,15,3,8,6,3,92,59,25,1024,1021,1016,16,16,16,23,6,26,0.00,2,,204<br />
2015-3-17,23,16,8,12,9,0,78,57,35,1022,1017,1015,16,16,16,32,15,42,0.00,3,,318<br />
2015-3-18,12,9,6,1,-2,-3,60,51,42,1025,1022,1020,16,16,16,32,15,37,T,7,Rain,39<br />
2015-3-19,12,9,6,10,7,1,96,78,60,1019,1018,1016,16,12,5,16,6,21,2.03,8,Rain,68<br />
2015-3-20,14,12,9,10,8,6,96,81,66,1022,1020,1017,16,12,5,21,7,60,1.27,8,Rain,329<br />
2015-3-21,18,12,6,6,5,3,96,67,37,1023,1021,1020,16,14,6,11,2,21,0.00,7,,102<br />
2015-3-22,17,13,9,8,7,3,83,70,56,1020,1017,1015,16,16,11,19,7,21,0.00,7,,30<br />
2015-3-23,24,15,6,7,3,0,71,50,29,1020,1017,1016,16,16,16,39,5,130,0.00,1,,316<br />
2015-3-24,25,17,8,11,8,6,86,60,33,1020,1018,1015,16,16,16,39,11,52,0.00,3,,185<br />
2015-3-25,25,19,14,13,12,11,80,65,49,1019,1017,1013,16,16,16,39,17,52,0.00,5,,192<br />
2015-3-26,19,12,5,15,9,2,90,77,63,1016,1013,1010,16,14,2,34,15,48,4.06,7,Rain,329<br />
2015-3-27,10,6,1,2,-1,-7,92,69,46,1021,1017,1014,16,15,6,32,14,40,0.25,7,Rain,339<br />
2015-3-28,9,3,-3,-7,-9,-12,69,45,21,1028,1025,1021,16,16,16,24,11,47,0.00,2,,8<br />
