
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,4,1,-3,-8,-12,-15,44,36,27,1022,1019,1015,16,16,16,37,22,50,0.00,1,,242<br />
2015-1-2,6,4,2,-6,-8,-9,56,46,36,1031,1023,1016,16,16,16,40,22,52,0.00,4,,277<br />
2015-1-3,5,2,-1,4,-2,-7,100,75,50,1036,1031,1019,16,7,1,26,15,32,17.02,7,Rain-Snow,61<br />
2015-1-4,14,9,5,11,7,-1,100,92,83,1018,1011,1004,16,9,0,48,18,71,7.87,8,Fog-Rain,220<br />
2015-1-5,10,2,-6,-2,-11,-16,53,40,27,1030,1020,1009,16,16,16,52,33,79,0.00,3,,294<br />
2015-1-6,-6,-7,-8,-10,-12,-17,80,61,41,1030,1024,1016,16,10,1,34,13,42,1.27,7,Snow,257<br />
2015-1-7,-4,-8,-12,-11,-15,-21,68,52,35,1025,1017,1013,16,15,3,58,32,74,T,4,Snow,289<br />
2015-1-8,-6,-9,-13,-17,-19,-22,58,51,43,1031,1028,1023,16,16,16,45,23,58,0.00,3,,264<br />
2015-1-9,1,-3,-7,-7,-12,-17,88,62,36,1023,1018,1015,16,12,0,52,26,66,3.05,6,Fog-Snow,243<br />
2015-1-10,-4,-6,-8,-16,-18,-19,49,42,34,1036,1031,1024,16,16,16,35,23,48,0.00,0,,274<br />
2015-1-11,3,-2,-7,-8,-14,-18,47,40,32,1039,1036,1032,16,16,16,29,14,37,0.00,6,,223<br />
2015-1-12,3,2,1,2,-1,-9,92,68,44,1032,1024,1020,16,10,2,23,9,29,9.91,8,Rain,265<br />
2015-1-13,2,-3,-8,-2,-10,-16,82,64,46,1037,1033,1024,16,16,16,39,23,52,0.00,4,,3<br />
2015-1-14,0,-4,-8,-6,-9,-16,73,64,54,1035,1029,1022,16,16,16,27,16,37,0.00,7,,34<br />
2015-1-15,1,-1,-4,-6,-8,-10,75,59,43,1022,1018,1013,16,16,16,27,15,37,0.00,3,,298<br />
2015-1-16,6,-1,-7,-7,-10,-16,53,44,35,1024,1014,1009,16,16,16,60,29,74,0.00,2,,282<br />
2015-1-17,-1,-4,-8,-7,-14,-19,58,43,27,1029,1027,1024,16,16,16,35,16,42,0.00,2,,263<br />
2015-1-18,6,2,-2,4,1,-7,100,82,63,1023,1013,1006,16,8,0,29,9,37,50.29,7,Rain,21<br />
2015-1-19,6,4,3,0,-3,-7,82,63,44,1012,1009,1006,16,16,16,45,24,60,0.00,6,,276<br />
2015-1-20,4,2,0,-4,-7,-12,59,50,41,1017,1013,1011,16,16,16,29,18,35,0.00,6,,308<br />
2015-1-21,2,-1,-4,-9,-12,-15,55,43,30,1022,1021,1018,16,16,16,19,11,26,T,6,,42<br />
2015-1-22,4,2,-1,-4,-6,-10,78,63,47,1027,1023,1021,16,16,11,32,13,39,T,5,Snow,343<br />
2015-1-23,4,1,-2,-3,-7,-9,64,54,44,1028,1023,1015,16,16,13,37,16,45,0.00,4,,268<br />
2015-1-24,4,2,0,1,-1,-5,96,75,54,1014,1002,991,16,6,0,39,19,50,18.54,7,Fog-Rain-Snow,356<br />
2015-1-25,6,2,-1,-2,-7,-13,70,50,30,1016,1008,999,16,16,13,40,22,50,0.00,5,,299<br />
2015-1-26,-1,-3,-6,-4,-8,-15,96,69,42,1017,1012,1005,16,5,0,47,30,61,6.35,8,Fog-Snow,38<br />
2015-1-27,-2,-4,-7,-6,-8,-13,88,75,62,1011,1005,1004,16,9,0,45,27,61,5.33,7,Fog-Snow,350<br />
2015-1-28,1,-3,-8,-12,-14,-17,67,51,34,1025,1018,1011,16,16,16,34,20,45,0.00,1,,330<br />
2015-1-29,2,-2,-6,-3,-9,-17,75,56,36,1027,1023,1016,16,15,2,21,11,27,0.25,6,Snow,149<br />
2015-1-30,3,-2,-7,-1,-6,-14,92,71,50,1016,1012,1010,16,12,2,58,29,74,1.78,6,Snow,285<br />
2015-1-31,-3,-7,-11,-13,-16,-18,61,47,33,1023,1020,1016,16,16,16,56,35,74,0.00,0,,311<br />
2015-2-1,2,-2,-7,-2,-8,-14,92,70,47,1024,1021,1016,16,13,2,26,12,34,0.51,7,Snow,238<br />
2015-2-2,1,-4,-9,-1,-5,-15,92,77,61,1015,1003,995,16,6,0,52,27,64,27.43,8,Fog-Rain-Snow,15<br />
2015-2-3,-2,-6,-10,-11,-13,-16,67,57,46,1027,1023,1015,16,16,16,42,19,56,0.00,3,,271<br />
2015-2-4,5,0,-5,-1,-6,-12,70,63,55,1027,1021,1013,16,16,14,21,10,26,0.00,7,,206<br />
2015-2-5,4,-3,-10,-1,-10,-19,82,59,36,1024,1016,1010,16,15,2,48,28,66,T,6,Snow,326<br />
2015-2-6,-3,-7,-11,-13,-17,-19,64,51,37,1025,1022,1019,16,16,16,37,20,50,0.00,3,,282<br />
2015-2-7,2,-1,-3,-3,-7,-12,85,66,46,1022,1019,1015,16,12,2,24,12,32,0.25,8,Snow,223<br />
2015-2-8,2,1,-1,0,-1,-4,96,86,75,1015,1013,1011,16,8,3,32,20,40,0.00,8,,50<br />
2015-2-9,-1,-2,-3,-5,-6,-7,81,75,69,1017,1016,1014,16,14,5,39,27,50,1.78,8,Rain-Snow,45<br />
2015-2-10,4,1,-3,-4,-7,-8,75,65,54,1018,1017,1016,16,15,8,34,20,40,T,7,Snow,14<br />
2015-2-11,1,-2,-6,-8,-11,-12,65,52,39,1019,1016,1013,16,16,16,34,15,42,0.00,2,,46<br />
2015-2-12,4,-2,-8,-2,-7,-17,78,62,46,1013,1009,1006,16,14,3,53,21,66,T,7,Snow,260<br />
2015-2-13,-6,-9,-13,-18,-19,-21,63,48,33,1022,1019,1014,16,16,16,53,28,66,0.00,1,,310<br />
2015-2-14,0,-4,-9,-5,-10,-20,78,59,39,1020,1006,997,16,12,2,32,13,40,0.25,7,Snow,214<br />
2015-2-15,-3,-9,-15,-7,-16,-23,75,57,39,1020,1008,997,16,14,8,60,43,77,T,5,Snow,313<br />
2015-2-16,-6,-11,-16,-20,-22,-23,60,44,28,1023,1021,1019,16,16,16,50,22,61,0.00,5,,314<br />
2015-2-17,-2,-6,-10,-11,-12,-20,80,58,35,1017,1014,1011,16,9,1,24,11,34,3.30,7,Snow,43<br />
2015-2-18,-1,-4,-8,-6,-10,-13,71,59,46,1014,1010,1007,16,14,3,26,11,35,T,5,Snow,110<br />
2015-2-19,-3,-8,-13,-11,-18,-23,60,44,28,1016,1010,1006,16,16,16,52,34,64,0.00,4,,296<br />
2015-2-20,-6,-11,-16,-19,-22,-26,49,40,31,1033,1025,1017,16,16,16,48,28,61,0.00,0,,287<br />
2015-2-21,0,-5,-10,-2,-9,-21,92,64,35,1034,1028,1021,16,8,1,29,14,39,14.99,7,Fog-Rain-Snow,205<br />
2015-2-22,6,3,-1,-1,-2,-4,92,76,59,1022,1021,1020,16,9,2,24,8,34,2.79,7,Rain-Snow,273<br />
2015-2-23,3,-5,-13,-4,-16,-23,59,46,32,1030,1026,1022,16,16,16,45,29,63,0.00,5,,319<br />
2015-2-24,-4,-9,-14,-10,-18,-23,62,51,39,1029,1022,1011,16,16,16,34,14,39,0.00,4,,240<br />
2015-2-25,3,-1,-6,-8,-11,-13,71,52,32,1016,1011,1008,16,16,16,37,16,48,0.00,3,,279<br />
2015-2-26,0,-3,-6,-8,-12,-16,68,52,36,1021,1016,1013,16,16,10,27,17,39,T,8,Snow,16<br />
2015-2-27,-1,-4,-7,-13,-14,-17,57,44,31,1037,1029,1022,16,16,16,32,16,39,0.00,4,,337<br />
2015-2-28,-1,-5,-9,-16,-18,-19,51,40,29,1044,1041,1037,16,16,16,32,9,37,0.00,2,,318<br />
2015-3-1,-1,-3,-4,-3,-8,-17,88,60,32,1040,1031,1021,16,7,0,26,7,32,12.19,7,Fog-Rain-Snow,191<br />
2015-3-2,3,1,-2,-3,-7,-12,85,60,35,1028,1021,1016,16,15,11,50,24,64,T,5,,308<br />
2015-3-3,2,-1,-4,0,-6,-13,89,68,46,1031,1023,1009,16,9,0,29,15,35,18.29,7,Fog-Rain-Snow,195<br />
2015-3-4,8,6,2,4,2,0,92,81,70,1013,1010,1007,16,10,5,26,14,35,6.35,8,Rain,225<br />
2015-3-5,5,-1,-7,2,-5,-15,92,69,46,1029,1020,1012,16,5,0,39,19,48,15.24,8,Fog-Rain-Snow,331<br />
2015-3-6,-2,-6,-9,-13,-16,-17,59,46,33,1034,1031,1028,16,16,14,34,11,40,0.00,2,,317<br />
2015-3-7,4,-1,-7,-7,-11,-15,57,48,38,1027,1022,1018,16,16,16,29,16,42,0.00,4,,243<br />
2015-3-8,9,6,2,-2,-4,-7,64,49,34,1021,1018,1016,16,16,16,40,14,53,0.00,5,,263<br />
2015-3-9,12,7,2,-1,-4,-6,62,47,32,1025,1021,1020,16,16,16,32,11,45,0.51,3,Rain,267<br />
2015-3-10,12,7,1,3,-1,-4,92,74,56,1027,1022,1015,16,10,2,19,10,29,10.67,7,Rain,61<br />
2015-3-11,16,9,3,6,2,-6,100,66,32,1019,1015,1013,16,13,1,39,17,52,0.51,5,Rain,300<br />
2015-3-12,8,6,3,-4,-13,-17,49,32,15,1036,1028,1019,16,16,16,52,29,74,0.00,0,,325<br />
2015-3-13,6,3,-1,-2,-11,-17,64,43,21,1038,1035,1028,16,16,16,27,15,35,0.00,5,,106<br />
2015-3-14,11,7,3,9,5,-2,93,75,57,1028,1015,1006,16,9,3,26,13,35,25.91,8,Rain,208<br />
2015-3-15,8,6,3,5,-2,-4,82,66,49,1015,1009,1006,16,16,16,53,30,74,T,6,Rain,307<br />
2015-3-16,11,7,2,2,-3,-5,70,53,36,1017,1014,1009,16,16,16,29,11,35,0.00,7,,288<br />
2015-3-17,12,7,1,6,-1,-12,71,52,33,1013,1005,1001,16,15,10,61,28,82,0.25,6,Rain,288<br />
2015-3-18,3,1,-2,-8,-11,-13,53,43,32,1022,1017,1013,16,16,14,52,30,64,T,3,Snow,323<br />
2015-3-19,6,2,-2,-11,-14,-17,50,35,19,1028,1026,1023,16,16,16,34,19,42,0.00,4,,324<br />
2015-3-20,3,1,-2,-2,-6,-16,92,60,28,1028,1025,1020,16,7,0,34,18,45,7.11,8,Fog-Snow,59<br />
2015-3-21,9,4,-2,2,-2,-4,92,75,58,1020,1016,1012,16,12,3,39,12,48,0.25,7,Snow,328<br />
2015-3-22,7,2,-2,-2,-10,-14,54,41,27,1022,1017,1013,16,16,16,39,26,50,0.00,2,,316<br />
2015-3-23,3,-1,-4,-13,-14,-17,50,36,21,1025,1023,1022,16,16,16,39,22,48,0.00,2,,322<br />
2015-3-24,7,2,-3,-3,-12,-14,70,48,25,1029,1027,1025,16,16,16,23,10,27,0.00,4,,14<br />
2015-3-25,9,4,0,4,-3,-10,85,56,26,1030,1027,1021,16,13,3,34,12,39,1.27,6,Rain,130<br />
2015-3-26,14,9,3,12,7,2,93,90,86,1020,1011,1002,16,6,2,29,11,35,6.10,8,Rain,131<br />
2015-3-27,8,6,4,4,1,-4,89,69,49,1009,1007,1005,16,15,10,35,14,45,7.11,8,Rain,339<br />
2015-3-28,5,1,-3,-4,-6,-8,69,60,51,1020,1011,1008,16,14,6,39,23,50,T,7,Snow,339<br />
2015-3-29,8,3,-3,-4,-13,-17,63,40,16,1026,1022,1020,16,16,11,29,16,37,0.00,3,,308<br />
2015-3-30,13,7,1,1,-4,-12,70,50,30,1020,1012,1008,16,15,2,45,22,63,T,7,Snow,244<br />
2015-3-31,8,6,2,1,-1,-6,85,61,37,1012,1010,1008,16,15,8,27,14,39,3.56,7,Rain-Snow,333<br />
2015-4-1,11,6,1,0,-7,-10,82,54,26,1023,1017,1010,16,16,16,32,16,45,0.00,3,,320<br />
2015-4-2,17,11,4,2,-3,-11,50,39,27,1025,1020,1013,16,16,16,37,17,48,0.00,3,,194<br />
2015-4-3,17,14,12,14,9,2,93,66,39,1012,1008,1003,16,12,0,32,16,45,1.02,8,Rain,205<br />
2015-4-4,16,11,7,12,1,-9,93,60,26,1021,1007,998,16,13,4,42,31,60,T,5,Rain,285<br />
