
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,8,7,5,8,5,1,100,88,68,1027,1023,1020,16,9,2,19,14,,2.03,8,Rain,34<br />
2015-1-2,12,9,6,12,10,8,100,97,93,1020,1016,1012,10,3,0,14,10,,12.95,8,Rain-Thunderstorm,13<br />
2015-1-3,12,9,6,11,8,5,100,93,80,1020,1015,1012,16,11,0,26,10,37,10.92,7,Rain-Thunderstorm,287<br />
2015-1-4,13,8,2,6,2,-3,100,70,49,1037,1030,1021,16,15,11,29,13,40,0.00,6,Fog,336<br />
2015-1-5,12,6,-1,1,-2,-4,86,64,33,1039,1035,1031,16,16,16,16,8,,0.00,4,,8<br />
2015-1-6,18,9,1,7,2,-2,93,64,27,1032,1029,1027,16,16,16,10,2,,0.00,3,,209<br />
2015-1-7,17,11,4,7,3,-7,100,66,29,1039,1033,1027,16,15,10,39,10,48,0.00,4,Fog,11<br />
2015-1-8,6,2,-2,-1,-8,-12,73,45,18,1039,1034,1028,16,16,14,27,14,,0.25,5,Rain,84<br />
2015-1-9,4,3,3,3,1,-1,96,83,73,1034,1031,1028,16,14,3,23,11,,1.02,8,Rain,22<br />
2015-1-10,5,4,3,2,-1,-4,93,72,38,1033,1030,1025,16,15,10,23,13,,2.03,8,Rain,48<br />
2015-1-11,9,6,3,8,6,2,100,94,87,1025,1022,1020,16,5,0,21,11,,11.94,8,Rain,11<br />
2015-1-12,9,8,6,8,6,4,100,89,73,1028,1025,1021,16,9,0,29,13,,0.00,8,,342<br />
2015-1-13,8,7,6,6,4,3,93,84,76,1030,1028,1027,16,15,8,23,16,29,1.02,8,Rain,10<br />
2015-1-14,7,6,4,3,1,-1,93,72,51,1028,1026,1024,16,15,11,19,13,,0.00,8,Rain,11<br />
2015-1-15,12,8,4,3,2,1,93,73,43,1028,1026,1024,16,14,10,19,11,29,0.00,7,Rain,343<br />
2015-1-16,16,9,2,3,1,-2,92,64,27,1029,1026,1023,16,15,11,11,2,,0.00,5,,185<br />
2015-1-17,21,12,3,8,6,3,97,68,30,1023,1021,1017,16,16,13,19,5,29,0.00,5,,215<br />
2015-1-18,22,14,6,8,1,-5,80,47,16,1028,1025,1023,16,16,16,19,8,,0.00,2,,259<br />
2015-1-19,22,12,1,11,7,1,100,74,39,1023,1019,1015,16,15,10,23,6,,0.00,2,Fog,177<br />
2015-1-20,24,18,11,14,11,7,100,87,43,1017,1015,1013,16,7,0,16,3,,0.00,3,Fog,164<br />
2015-1-21,19,17,14,14,13,6,100,84,42,1021,1018,1016,16,8,0,39,11,60,0.00,8,Fog-Rain,69<br />
2015-1-22,16,11,7,12,8,6,93,84,53,1020,1017,1015,16,12,3,40,24,53,18.03,8,Rain,42<br />
2015-1-23,7,6,4,6,4,3,93,88,76,1024,1022,1018,16,13,4,32,21,40,0.76,7,Rain,335<br />
2015-1-24,17,9,2,4,3,1,97,68,37,1024,1022,1019,16,15,11,14,8,,0.00,3,,245<br />
2015-1-25,21,13,5,6,3,-3,85,50,20,1021,1018,1016,16,16,16,23,11,,0.00,2,,268<br />
2015-1-26,19,13,7,6,1,-3,66,44,24,1025,1022,1021,16,16,16,26,13,,0.00,4,,283<br />
2015-1-27,27,18,8,9,6,4,86,56,25,1022,1020,1019,16,16,14,14,6,,0.00,2,,272<br />
2015-1-28,26,16,6,14,9,5,97,69,22,1023,1021,1019,16,16,10,26,5,,0.00,1,Fog,150<br />
