
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,1,-2,-4,-1,-6,-13,92,71,50,1030,1025,1022,16,10,2,21,8,24,T,8,Rain,213<br />
2015-1-2,3,1,-1,1,-1,-2,92,87,82,1025,1021,1013,11,6,2,19,6,23,7.11,8,Rain,13<br />
2015-1-3,6,4,2,3,1,-1,92,86,79,1020,1013,1008,16,12,2,50,13,61,3.05,8,Rain,284<br />
2015-1-4,1,-3,-8,-3,-12,-16,67,51,34,1041,1032,1021,16,15,3,58,27,71,T,3,Snow,347<br />
2015-1-5,7,-1,-9,-6,-10,-13,69,50,30,1040,1032,1024,16,16,16,42,18,53,0.00,1,,144<br />
2015-1-6,9,3,-2,-4,-6,-8,69,52,34,1034,1030,1026,16,16,16,32,15,37,0.00,1,,8<br />
2015-1-7,-1,-5,-10,-9,-16,-20,60,46,31,1049,1044,1033,16,16,16,53,30,71,0.00,3,,11<br />
2015-1-8,3,-4,-12,-12,-15,-18,66,45,24,1044,1030,1023,16,16,16,48,19,63,0.00,2,,182<br />
2015-1-9,2,-2,-5,-9,-14,-20,63,42,20,1038,1035,1029,16,16,16,39,19,53,0.00,2,,1<br />
2015-1-10,5,-2,-8,-7,-13,-16,56,38,20,1034,1028,1022,16,16,16,34,20,40,0.00,7,,168<br />
2015-1-11,3,2,0,2,-1,-5,92,74,56,1023,1021,1017,16,5,0,34,15,39,0.25,8,Rain,163<br />
2015-1-12,3,0,-3,1,-4,-11,92,67,41,1035,1030,1022,16,11,1,42,24,52,T,8,,358<br />
2015-1-13,3,-1,-6,-11,-12,-13,57,46,35,1035,1033,1030,16,16,16,26,13,35,0.00,4,,28<br />
2015-1-14,4,1,-3,-7,-11,-14,56,42,27,1030,1028,1025,16,16,16,14,5,19,0.00,8,,349<br />
2015-1-15,15,7,-2,-2,-5,-8,78,51,24,1027,1025,1024,16,16,10,24,10,29,0.00,2,,292<br />
2015-1-16,18,8,-2,-1,-5,-7,69,44,18,1025,1021,1014,16,16,16,35,15,42,0.00,0,,191<br />
2015-1-17,19,10,0,1,-2,-6,75,49,22,1024,1016,1010,16,16,16,53,20,66,0.00,1,,313<br />
2015-1-18,22,10,-2,-4,-7,-9,69,41,12,1024,1020,1015,16,16,16,50,19,63,0.00,3,,203<br />
