
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,2,-2,-7,-9,-13,-16,51,47,42,1024,1021,1017,16,16,16,40,20,56,0.00,2,,231<br />
2015-1-2,3,-1,-4,-7,-8,-8,75,61,47,1031,1027,1022,16,16,16,23,10,31,0.00,5,,251<br />
2015-1-3,14,5,-4,11,2,-7,100,85,69,1029,1020,1011,16,9,1,24,12,35,14.22,8,Fog-Rain,134<br />
2015-1-4,16,8,0,12,6,-5,93,79,65,1021,1010,1005,16,15,5,47,26,63,1.52,8,Rain-Snow,244<br />
2015-1-5,0,-5,-10,-5,-13,-18,88,69,49,1034,1029,1022,16,13,1,48,24,58,0.25,7,Snow,280<br />
2015-1-6,-7,-8,-11,-11,-12,-17,92,73,53,1030,1024,1019,16,7,1,29,11,43,4.06,7,Snow,249<br />
2015-1-7,-9,-14,-17,-14,-17,-22,0,0,0,1032,1025,1018,16,9,0,37,25,60,0.25,7,Snow,292<br />
2015-1-8,-6,-12,-18,-12,-19,-24,80,63,45,1036,1027,1013,16,14,2,35,17,56,T,6,Snow,220<br />
2015-1-9,-6,-11,-15,-9,-13,-21,84,67,49,1030,1020,1012,16,9,0,45,25,58,2.03,7,Snow,256<br />
2015-1-10,-9,-13,-18,-19,-21,-22,79,60,40,1037,1034,1031,16,16,16,27,11,35,T,2,,218<br />
2015-1-11,3,-4,-13,-3,-13,-19,66,47,27,1035,1032,1029,16,16,11,23,10,29,0.51,8,Rain-Snow,168<br />
2015-1-12,2,-1,-3,2,-1,-7,100,88,75,1031,1025,1021,16,8,1,35,14,43,4.06,8,Rain-Snow,316<br />
2015-1-13,-3,-7,-10,-7,-13,-16,81,62,42,1039,1035,1031,16,16,10,35,14,40,T,4,Snow,32<br />
