
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,8,3,-2,-2,-3,-6,78,64,49,1019,1015,1012,16,16,16,19,11,23,0.00,6,,18<br />
2015-1-2,7,3,-2,0,-2,-4,85,69,53,1014,1012,1009,16,16,10,23,12,27,0.25,5,Rain-Snow,115<br />
2015-1-3,9,5,0,-3,-6,-7,85,58,31,1023,1016,1012,16,16,16,69,22,77,0.00,3,,252<br />
2015-1-4,13,4,-5,-4,-6,-7,75,52,28,1032,1029,1024,16,16,16,13,4,16,0.00,0,,42<br />
2015-1-5,16,5,-6,-3,-6,-8,81,52,22,1033,1029,1027,16,16,16,21,9,24,0.00,1,,20<br />
2015-1-6,17,7,-4,-3,-5,-8,75,49,23,1031,1027,1025,16,16,16,13,5,16,0.00,1,,47<br />
2015-1-7,15,7,-1,0,-4,-7,69,52,35,1036,1031,1026,16,16,16,39,20,50,0.00,4,,63<br />
2015-1-8,6,3,-1,-3,-6,-7,64,55,45,1032,1026,1021,16,16,16,14,4,18,T,7,,94<br />
2015-1-9,7,3,-1,-3,-4,-5,78,64,49,1028,1025,1022,16,16,16,35,15,42,0.00,7,,90<br />
2015-1-10,10,6,2,2,-2,-5,85,68,50,1025,1022,1018,16,16,16,23,9,26,0.00,5,,166<br />
2015-1-11,16,8,0,3,2,-1,100,71,42,1023,1020,1016,16,11,0,21,10,26,0.00,4,Fog,174<br />
2015-1-12,16,9,2,3,1,-2,79,59,39,1023,1021,1017,16,16,16,34,13,39,0.00,5,,50<br />
2015-1-13,6,3,0,1,-1,-2,82,76,70,1024,1021,1019,16,16,11,23,11,27,T,8,Fog,77<br />
2015-1-14,7,4,2,2,0,-1,92,77,62,1025,1021,1019,16,16,16,23,12,26,T,7,Rain,43<br />
2015-1-15,13,5,-3,2,-1,-3,100,69,38,1030,1027,1024,16,10,0,13,6,18,0.00,3,Fog,50<br />
2015-1-16,14,7,-2,-1,-4,-7,78,51,23,1026,1024,1021,16,16,16,19,9,27,0.00,3,,285<br />
2015-1-17,18,7,-3,-3,-6,-7,75,48,20,1026,1023,1020,16,16,16,19,6,27,0.00,1,,49<br />
2015-1-18,19,9,-1,-4,-6,-8,54,36,18,1027,1023,1020,16,16,16,19,6,24,0.00,1,,258<br />
2015-1-19,21,11,1,-2,-4,-7,61,40,18,1022,1018,1014,16,16,16,21,7,23,0.00,1,,182<br />
2015-1-20,21,12,2,-2,-4,-4,59,39,19,1017,1014,1012,16,16,16,21,6,21,0.00,1,,95<br />
2015-1-21,16,9,3,5,-1,-4,82,56,29,1013,1012,1008,16,16,16,32,9,37,0.25,3,Rain,36<br />
2015-1-22,5,2,-1,1,-1,-5,92,81,69,1029,1022,1013,16,8,1,39,20,45,6.10,7,Rain-Snow,17<br />
2015-1-23,8,1,-6,-2,-4,-7,88,67,45,1028,1027,1024,16,16,16,19,6,23,0.00,1,,53<br />
2015-1-24,12,5,-3,-2,-4,-6,81,55,28,1028,1024,1021,16,16,16,21,10,26,0.00,4,,16<br />
2015-1-25,17,8,-1,-2,-3,-4,78,51,23,1024,1022,1020,16,16,16,21,9,24,0.00,5,,24<br />
2015-1-26,16,9,3,2,-2,-3,70,49,28,1026,1023,1022,16,16,16,21,12,24,0.00,6,,9<br />
2015-1-27,21,14,8,5,2,-1,66,48,30,1025,1021,1019,16,16,16,13,6,14,T,4,Rain,90<br />
2015-1-28,23,14,6,6,4,2,83,56,29,1021,1018,1015,16,16,16,16,5,21,0.00,2,,77<br />
2015-1-29,17,12,6,3,2,0,76,56,35,1025,1022,1017,16,16,16,37,20,45,T,6,Rain,49<br />
2015-1-30,9,7,5,6,4,2,89,77,65,1025,1019,1014,16,15,10,27,13,34,11.18,8,Fog-Rain,51<br />
2015-1-31,14,11,6,9,6,4,92,77,61,1014,1010,1007,16,15,2,26,10,31,3.81,7,Rain,324<br />
2015-2-1,16,11,5,7,5,3,96,71,46,1020,1015,1010,16,14,1,24,9,27,0.00,4,Fog,46<br />
2015-2-2,17,10,3,5,3,2,92,67,42,1022,1019,1015,16,16,16,19,5,23,0.00,0,,139<br />
2015-2-3,19,11,3,6,3,2,92,62,32,1019,1016,1013,16,15,10,24,7,31,0.00,1,Fog,28<br />
2015-2-4,22,13,4,3,1,-2,85,53,20,1019,1015,1013,16,16,16,26,8,35,0.00,1,,312<br />
2015-2-5,19,11,2,1,-1,-2,70,48,26,1024,1022,1019,16,16,16,24,6,31,0.00,1,,150<br />
2015-2-6,23,13,3,1,0,-2,76,48,19,1024,1021,1018,16,16,16,16,8,21,0.00,0,,339<br />
2015-2-7,26,16,7,2,-3,-7,65,39,12,1018,1015,1012,16,16,16,37,12,48,0.00,0,,262<br />
2015-2-8,26,17,7,1,-2,-7,49,32,15,1022,1015,1012,16,16,16,37,7,45,0.00,0,,341<br />
2015-2-9,25,16,7,1,0,-2,65,41,16,1020,1016,1013,16,16,14,14,6,18,0.00,0,,34<br />
2015-2-10,26,16,6,1,-3,-7,58,35,12,1015,1011,1008,16,16,16,24,9,31,0.00,0,,218<br />
2015-2-11,19,13,6,1,-2,-6,58,39,19,1024,1016,1008,16,16,16,48,22,63,0.00,3,,57<br />
2015-2-12,13,9,6,-1,-2,-4,62,46,30,1029,1025,1023,16,16,16,29,13,37,0.00,3,,93<br />
2015-2-13,18,10,2,3,-1,-3,70,51,31,1026,1023,1020,16,16,16,19,6,21,0.00,1,,23<br />
2015-2-14,21,12,4,7,3,-2,64,52,40,1023,1020,1015,16,16,16,19,8,23,0.00,5,,3<br />
2015-2-15,24,16,8,8,6,3,80,53,25,1015,1011,1007,16,16,16,52,19,64,0.00,4,,238<br />
2015-2-16,21,14,8,7,3,-2,66,45,24,1014,1009,1005,16,16,16,45,17,55,0.00,4,,166<br />
2015-2-17,16,9,2,-2,-6,-11,70,43,15,1020,1017,1013,16,16,16,34,9,39,0.00,1,,70<br />
2015-2-18,22,11,0,-4,-8,-12,52,31,10,1022,1019,1015,16,16,16,19,4,26,0.00,1,,84<br />
2015-2-19,25,14,3,-7,-8,-8,44,28,11,1020,1015,1010,16,16,16,29,9,37,0.00,2,,295<br />
2015-2-20,22,17,12,-1,-8,-10,28,20,11,1011,1008,1005,16,16,16,53,22,72,0.00,6,,247<br />
