
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-1,-6,-12,-7,-11,-16,80,71,61,1023,1016,1011,16,16,13,32,17,42,T,6,Snow,281<br />
2015-1-2,-2,-8,-14,-7,-12,-18,76,63,49,1025,1022,1015,16,16,16,26,11,31,0.00,6,,174<br />
2015-1-3,1,-5,-11,-5,-9,-16,88,76,63,1020,1014,1011,16,10,2,47,20,56,T,7,Snow,336<br />
2015-1-4,-11,-16,-22,-16,-24,-27,73,62,51,1036,1030,1019,16,16,16,42,26,55,0.00,4,,309<br />
2015-1-5,-17,-21,-24,-20,-24,-28,83,71,58,1038,1032,1027,16,12,1,24,12,31,1.52,5,Snow,187<br />
2015-1-6,-13,-17,-21,-19,-22,-25,91,72,53,1038,1031,1025,16,15,4,45,20,58,0.00,3,,276<br />
2015-1-7,-18,-21,-23,-24,-26,-29,75,63,51,1050,1044,1035,16,16,16,42,22,55,0.00,1,,280<br />
2015-1-8,-9,-15,-21,-12,-17,-25,84,72,60,1033,1012,1004,16,7,0,50,25,68,3.81,7,Fog-Snow,246<br />
2015-1-9,-14,-17,-20,-21,-23,-24,75,67,59,1030,1027,1022,16,16,10,47,22,56,0.00,2,,270<br />
2015-1-10,-7,-13,-20,-14,-19,-23,88,72,56,1027,1022,1017,16,16,13,19,9,27,0.00,4,,212<br />
2015-1-11,-10,-13,-16,-15,-17,-19,87,70,53,1032,1027,1023,16,13,2,19,7,31,T,7,Snow,335<br />
2015-1-12,-15,-18,-21,-19,-22,-24,87,71,54,1045,1042,1033,16,16,14,27,12,37,0.00,0,,348<br />
2015-1-13,-9,-16,-23,-12,-19,-26,83,71,58,1045,1036,1026,16,13,2,23,10,29,0.51,3,Snow,175<br />
2015-1-14,-4,-7,-9,-8,-11,-12,81,73,65,1027,1023,1017,14,12,3,19,11,26,0.25,7,Snow,219<br />
2015-1-15,2,-3,-7,-3,-6,-8,85,75,64,1019,1016,1014,16,15,11,35,13,42,0.00,5,,248<br />
2015-1-16,-1,-2,-3,-4,-6,-8,92,80,68,1019,1015,1007,16,14,8,32,17,40,0.00,7,,98<br />
2015-1-17,3,0,-3,-1,-3,-5,92,81,70,1005,1002,1000,16,14,5,40,17,53,0.00,7,,244<br />
2015-1-18,4,0,-4,-3,-4,-6,85,72,59,1016,1012,1005,16,16,11,23,11,32,0.00,3,,270<br />
2015-1-19,3,-1,-6,-1,-3,-6,96,86,75,1016,1012,1009,16,14,5,26,13,34,0.25,7,Rain-Snow,103<br />
2015-1-20,0,-1,-2,-2,-3,-4,92,85,78,1016,1014,1010,10,7,3,19,11,27,1.27,8,Snow,55<br />
2015-1-21,-1,-2,-3,-4,-6,-7,92,81,69,1028,1022,1015,16,14,5,24,13,32,0.25,8,Snow,339<br />
2015-1-22,-1,-4,-8,-5,-8,-12,84,73,62,1031,1028,1023,16,16,11,24,14,35,0.00,6,,226<br />
2015-1-23,4,1,-2,-2,-4,-6,85,72,59,1022,1014,1010,16,15,8,26,14,37,0.00,4,,229<br />
2015-1-24,6,2,-2,-1,-2,-3,92,79,65,1009,1006,1002,16,14,8,24,8,31,T,6,,235<br />
2015-1-25,2,-2,-7,-1,-7,-12,85,68,50,1020,1014,1005,16,14,4,32,16,42,0.76,6,Snow,37<br />
2015-1-26,7,1,-6,0,-3,-9,85,74,62,1016,1011,1006,16,16,14,32,16,37,T,8,,248<br />
