
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,3,-2,-7,-7,-9,-14,67,56,44,1026,1022,1019,16,16,16,47,26,56,0.00,4,,232<br />
2015-1-2,4,1,-4,-2,-6,-8,85,67,48,1028,1026,1023,16,16,11,27,10,32,0.00,6,,218<br />
2015-1-3,15,8,1,14,7,-2,100,91,82,1025,1014,1008,16,6,0,32,19,40,37.34,8,Fog-Rain,169<br />
2015-1-4,14,4,-6,13,5,-10,93,84,74,1027,1012,1005,16,12,3,52,32,64,7.62,8,Rain-Snow,247<br />
2015-1-5,-6,-9,-13,-11,-15,-19,73,62,51,1038,1033,1028,16,13,1,42,21,52,1.52,6,Snow,257<br />
2015-1-6,-7,-9,-12,-10,-12,-16,88,78,67,1028,1026,1024,16,8,1,39,14,52,5.59,7,Fog-Snow,321<br />
2015-1-7,-11,-15,-19,-14,-18,-24,76,70,63,1041,1033,1023,16,14,4,39,27,50,T,5,Snow,283<br />
2015-1-8,-6,-14,-22,-13,-21,-25,78,64,49,1040,1030,1015,16,16,14,47,25,64,T,6,Snow,216<br />
2015-1-9,-5,-11,-16,-9,-16,-21,74,63,52,1033,1023,1013,16,12,1,53,30,68,T,5,Snow,266<br />
2015-1-10,-5,-12,-19,-16,-19,-22,75,59,43,1037,1034,1031,16,16,16,26,16,35,0.00,2,,206<br />
2015-1-11,2,-1,-5,0,-8,-15,89,66,43,1031,1029,1025,16,14,6,27,14,34,3.81,8,Rain,186<br />
2015-1-12,2,-2,-6,1,-2,-9,100,84,68,1034,1026,1023,16,8,1,40,18,48,4.32,8,Fog-Rain-Snow,327<br />
2015-1-13,-6,-9,-14,-10,-12,-16,91,77,62,1039,1035,1031,16,15,10,35,19,43,T,4,Snow,33<br />
2015-1-14,-5,-10,-15,-9,-13,-17,88,78,68,1031,1028,1025,16,12,6,23,5,26,T,6,Snow,310<br />
2015-1-15,1,-4,-9,-7,-9,-11,88,69,49,1025,1022,1019,16,13,6,26,12,31,0.00,3,,224<br />
