
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,6,3,1,2,-2,-7,85,62,39,1029,1027,1025,16,16,14,13,3,14,3.05,8,Rain,161<br />
2015-1-2,10,7,4,9,5,2,93,89,85,1026,1023,1017,16,4,1,21,11,29,0.76,8,Rain,78<br />
2015-1-3,18,14,10,16,13,9,96,92,87,1016,1012,1010,16,6,0,39,17,42,16.00,8,Rain,197<br />
2015-1-4,11,4,-3,8,-1,-8,86,75,63,1037,1026,1014,16,16,16,37,21,50,T,5,,297<br />
2015-1-5,3,-1,-6,-7,-9,-11,69,52,35,1041,1036,1029,16,16,16,26,7,34,0.00,1,,33<br />
2015-1-6,8,2,-4,-3,-5,-7,81,62,42,1031,1030,1029,16,16,16,21,9,32,0.00,1,,314<br />
2015-1-7,1,-5,-11,-5,-13,-20,69,49,29,1046,1038,1030,16,16,16,47,25,61,0.00,5,,2<br />
2015-1-8,-2,-7,-13,-12,-18,-21,58,43,27,1044,1034,1027,16,16,16,29,13,37,0.00,2,,196<br />
2015-1-9,3,-2,-6,-9,-12,-14,68,49,29,1036,1032,1028,16,16,16,27,11,37,0.00,2,,329<br />
2015-1-10,4,-2,-8,-11,-14,-16,62,42,22,1036,1034,1030,16,16,16,21,6,26,0.00,4,,84<br />
2015-1-11,9,6,2,6,-2,-13,76,53,29,1030,1027,1022,16,16,14,19,8,53,1.02,8,Rain,129<br />
2015-1-12,9,5,1,8,4,-2,93,84,75,1030,1025,1021,16,6,0,32,16,40,4.83,8,Rain,4<br />
2015-1-13,1,0,-2,-3,-5,-6,82,74,66,1033,1031,1030,16,15,11,32,17,40,0.00,8,,29<br />
2015-1-14,5,1,-3,-5,-6,-7,75,58,41,1031,1028,1026,16,16,14,16,7,32,0.00,6,,9<br />
2015-1-15,6,2,-3,-5,-6,-8,75,57,38,1026,1025,1024,16,16,14,13,4,21,0.00,7,,324<br />
2015-1-16,14,6,-3,0,-3,-7,78,55,32,1026,1024,1022,16,16,16,19,7,24,0.00,0,,199<br />
2015-1-17,16,8,1,2,0,-2,82,57,32,1021,1018,1015,16,16,16,35,20,50,0.00,3,,197<br />
2015-1-18,18,11,3,2,-3,-7,65,42,18,1023,1020,1017,16,16,16,27,13,35,0.00,1,,246<br />
2015-1-19,18,13,7,3,-1,-4,49,39,28,1019,1016,1014,16,16,16,26,13,40,0.00,5,,215<br />
2015-1-20,18,11,4,2,1,-2,70,50,29,1020,1016,1013,16,16,16,26,9,37,0.00,4,,339<br />
2015-1-21,16,9,2,3,0,-3,89,59,28,1025,1023,1020,16,16,16,23,4,29,0.00,4,,328<br />
2015-1-22,9,7,5,-2,-2,-3,60,53,45,1031,1027,1024,16,16,16,26,17,34,T,8,,51<br />
2015-1-23,6,3,1,2,0,-2,85,71,57,1024,1019,1016,16,13,5,29,14,35,2.29,8,Rain,7<br />
2015-1-24,13,6,-2,1,-1,-3,92,64,35,1017,1015,1012,16,15,10,24,10,40,0.00,0,,233<br />
2015-1-25,14,8,3,6,3,0,82,70,57,1014,1009,1005,16,14,2,45,20,58,5.08,6,Rain,257<br />
2015-1-26,9,6,2,1,-1,-2,76,63,50,1021,1017,1014,16,16,16,35,14,48,0.00,5,,284<br />
2015-1-27,14,8,3,2,1,-1,82,61,40,1023,1020,1014,16,16,16,26,11,35,0.00,0,,356<br />
2015-1-28,17,9,2,1,-1,-3,75,54,32,1026,1022,1018,16,16,16,27,14,35,0.00,2,,145<br />
2015-1-29,18,12,6,8,3,-2,62,54,46,1030,1022,1016,16,16,14,39,22,48,T,7,Rain,291<br />
2015-1-30,11,6,1,-2,-4,-7,70,49,28,1033,1031,1030,16,16,16,29,13,35,0.00,3,,18<br />
2015-1-31,10,7,3,-4,-5,-6,59,48,36,1029,1025,1017,16,16,16,23,10,27,0.00,8,,113<br />
2015-2-1,15,9,2,13,6,-4,93,63,33,1017,1011,1005,16,13,3,47,26,60,18.29,8,Rain,239<br />
2015-2-2,3,1,-2,-3,-7,-8,75,61,47,1028,1025,1016,16,16,16,39,18,53,0.00,5,,342<br />
2015-2-3,9,3,-4,-2,-6,-8,81,58,34,1029,1026,1023,16,16,16,19,9,35,0.00,3,,184<br />
2015-2-4,13,7,1,4,-2,-5,76,52,27,1025,1022,1018,16,16,14,40,15,48,T,7,,231<br />
2015-2-5,4,0,-4,-2,-9,-14,75,51,27,1032,1029,1025,16,16,11,35,18,47,0.00,3,,25<br />
2015-2-6,12,3,-5,-2,-8,-11,68,46,24,1030,1027,1023,16,16,16,21,9,34,0.00,3,,203<br />
2015-2-7,18,11,3,7,2,-8,65,49,33,1022,1018,1014,16,16,16,40,20,56,0.00,0,,202<br />
2015-2-8,17,15,13,12,10,7,80,69,57,1014,1012,1010,16,16,16,34,20,50,0.00,7,,218<br />
2015-2-9,14,8,3,11,2,-4,86,71,56,1021,1017,1011,16,14,10,37,20,47,0.00,6,,1<br />
2015-2-10,9,6,2,-2,-3,-4,70,58,46,1022,1020,1018,16,16,13,27,12,40,0.00,4,,39<br />
2015-2-11,14,7,0,1,-1,-3,75,57,38,1023,1020,1019,16,16,16,37,8,45,0.00,2,,349<br />
2015-2-12,5,1,-3,-3,-9,-14,73,51,29,1031,1029,1024,16,16,16,39,20,52,0.00,4,,8<br />
2015-2-13,6,1,-4,-8,-11,-13,55,40,24,1031,1027,1023,16,16,16,16,8,,0.00,6,,165<br />
2015-2-14,19,8,-2,-1,-5,-16,63,45,26,1027,1022,1017,16,16,16,40,16,50,0.00,1,,298<br />
2015-2-15,1,-2,-6,-16,-18,-19,41,33,24,1030,1026,1021,16,16,16,39,22,48,0.00,6,,70<br />
2015-2-16,1,-2,-6,-2,-6,-10,92,60,28,1021,1016,1012,16,11,2,34,20,40,23.11,8,Rain-Snow,25<br />
2015-2-17,0,-4,-9,-4,-7,-11,92,79,66,1024,1021,1018,16,16,16,24,9,35,0.00,6,,288<br />
2015-2-18,1,-2,-6,-2,-8,-16,92,66,39,1030,1023,1017,16,13,1,35,21,48,0.25,4,Snow,300<br />
2015-2-19,-2,-6,-11,-14,-17,-18,55,45,35,1034,1031,1029,16,16,16,26,11,35,0.00,4,,25<br />
2015-2-20,3,-1,-5,1,-6,-14,92,71,50,1029,1021,1012,16,13,3,35,17,48,12.95,8,Rain-Snow,128<br />
2015-2-21,14,8,1,12,5,-1,96,88,80,1021,1013,1008,16,10,2,47,20,66,46.99,8,Rain,13<br />
2015-2-22,7,3,-2,0,-2,-6,96,79,62,1032,1027,1022,16,14,10,35,23,45,7.37,8,Rain,28<br />
2015-2-23,-2,-4,-6,-7,-11,-12,69,62,55,1037,1033,1029,16,16,16,37,22,45,0.00,7,,18<br />
2015-2-24,2,-2,-6,-5,-8,-12,78,63,47,1028,1022,1017,16,16,14,14,7,26,0.00,7,,305<br />
2015-2-25,3,0,-3,-1,-2,-6,89,74,59,1017,1012,1010,16,11,0,24,5,40,1.52,7,Snow,39<br />
2015-2-26,4,0,-4,1,-4,-11,100,82,63,1031,1021,1013,16,10,0,35,15,42,0.00,6,Fog,330<br />
2015-2-27,2,-2,-6,-9,-11,-12,68,55,41,1036,1034,1030,16,16,16,32,19,39,0.00,6,,34<br />
2015-2-28,9,4,-2,-5,-8,-11,50,40,29,1035,1032,1027,16,16,16,26,13,39,0.00,7,,42<br />
2015-3-1,9,6,2,7,2,-4,92,71,50,1029,1028,1026,16,6,2,23,8,27,11.68,8,Rain,17<br />
2015-3-2,6,4,1,4,1,-3,92,77,62,1031,1028,1023,16,14,3,34,14,40,0.25,8,Rain,52<br />
