
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,1,-4,-9,-6,-8,-12,92,74,55,1021,1018,1013,16,14,4,35,8,43,0.51,7,Snow,115<br />
2015-1-2,6,-1,-7,-2,-7,-11,85,65,44,1021,1015,1011,16,14,2,27,15,34,0.51,7,Fog-Snow,348<br />
2015-1-3,2,-2,-6,-3,-8,-11,100,74,47,1027,1017,1011,16,16,13,24,10,29,T,2,,342<br />
2015-1-4,6,-1,-8,-5,-7,-10,81,60,39,1035,1032,1027,16,16,16,16,5,23,0.00,1,,201<br />
2015-1-5,8,1,-6,-4,-6,-8,88,60,31,1037,1033,1031,16,16,16,19,6,23,0.00,2,,197<br />
2015-1-6,13,6,-2,-3,-5,-7,69,48,26,1034,1031,1027,16,16,16,29,11,34,0.00,1,,1<br />
2015-1-7,12,4,-4,-1,-4,-8,70,57,44,1036,1033,1029,16,16,16,63,23,80,0.00,1,,54<br />
2015-1-8,5,-1,-6,-4,-6,-8,92,72,52,1034,1028,1023,16,16,16,14,6,16,0.00,2,,235<br />
2015-1-9,6,2,-2,-3,-4,-5,75,63,51,1030,1026,1024,16,16,16,42,20,53,0.00,4,,106<br />
2015-1-10,7,3,0,-1,-3,-4,82,70,57,1024,1021,1018,16,16,16,19,9,26,0.00,5,,157<br />
2015-1-11,12,6,0,1,-1,-2,89,70,50,1023,1020,1018,16,16,16,16,8,23,T,5,Rain,141<br />
2015-1-12,7,3,-1,1,-2,-3,85,71,57,1026,1024,1022,16,16,16,39,17,43,T,7,Rain,56<br />
2015-1-13,3,1,-1,1,-1,-3,92,81,70,1023,1022,1019,16,9,2,24,8,27,1.02,8,Rain-Snow,353<br />
2015-1-14,4,1,-3,1,-2,-4,100,85,70,1027,1023,1021,16,12,0,37,15,45,3.30,7,Fog-Rain-Snow,95<br />
2015-1-15,9,3,-3,-1,-3,-5,92,66,39,1033,1030,1027,16,16,13,21,6,26,0.00,0,,12<br />
2015-1-16,10,3,-5,-3,-4,-7,92,63,33,1030,1026,1022,16,16,16,14,6,19,0.00,0,,208<br />
2015-1-17,13,6,-2,-3,-6,-8,85,54,22,1029,1025,1022,16,16,16,34,10,42,0.00,1,,345<br />
2015-1-18,13,4,-5,-3,-5,-7,81,54,26,1030,1027,1025,16,16,16,26,8,29,0.00,2,,341<br />
2015-1-19,14,7,-1,-2,-4,-4,78,53,28,1025,1021,1016,16,16,16,13,6,19,0.00,3,,39<br />
2015-1-20,14,8,1,-1,-4,-7,64,44,24,1020,1017,1015,16,16,16,23,9,26,0.00,5,,4<br />
2015-1-21,8,4,-1,1,-2,-7,96,71,45,1020,1016,1014,16,12,1,63,26,80,5.33,8,Rain-Snow,66<br />
2015-1-22,2,-1,-4,-7,-8,-10,81,64,47,1030,1027,1021,16,16,16,63,27,84,0.00,5,,106<br />
2015-1-23,5,-1,-8,-7,-8,-9,88,64,40,1031,1028,1026,16,16,16,13,4,16,0.00,1,,160<br />
2015-1-24,11,3,-5,-7,-7,-8,81,55,29,1031,1026,1022,16,16,16,27,9,37,0.00,1,,346<br />
2015-1-25,13,5,-4,-4,-6,-8,75,52,28,1027,1025,1023,16,16,16,16,6,23,0.00,1,,5<br />
2015-1-26,14,7,-1,-2,-4,-5,69,51,32,1029,1027,1025,16,16,16,23,7,27,0.00,2,,357<br />
2015-1-27,16,7,-3,-2,-3,-4,85,57,28,1028,1025,1022,16,16,16,19,5,24,0.00,2,,102<br />
2015-1-28,17,9,1,2,-1,-3,76,51,25,1025,1021,1018,16,16,16,27,12,35,0.00,3,,320<br />
2015-1-29,12,9,6,-1,-4,-8,62,49,35,1028,1025,1022,16,16,16,53,32,63,0.00,8,,90<br />
2015-1-30,5,3,1,1,-1,-3,100,70,39,1029,1023,1016,16,8,0,40,19,50,3.56,8,Fog-Rain-Snow,71<br />
2015-1-31,6,3,0,2,1,0,100,90,79,1016,1013,1012,16,9,1,16,5,34,3.56,7,Rain-Snow,333<br />
2015-2-1,11,6,0,0,-2,-7,89,62,34,1023,1019,1015,16,16,16,26,11,32,0.00,1,,351<br />
2015-2-2,14,6,-3,-2,-4,-7,78,54,30,1024,1021,1018,16,16,16,26,7,32,0.00,1,,243<br />
2015-2-3,15,7,-1,-1,-3,-4,75,53,30,1022,1019,1016,16,16,16,19,6,24,0.00,2,,320<br />
2015-2-4,18,9,1,0,-2,-6,82,51,20,1022,1019,1016,16,16,16,40,11,52,0.00,3,,350<br />
2015-2-5,18,9,0,-3,-4,-6,78,50,22,1026,1024,1022,16,16,16,16,7,18,0.00,4,,3<br />
2015-2-6,19,9,-1,-4,-6,-9,64,40,15,1027,1024,1021,16,16,16,21,5,23,0.00,1,,136<br />
2015-2-7,21,12,2,-3,-6,-10,59,35,11,1022,1018,1014,16,16,16,27,8,35,0.00,0,,68<br />
2015-2-8,21,12,3,-2,-4,-6,54,36,17,1022,1019,1017,16,16,16,27,11,35,0.00,0,,341<br />
2015-2-9,21,12,3,0,-2,-4,59,41,23,1023,1019,1015,16,16,16,21,9,26,0.00,0,,21<br />
2015-2-10,20,12,3,0,-3,-7,65,42,18,1018,1014,1010,16,16,16,16,3,19,0.00,0,,333<br />
2015-2-11,11,7,4,1,-1,-6,65,47,29,1029,1023,1013,16,16,16,53,26,63,T,6,Rain,96<br />
2015-2-12,12,6,-1,0,-2,-4,85,62,38,1032,1028,1024,16,16,16,14,7,21,0.00,2,,45<br />
2015-2-13,18,8,-1,-3,-4,-5,78,50,21,1028,1025,1022,16,16,16,19,6,21,0.00,0,,107<br />
2015-2-14,19,9,-1,-3,-4,-7,69,45,20,1027,1022,1016,16,16,16,16,8,21,0.00,2,,166<br />
2015-2-15,21,12,3,3,-2,-10,79,48,16,1016,1012,1007,16,16,16,32,12,39,0.00,6,,171<br />
2015-2-16,12,6,-1,-4,-9,-14,66,41,15,1018,1013,1008,16,16,16,37,11,47,0.00,4,,24<br />
2015-2-17,11,3,-4,-5,-12,-21,81,45,9,1023,1020,1018,16,16,16,37,16,47,0.00,0,,346<br />
2015-2-18,17,7,-3,-11,-14,-16,35,24,12,1024,1022,1018,16,16,16,21,9,29,0.00,1,,346<br />
2015-2-19,20,9,-1,-9,-10,-11,47,30,13,1023,1017,1013,16,16,16,21,7,29,0.00,3,,335<br />
2015-2-20,20,10,-1,-6,-8,-10,47,30,13,1013,1009,1005,16,16,16,40,12,48,0.00,4,,214<br />
2015-2-21,19,11,1,-4,-7,-11,56,35,13,1012,1008,1003,16,16,16,47,18,61,0.00,5,,278<br />
2015-2-22,8,1,-7,-1,-7,-13,70,51,31,1024,1016,1009,16,16,16,69,44,85,T,7,,83<br />
2015-2-23,1,-4,-9,-8,-12,-15,67,55,43,1029,1025,1022,16,15,3,58,25,69,T,7,Snow,52<br />
2015-2-24,8,2,-5,-4,-8,-12,78,52,25,1023,1018,1014,16,16,11,53,15,69,T,5,Snow,41<br />
2015-2-25,14,5,-4,-4,-6,-10,85,52,19,1019,1015,1010,16,16,16,47,15,56,0.00,2,,321<br />
2015-2-26,6,1,-5,-3,-6,-8,70,58,45,1017,1015,1013,16,13,0,52,31,60,1.52,6,Fog-Snow,78<br />
