
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,5,0,-5,-5,-9,-13,60,50,40,1029,1025,1022,16,16,16,34,15,40,0.00,7,,223<br />
2015-1-2,4,3,2,2,-1,-4,92,73,54,1029,1027,1023,16,11,3,19,8,26,0.25,8,Rain,159<br />
2015-1-3,17,11,3,14,8,2,93,89,85,1022,1015,1008,16,9,2,45,16,68,7.37,8,Rain-Thunderstorm,156<br />
2015-1-4,17,6,-4,14,4,-9,90,75,60,1033,1015,1007,16,15,5,45,28,60,2.03,8,Rain,267<br />
2015-1-5,-3,-6,-9,-11,-14,-16,73,55,37,1041,1036,1028,16,16,11,34,13,42,T,5,Snow,273<br />
2015-1-6,2,-2,-6,-8,-10,-12,63,57,50,1029,1027,1025,16,16,16,29,16,39,0.00,7,,285<br />
2015-1-7,-6,-11,-16,-12,-18,-23,66,51,36,1045,1036,1028,16,15,5,40,25,48,T,5,Snow,311<br />
2015-1-8,-2,-9,-17,-17,-19,-22,79,54,29,1044,1033,1021,16,16,14,39,17,52,0.00,6,,211<br />
2015-1-9,-2,-7,-11,-11,-17,-22,62,46,29,1035,1028,1021,16,16,14,42,22,56,T,4,Snow,274<br />
2015-1-10,-2,-8,-13,-15,-17,-19,69,50,31,1038,1035,1032,16,16,16,21,7,27,0.00,1,,168<br />
2015-1-11,7,0,-7,1,-8,-15,85,56,27,1032,1030,1026,16,15,8,23,8,27,1.52,8,Rain,141<br />
2015-1-12,4,2,-1,3,1,-5,92,82,72,1032,1025,1023,16,6,1,32,13,39,3.05,8,Rain,354<br />
2015-1-13,-1,-2,-4,-6,-8,-9,75,67,58,1035,1033,1030,16,16,14,29,15,37,0.00,8,,33<br />
2015-1-14,1,-1,-3,-8,-8,-9,68,58,47,1029,1028,1026,16,16,16,19,7,21,0.00,7,,315<br />
2015-1-15,4,1,-2,-4,-7,-9,85,67,48,1025,1023,1021,16,15,11,21,10,29,0.00,5,,228<br />
2015-1-16,9,3,-3,-2,-3,-4,92,69,46,1025,1023,1022,16,11,5,16,7,23,0.00,1,,206<br />
