
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,11,6,-1,5,0,-4,96,66,35,1030,1028,1025,16,16,8,14,4,19,3.05,7,Rain,36<br />
2015-1-2,11,9,6,10,7,3,93,85,76,1029,1025,1022,16,9,2,19,7,24,17.02,8,Rain,74<br />
2015-1-3,19,15,11,18,15,10,100,94,87,1022,1018,1014,16,9,1,48,15,64,41.66,8,Rain-Thunderstorm,160<br />
2015-1-4,17,11,5,16,9,-1,93,74,54,1032,1022,1015,16,14,3,35,18,43,15.75,7,Rain,269<br />
2015-1-5,8,3,-1,-1,-4,-6,78,58,37,1038,1034,1029,16,16,16,32,12,39,0.00,4,,353<br />
2015-1-6,12,4,-3,-1,-3,-5,85,62,38,1031,1029,1027,16,16,16,26,10,34,0.00,0,,310<br />
2015-1-7,3,-4,-11,-3,-9,-18,78,61,43,1042,1033,1027,16,16,16,42,21,56,0.00,3,,347<br />
2015-1-8,1,-6,-13,-14,-17,-19,69,47,25,1041,1035,1029,16,16,16,26,9,32,0.00,0,,110<br />
2015-1-9,4,-1,-6,-9,-11,-14,68,50,32,1033,1030,1029,16,16,16,21,9,29,0.00,1,,321<br />
2015-1-10,8,-1,-9,-8,-13,-17,67,41,15,1035,1033,1032,16,16,16,21,7,26,0.00,3,,38<br />
2015-1-11,10,6,1,5,-2,-12,71,51,30,1032,1029,1025,16,16,16,19,9,26,T,7,,94<br />
2015-1-12,12,10,8,11,9,6,100,89,77,1025,1023,1021,16,5,0,23,8,26,1.27,8,Fog-Rain,90<br />
2015-1-13,8,5,2,6,3,1,100,93,85,1028,1027,1024,14,7,3,23,14,29,0.00,8,,352<br />
2015-1-14,6,3,1,2,1,-1,100,87,73,1029,1026,1025,16,10,3,14,10,21,0.00,8,,353<br />
2015-1-15,4,2,-1,1,-1,-2,89,83,76,1025,1024,1022,16,12,6,16,5,19,0.25,7,Rain,344<br />
2015-1-16,12,4,-4,-1,-3,-5,92,64,35,1027,1025,1024,16,10,0,19,3,24,0.00,2,Fog,337<br />
2015-1-17,17,8,-1,1,-2,-5,92,58,23,1025,1022,1019,16,16,13,26,9,34,0.00,2,,173<br />
2015-1-18,16,8,1,4,-1,-7,76,49,21,1023,1021,1018,16,16,16,27,11,39,0.00,1,,277<br />
2015-1-19,20,9,-1,-2,-4,-8,85,50,15,1023,1019,1016,16,16,16,27,9,34,0.00,2,,223<br />
2015-1-20,19,11,2,6,4,2,89,62,35,1018,1016,1014,16,16,16,19,6,27,0.00,2,,235<br />
2015-1-21,18,9,1,3,0,-4,92,59,26,1024,1021,1017,16,16,13,24,7,35,0.00,2,,356<br />
2015-1-22,12,7,1,4,1,-3,89,64,38,1028,1025,1023,16,14,6,24,10,34,13.97,7,Rain,42<br />
2015-1-23,9,7,4,8,6,3,100,95,89,1023,1014,1010,16,6,1,27,12,43,17.02,8,Rain,20<br />
2015-1-24,9,5,0,3,-1,-3,92,67,42,1019,1016,1012,16,15,8,27,13,35,0.25,4,,300<br />
2015-1-25,16,8,-1,6,2,-2,92,64,36,1016,1011,1007,16,16,6,69,13,92,1.02,4,Rain-Thunderstorm,224<br />
2015-1-26,8,6,3,4,1,-3,83,64,45,1017,1014,1010,16,16,11,34,18,40,T,7,,298<br />
2015-1-27,14,7,0,2,-1,-2,92,64,35,1023,1018,1014,16,16,16,34,12,43,0.00,1,,339<br />
