
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-6,-15,-24,-9,-20,-26,92,80,58,1020,1017,1013,16,16,16,8,3,,0.00,2,,106<br />
2015-1-2,1,-10,-21,-9,-18,-22,92,83,48,1023,1020,1016,16,16,14,11,2,,0.00,2,,105<br />
2015-1-3,-3,-10,-17,-7,-13,-18,92,86,69,1024,1018,1014,16,16,11,11,2,,0.00,6,Snow,57<br />
2015-1-4,-1,-8,-15,-7,-12,-16,100,85,60,1032,1028,1024,16,16,16,13,3,,0.00,6,,91<br />
2015-1-5,5,-2,-9,-2,-7,-11,93,81,45,1033,1031,1030,16,16,16,26,5,,0.00,5,,89<br />
2015-1-6,9,2,-5,0,-3,-6,100,86,50,1036,1034,1032,16,16,16,14,5,,0.00,4,,85<br />
2015-1-7,6,-1,-7,1,-5,-8,100,92,61,1038,1035,1029,16,13,0,13,2,,0.00,2,Fog,122<br />
2015-1-8,9,0,-8,-1,-6,-9,100,87,43,1029,1026,1022,16,16,1,11,3,,0.00,0,Fog,103<br />
2015-1-9,6,-3,-11,-2,-7,-11,100,87,46,1026,1023,1021,16,16,16,19,2,,0.00,0,,104<br />
2015-1-10,6,-2,-9,-1,-6,-9,100,88,53,1022,1020,1017,16,16,16,14,3,,0.00,3,,96<br />
2015-1-11,4,1,-1,3,-1,-2,100,89,70,1024,1019,1016,16,15,10,23,3,35,0.00,8,Snow,130<br />
2015-1-12,4,1,-2,3,-2,-4,100,89,56,1025,1023,1020,16,16,16,14,3,,0.00,7,,109<br />
2015-1-13,4,-1,-5,3,-2,-6,100,96,70,1023,1021,1019,16,8,2,8,2,,2.54,7,Snow,78<br />
2015-1-14,4,-2,-8,2,-4,-9,100,91,65,1030,1025,1023,16,14,0,10,2,,0.00,6,,218<br />
2015-1-15,2,-4,-11,-7,-9,-11,100,82,52,1035,1031,1029,16,16,16,11,5,,0.00,5,,83<br />
2015-1-16,3,-6,-13,-6,-11,-14,100,80,48,1031,1027,1021,16,16,16,23,3,,0.00,2,,162<br />
2015-1-17,6,-1,-8,-2,-6,-11,93,70,29,1031,1026,1021,16,16,16,39,19,52,0.00,3,,223<br />
2015-1-18,8,-1,-9,-4,-9,-12,86,73,36,1030,1028,1025,16,16,16,24,5,27,0.00,2,,147<br />
2015-1-19,7,-1,-8,-1,-6,-8,100,83,46,1027,1025,1021,16,16,16,23,3,,0.00,4,,150<br />
2015-1-20,4,0,-5,-1,-4,-8,93,75,42,1024,1022,1020,16,16,16,24,6,,0.00,5,,256<br />
2015-1-21,0,-6,-11,-7,-9,-13,93,76,38,1026,1022,1019,16,16,16,24,3,29,0.00,5,,99<br />
2015-1-22,-2,-10,-17,-13,-16,-18,92,76,37,1031,1028,1026,16,16,16,11,2,,0.00,0,,108<br />
2015-1-23,2,-7,-16,-11,-15,-17,92,74,30,1032,1030,1027,16,16,16,11,2,,0.00,2,,103<br />
2015-1-24,-2,-8,-14,-7,-12,-16,92,79,51,1033,1030,1027,16,16,16,13,2,,0.00,4,,120<br />
2015-1-25,9,0,-8,-2,-7,-9,93,79,43,1032,1029,1027,16,16,16,11,3,,0.00,4,,92<br />
2015-1-26,8,-1,-9,-2,-6,-10,100,86,43,1035,1032,1028,16,16,16,11,3,,0.00,0,,98<br />
2015-1-27,8,-1,-9,1,-6,-9,100,84,37,1032,1029,1024,16,16,16,14,3,,0.00,1,,99<br />
2015-1-28,9,2,-4,-1,-3,-4,100,78,40,1029,1025,1024,16,16,16,34,6,47,0.00,5,,174<br />
2015-1-29,9,3,-3,-2,-3,-6,100,79,34,1031,1029,1026,16,16,16,10,0,,0.00,5,,210<br />
2015-1-30,4,1,-1,1,-2,-3,100,86,65,1027,1023,1015,16,13,1,10,0,,0.25,7,Fog-Snow,255<br />
2015-1-31,3,1,-2,3,0,-4,100,95,86,1017,1013,1011,16,7,0,16,2,,0.25,7,Snow,234<br />
2015-2-1,4,-2,-8,-3,-8,-12,93,74,31,1023,1020,1017,16,16,16,37,10,42,0.00,3,,95<br />
2015-2-2,8,2,-3,-3,-4,-6,80,70,43,1024,1022,1020,16,16,16,29,8,35,0.00,7,,132<br />
2015-2-3,9,4,-1,-1,-2,-3,93,76,46,1023,1021,1019,16,16,16,21,5,,0.00,7,,100<br />
2015-2-4,7,3,1,3,0,-1,93,73,61,1025,1021,1018,16,16,8,32,10,40,0.00,7,Rain,239<br />
2015-2-5,12,6,-1,2,-3,-11,93,76,19,1027,1026,1024,16,16,16,24,8,26,0.00,1,,102<br />
2015-2-6,15,4,-6,-4,-6,-8,100,73,20,1028,1026,1021,16,16,16,26,2,35,0.00,0,,113<br />
2015-2-7,13,4,-4,-3,-6,-8,93,70,23,1024,1022,1019,16,16,16,27,5,35,0.00,1,,115<br />
2015-2-8,14,6,-2,-2,-3,-9,93,70,20,1027,1025,1023,16,16,16,26,5,39,0.00,3,,144<br />
2015-2-9,15,5,-5,-2,-4,-6,93,74,25,1027,1024,1019,16,16,16,27,3,37,0.00,1,,110<br />
2015-2-10,9,3,-2,2,-2,-4,100,82,40,1025,1021,1019,16,15,3,16,2,,0.00,6,Snow,52<br />
2015-2-11,10,3,-4,-1,-4,-12,100,78,20,1032,1028,1025,16,16,16,11,0,,0.00,1,,197<br />
2015-2-12,11,2,-6,-5,-7,-9,93,72,24,1032,1031,1027,16,16,16,21,2,29,0.00,1,,173<br />
2015-2-13,13,3,-6,-4,-6,-8,93,73,25,1032,1030,1027,16,16,16,11,2,,0.00,0,,109<br />
2015-2-14,17,6,-6,-4,-6,-12,93,67,13,1030,1027,1021,16,16,16,26,3,37,0.00,0,,110<br />
2015-2-15,8,3,-2,-4,-5,-9,86,64,31,1021,1018,1015,16,16,16,27,5,48,0.00,3,,134<br />
2015-2-16,1,-4,-8,-2,-6,-11,100,85,47,1022,1018,1017,16,15,2,14,6,,0.00,4,Snow,118<br />
2015-2-17,4,-3,-9,-9,-11,-18,93,70,19,1023,1021,1020,16,16,16,32,6,48,0.00,4,,135<br />
2015-2-18,9,0,-8,-7,-11,-16,74,58,18,1026,1024,1022,16,16,16,35,13,45,0.00,1,,104<br />
2015-2-19,13,2,-8,-6,-8,-10,93,68,21,1026,1023,1017,16,16,16,34,5,37,0.00,0,,125<br />
2015-2-20,8,2,-4,-2,-5,-7,93,77,34,1017,1014,1010,16,16,11,42,3,53,0.00,3,Rain-Snow,259<br />
2015-2-21,2,-1,-4,-1,-4,-6,100,89,56,1015,1014,1011,16,14,2,16,2,,0.00,7,Snow,44<br />
2015-2-22,-1,-3,-7,-4,-6,-8,100,87,74,1019,1015,1014,16,11,2,14,2,,0.00,8,Snow,69<br />
2015-2-23,0,-3,-7,-4,-7,-9,93,86,64,1023,1020,1017,16,11,3,6,2,,0.00,6,,102<br />
2015-2-24,6,-4,-13,-6,-9,-14,100,79,34,1024,1021,1015,16,16,16,14,2,,0.00,1,,103<br />
2015-2-25,4,0,-3,-1,-5,-8,93,76,56,1018,1016,1013,16,16,11,26,6,53,0.00,7,Snow,71<br />
2015-2-26,2,-4,-9,-3,-8,-12,93,81,35,1018,1015,1010,16,15,5,27,5,34,0.00,5,Snow,222<br />
2015-2-27,1,-3,-6,-3,-6,-8,100,87,52,1011,1009,1007,16,11,2,13,5,,0.00,7,Snow,303<br />
2015-2-28,2,-3,-8,-2,-8,-12,93,79,44,1013,1010,1007,16,15,2,14,6,,0.00,7,Snow,75<br />
2015-3-1,6,1,-3,0,-3,-7,100,85,42,1019,1017,1013,16,14,2,24,10,40,0.51,7,Snow,109<br />
2015-3-2,8,3,-1,2,-1,-2,100,91,66,1017,1011,1003,16,9,1,35,3,60,3.05,7,Rain-Snow,249<br />
2015-3-3,2,-1,-4,-1,-3,-6,100,86,60,1011,1008,1006,16,13,1,35,18,52,0.00,7,Snow,244<br />
2015-3-4,2,-6,-13,-4,-11,-17,93,76,34,1028,1017,1011,16,14,3,24,10,39,0.00,5,,98<br />
2015-3-5,5,-6,-16,-7,-14,-18,92,71,29,1032,1030,1027,16,16,16,23,3,34,0.00,0,,149<br />
2015-3-6,9,-1,-10,-4,-9,-12,93,73,27,1033,1031,1028,16,16,16,10,2,,0.00,0,,135<br />
2015-3-7,13,2,-8,-4,-7,-9,100,73,23,1031,1028,1021,16,16,16,26,3,,0.00,0,,122<br />
2015-3-8,12,3,-6,-4,-6,-8,100,71,24,1024,1022,1017,16,16,16,13,2,,0.00,0,,116<br />
2015-3-9,13,3,-7,-4,-6,-9,100,70,21,1022,1020,1017,16,16,16,11,2,,0.00,0,,90<br />
2015-3-10,14,4,-6,-4,-7,-14,93,67,13,1026,1023,1021,16,16,16,8,0,,0.00,0,,114<br />
2015-3-11,14,4,-6,-4,-7,-11,86,63,18,1030,1027,1024,16,16,16,19,5,,0.00,1,,127<br />
2015-3-12,13,6,-1,-1,-3,-9,86,62,22,1028,1026,1024,16,16,16,21,2,35,0.00,4,,267<br />
2015-3-13,12,6,0,1,-1,-3,93,71,35,1031,1029,1028,16,16,16,26,2,26,0.00,5,Rain,128<br />
2015-3-14,16,6,-4,-2,-4,-10,100,72,16,1034,1031,1027,16,16,16,21,5,,0.00,0,,102<br />
2015-3-15,20,9,-2,-3,-4,-12,93,61,11,1033,1029,1024,16,16,16,10,3,,0.00,0,,99<br />
2015-3-16,21,9,-2,-2,-4,-9,93,58,13,1028,1025,1022,16,16,16,24,3,35,0.00,0,,156<br />
2015-3-17,21,10,-1,-2,-3,-7,86,54,15,1025,1022,1016,16,16,16,19,5,,0.00,1,,113<br />
2015-3-18,14,9,5,7,1,-2,93,64,41,1020,1018,1016,16,16,11,13,3,,0.25,6,Rain,122<br />
2015-3-19,12,7,2,10,2,-9,100,75,24,1024,1020,1018,16,16,8,19,5,,1.52,6,,92<br />
2015-3-20,16,6,-3,-4,-7,-13,80,44,14,1028,1025,1022,16,16,16,13,2,,0.00,0,,105<br />
2015-3-21,18,7,-4,-4,-6,-11,93,60,13,1026,1024,1018,16,16,16,24,2,32,0.00,0,,125<br />
2015-3-22,18,8,-2,-3,-6,-11,86,52,13,1024,1022,1019,16,16,16,37,5,47,0.00,1,,159<br />
2015-3-23,15,8,1,2,-3,-9,93,59,19,1021,1017,1012,16,16,16,42,6,63,0.00,2,Rain,211<br />
2015-3-24,12,6,0,1,-3,-9,87,59,22,1021,1019,1016,16,16,13,50,21,60,0.00,4,,238<br />
2015-3-25,7,2,-3,1,-3,-12,93,66,25,1028,1021,1017,16,15,2,26,11,34,0.00,6,Snow,256<br />
2015-3-26,14,3,-7,-2,-7,-9,93,65,25,1031,1028,1024,16,16,16,29,5,29,0.00,2,,124<br />
2015-3-27,19,9,-1,1,-3,-8,86,58,15,1029,1027,1023,16,16,16,19,8,29,0.00,0,,96<br />
2015-3-28,22,10,-2,3,-3,-8,93,56,13,1027,1024,1019,16,16,16,35,6,48,0.00,2,,145<br />
2015-3-29,19,10,2,5,-6,-13,71,39,11,1029,1025,1022,16,16,16,32,8,40,0.00,1,,117<br />
2015-3-30,21,9,-3,-7,-8,-11,74,44,11,1028,1025,1022,16,16,16,34,3,52,0.00,0,,134<br />
2015-3-31,21,9,-2,-4,-7,-9,74,45,13,1025,1021,1014,16,16,16,39,3,40,0.00,1,,164<br />
2015-4-1,18,9,1,-3,-5,-7,65,46,19,1014,1013,1011,16,16,16,42,10,64,0.00,2,,159<br />
