
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,3,-4,-12,-7,-11,-16,84,66,47,1025,1022,1019,16,16,16,16,9,21,0.00,3,,185<br />
2015-1-2,1,-4,-11,-5,-8,-11,92,72,51,1026,1022,1015,16,16,13,24,9,29,0.00,5,,153<br />
2015-1-3,3,-4,-12,-4,-8,-14,96,78,59,1023,1015,1010,16,12,2,58,19,68,T,8,Snow,353<br />
2015-1-4,-12,-15,-18,-14,-19,-23,88,69,50,1042,1034,1022,16,13,1,52,26,61,0.51,3,Snow,324<br />
2015-1-5,-5,-9,-14,-10,-15,-17,83,72,61,1043,1032,1022,16,12,1,48,19,61,0.51,8,Fog-Snow,188<br />
2015-1-6,-7,-12,-17,-12,-16,-19,87,72,56,1042,1036,1029,16,14,6,58,22,69,T,7,Snow,322<br />
2015-1-7,-13,-16,-19,-18,-22,-24,79,67,54,1054,1036,955,16,16,16,52,26,72,0.00,5,,339<br />
2015-1-8,-1,-9,-17,-7,-14,-21,76,67,58,1037,1024,1014,16,16,10,71,35,90,T,6,Snow,278<br />
2015-1-9,-9,-12,-16,-17,-18,-21,83,67,51,1037,1035,1032,16,16,16,48,18,61,T,1,Snow,302<br />
2015-1-10,3,-7,-17,-7,-12,-19,83,64,44,1032,1023,1019,16,16,16,42,17,56,0.00,4,,172<br />
2015-1-11,1,-5,-11,-7,-10,-13,92,73,54,1031,1024,1021,16,16,16,29,14,35,0.00,6,,357<br />
2015-1-12,-8,-13,-18,-12,-17,-21,84,67,49,1044,1040,1032,16,16,16,29,18,35,0.00,2,,353<br />
2015-1-13,-5,-12,-20,-13,-17,-22,87,66,44,1044,1038,1031,16,16,16,24,11,27,0.00,4,Fog,165<br />
2015-1-14,4,-2,-8,-4,-8,-14,88,70,52,1030,1026,1022,16,16,16,19,9,23,0.00,4,,229<br />
2015-1-15,8,1,-7,-2,-5,-8,92,73,53,1023,1022,1020,16,16,16,27,11,32,0.00,1,,255<br />
2015-1-16,15,5,-5,-2,-3,-6,92,60,28,1022,1014,1007,16,16,16,26,15,34,0.00,3,,173<br />
2015-1-17,11,7,3,0,-2,-4,67,53,38,1014,1010,1005,16,16,16,63,25,80,T,5,,289<br />
2015-1-18,14,6,-3,-2,-4,-6,85,56,27,1016,1015,1012,16,16,16,27,7,35,0.00,3,,195<br />
2015-1-19,11,4,-3,-1,-3,-5,85,63,41,1015,1014,1013,16,16,16,29,9,37,0.00,3,,240<br />
2015-1-20,11,5,-1,-1,-2,-4,82,63,44,1019,1017,1015,16,16,16,37,17,48,0.00,3,,304<br />
2015-1-21,7,3,-2,-1,-2,-3,85,74,62,1030,1024,1019,16,16,14,32,16,47,T,6,Rain-Snow,317<br />
2015-1-22,4,-1,-5,-3,-5,-7,85,69,52,1034,1031,1028,16,16,16,24,11,27,0.00,5,,288<br />
2015-1-23,8,1,-7,-2,-5,-8,92,66,40,1027,1019,1015,16,16,16,24,14,27,0.00,2,,187<br />
2015-1-24,13,4,-4,4,-1,-5,100,71,41,1015,1009,1002,16,16,16,39,9,48,0.51,5,Rain,253<br />
2015-1-25,7,3,-2,3,1,-3,92,80,67,1020,1013,1003,16,16,10,52,25,68,0.25,7,Rain,335<br />
2015-1-26,14,6,-3,3,-1,-4,92,68,43,1019,1015,1012,16,16,16,39,16,50,0.00,1,,337<br />
2015-1-27,12,4,-3,1,-1,-4,100,72,44,1022,1019,1016,16,16,16,29,14,35,0.00,0,Fog,138<br />
2015-1-28,15,8,1,3,1,-2,82,63,43,1015,1010,1004,16,16,16,56,22,72,0.00,4,,163<br />
2015-1-29,6,1,-4,1,-3,-6,82,71,59,1035,1028,1015,16,16,16,61,32,76,T,6,Rain,340<br />
2015-1-30,3,-2,-8,-3,-6,-10,92,73,54,1036,1031,1025,16,16,16,26,13,32,0.00,5,,164<br />
2015-1-31,3,1,-1,1,0,-4,100,82,64,1025,1019,1012,16,7,1,24,12,27,15.75,8,Rain-Snow,149<br />
2015-2-1,1,-8,-17,0,-9,-19,100,88,76,1030,1018,1009,16,4,0,56,32,74,6.60,7,Snow,355<br />
2015-2-2,-9,-14,-20,-13,-17,-22,87,77,67,1030,1025,1019,16,16,16,37,14,42,0.00,2,,175<br />
2015-2-3,1,-6,-14,-4,-9,-14,92,82,72,1022,1018,1014,16,16,14,32,11,35,0.00,5,,170<br />
2015-2-4,-6,-13,-19,-9,-12,-21,95,81,67,1036,1028,1020,16,8,0,42,22,52,3.30,5,Fog-Snow,349<br />
2015-2-5,-5,-13,-21,-11,-17,-22,95,76,56,1036,1029,1021,16,14,2,34,18,40,0.00,4,Fog,163<br />
2015-2-6,4,-2,-8,-1,-4,-11,92,80,68,1021,1015,1010,16,16,14,27,16,32,0.00,5,,156<br />
2015-2-7,12,4,-3,2,0,-4,92,71,50,1010,1005,1001,16,15,11,26,13,29,0.00,3,,166<br />
2015-2-8,7,4,0,2,1,-1,92,81,70,1021,1013,1002,16,12,5,29,14,35,T,5,Rain,2<br />
2015-2-9,2,1,0,0,-1,-2,96,89,82,1025,1023,1021,10,7,1,29,11,35,0.00,8,Fog,71<br />
2015-2-10,4,2,-1,1,-1,-2,100,90,79,1021,1018,1014,11,7,1,37,19,43,0.00,7,,183<br />
2015-2-11,4,-3,-10,2,-8,-15,92,75,58,1035,1029,1021,16,16,13,60,31,71,T,6,Snow,337<br />
2015-2-12,-6,-10,-14,-12,-16,-19,76,63,49,1040,1035,1027,16,16,14,48,19,61,T,5,Snow,360<br />
2015-2-13,9,1,-8,-1,-6,-12,80,63,45,1027,1022,1020,16,16,16,27,11,34,0.00,3,,220<br />
2015-2-14,2,-4,-11,-1,-12,-19,89,63,36,1034,1028,1019,16,16,14,47,23,58,T,8,Snow,25<br />
2015-2-15,-8,-10,-13,-16,-18,-19,63,55,47,1034,1031,1027,16,16,16,27,15,32,0.00,7,,119<br />
2015-2-16,2,-3,-8,-6,-11,-16,75,63,50,1026,1022,1019,16,16,16,29,9,35,0.00,7,,253<br />
