
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,12,5,-2,-1,-3,-8,92,59,26,1023,1021,1020,16,11,5,13,2,14,0.00,0,,80<br />
2015-1-2,12,5,-2,-1,-3,-4,85,59,32,1024,1022,1020,16,15,10,11,3,18,0.00,1,,352<br />
2015-1-3,12,6,-2,0,-2,-3,85,62,38,1027,1025,1023,16,14,8,10,2,13,0.00,1,,83<br />
2015-1-4,13,6,-1,2,1,-2,89,66,43,1032,1030,1027,13,10,8,21,3,24,0.00,3,,54<br />
2015-1-5,16,8,1,4,2,-1,96,68,40,1030,1028,1026,14,9,6,13,2,14,0.00,3,,47<br />
2015-1-6,18,11,2,7,4,1,89,67,44,1026,1024,1022,10,7,3,13,4,23,0.00,1,,313<br />
2015-1-7,19,12,3,8,6,2,93,69,45,1024,1022,1020,6,4,2,11,2,13,0.00,1,,59<br />
2015-1-8,18,12,4,9,7,4,96,74,52,1020,1018,1016,5,4,2,11,3,23,0.00,6,,11<br />
2015-1-9,18,13,8,9,8,7,93,73,52,1018,1016,1014,6,4,2,14,5,18,0.00,8,,50<br />
2015-1-10,18,13,8,11,9,8,96,76,56,1017,1015,1014,3,3,2,10,2,14,0.00,7,,352<br />
2015-1-11,18,13,8,11,9,8,93,75,56,1022,1019,1016,4,3,1,10,2,16,0.00,6,Fog,161<br />
2015-1-12,13,10,7,11,9,6,100,89,77,1025,1023,1022,3,1,0,11,3,13,0.00,8,Fog,117<br />
2015-1-13,15,11,7,9,8,6,100,81,62,1024,1022,1021,8,2,0,14,2,19,0.00,6,Fog,61<br />
2015-1-14,16,11,4,9,7,3,100,80,60,1027,1024,1023,5,2,0,16,5,21,0.00,3,Fog,123<br />
2015-1-15,14,9,4,8,7,4,100,86,72,1028,1027,1025,6,1,0,24,7,29,0.00,7,Fog,254<br />
2015-1-16,11,8,6,7,7,6,100,89,77,1027,1026,1024,6,3,1,19,5,24,0.00,6,,143<br />
2015-1-17,10,7,4,7,6,3,100,87,74,1028,1026,1024,5,2,0,14,5,18,0.00,7,Fog,124<br />
2015-1-18,10,8,6,7,7,6,100,90,80,1028,1026,1025,4,2,0,14,4,16,0.00,8,Fog,116<br />
2015-1-19,9,8,7,7,7,6,100,90,80,1027,1025,1023,8,4,2,13,4,16,0.00,8,,134<br />
