
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,2,-2,-6,-9,-13,-16,51,41,31,1022,1018,1014,16,16,16,21,11,39,0.00,0,,248<br />
2015-1-2,4,1,-1,-7,-8,-9,64,48,39,1032,1023,1016,16,16,16,23,11,37,0.00,2,,284<br />
2015-1-3,4,-1,-4,3,-3,-8,97,79,52,1036,1031,1019,16,9,0,21,10,32,14.22,3,Fog-Rain-Snow,89<br />
2015-1-4,12,8,4,10,6,-1,100,92,50,1017,1010,1004,16,5,0,29,6,60,7.62,7,Fog-Rain,241<br />
2015-1-5,8,0,-8,-2,-11,-18,56,44,29,1029,1020,1008,16,16,16,40,27,61,0.00,2,,295<br />
2015-1-6,-7,-8,-9,-11,-14,-18,84,66,45,1030,1024,1016,16,10,1,24,11,34,0.00,4,Snow,270<br />
2015-1-7,-6,-10,-14,-12,-18,-24,81,52,31,1024,1017,1012,16,16,11,47,19,66,0.00,2,,288<br />
2015-1-8,-7,-11,-15,-18,-21,-23,58,47,38,1030,1027,1023,16,16,16,42,23,58,0.00,0,,279<br />
2015-1-9,-1,-4,-8,-8,-12,-18,93,62,38,1023,1017,1015,16,11,0,26,11,45,1.52,5,Fog-Snow,253<br />
2015-1-10,-6,-8,-10,-17,-19,-20,53,44,33,1035,1030,1023,16,16,16,27,14,40,0.00,0,,278<br />
2015-1-11,1,-4,-10,-10,-14,-19,54,45,37,1039,1036,1033,16,16,16,14,6,,0.00,3,,228<br />
2015-1-12,2,1,0,1,-2,-11,100,82,42,1032,1024,1019,16,8,0,16,5,,10.16,7,Fog-Rain,294<br />
2015-1-13,1,-6,-12,-4,-13,-18,68,59,44,1038,1034,1024,16,16,16,32,23,47,0.00,2,,350<br />
2015-1-14,-2,-7,-12,-7,-11,-18,78,66,59,1036,1029,1022,16,16,16,14,11,,0.00,4,,24<br />
2015-1-15,-1,-4,-7,-8,-9,-11,82,66,47,1022,1018,1012,16,16,11,21,11,,0.00,1,,306<br />
2015-1-16,4,-2,-8,-8,-12,-18,60,49,35,1023,1013,1009,16,16,14,42,18,72,0.00,1,,288<br />
2015-1-17,-3,-7,-11,-9,-16,-20,75,53,27,1030,1027,1023,16,16,16,23,13,37,0.00,0,,293<br />
2015-1-18,6,0,-5,4,-1,-9,100,90,69,1024,1014,1004,16,7,0,16,3,,47.50,6,Fog-Rain,327<br />
2015-1-19,4,2,1,1,-4,-7,89,66,50,1011,1009,1006,16,16,14,40,18,60,0.00,5,,283<br />
