EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,4,1,-2,-6,-11,-15,50,40,29,1023,1019,1016,16,16,16,42,28,52,0.00,1,,246
2015-1-2,7,4,2,-5,-8,-9,59,45,31,1032,1024,1017,16,16,16,39,22,48,0.00,4,,271
2015-1-3,8,4,-1,7,-1,-7,93,71,48,1036,1031,1019,16,11,2,29,15,37,23.88,7,Rain,69
2015-1-4,13,9,6,11,8,3,96,87,77,1017,1010,1005,16,10,0,45,16,58,11.94,8,Fog-Rain,227
2015-1-5,11,3,-5,-2,-11,-19,59,42,24,1030,1020,1010,16,16,16,53,32,77,0.00,3,,290
2015-1-6,-5,-6,-7,-9,-13,-19,77,56,34,1031,1025,1017,16,10,1,37,14,45,1.78,7,Snow,281
2015-1-7,-4,-8,-12,-11,-17,-25,68,50,31,1026,1017,1014,16,16,16,64,34,76,0.00,4,,290
2015-1-8,-6,-9,-13,-16,-19,-24,53,46,38,1031,1028,1025,16,16,16,53,28,63,0.00,3,,274
2015-1-9,1,-2,-6,-6,-12,-17,88,62,35,1024,1019,1016,16,14,1,53,32,64,1.78,6,Snow,252
2015-1-10,-4,-6,-8,-17,-18,-19,47,41,34,1036,1031,1025,16,16,16,40,27,52,0.00,1,,275
2015-1-11,3,-2,-7,-6,-12,-18,56,46,36,1040,1037,1033,16,16,16,34,18,39,0.00,6,,233
2015-1-12,4,3,1,2,-1,-7,92,72,52,1033,1025,1020,16,10,2,26,10,32,17.78,8,Rain,251
2015-1-13,3,-2,-7,-1,-11,-16,76,57,38,1037,1033,1024,16,16,16,39,24,47,0.00,5,,360
