PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,13,6,-1,-3,-6,-8,59,42,24,1022,1020,1018,16,16,16,14,5,23,0.00,0,,30
2015-1-2,14,7,-1,4,-2,-6,82,58,33,1022,1020,1018,16,15,11,14,5,19,0.00,0,,263
2015-1-3,16,8,1,3,1,-3,79,54,28,1026,1024,1021,16,13,8,10,2,14,0.00,0,,29
2015-1-4,21,12,2,2,0,-2,76,49,22,1028,1026,1024,16,15,10,13,3,14,0.00,2,,46
2015-1-5,27,16,5,1,-2,-7,67,41,14,1025,1023,1021,16,16,16,19,6,23,0.00,2,,316
2015-1-6,29,19,8,0,-2,-4,50,31,11,1023,1021,1018,16,16,16,13,4,16,0.00,0,,358
2015-1-7,27,18,9,5,2,-1,55,37,18,1021,1019,1017,16,16,16,14,4,19,0.00,4,,335
2015-1-8,23,16,9,7,4,2,66,46,25,1019,1016,1015,16,16,16,24,5,31,0.00,5,,280
2015-1-9,18,14,9,10,8,5,83,64,44,1017,1016,1015,16,11,8,14,2,18,T,6,Rain,192
2015-1-10,17,13,8,12,8,4,93,73,52,1017,1015,1014,14,10,5,13,3,16,1.27,6,Rain,263
2015-1-11,14,12,10,13,12,9,100,93,86,1020,1017,1015,8,4,1,14,3,39,13.21,7,Rain,191
2015-1-12,18,13,8,12,11,8,100,82,63,1022,1020,1019,14,5,0,14,4,19,0.00,5,Fog,251
2015-1-13,21,16,11,12,6,-4,100,62,23,1020,1019,1015,16,8,0,40,17,60,0.00,4,Fog,18
2015-1-14,21,14,8,6,3,-1,71,47,23,1023,1021,1019,16,16,14,24,9,39,0.00,1,,300
2015-1-15,23,14,6,2,0,-5,66,41,15,1025,1023,1021,16,16,16,13,3,14,0.00,1,,356
2015-1-16,24,16,6,4,1,-3,65,41,16,1022,1021,1019,16,16,16,13,5,16,0.00,2,,66
2015-1-17,26,16,6,5,2,-1,70,44,18,1024,1021,1019,16,16,16,11,4,14,0.00,1,,322
2015-1-18,23,16,9,7,4,1,68,47,25,1024,1022,1021,16,16,13,14,5,16,0.00,5,,250
2015-1-19,23,16,8,9,6,3,74,52,29,1021,1019,1016,16,13,8,14,3,19,0.00,3,,241
2015-1-20,19,14,9,11,9,6,83,70,57,1017,1014,1012,8,5,2,19,3,23,0.00,6,,254
2015-1-21,24,17,10,11,3,-12,96,59,22,1019,1016,1013,16,8,2,39,9,53,0.00,3,,306
2015-1-22,23,15,6,-2,-7,-13,33,22,11,1025,1022,1019,16,16,16,34,10,43,0.00,5,,333
2015-1-23,25,14,4,-1,-8,-16,50,29,7,1024,1022,1020,16,16,16,32,7,43,0.00,1,,40
2015-1-24,25,22,18,-6,-8,-11,18,15,11,1019,1017,1015,16,16,11,72,39,105,0.00,0,,51
2015-1-25,27,21,14,0,-4,-11,21,15,9,1017,1015,1013,16,16,11,40,19,58,0.00,3,,354
2015-1-26,26,20,14,13,7,0,40,31,21,1019,1017,1014,16,14,5,26,8,35,3.05,7,Rain,118
2015-1-27,22,17,12,12,10,7,93,69,44,1023,1021,1019,16,14,6,14,3,19,T,4,Fog,220
2015-1-28,24,17,11,9,7,4,83,56,29,1022,1019,1017,16,16,13,16,2,19,0.00,7,,342
2015-1-29,24,18,12,8,6,1,67,44,21,1019,1016,1014,16,16,16,23,5,29,0.00,8,Rain,298
2015-1-30,19,17,14,11,9,8,77,63,48,1014,1012,1010,16,16,16,16,6,21,T,7,Rain,266
2015-1-31,21,16,11,11,9,3,96,65,34,1015,1012,1010,16,14,11,40,7,55,0.00,4,,354
2015-2-1,24,16,7,8,6,3,77,51,25,1019,1018,1016,16,16,16,19,7,23,0.00,2,,349
2015-2-2,26,18,9,10,5,-1,63,40,17,1019,1017,1015,16,15,13,16,4,19,0.00,4,,232
2015-2-3,25,16,7,10,7,3,72,49,25,1019,1017,1015,16,13,8,19,4,21,0.00,3,,271
2015-2-4,26,17,8,11,8,4,83,54,25,1020,1018,1016,10,8,6,14,3,18,0.00,1,,172
2015-2-5,29,19,9,13,7,-2,77,46,14,1019,1017,1014,16,10,5,14,3,18,0.00,3,,255
2015-2-6,27,19,11,11,6,2,96,59,21,1020,1019,1017,16,10,3,24,6,32,0.00,2,,249
2015-2-7,23,16,8,14,9,4,77,56,35,1022,1020,1019,16,13,8,26,5,32,T,5,Rain,355
2015-2-8,26,20,14,14,13,11,93,67,40,1021,1020,1017,16,13,6,23,4,27,0.00,2,,258
2015-2-9,24,18,13,14,10,6,93,65,36,1021,1019,1016,16,16,14,21,4,27,0.00,1,Fog,235
2015-2-10,27,18,9,9,5,0,80,49,18,1016,1014,1012,16,16,16,13,3,18,0.00,0,,333
2015-2-11,29,19,9,4,-6,-11,59,34,8,1017,1016,1014,16,16,16,37,13,53,0.00,2,,56
2015-2-12,30,21,11,1,-5,-8,32,21,9,1021,1017,1015,16,16,16,35,16,50,0.00,1,,59
2015-2-13,30,20,9,2,-3,-8,44,26,8,1018,1017,1014,16,16,16,16,4,21,0.00,1,,298
2015-2-14,29,19,9,2,-1,-4,50,31,11,1019,1016,1014,16,16,16,21,4,26,0.00,1,,232
2015-2-15,27,18,9,7,3,0,59,39,19,1017,1014,1011,16,16,16,19,6,29,0.00,0,,252
2015-2-16,26,18,11,12,7,4,71,49,27,1017,1015,1013,16,14,4,24,6,32,0.00,2,,254
2015-2-17,24,19,13,12,11,9,93,66,38,1020,1018,1016,16,7,3,19,6,23,0.00,3,,234
2015-2-18,26,18,11,12,10,6,100,65,29,1022,1020,1016,14,6,0,23,6,29,0.00,4,Fog,245
2015-2-19,25,18,10,12,10,4,100,63,26,1020,1018,1015,13,5,0,23,5,27,0.00,4,Fog,247
2015-2-20,22,17,11,11,10,7,100,70,40,1016,1015,1012,16,6,0,14,4,19,0.00,6,Fog,258
2015-2-21,20,16,11,11,9,7,89,66,42,1016,1013,1010,16,11,6,27,7,34,0.00,7,,256
2015-2-22,16,14,12,11,9,8,77,69,60,1013,1011,1010,16,11,3,29,11,40,0.76,7,Rain,250
2015-2-23,16,13,9,9,7,6,93,73,53,1021,1016,1010,16,15,6,32,9,35,15.49,5,Rain,70
2015-2-24,21,13,5,6,2,-4,96,58,19,1024,1022,1020,16,16,16,26,6,29,0.00,1,Fog,282
2015-2-25,22,14,7,7,2,-2,65,44,22,1023,1019,1016,16,16,16,19,5,23,0.00,1,,249
2015-2-26,21,14,7,8,7,3,80,56,32,1016,1012,1009,16,16,16,24,3,34,0.00,3,,257
2015-2-27,16,13,9,11,9,7,100,78,55,1011,1009,1007,16,13,4,19,6,26,0.00,7,Rain,258
2015-2-28,16,13,10,9,7,4,83,65,47,1013,1010,1007,16,15,4,27,14,37,T,7,Rain,237
2015-3-1,14,12,9,8,7,5,93,77,61,1014,1013,1012,16,16,13,21,9,27,0.76,6,Rain,103
2015-3-2,14,11,8,7,6,3,86,71,55,1015,1013,1012,16,15,6,34,5,39,4.06,6,Rain-Thunderstorm,218
2015-3-3,18,12,6,6,4,2,82,59,36,1015,1013,1011,16,16,16,19,3,24,0.00,2,,193
2015-3-4,22,14,7,6,1,-3,83,53,22,1021,1017,1015,16,16,16,29,6,42,0.00,2,,269
2015-3-5,24,15,6,3,-2,-6,61,38,14,1025,1022,1021,16,16,16,13,5,19,0.00,2,,325
2015-3-6,28,17,6,-2,-8,-13,49,28,6,1021,1018,1015,16,16,16,40,13,56,0.00,0,,17
2015-3-7,29,19,10,1,-4,-8,38,23,8,1016,1015,1012,16,16,16,16,7,24,0.00,0,,289
2015-3-8,26,18,9,11,3,-3,50,33,16,1016,1015,1013,16,16,10,26,7,34,0.00,1,,264
2015-3-9,26,17,9,12,9,7,100,66,31,1016,1013,1010,16,11,2,24,8,31,0.00,1,Fog,245
2015-3-10,29,18,8,11,4,-4,89,51,12,1015,1014,1012,16,15,10,24,7,32,0.00,4,Fog,239
2015-3-11,24,20,16,9,6,1,55,39,23,1019,1017,1015,16,15,11,26,7,31,0.00,7,,230
2015-3-12,29,21,11,8,3,-1,66,41,16,1018,1016,1014,16,16,16,47,15,63,0.00,2,,62
2015-3-13,32,27,22,1,-2,-4,25,18,11,1018,1015,1014,16,16,16,39,22,55,0.00,1,,56
2015-3-14,33,23,13,3,1,-3,43,27,10,1019,1016,1014,16,16,16,24,6,34,0.00,4,,84
2015-3-15,33,24,16,6,2,-3,48,29,10,1018,1015,1012,16,16,16,24,6,34,0.00,5,,45
2015-3-16,32,24,16,4,1,-4,40,25,10,1015,1013,1010,16,16,16,27,7,34,0.00,5,,110
2015-3-17,29,22,14,12,4,-1,72,45,17,1014,1013,1011,16,16,16,26,8,34,0.00,6,,248
2015-3-18,24,19,14,13,11,7,87,63,38,1015,1014,1012,16,16,14,26,9,37,0.00,6,,242
2015-3-19,27,21,14,12,12,9,86,61,35,1016,1015,1012,16,13,6,34,10,43,0.00,5,,239
2015-3-20,29,21,12,12,10,2,93,57,20,1019,1017,1015,16,14,8,27,6,39,0.00,2,Fog,223
2015-3-21,26,19,12,12,11,7,100,65,30,1020,1019,1017,16,10,2,24,8,35,0.00,2,,245
2015-3-22,23,18,13,12,11,9,93,69,44,1022,1021,1019,16,12,8,24,7,31,0.00,7,,235
