EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,0,-4,-8,-13,-14,-14,61,49,36,1018,1014,1011,16,16,16,32,13,43,0.00,3,,225
2015-1-2,3,-1,-6,-6,-12,-17,56,46,35,1031,1019,1012,16,16,16,47,18,61,0.00,2,,266
2015-1-3,1,-4,-10,0,-12,-19,92,66,39,1039,1036,1028,16,11,0,27,11,37,10.41,6,Fog-Snow,40
2015-1-4,2,-2,-5,1,-3,-6,100,92,84,1026,1013,999,11,4,0,24,11,31,11.94,8,Fog-Rain-Snow,330
2015-1-5,5,-4,-13,2,-13,-24,92,62,31,1023,1011,999,16,16,16,63,33,82,T,1,,277
2015-1-6,-8,-12,-16,-14,-18,-23,80,59,38,1026,1022,1015,16,16,16,24,6,31,0.00,5,,256
2015-1-7,-4,-11,-17,-11,-17,-26,88,64,40,1017,1010,1006,16,15,2,42,15,52,T,4,Snow,285
2015-1-8,-8,-16,-23,-18,-24,-30,53,46,39,1025,1023,1018,16,16,16,26,11,40,T,1,,259
2015-1-9,-2,-5,-8,-7,-13,-17,84,63,42,1020,1014,1010,16,13,2,37,17,53,1.27,5,Snow,225
2015-1-10,-4,-8,-12,-16,-18,-19,63,48,32,1031,1025,1019,16,16,16,35,13,45,0.00,0,,253
2015-1-11,-3,-8,-14,-13,-17,-20,63,52,40,1037,1034,1032,16,16,16,19,10,24,0.00,5,,238
2015-1-12,1,-2,-4,-2,-5,-13,92,69,46,1031,1024,1020,16,6,1,16,4,24,5.33,8,Snow,272
2015-1-13,-1,-9,-18,-6,-18,-22,85,59,33,1039,1034,1022,16,16,14,40,15,55,0.00,0,,346
2015-1-14,-4,-13,-21,-8,-15,-23,87,70,53,1037,1031,1023,16,15,11,13,7,14,0.00,5,,324
2015-1-15,-2,-4,-7,-4,-6,-9,85,77,68,1022,1016,1007,16,7,1,19,11,24,0.76,8,Snow,347
2015-1-16,3,-6,-14,-6,-12,-22,100,70,39,1017,1007,1001,16,13,2,56,20,69,T,3,,254
2015-1-17,-7,-13,-19,-18,-23,-25,59,42,25,1028,1025,1018,16,16,14,24,7,29,T,1,,269
2015-1-18,9,1,-9,7,-2,-15,96,71,46,1024,1016,1001,16,11,2,45,11,64,6.35,7,Rain,218
2015-1-19,9,6,2,7,2,-4,96,75,53,1003,1000,998,16,14,6,40,19,56,2.79,5,Rain,243
2015-1-20,2,-2,-6,-5,-12,-17,64,45,25,1014,1007,1003,16,16,16,34,18,45,0.00,0,,269
2015-1-21,-1,-6,-11,-9,-12,-16,76,58,39,1024,1021,1015,16,16,16,14,4,18,0.00,1,,333
2015-1-22,3,-1,-6,-8,-11,-13,81,60,39,1024,1023,1022,16,16,16,16,6,21,0.00,3,,359
2015-1-23,2,-3,-8,-9,-11,-14,77,59,41,1024,1019,1012,16,16,16,21,11,29,0.00,3,,246
2015-1-24,0,-2,-4,-2,-5,-9,92,75,58,1011,999,987,16,8,0,29,12,39,4.06,7,Snow,289
2015-1-25,3,-4,-12,-3,-11,-21,78,56,34,1017,1002,989,16,16,16,37,20,47,T,2,,291
2015-1-26,-7,-11,-16,-17,-19,-21,69,54,39,1023,1021,1016,16,16,16,34,13,43,0.00,5,,19
2015-1-27,-8,-10,-12,-11,-14,-19,84,65,46,1015,1005,999,16,2,0,56,40,77,60.20,8,Fog-Snow,7
2015-1-28,-3,-8,-14,-12,-14,-18,80,62,43,1023,1011,1003,16,11,1,50,19,64,2.54,6,Snow,329
2015-1-29,-1,-10,-19,-9,-15,-21,87,60,32,1027,1024,1018,16,16,16,16,4,18,0.00,2,,276
2015-1-30,0,-3,-6,-2,-5,-11,92,83,74,1017,1010,1005,16,5,0,40,12,60,9.65,8,Fog-Snow,337
2015-1-31,-6,-9,-14,-11,-17,-23,80,57,33,1014,1008,1005,16,10,1,52,30,69,1.27,6,Snow,322
2015-2-1,-3,-11,-18,-16,-21,-24,72,52,31,1022,1019,1014,16,16,16,23,10,29,0.00,0,,307
2015-2-2,-11,-13,-16,-15,-18,-25,86,64,41,1021,1009,1001,16,5,0,42,24,56,22.61,7,Snow,360
2015-2-3,-7,-12,-18,-17,-19,-21,79,59,39,1025,1018,1007,16,16,16,32,11,47,0.00,2,,280
2015-2-4,2,-8,-19,-1,-11,-21,85,66,46,1025,1020,1013,16,13,1,29,7,43,1.52,7,Snow,223
2015-2-5,1,-7,-16,0,-8,-23,96,68,39,1019,1013,1010,16,7,0,42,20,56,5.33,6,Fog-Snow,286
2015-2-6,-7,-15,-23,-17,-21,-26,75,55,34,1020,1017,1015,16,16,16,23,6,31,0.00,2,,233
