EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,1,-3,-7,-4,-11,-13,91,64,36,1016,1014,1010,16,13,2,45,19,53,0.25,8,Snow,248
2015-1-2,-1,-5,-9,-3,-5,-9,100,82,63,1032,1023,1014,16,6,1,35,14,45,0.76,8,Fog-Snow,285
2015-1-3,4,-2,-9,3,-5,-9,100,87,74,1033,1025,1013,16,10,2,34,16,47,24.64,8,Rain-Snow,84
2015-1-4,13,7,1,11,4,-3,100,88,76,1011,1005,999,16,16,11,56,20,72,0.76,8,Rain-Snow,259
2015-1-5,1,-6,-12,-2,-12,-19,88,70,51,1029,1021,1010,16,13,2,60,35,76,0.25,6,Snow,274
2015-1-6,-8,-10,-12,-12,-14,-18,80,69,58,1028,1021,1012,16,12,2,35,19,45,T,8,Snow,222
2015-1-7,-9,-14,-20,-11,-17,-21,95,75,55,1027,1018,1010,16,6,0,48,25,61,0.76,8,Snow,295
2015-1-8,-8,-15,-22,-15,-19,-22,95,71,46,1027,1023,1013,16,10,2,42,19,56,T,7,Snow,171
2015-1-9,-6,-8,-11,-8,-12,-18,88,67,46,1022,1012,1008,16,10,0,52,30,64,0.25,7,Snow,232
2015-1-10,-9,-11,-14,-15,-18,-21,73,63,53,1032,1028,1022,16,16,16,39,22,48,0.00,3,,232
2015-1-11,1,-6,-12,-9,-14,-19,59,49,38,1033,1031,1026,16,16,10,23,11,27,T,8,Snow,168
2015-1-12,1,-5,-11,-1,-2,-13,100,74,47,1031,1024,1021,16,5,1,39,14,50,5.08,8,Snow,245
2015-1-13,-11,-16,-22,-14,-21,-24,87,74,60,1043,1040,1031,16,16,14,37,9,43,T,0,Snow,308
2015-1-14,-7,-15,-24,-14,-19,-25,92,74,56,1036,1029,1025,16,16,16,16,6,19,0.00,3,,71
2015-1-15,-2,-11,-21,-11,-16,-21,95,71,46,1024,1018,1008,16,15,11,19,4,24,0.00,5,,214
2015-1-16,-2,-7,-13,-3,-8,-18,100,75,50,1026,1012,1007,16,8,0,50,26,63,0.51,7,Snow,282
2015-1-17,-2,-12,-21,-9,-17,-23,79,61,42,1029,1023,1014,16,16,16,27,12,34,0.00,5,,88
2015-1-18,5,1,-3,2,-2,-8,100,82,63,1013,1008,1006,16,14,6,29,12,37,0.51,8,Rain-Snow,210
2015-1-19,1,-2,-4,0,-3,-7,100,85,69,1013,1009,1006,16,14,1,42,25,56,0.25,8,Snow,271
2015-1-20,-4,-9,-15,-7,-9,-16,100,84,68,1021,1015,1012,16,10,3,29,11,40,T,6,Snow,297
2015-1-21,-6,-12,-19,-9,-14,-20,95,76,57,1023,1021,1020,16,16,13,13,7,14,T,6,Snow,82
2015-1-22,-3,-6,-8,-7,-8,-11,91,73,55,1028,1024,1020,16,14,3,26,10,31,0.25,7,Snow,277
2015-1-23,-1,-3,-7,-7,-8,-9,81,70,58,1027,1021,1011,16,15,10,32,15,39,T,6,Snow,208
2015-1-24,0,-3,-7,-2,-5,-8,100,86,72,1009,1001,997,16,11,3,32,11,35,5.08,7,Snow,260
2015-1-25,-1,-8,-15,-2,-11,-18,100,77,54,1019,1009,998,16,15,10,47,18,64,T,6,Snow,302
2015-1-26,-8,-12,-16,-11,-14,-19,96,79,61,1019,1016,1014,16,9,2,26,13,32,1.27,7,Snow,65
2015-1-27,-10,-13,-16,-13,-17,-21,80,65,50,1018,1015,1013,16,16,14,34,16,39,T,7,Snow,313
2015-1-28,-6,-12,-18,-14,-17,-19,91,68,45,1027,1024,1018,16,16,16,26,8,31,0.00,1,,271
2015-1-29,2,-8,-18,-3,-11,-18,100,65,29,1027,1015,1009,16,12,2,50,15,60,2.29,7,Snow,136
2015-1-30,-3,-9,-15,-3,-8,-17,100,87,73,1025,1016,1009,14,4,0,37,22,47,2.79,8,Snow,300
2015-1-31,-9,-16,-22,-13,-18,-23,91,76,61,1028,1025,1021,16,14,2,23,6,29,T,7,Snow,339
2015-2-1,-4,-8,-12,-6,-12,-16,92,74,56,1024,1020,1013,16,10,1,26,11,34,1.52,7,Snow,357
2015-2-2,-10,-13,-17,-11,-15,-19,100,90,80,1019,1007,1000,14,4,1,45,20,53,8.64,8,Fog-Snow,15
2015-2-3,-6,-12,-19,-13,-16,-18,100,76,52,1023,1021,1018,16,13,3,34,12,42,T,7,Snow,213
2015-2-4,0,-5,-10,-2,-6,-13,100,79,57,1022,1015,1012,16,7,1,35,15,43,4.32,8,Snow,199
2015-2-5,-6,-10,-14,-6,-12,-19,100,77,53,1025,1020,1015,16,8,2,34,18,39,1.27,7,Snow,300
2015-2-6,-6,-10,-15,-10,-14,-20,91,77,63,1023,1019,1017,16,11,1,39,22,50,0.51,7,Snow,226
2015-2-7,-3,-4,-7,-4,-6,-10,100,89,77,1018,1016,1013,16,6,2,27,13,34,4.57,8,Snow,205
2015-2-8,-5,-8,-12,-5,-8,-12,100,92,84,1014,1011,1008,16,5,1,24,11,32,7.11,8,Fog-Snow,16
2015-2-9,-7,-9,-13,-7,-9,-13,100,100,100,1020,1016,1013,16,3,0,19,6,23,10.92,8,Fog-Snow,358
2015-2-10,-8,-11,-15,-9,-11,-15,100,96,92,1025,1023,1020,16,15,8,19,10,21,T,7,Snow,284
2015-2-11,-2,-10,-18,-6,-11,-18,100,79,58,1023,1015,1008,16,10,1,19,5,21,1.27,6,Fog-Snow,86
2015-2-12,-4,-11,-18,-4,-10,-19,100,80,60,1019,1011,1007,16,5,0,52,23,63,2.03,8,Fog-Snow,282
2015-2-13,-13,-19,-25,-18,-21,-25,100,80,60,1025,1022,1017,16,12,3,29,11,39,T,6,Snow,287
2015-2-14,-6,-11,-17,-7,-11,-20,100,86,72,1015,1004,998,14,5,0,37,16,48,17.78,8,Fog-Snow,135
2015-2-15,-13,-17,-21,-13,-19,-23,100,86,71,1026,1018,1005,14,3,0,42,27,53,0.51,7,Snow,308
2015-2-16,-14,-21,-27,-21,-23,-27,100,78,55,1027,1025,1019,16,15,10,24,10,31,T,5,Snow,290
2015-2-17,-8,-16,-24,-15,-21,-25,95,76,57,1018,1014,1012,16,16,16,11,5,14,T,6,,87
2015-2-18,-4,-13,-22,-8,-14,-22,100,76,52,1013,1008,1005,16,9,0,45,9,52,1.52,7,Fog-Snow,49
2015-2-19,-12,-16,-19,-12,-16,-20,100,90,80,1017,1011,1006,16,3,0,45,30,61,5.08,7,Fog-Snow,272
2015-2-20,-15,-20,-26,-18,-21,-26,100,81,62,1029,1023,1016,16,6,1,42,22,52,2.03,5,Fog-Snow,247
2015-2-21,-7,-17,-27,-7,-13,-26,100,73,46,1028,1020,1016,16,8,1,34,10,45,2.54,8,Snow,138
2015-2-22,-4,-7,-11,-7,-8,-13,100,87,74,1027,1023,1019,16,10,1,39,11,53,2.54,8,Fog-Snow,257
2015-2-23,-11,-14,-19,-13,-18,-24,100,80,59,1032,1029,1027,16,5,0,34,23,48,3.81,7,Fog-Snow,288
2015-2-24,-7,-17,-28,-16,-21,-26,68,51,34,1029,1016,1005,16,15,11,39,16,55,0.00,6,,183
2015-2-25,-7,-11,-14,-9,-13,-17,67,56,45,1019,1010,1004,16,11,1,40,19,53,0.25,6,Snow,278
2015-2-26,-9,-13,-17,-14,-18,-20,91,67,42,1024,1020,1017,16,16,10,31,9,,T,8,Snow,322
2015-2-27,-10,-14,-19,-14,-17,-19,78,60,49,1038,1031,1024,16,15,5,26,14,42,T,6,Snow,280
2015-2-28,-7,-13,-20,-16,-18,-20,99,65,53,1044,1041,1038,16,16,8,34,10,27,T,2,Snow,249
2015-3-1,-5,-13,-22,-6,-11,-22,100,92,84,1039,1028,1019,16,7,1,23,8,27,2.54,8,Fog-Snow,124
2015-3-2,-4,-8,-12,-7,-8,-14,100,84,67,1029,1022,1018,16,7,1,53,26,69,1.78,7,Snow,278
2015-3-3,1,-9,-18,-2,-9,-18,100,84,68,1029,1016,1003,16,10,0,34,14,47,6.60,7,Fog-Rain-Snow,142
2015-3-4,0,-3,-6,0,-3,-6,100,88,75,1016,1010,1004,16,13,2,37,18,43,0.25,8,Snow,275
2015-3-5,-6,-11,-15,-6,-13,-18,100,81,61,1032,1023,1016,16,13,3,34,19,45,T,8,Snow,295
2015-3-6,-6,-13,-21,-15,-17,-19,100,70,39,1035,1031,1024,16,14,3,23,10,29,T,5,Snow,241
2015-3-7,-1,-7,-14,-3,-8,-18,100,73,45,1024,1018,1016,16,10,1,29,13,37,0.76,8,Snow,218
2015-3-8,2,-2,-6,-2,-5,-9,100,76,51,1020,1017,1015,16,8,1,40,13,52,0.25,7,Fog-Snow,254
2015-3-9,6,-1,-7,-3,-6,-9,77,61,45,1024,1021,1017,16,16,14,37,12,43,T,5,,252
2015-3-10,10,2,-6,3,-3,-8,84,65,46,1024,1020,1013,16,16,16,19,9,24,0.00,6,,132
2015-3-11,7,5,3,3,1,-3,92,71,49,1022,1016,1012,16,15,10,40,22,53,0.00,5,,261
2015-3-12,4,-1,-6,-3,-11,-16,70,51,31,1038,1033,1022,16,16,16,42,17,56,0.00,1,,312
2015-3-13,8,1,-7,-7,-11,-14,68,45,22,1037,1030,1022,16,16,16,23,12,27,0.00,6,,121
2015-3-14,7,4,2,4,1,-7,100,72,44,1021,1011,1006,16,12,1,42,12,53,1.78,8,Rain-Snow,148
2015-3-15,3,1,-2,1,-2,-4,96,83,69,1020,1012,1007,16,10,0,42,20,55,3.05,8,Fog-Rain-Snow,285
2015-3-16,11,3,-4,0,-2,-4,100,73,46,1019,1013,1007,16,15,10,14,4,18,T,7,Rain,179
2015-3-17,4,1,-2,3,-1,-13,100,68,35,1016,1007,1002,16,9,1,50,26,69,3.30,8,Fog-Rain-Snow,294
2015-3-18,-2,-4,-6,-6,-9,-14,88,65,42,1022,1019,1015,16,11,1,35,16,47,1.27,7,Snow,315
2015-3-19,0,-5,-11,-12,-16,-19,80,53,25,1029,1027,1022,16,16,16,24,9,31,0.00,3,,315
2015-3-20,2,-2,-7,-2,-6,-14,92,67,42,1027,1022,1018,16,9,0,19,11,27,2.54,8,Fog-Snow,106
2015-3-21,5,0,-5,2,-3,-7,92,73,54,1018,1014,1009,16,11,1,42,18,56,2.54,8,Rain-Snow,150
2015-3-22,-2,-6,-9,-6,-11,-17,92,70,47,1024,1020,1017,16,12,1,39,21,48,0.51,7,Fog-Snow,317
2015-3-23,-6,-9,-12,-14,-16,-19,73,57,41,1028,1027,1023,16,16,16,27,13,34,0.00,2,,318
2015-3-24,1,-6,-13,-9,-13,-16,80,59,38,1030,1028,1020,16,16,16,8,2,,0.00,2,,10
2015-3-25,9,1,-8,1,-5,-11,79,58,36,1029,1021,1015,16,16,10,45,19,60,2.03,6,Rain,149
2015-3-26,6,3,1,2,1,0,100,85,70,1014,1010,1007,16,8,3,24,7,32,9.14,8,Rain-Snow,258
2015-3-27,4,-1,-6,1,-2,-8,100,82,64,1014,1010,1008,16,12,2,32,17,40,T,8,Snow,283
2015-3-28,-3,-6,-8,-8,-13,-16,68,54,40,1023,1018,1014,16,16,14,35,18,45,T,6,Snow,314
2015-3-29,4,-2,-8,-8,-11,-14,80,53,25,1027,1022,1012,16,16,16,34,14,47,0.00,3,,220
