EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-1,-3,-6,-11,-13,-14,57,48,39,1014,1011,1009,16,16,16,37,22,50,0.00,7,,194
2015-1-2,0,-4,-9,-7,-12,-19,63,53,42,1033,1020,1010,16,16,8,34,19,48,T,7,Snow,315
2015-1-3,-3,-8,-13,-6,-12,-20,84,63,41,1037,1029,1019,16,9,1,24,10,31,6.86,6,Fog-Snow,135
2015-1-4,8,3,-3,4,0,-6,92,75,57,1019,1007,999,16,15,8,47,23,64,1.27,8,Rain-Snow,180
2015-1-5,5,-4,-13,-6,-17,-25,53,44,34,1028,1017,1004,16,16,16,48,29,72,0.00,6,,296
2015-1-6,-9,-11,-14,-13,-16,-22,73,60,46,1027,1021,1012,16,12,1,29,16,39,0.25,7,Snow,183
2015-1-7,-7,-14,-22,-14,-21,-28,67,58,49,1025,1015,1007,16,15,6,42,24,53,T,7,Snow,287
2015-1-8,-8,-16,-24,-17,-24,-29,69,59,49,1026,1022,1013,16,14,3,37,21,53,T,6,Snow,185
2015-1-9,-4,-7,-9,-10,-14,-19,74,57,39,1018,1011,1007,16,12,0,45,24,61,0.25,7,Snow,222
2015-1-10,-7,-8,-10,-14,-17,-19,67,53,39,1029,1025,1019,16,15,4,35,19,48,T,7,Snow,220
2015-1-11,-3,-7,-11,-14,-17,-19,58,47,35,1034,1031,1028,16,16,16,34,22,48,0.00,7,,187
2015-1-12,-1,-5,-9,-2,-6,-13,85,64,42,1030,1023,1020,16,7,1,47,20,56,2.03,8,Snow,226
2015-1-13,-9,-15,-21,-14,-23,-26,80,60,39,1044,1039,1029,16,15,2,37,11,48,T,2,Snow,7
2015-1-14,-6,-14,-22,-14,-20,-26,83,65,46,1038,1031,1025,16,16,16,32,7,42,0.00,1,,134
2015-1-15,-4,-12,-20,-12,-17,-22,87,71,54,1024,1019,1007,16,12,2,34,10,47,0.00,5,Fog,142
2015-1-16,-3,-9,-15,-7,-14,-22,81,64,47,1024,1009,1003,16,11,1,42,25,50,0.51,7,Snow,262
2015-1-17,-6,-14,-22,-18,-23,-27,62,50,37,1031,1026,1015,16,16,16,45,17,60,0.00,3,,134
2015-1-18,4,-1,-6,1,-3,-17,92,66,39,1016,1009,1004,16,12,1,50,20,69,12.95,6,Rain-Snow,177
2015-1-19,3,-2,-6,-1,-3,-11,89,76,63,1009,1004,1003,16,12,1,39,13,50,2.54,8,Snow,266
2015-1-20,-4,-9,-14,-13,-15,-18,73,60,46,1020,1013,1010,16,16,16,37,16,50,0.00,1,,347
2015-1-21,-4,-11,-18,-14,-16,-20,87,65,42,1024,1023,1020,16,16,16,14,4,19,0.00,1,,50
2015-1-22,-5,-10,-16,-10,-14,-18,88,75,62,1027,1024,1022,16,14,1,16,4,19,0.00,4,Fog-Snow,4
2015-1-23,-1,-7,-13,-8,-11,-16,83,70,57,1025,1019,1011,16,16,13,39,15,56,T,5,Snow,181
2015-1-24,3,0,-3,-4,-6,-9,85,71,56,1010,999,992,16,14,3,23,11,29,0.25,5,Snow,229
2015-1-25,1,-8,-17,-3,-14,-21,78,65,51,1020,1007,992,16,15,6,40,17,52,T,5,Snow,350
