EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,23,19,16,18,17,15,100,91,73,1024,1022,1020,16,12,2,16,10,24,0.00,6,,41
2015-1-2,26,22,18,21,19,18,100,92,67,1024,1022,1021,16,11,1,21,12,26,0.00,6,,81
2015-1-3,28,24,21,21,21,19,100,86,63,1023,1022,1021,16,16,16,39,20,47,0.00,3,,141
2015-1-4,27,23,19,21,21,19,100,89,69,1025,1023,1021,16,16,10,39,17,52,0.00,2,,164
2015-1-5,24,20,16,21,18,11,100,85,64,1028,1026,1023,16,15,3,23,14,35,0.00,5,,13
2015-1-6,24,19,13,18,14,10,93,79,68,1027,1025,1023,16,16,16,27,12,31,0.00,3,,6
2015-1-7,20,15,10,12,8,2,100,67,34,1024,1023,1021,16,16,16,27,12,42,0.00,0,,2
2015-1-8,17,11,4,7,2,-5,71,56,44,1029,1026,1024,16,16,16,35,20,48,0.00,2,,45
2015-1-9,16,13,9,9,8,6,93,76,60,1026,1025,1023,16,16,16,24,12,31,T,3,,10
2015-1-10,19,13,7,11,4,0,83,59,30,1029,1027,1025,16,16,16,24,13,32,0.00,0,,46
2015-1-11,28,20,12,19,15,11,93,77,54,1027,1025,1022,16,16,16,29,15,35,T,2,Rain,79
2015-1-12,25,22,18,22,19,17,100,95,82,1023,1021,1017,16,15,2,32,14,39,3.81,6,Rain,90
2015-1-13,26,22,17,19,18,17,100,84,62,1020,1019,1018,16,16,16,19,10,27,0.51,4,Rain,50
2015-1-14,20,18,15,18,16,14,100,88,78,1021,1019,1018,16,16,13,21,12,27,0.00,5,,24
2015-1-15,17,15,13,14,13,11,100,93,84,1021,1020,1018,16,13,3,24,11,29,T,7,,37
2015-1-16,20,16,11,12,11,8,96,82,48,1021,1019,1017,16,16,16,23,12,31,T,5,Rain,22
2015-1-17,24,16,8,14,11,7,100,78,44,1023,1021,1018,16,15,3,24,9,35,0.00,0,,51
2015-1-18,22,17,11,16,13,11,100,80,49,1022,1020,1019,16,16,6,24,12,32,0.00,1,,311
2015-1-19,22,16,8,11,6,1,100,66,26,1023,1021,1019,16,15,2,23,9,27,0.00,0,,42
2015-1-20,22,16,10,15,12,7,100,82,61,1019,1017,1015,16,16,16,27,7,34,0.00,3,,115
2015-1-21,24,18,11,16,14,12,100,83,61,1019,1017,1016,16,16,13,23,8,27,0.00,0,,26
2015-1-22,27,21,14,18,16,14,100,78,58,1022,1020,1019,16,16,16,24,12,34,0.00,3,,119
2015-1-23,26,22,18,20,18,17,93,80,62,1018,1015,1012,16,16,16,53,28,66,1.02,3,Rain,156
2015-1-24,22,17,12,21,16,7,100,86,55,1017,1013,1010,16,13,2,45,27,55,19.81,7,Rain-Thunderstorm,264
2015-1-25,18,13,7,12,8,6,93,74,51,1020,1017,1014,16,16,16,21,9,26,0.00,0,,238
2015-1-26,20,17,14,16,11,8,90,67,49,1015,1013,1010,16,16,14,58,27,80,2.03,4,Rain,304
2015-1-27,19,13,7,13,9,6,86,67,48,1018,1016,1015,16,16,16,29,15,40,0.00,0,,307
2015-1-28,17,13,8,10,3,0,80,58,35,1025,1022,1018,16,16,16,24,11,34,0.00,0,,18
2015-1-29,22,14,6,11,7,3,93,68,36,1026,1024,1023,16,16,16,23,11,31,0.00,0,,32
2015-1-30,19,13,7,15,12,7,100,84,73,1024,1022,1021,16,16,13,16,6,26,0.00,1,,282
2015-1-31,23,16,8,9,7,2,83,58,35,1025,1023,1022,16,16,16,26,16,34,0.00,0,,74
2015-2-1,24,17,10,16,11,9,89,67,41,1023,1020,1017,16,16,16,35,19,47,0.00,0,,140
2015-2-2,22,17,12,19,14,6,100,82,39,1020,1016,1014,16,15,2,35,16,47,5.08,4,Rain,265
2015-2-3,21,14,7,11,5,1,77,59,39,1025,1022,1020,16,16,16,26,15,35,0.00,0,,49
2015-2-4,24,18,12,14,12,10,93,71,53,1022,1019,1014,16,16,16,32,16,37,T,4,,94
2015-2-5,21,17,13,19,16,10,100,90,73,1020,1013,1011,16,13,3,40,16,50,33.02,7,Rain-Thunderstorm,193
2015-2-6,21,15,9,9,7,6,83,65,45,1025,1023,1020,16,16,16,29,15,37,0.00,0,,40
2015-2-7,23,16,9,10,8,6,93,67,35,1024,1023,1021,16,16,16,23,12,27,0.00,1,,56
2015-2-8,23,16,9,14,11,8,93,76,46,1022,1019,1016,16,16,16,24,9,31,0.00,0,,138
2015-2-9,19,16,13,18,16,12,100,95,73,1016,1009,1006,16,10,1,35,9,47,37.08,7,Fog-Rain-Thunderstorm,34
2015-2-10,18,15,12,15,12,9,100,86,63,1013,1009,1007,16,12,0,37,19,47,0.00,4,Fog,315
2015-2-11,19,14,8,11,8,6,96,77,42,1018,1016,1013,16,15,11,29,9,37,0.00,0,,358
2015-2-12,18,12,6,14,9,6,100,88,63,1021,1019,1017,16,11,1,16,8,31,0.00,0,Fog,287
2015-2-13,16,11,7,12,4,2,93,63,43,1023,1021,1018,16,16,16,34,14,43,0.00,0,,348
2015-2-14,16,10,4,9,4,0,93,66,36,1025,1023,1021,16,16,16,26,12,31,0.00,0,,321
2015-2-15,23,18,12,12,11,9,93,71,49,1023,1022,1021,16,16,14,29,14,35,0.00,0,,342
2015-2-16,23,17,11,13,12,9,89,72,53,1022,1019,1014,16,16,16,32,19,40,0.00,1,,150
2015-2-17,23,19,15,19,16,14,97,90,68,1014,1012,1010,16,14,5,39,21,52,18.03,4,Rain,232
2015-2-18,16,13,11,15,7,1,93,72,40,1022,1017,1013,16,16,13,40,22,50,3.30,4,Rain,332
2015-2-19,12,9,5,0,-1,-4,62,48,35,1028,1025,1022,16,16,16,40,22,58,0.00,0,,342
2015-2-20,16,8,1,2,-6,-11,76,42,15,1029,1028,1026,16,16,16,26,14,35,0.00,0,,63
2015-2-21,24,15,6,11,7,3,89,64,38,1028,1024,1022,16,16,16,34,15,42,0.00,1,,107
2015-2-22,26,19,13,18,16,12,93,83,60,1023,1021,1020,16,16,14,27,12,35,0.00,1,,154
2015-2-23,24,20,16,20,18,16,100,95,79,1023,1021,1019,16,9,0,16,7,23,0.00,6,Fog,274
2015-2-24,19,18,17,18,18,17,100,97,87,1020,1017,1014,16,6,0,21,9,24,0.00,8,Fog,238
2015-2-25,23,21,18,20,18,17,100,93,73,1014,1011,1008,16,10,1,37,19,50,0.00,7,Fog,182
2015-2-26,21,17,13,20,16,9,100,88,68,1018,1010,1006,16,12,1,42,18,56,0.25,8,Rain,293
2015-2-27,17,15,13,11,10,9,86,77,64,1023,1021,1017,16,16,16,29,17,39,0.00,8,,46
2015-2-28,22,18,13,18,15,11,100,89,76,1027,1024,1022,16,16,14,32,19,40,T,8,Rain,61
2015-3-1,28,24,19,20,19,18,100,84,55,1027,1026,1024,16,16,16,26,13,42,0.00,5,,69
2015-3-2,27,23,19,21,19,18,100,84,62,1026,1024,1022,16,16,6,23,11,31,0.00,4,,61
2015-3-3,28,23,17,19,18,17,100,88,54,1023,1021,1019,16,14,0,26,11,34,0.00,3,Fog,76
2015-3-4,27,22,17,20,18,16,100,82,58,1021,1019,1018,16,16,16,37,15,43,0.00,0,,156
2015-3-5,27,22,16,22,20,17,100,92,69,1021,1019,1016,16,13,3,32,14,40,0.00,2,,174
