EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,1,-3,-7,-9,-12,-14,68,50,35,1020,1016,1013,32,23,16,26,18,40,0.00,1,,250
2015-1-2,3,0,-4,-5,-7,-8,86,61,52,1031,1022,1015,32,23,16,23,18,37,0.00,5,,275
2015-1-3,2,-2,-5,1,-4,-8,100,87,64,1035,1030,1019,32,12,1,23,8,37,0.00,6,Rain-Snow,97
2015-1-4,9,4,0,9,4,0,100,98,71,1018,1008,1004,16,6,0,29,6,40,0.00,8,Fog-Rain,252
2015-1-5,6,-2,-10,0,-11,-17,66,53,40,1028,1021,1009,32,24,16,47,31,64,0.00,3,,298
2015-1-6,-8,-10,-11,-10,-12,-16,93,81,62,1028,1022,1015,32,13,3,19,8,19,0.00,6,Snow,246
2015-1-7,-6,-11,-15,-12,-17,-22,92,62,38,1023,1016,1011,32,23,16,47,21,69,0.00,3,,294
2015-1-8,0,-12,-16,-16,-18,-23,72,59,27,1028,1025,1021,32,23,16,26,21,40,0.00,2,,270
2015-1-9,0,-4,-9,-8,-11,-17,93,69,27,1021,1017,1013,24,16,3,40,23,60,0.00,5,Snow,252
2015-1-10,-7,-10,-12,-15,-17,-17,67,59,49,1034,1029,1023,32,22,16,34,19,47,0.00,0,,271
2015-1-11,-1,-7,-12,-4,-12,-17,86,61,50,1037,1034,1031,32,21,16,14,2,,0.00,5,,208
2015-1-12,1,0,-1,1,-1,-8,100,93,55,1031,1024,1020,16,6,1,23,3,,0.00,8,Rain-Snow,333
2015-1-13,1,-7,-14,-3,-13,-20,86,68,52,1038,1034,1024,32,22,16,34,21,37,0.00,2,,42
2015-1-14,-6,-11,-16,-8,-14,-20,86,77,72,1036,1029,1023,32,22,16,14,8,,0.00,5,,88
2015-1-15,-1,-4,-7,-7,-8,-9,93,76,60,1022,1017,1011,32,23,16,19,5,,0.00,4,,285
2015-1-16,3,-3,-10,-5,-10,-17,80,63,46,1022,1013,1009,32,20,16,37,19,55,0.00,2,,290
2015-1-17,-4,-9,-13,-10,-14,-17,79,60,46,1029,1026,1022,32,23,16,21,11,,0.00,0,,339
2015-1-18,1,-2,-5,1,-2,-10,100,94,64,1023,1012,1005,16,8,0,26,5,,0.00,7,Rain,235
