EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,3,-3,-8,-8,-13,-16,62,46,30,1020,1017,1014,16,16,16,32,16,39,0.00,2,,237
2015-1-2,5,1,-3,-8,-8,-9,68,53,37,1031,1022,1015,16,16,16,40,14,55,0.00,4,,261
2015-1-3,2,-2,-5,1,-6,-12,92,66,39,1038,1033,1022,16,8,0,23,10,26,14.22,7,Rain-Snow,69
2015-1-4,13,7,1,11,5,0,100,89,77,1022,1011,1003,16,6,0,39,13,55,10.16,8,Fog-Rain,250
2015-1-5,10,1,-8,6,-9,-21,76,49,21,1027,1016,1004,16,16,16,50,25,66,T,3,,291
2015-1-6,-7,-9,-11,-11,-14,-19,88,66,43,1030,1023,1016,16,11,2,27,7,39,0.25,6,Snow,294
2015-1-7,-4,-9,-15,-12,-17,-27,92,62,31,1020,1013,1009,16,15,11,47,19,69,T,3,Snow,287
2015-1-8,-7,-12,-18,-12,-22,-28,61,48,35,1028,1025,1021,16,16,14,40,18,58,T,1,Snow,267
2015-1-9,2,-3,-9,-4,-10,-14,88,67,46,1022,1017,1013,16,13,1,52,16,66,2.03,5,Snow,239
2015-1-10,-4,-8,-12,-13,-16,-19,76,56,36,1034,1028,1022,16,16,16,26,12,32,0.00,1,,264
2015-1-11,1,-6,-12,-4,-13,-19,69,52,34,1039,1036,1033,16,16,16,21,10,24,0.00,5,,223
2015-1-12,4,3,1,2,-1,-6,100,76,52,1032,1024,1019,16,11,2,24,11,32,9.14,8,Rain,229
2015-1-13,2,-3,-9,-1,-12,-19,75,56,36,1038,1032,1022,16,16,16,37,21,47,T,2,,1
2015-1-14,-3,-6,-9,-7,-12,-19,81,64,46,1036,1029,1021,16,16,14,24,14,29,T,8,,347
2015-1-15,-1,-2,-4,-3,-6,-11,92,76,60,1021,1016,1011,16,11,1,23,12,29,0.25,7,Snow,306
2015-1-16,4,-2,-8,-7,-12,-21,65,49,32,1020,1011,1006,16,16,16,45,20,61,0.00,2,,272
2015-1-17,-4,-8,-12,-11,-19,-23,62,42,22,1029,1027,1021,16,16,16,23,13,26,0.00,1,,262
2015-1-18,11,2,-7,8,1,-11,93,81,68,1025,1014,1002,16,13,4,50,13,68,6.86,7,Rain,195
2015-1-19,7,3,0,3,-2,-6,92,72,51,1009,1006,1003,16,16,16,37,19,50,0.00,2,,273
2015-1-20,3,1,-3,-6,-9,-16,69,50,31,1016,1011,1009,16,16,16,27,15,35,0.00,4,,278
2015-1-21,2,-2,-7,-4,-12,-15,72,51,29,1022,1021,1016,16,16,16,21,9,27,0.00,5,,3
2015-1-22,4,1,-2,-3,-4,-7,85,69,52,1024,1022,1021,16,14,3,16,10,23,0.25,6,Snow,335
2015-1-23,3,-1,-6,-3,-8,-13,78,59,40,1026,1022,1014,16,16,16,24,12,31,0.00,2,,257
2015-1-24,2,1,0,0,-1,-3,96,83,70,1014,999,986,16,5,1,34,17,42,19.05,8,Fog-Rain-Snow,339
2015-1-25,3,-1,-6,-3,-8,-14,78,57,36,1017,1005,994,16,16,16,37,20,53,0.00,4,,279
2015-1-26,-2,-6,-9,-3,-9,-17,92,70,47,1020,1015,1005,16,7,1,53,26,66,4.57,7,Fog-Snow,19
2015-1-27,-6,-8,-10,-9,-11,-14,88,81,73,1005,1001,998,10,2,0,61,36,79,22.86,8,Fog-Snow,343
2015-1-28,-3,-7,-11,-13,-16,-17,73,60,46,1024,1015,1006,16,15,2,29,14,39,T,3,Snow,324
2015-1-29,1,-8,-16,-5,-13,-18,83,59,34,1027,1023,1017,16,16,16,14,5,19,T,5,Snow,199
2015-1-30,2,-3,-7,0,-3,-15,96,76,55,1016,1010,1006,16,9,1,45,13,60,2.29,7,Rain-Snow,315
2015-1-31,-5,-8,-11,-16,-19,-22,59,45,31,1019,1013,1008,16,16,11,37,27,69,T,4,Snow,308
2015-2-1,1,-6,-12,-9,-14,-19,73,56,39,1022,1020,1019,16,16,16,29,14,34,0.00,3,,292
2015-2-2,-1,-6,-11,-2,-10,-16,92,68,44,1019,1004,994,16,3,0,45,24,56,22.10,8,Fog-Snow,5
2015-2-3,-5,-9,-14,-14,-18,-21,73,52,31,1027,1021,1009,16,15,6,34,14,45,0.00,1,,287
