EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,24,20,16,20,17,14,100,89,78,1025,1023,1021,16,12,0,23,15,26,T,8,Fog-Rain,4
2015-1-2,26,21,16,21,18,17,100,87,74,1026,1024,1022,16,6,0,21,9,24,0.00,7,Fog,35
2015-1-3,29,24,19,22,21,19,100,78,55,1025,1023,1022,16,10,0,32,13,40,0.00,6,Fog,123
2015-1-4,29,24,19,22,20,18,100,78,55,1025,1023,1022,16,10,0,32,14,43,0.00,4,Fog,178
2015-1-5,23,18,13,19,16,9,93,73,53,1029,1027,1024,16,16,16,26,15,31,T,6,,360
2015-1-6,26,20,13,17,14,11,93,76,58,1028,1025,1023,16,16,11,24,9,29,0.00,6,,320
2015-1-7,20,15,9,13,6,3,93,64,34,1024,1023,1021,16,16,16,39,15,48,0.00,2,,319
2015-1-8,17,10,3,7,3,-4,93,70,47,1030,1027,1025,16,16,16,45,27,58,0.00,3,,9
2015-1-9,14,11,8,9,8,7,93,83,72,1027,1025,1024,16,16,11,24,12,31,0.00,6,,344
2015-1-10,21,14,7,12,8,2,86,69,52,1030,1028,1026,16,16,16,27,16,34,0.00,5,,9
2015-1-11,26,19,12,21,17,11,100,84,67,1029,1026,1024,16,12,2,26,10,32,2.03,6,Rain,60
2015-1-12,26,22,17,22,19,17,100,87,74,1024,1022,1019,16,7,1,34,11,48,75.69,6,Fog-Rain-Thunderstorm,70
2015-1-13,25,21,17,19,18,17,100,87,74,1022,1020,1019,16,10,0,24,13,29,0.00,6,Fog,7
2015-1-14,18,15,12,17,14,11,100,92,84,1022,1020,1019,16,12,0,26,19,31,0.00,8,,5
2015-1-15,17,14,12,12,12,11,100,86,72,1021,1020,1019,16,12,3,24,14,31,0.51,8,Rain,353
2015-1-16,18,14,10,12,10,8,100,78,56,1023,1020,1018,16,15,11,26,13,32,0.25,5,Rain,356
2015-1-17,23,16,9,12,10,7,93,70,46,1024,1022,1020,16,16,16,27,11,32,0.00,3,,42
2015-1-18,22,17,12,13,12,11,93,73,53,1022,1020,1018,16,16,16,34,12,42,0.00,4,,281
2015-1-19,22,14,7,11,5,-1,100,62,23,1024,1022,1020,16,16,13,23,8,32,0.00,1,Fog,42
2015-1-20,22,16,9,14,12,8,100,81,61,1020,1018,1016,16,16,16,19,3,21,0.00,5,,136
2015-1-21,26,18,11,15,13,11,100,72,43,1020,1018,1016,16,15,5,21,5,26,0.00,1,Fog,32
2015-1-22,26,19,12,16,14,12,100,78,56,1024,1021,1020,16,15,10,26,10,37,0.00,3,,64
2015-1-23,27,22,17,19,17,16,93,76,58,1020,1017,1013,16,16,16,40,19,56,0.25,6,Rain,148
2015-1-24,22,16,9,21,15,7,100,78,56,1017,1012,1009,16,14,3,45,26,60,9.14,6,Rain,254
2015-1-25,18,12,5,9,4,-1,96,64,31,1020,1017,1014,16,16,16,24,8,29,0.00,3,,262
2015-1-26,19,15,11,13,9,6,93,68,42,1014,1012,1010,16,16,10,53,23,66,1.52,4,Rain,259
2015-1-27,20,13,7,10,5,2,77,57,37,1018,1015,1013,16,16,16,42,21,55,0.00,0,,291
2015-1-28,17,12,7,6,3,0,82,58,34,1026,1022,1018,16,16,16,26,16,34,0.00,1,,348
2015-1-29,22,14,7,10,8,4,89,65,41,1027,1025,1023,16,16,16,19,9,29,0.00,1,,20
2015-1-30,23,16,8,15,11,7,96,76,56,1024,1022,1020,16,16,16,27,12,34,T,4,,301
2015-1-31,22,15,8,10,8,4,83,64,44,1026,1025,1024,16,16,16,27,14,35,0.00,6,,41
2015-2-1,24,17,9,14,11,9,96,69,41,1025,1022,1017,16,16,16,35,12,43,0.00,4,,123
2015-2-2,25,18,11,19,13,3,97,66,34,1021,1016,1014,16,15,5,47,20,56,3.30,4,Rain,240
2015-2-3,20,13,7,10,7,1,89,67,45,1026,1024,1021,16,16,16,27,18,34,0.00,4,,12
2015-2-4,24,18,12,16,13,10,93,71,49,1024,1020,1015,16,16,16,23,12,26,T,7,,74
2015-2-5,19,15,10,18,14,4,100,80,59,1021,1014,1009,16,12,3,34,17,42,38.61,7,Rain,357
2015-2-6,20,15,10,9,8,4,89,63,37,1026,1024,1021,16,16,16,35,22,47,0.00,0,,9
2015-2-7,23,16,8,10,8,5,93,64,34,1026,1024,1023,16,16,16,23,9,32,0.00,3,,49
2015-2-8,24,17,9,14,11,9,100,71,41,1023,1020,1016,16,16,16,21,6,27,0.00,2,,159
2015-2-9,23,17,12,17,14,12,100,79,57,1016,1011,1007,16,9,2,26,6,31,17.53,7,Rain,44
2015-2-10,18,16,12,16,12,9,97,80,63,1013,1008,1006,16,14,3,37,19,45,0.00,5,,305
2015-2-11,20,14,9,9,8,7,93,68,42,1019,1016,1013,16,16,16,24,12,31,0.00,1,,356
2015-2-12,22,14,7,11,8,6,100,72,44,1020,1018,1016,16,16,11,27,13,39,0.00,0,Fog,268
2015-2-13,16,12,7,10,3,1,83,60,36,1024,1021,1018,16,16,16,26,16,34,0.00,0,,341
2015-2-14,18,12,5,5,0,-6,83,55,26,1025,1022,1019,16,16,16,27,14,34,0.00,0,,299
2015-2-15,24,17,9,12,9,6,89,61,33,1024,1022,1020,16,16,16,34,15,50,0.00,1,,312
2015-2-16,25,17,9,14,11,8,89,66,43,1023,1019,1015,16,16,16,32,14,42,0.00,4,,145
2015-2-17,27,21,15,19,16,13,100,78,56,1015,1012,1008,16,13,4,42,20,55,14.22,7,Rain,240
2015-2-18,16,12,7,15,6,-6,97,62,26,1022,1017,1013,16,14,6,37,20,47,14.73,4,Rain,293
2015-2-19,11,8,4,2,-7,-12,76,50,24,1027,1025,1022,16,16,16,42,24,55,0.00,1,,316
2015-2-20,14,8,1,3,-4,-11,76,50,24,1031,1029,1027,16,16,16,24,14,29,0.00,0,,17
