EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,15,7,-1,6,2,-1,100,70,40,1029,1027,1025,16,13,4,13,3,14,0.00,3,,299
2015-1-2,17,13,9,10,7,5,80,65,49,1027,1026,1025,16,16,16,16,6,21,T,7,Rain,33
2015-1-3,21,16,10,20,15,8,100,89,77,1027,1024,1022,16,11,0,16,7,21,T,7,Fog-Rain,102
2015-1-4,23,21,17,21,19,14,100,87,73,1022,1021,1019,16,15,5,45,23,61,10.16,8,Rain,219
2015-1-5,17,11,4,10,3,1,84,64,43,1031,1028,1022,16,16,16,26,10,34,0.00,4,,315
2015-1-6,17,10,2,5,1,-3,100,63,25,1029,1025,1021,16,16,16,32,9,39,0.00,2,,271
2015-1-7,14,8,1,-1,-3,-12,76,53,30,1030,1022,1018,16,16,14,48,19,60,T,4,Snow,309
2015-1-8,2,-3,-8,-9,-17,-20,68,45,22,1037,1034,1029,16,16,16,42,17,56,0.00,1,,8
2015-1-9,13,5,-4,-1,-8,-12,64,42,19,1029,1026,1023,16,16,16,26,12,37,0.00,6,,303
2015-1-10,11,6,1,-4,-9,-13,59,39,19,1035,1032,1027,16,16,16,32,13,39,0.00,1,,37
2015-1-11,17,10,2,11,3,-7,77,65,52,1035,1032,1029,16,16,6,24,14,34,0.25,7,Rain,35
2015-1-12,17,13,9,16,12,8,100,93,86,1027,1024,1020,14,4,0,23,5,26,26.92,8,Fog-Rain-Thunderstorm,323
2015-1-13,14,9,5,13,10,4,100,95,89,1026,1024,1020,16,5,0,26,14,35,0.51,8,Fog-Rain,34
2015-1-14,5,4,3,4,3,1,92,86,79,1025,1024,1022,16,14,10,26,19,34,T,8,Rain,353
2015-1-15,6,5,3,4,3,2,92,84,76,1024,1022,1020,16,15,8,21,8,26,2.54,8,Rain,342
2015-1-16,14,8,3,4,3,1,93,68,43,1024,1021,1019,16,15,5,26,9,29,0.51,5,,323
2015-1-17,16,8,0,9,4,-1,92,70,47,1028,1024,1020,16,16,11,14,5,23,0.00,4,,60
2015-1-18,19,14,9,11,7,-1,100,67,34,1020,1017,1013,16,10,0,37,10,47,5.59,5,Fog-Rain,283
2015-1-19,20,11,2,3,-1,-4,76,49,22,1022,1019,1017,16,16,16,27,10,37,0.00,0,,257
2015-1-20,19,12,4,7,3,0,76,52,28,1019,1017,1015,16,16,16,27,10,37,0.00,4,,232
2015-1-21,22,14,5,7,5,3,96,64,31,1020,1017,1015,16,16,16,24,8,32,0.00,1,,271
2015-1-22,19,12,4,10,7,4,100,80,59,1026,1024,1020,16,15,6,19,9,24,0.00,4,,50
2015-1-23,19,16,11,18,11,4,100,80,59,1024,1017,1007,16,12,3,48,16,61,12.45,7,Rain,68
2015-1-24,19,13,6,17,9,0,93,74,54,1014,1006,1001,16,14,3,50,21,66,30.73,6,Rain,266
2015-1-25,15,8,1,6,1,-2,92,66,39,1017,1014,1010,16,16,16,24,9,29,0.00,1,,228
2015-1-26,15,11,6,8,4,-1,92,70,47,1009,1006,1003,16,16,16,35,19,48,T,3,,264
2015-1-27,11,6,1,-1,-3,-6,76,53,30,1016,1012,1009,16,16,16,27,14,39,0.00,2,,300
2015-1-28,9,3,-3,-2,-5,-8,85,58,31,1028,1024,1017,16,16,16,32,12,40,0.00,0,,345
2015-1-29,14,6,-3,6,1,-4,92,65,38,1029,1026,1021,16,16,16,24,7,32,0.00,4,,212
2015-1-30,15,9,3,7,1,-6,86,57,28,1026,1021,1016,16,16,16,40,19,52,T,3,Rain,315
2015-1-31,13,6,-1,-2,-8,-16,64,38,12,1030,1028,1026,16,16,16,23,8,29,0.00,2,,22
2015-2-1,19,11,2,12,6,-1,89,66,43,1027,1022,1013,16,16,16,37,13,47,T,6,,172
2015-2-2,18,11,3,14,7,-4,90,63,35,1022,1011,1006,16,15,5,53,30,71,1.27,5,Rain,257
2015-2-3,11,5,-1,0,-5,-8,89,58,27,1029,1027,1022,16,16,16,24,11,32,0.00,2,,46
2015-2-4,14,7,0,7,2,-3,93,66,38,1028,1023,1017,16,14,5,16,9,23,10.67,6,Rain,2
2015-2-5,16,9,3,7,2,-11,100,66,31,1026,1017,1013,16,13,5,39,19,52,9.91,5,Rain,356
2015-2-6,11,4,-2,-2,-8,-12,82,52,21,1031,1028,1026,16,16,16,26,9,42,0.00,1,,29
2015-2-7,17,8,-2,4,-2,-11,92,53,14,1028,1025,1023,16,16,16,24,8,32,0.00,1,,221
2015-2-8,21,13,4,8,7,4,100,70,40,1023,1019,1015,16,15,3,37,15,50,0.00,0,Fog,220
2015-2-9,21,14,8,12,10,7,93,70,47,1015,1010,1005,16,15,10,23,10,29,3.05,6,Fog-Rain,237
2015-2-10,13,10,7,12,7,2,100,83,65,1013,1008,1004,16,16,10,50,24,61,T,6,Rain,338
2015-2-11,15,8,2,4,1,0,89,63,37,1018,1016,1013,16,16,16,26,12,32,0.00,0,,350
2015-2-12,21,12,3,7,0,-12,100,60,20,1022,1014,1009,16,15,11,40,20,58,0.00,1,,262
2015-2-13,7,3,-2,-6,-11,-14,69,46,22,1027,1024,1021,16,16,16,42,12,58,0.00,2,,14
2015-2-14,16,7,-3,-2,-5,-10,92,57,22,1024,1017,1011,16,16,16,35,15,45,0.00,0,,251
2015-2-15,13,7,0,-1,-13,-18,44,31,17,1028,1023,1012,16,16,16,40,19,60,0.00,2,,12
2015-2-16,17,8,-1,12,-4,-15,86,58,29,1027,1021,1009,16,16,16,50,14,60,T,6,,81
2015-2-17,17,9,2,13,5,-1,96,82,67,1015,1010,1005,16,14,3,50,22,63,7.87,8,Rain,331
2015-2-18,12,6,0,1,-3,-10,96,62,28,1019,1015,1012,16,16,10,39,16,50,0.00,3,,299
2015-2-19,2,-1,-4,-11,-16,-19,43,33,22,1027,1023,1019,16,16,16,37,21,50,0.00,0,,307
2015-2-20,4,-2,-8,-6,-14,-19,75,48,20,1033,1031,1027,16,16,16,21,11,29,0.00,1,,52
2015-2-21,18,8,-2,8,2,-6,83,64,44,1031,1027,1023,16,16,14,34,10,40,0.00,6,,88
2015-2-22,24,17,9,13,11,8,93,70,46,1024,1022,1021,16,16,16,34,9,45,T,6,,215
2015-2-23,16,11,6,15,12,3,100,92,83,1025,1021,1019,16,9,2,32,14,35,11.18,8,Rain,349
2015-2-24,6,3,0,3,0,-1,96,86,76,1024,1019,1015,16,10,2,29,15,37,4.83,8,Rain,19
2015-2-25,7,4,1,4,2,1,100,88,76,1017,1013,1003,16,11,2,27,11,35,41.66,8,Rain-Thunderstorm,10
2015-2-26,7,5,3,6,3,2,100,88,76,1022,1011,999,16,15,3,34,17,39,21.34,8,Rain,345
2015-2-27,12,7,2,2,1,0,92,70,48,1032,1027,1022,16,16,11,21,10,60,0.00,6,,48
2015-2-28,12,8,3,2,0,-3,92,65,38,1037,1035,1032,16,16,16,32,16,45,T,7,Rain,46
2015-3-1,7,6,4,6,4,-1,100,81,62,1035,1031,1028,16,9,0,24,12,29,3.56,8,Fog-Rain,355
2015-3-2,23,15,6,15,10,6,100,79,57,1028,1025,1022,16,7,0,29,10,35,0.00,7,Fog,260
2015-3-3,18,14,11,12,11,8,93,80,67,1026,1023,1021,16,14,10,24,8,29,0.00,7,,66
