EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-1,-6,-11,-11,-14,-16,64,51,37,1018,1015,1012,16,16,16,37,24,48,0.00,0,,235
2015-1-2,1,-1,-3,-8,-10,-12,58,51,43,1031,1020,1014,16,16,16,47,23,63,0.00,3,,262
2015-1-3,-1,-4,-7,-1,-8,-14,100,71,42,1037,1031,1022,16,6,0,29,11,39,14.73,5,Fog-Rain-Snow,81
2015-1-4,8,4,-1,8,2,-1,100,93,86,1021,1010,1002,16,4,0,37,19,48,10.67,8,Fog-Rain-Snow,309
2015-1-5,4,-4,-12,2,-13,-21,70,52,33,1025,1015,1004,16,16,13,60,36,79,T,2,,281
2015-1-6,-11,-12,-14,-13,-15,-19,91,75,58,1027,1020,1014,16,8,2,24,9,31,0.76,5,Snow,233
2015-1-7,-4,-11,-18,-13,-18,-27,91,63,34,1019,1012,1007,16,15,5,48,23,76,T,3,Snow,272
2015-1-8,-2,-12,-21,-17,-23,-28,56,43,29,1026,1024,1020,16,16,16,39,24,56,0.00,0,,255
2015-1-9,-2,-6,-9,-9,-12,-19,74,55,36,1020,1013,1010,16,10,0,48,26,63,2.29,5,Snow,243
2015-1-10,-8,-11,-13,-15,-18,-22,73,56,39,1032,1027,1020,16,16,16,32,17,42,0.00,0,,258
2015-1-11,-3,-8,-14,-9,-16,-20,63,51,39,1037,1035,1031,16,16,16,26,16,32,0.00,6,,235
2015-1-12,1,-1,-3,1,-2,-9,100,79,58,1031,1023,1018,16,9,2,35,18,43,6.60,8,Rain-Snow,251
2015-1-13,-1,-7,-13,-2,-14,-23,85,58,31,1038,1031,1020,16,16,16,34,14,45,0.00,2,,354
2015-1-14,-5,-8,-12,-7,-12,-24,91,65,38,1036,1029,1022,16,16,13,14,7,19,T,8,,18
2015-1-15,-3,-5,-8,-6,-8,-12,92,80,67,1021,1015,1009,16,14,3,34,13,43,T,7,Snow,296
2015-1-16,0,-6,-13,-7,-13,-22,73,56,39,1019,1009,1004,16,16,14,58,29,76,T,2,Snow,274
2015-1-17,-6,-11,-17,-11,-21,-24,62,44,25,1028,1025,1020,16,16,16,37,15,43,0.00,0,,258
2015-1-18,8,1,-7,7,2,-11,100,87,73,1023,1012,1001,16,8,0,45,18,61,33.02,8,Fog-Rain,196
2015-1-19,2,-1,-3,2,-2,-8,100,84,68,1007,1004,1000,16,16,16,47,25,56,0.00,4,,273
2015-1-20,0,-3,-7,-8,-12,-16,68,52,36,1015,1010,1006,16,16,16,35,21,52,0.00,3,,276
2015-1-21,0,-4,-9,-8,-15,-18,68,47,26,1022,1020,1016,16,16,16,29,10,39,0.00,2,,354
2015-1-22,1,-2,-5,-6,-7,-9,81,69,56,1024,1022,1020,16,16,16,32,13,40,0.00,7,,347
2015-1-23,0,-5,-10,-7,-11,-14,77,63,49,1025,1021,1013,16,16,16,34,17,43,0.00,0,,255
2015-1-24,-1,-1,-2,-1,-3,-6,100,85,69,1012,998,987,16,4,0,42,19,55,15.49,7,Fog-Rain-Snow,327
2015-1-25,-1,-5,-9,-3,-9,-17,92,63,34,1016,1003,993,16,16,13,40,22,53,T,3,,276
2015-1-26,-8,-11,-14,-9,-13,-20,96,75,53,1020,1015,1007,16,8,1,42,19,64,3.30,6,Fog-Snow,35
2015-1-27,-8,-10,-13,-10,-13,-17,92,83,73,1007,1001,998,16,2,0,50,33,89,4.06,8,Fog-Snow,359
2015-1-28,-6,-9,-14,-14,-17,-21,76,58,40,1024,1014,1005,16,15,4,40,25,56,T,2,Snow,321
2015-1-29,-1,-7,-13,-7,-17,-22,81,52,23,1026,1022,1016,16,16,16,21,10,26,T,2,,161
2015-1-30,-1,-6,-12,-3,-6,-17,100,84,67,1015,1009,1005,16,6,2,60,21,77,1.52,7,Snow,256
