EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,16,11,6,9,7,5,96,76,55,1028,1026,1024,16,15,10,23,11,27,0.00,1,,16
2015-1-2,19,14,10,16,13,7,93,85,77,1026,1024,1022,16,13,2,16,8,24,0.00,7,,79
2015-1-3,23,20,17,21,19,16,100,95,90,1023,1021,1020,13,5,1,27,13,42,1.27,8,Fog-Rain,121
2015-1-4,23,17,11,20,17,6,93,80,66,1029,1022,1019,16,11,2,39,13,72,36.58,6,Rain-Thunderstorm,247
2015-1-5,14,10,5,6,4,2,89,69,45,1034,1032,1030,16,16,16,29,14,39,0.00,0,,344
2015-1-6,18,10,2,6,3,1,96,65,34,1032,1029,1026,16,16,16,35,3,,0.00,0,,321
2015-1-7,16,8,1,3,-1,-8,85,59,32,1034,1028,1025,16,16,16,45,13,61,0.00,0,,327
2015-1-8,6,0,-6,-6,-12,-16,69,46,23,1036,1034,1030,16,16,16,37,18,47,0.00,0,,8
2015-1-9,7,2,-3,-1,-4,-8,69,57,44,1031,1029,1027,16,16,16,26,10,34,0.00,5,,352
2015-1-10,13,7,1,-3,-6,-10,61,42,22,1033,1031,1030,16,16,16,26,11,37,0.00,0,,3
2015-1-11,20,13,5,12,6,-3,80,67,53,1030,1028,1026,16,16,16,19,10,37,0.00,2,,39
2015-1-12,20,17,13,17,14,11,97,89,80,1025,1022,1020,16,9,0,16,5,37,0.00,7,Fog,53
2015-1-13,17,15,13,14,13,10,100,86,72,1025,1023,1020,16,12,0,19,8,39,0.00,8,Fog,6
2015-1-14,15,12,8,9,8,6,93,78,62,1026,1023,1022,16,16,13,21,11,29,0.00,7,,348
2015-1-15,10,9,8,8,7,6,93,87,80,1025,1022,1020,16,11,3,16,6,34,10.16,7,Rain,21
2015-1-16,14,9,3,7,4,2,93,70,47,1026,1023,1021,16,16,16,34,11,47,0.00,4,,347
2015-1-17,16,9,1,9,4,-1,96,78,60,1026,1024,1022,16,16,16,19,3,47,0.00,0,,117
2015-1-18,19,11,3,9,4,0,93,62,30,1024,1022,1020,16,15,10,32,5,53,0.00,1,,318
2015-1-19,19,9,-1,4,1,-3,92,58,24,1025,1023,1020,16,16,16,29,2,140,0.00,0,,169
2015-1-20,21,12,3,12,9,2,96,75,53,1020,1018,1016,16,16,16,23,5,26,0.00,3,,123
2015-1-21,23,16,9,14,11,8,100,75,49,1021,1019,1016,16,11,0,21,3,45,0.00,3,Fog,8
2015-1-22,19,15,11,8,5,1,77,57,37,1024,1021,1018,16,16,16,26,13,34,1.52,6,,29
2015-1-23,19,16,11,18,13,10,100,95,89,1017,1012,1008,16,5,0,29,14,42,55.63,8,Fog-Rain-Thunderstorm,9
2015-1-24,14,8,3,10,4,-1,93,65,36,1019,1015,1010,16,15,8,39,19,48,T,5,Rain,283
2015-1-25,17,9,1,11,5,-1,96,72,48,1019,1016,1012,16,16,16,39,8,48,0.00,1,,225
2015-1-26,15,9,3,8,3,2,85,66,47,1018,1015,1012,16,16,16,37,16,42,0.00,0,,291
2015-1-27,19,11,2,5,2,1,92,62,32,1021,1018,1015,16,16,16,34,6,45,0.00,0,,306
2015-1-28,16,9,2,4,2,0,97,71,34,1027,1025,1021,16,16,16,16,6,,0.00,0,,357
2015-1-29,17,10,2,11,7,1,96,78,60,1028,1026,1024,16,16,13,29,8,35,0.00,1,,118
2015-1-30,17,11,3,15,6,-1,93,62,30,1028,1025,1021,16,16,16,32,13,45,0.00,1,,317
2015-1-31,18,11,2,6,0,-3,86,56,26,1029,1027,1024,16,16,16,27,8,50,0.00,0,,37
2015-2-1,19,14,8,18,12,2,100,81,61,1024,1018,1013,16,12,1,34,10,47,25.91,7,Fog-Rain,115
2015-2-2,19,11,2,18,8,-1,93,69,44,1026,1016,1010,16,16,11,40,21,50,0.25,4,Rain,284
2015-2-3,10,5,-1,4,-1,-3,83,63,42,1029,1027,1025,16,16,16,21,10,26,0.00,0,,3
2015-2-4,9,8,6,8,7,2,100,85,70,1027,1021,1015,16,10,3,23,8,29,28.70,8,Rain,20
2015-2-5,17,12,6,8,6,-1,93,69,44,1026,1019,1015,16,15,6,34,16,40,0.76,3,Rain,336
2015-2-6,17,9,1,4,-2,-5,89,57,25,1030,1028,1026,16,16,16,23,10,34,0.00,0,,359
2015-2-7,18,9,1,9,3,-1,96,63,30,1028,1026,1024,16,16,16,19,3,,0.00,0,,146
2015-2-8,20,12,3,13,8,3,100,80,59,1023,1020,1016,16,10,0,23,3,32,0.00,3,Fog,127
2015-2-9,22,16,9,17,12,8,100,83,66,1015,1013,1008,16,10,0,32,3,45,0.00,4,Fog,250
2015-2-10,15,9,4,8,4,2,83,63,43,1017,1014,1012,16,16,13,32,16,45,0.00,0,,327
2015-2-11,16,9,1,7,4,0,96,73,49,1021,1019,1017,16,16,14,21,5,26,0.00,0,,225
2015-2-12,19,12,4,5,2,-4,96,64,31,1024,1021,1017,16,16,13,32,10,39,0.00,0,,312
2015-2-13,11,5,-2,1,-6,-9,85,55,24,1029,1026,1023,16,16,16,26,13,39,0.00,0,,345
2015-2-14,17,8,-1,9,2,-3,92,61,30,1026,1023,1020,16,16,16,29,8,37,0.00,0,,249
2015-2-15,20,14,9,11,6,1,96,63,29,1025,1023,1020,16,15,5,19,10,29,0.00,0,,340
2015-2-16,20,16,11,17,8,-1,81,61,41,1022,1017,1009,16,16,16,39,13,52,2.54,6,Rain,121
2015-2-17,19,10,1,18,7,-3,93,80,67,1020,1013,1008,16,15,5,45,23,58,2.29,7,Rain,313
2015-2-18,13,6,-2,-2,-6,-9,85,55,24,1026,1022,1020,16,16,16,40,14,52,0.00,0,,291
2015-2-19,8,2,-4,-6,-10,-14,75,48,20,1032,1029,1027,16,16,16,32,11,45,0.00,0,,311
2015-2-20,11,3,-4,1,-7,-13,88,54,19,1032,1029,1027,16,16,16,32,6,40,0.00,0,,100
2015-2-21,19,11,3,13,8,-3,89,76,63,1027,1024,1020,16,16,16,40,14,53,0.00,2,,115
2015-2-22,22,19,16,18,17,14,100,89,78,1023,1021,1020,16,10,0,26,13,35,1.27,8,Fog-Rain,144
2015-2-23,19,14,8,18,13,5,100,82,63,1024,1022,1020,16,9,0,32,10,39,1.78,6,Fog-Rain,331
2015-2-24,11,9,7,7,6,4,87,80,71,1022,1019,1016,16,16,11,16,11,,0.00,7,,332
2015-2-25,10,8,7,9,7,4,100,88,76,1016,1008,1001,16,9,2,39,11,48,33.27,8,Rain,10
2015-2-26,8,7,4,8,4,2,100,86,71,1023,1013,1004,16,15,5,27,18,34,0.00,7,,321
2015-2-27,14,8,2,4,2,0,89,65,41,1029,1027,1024,16,16,13,26,13,35,0.00,0,,1
2015-2-28,12,9,6,8,6,3,93,82,71,1032,1030,1029,16,16,11,29,13,39,0.51,6,Rain,26
2015-3-1,18,14,9,15,11,8,96,87,78,1031,1029,1026,16,11,0,23,11,,0.00,8,Fog,28
2015-3-2,24,18,13,18,14,11,100,84,68,1029,1026,1023,16,13,0,11,3,,0.00,6,Fog,173
2015-3-3,23,18,12,18,14,12,100,84,68,1024,1022,1019,16,6,0,23,5,27,0.00,6,Fog,154
2015-3-4,24,21,17,20,18,16,100,90,79,1021,1018,1016,16,8,0,29,11,53,0.00,7,Fog,138
2015-3-5,24,14,4,21,16,1,100,86,72,1026,1018,1014,16,10,0,32,14,48,5.59,7,Fog-Rain,214
2015-3-6,13,7,1,4,1,-3,93,74,54,1031,1028,1025,16,16,16,27,19,35,0.00,1,,355
2015-3-7,21,12,3,6,3,-1,92,59,26,1032,1030,1027,16,16,16,23,8,34,0.00,0,,357
2015-3-8,22,13,3,13,8,2,92,67,41,1028,1025,1022,16,16,16,21,3,29,0.00,2,,133
2015-3-9,24,19,13,16,14,12,93,73,53,1023,1021,1020,16,16,16,32,6,40,0.00,6,,93
2015-3-10,26,21,16,20,18,13,100,81,62,1022,1020,1018,16,15,3,37,13,50,0.00,3,,130
2015-3-11,26,22,18,21,19,17,100,87,74,1023,1021,1019,16,7,0,42,5,47,0.00,5,Fog,123
2015-3-12,24,23,21,21,19,18,100,90,79,1023,1022,1020,16,8,0,23,3,31,0.00,6,Fog,86
2015-3-13,23,22,19,20,18,17,90,79,68,1023,1021,1017,16,16,10,32,16,45,5.33,7,Rain,79
2015-3-14,25,19,14,19,17,13,100,75,50,1021,1019,1017,16,15,8,26,13,37,0.00,4,,181
2015-3-15,24,18,13,17,15,13,100,82,64,1025,1023,1021,16,15,10,21,6,26,0.00,4,,311
2015-3-16,29,21,13,15,12,8,100,65,30,1024,1022,1020,16,15,11,24,6,45,T,0,,293
2015-3-17,29,22,14,17,16,13,97,69,40,1020,1018,1015,16,16,13,34,10,45,T,0,,263
2015-3-18,29,21,12,15,13,11,100,70,39,1019,1017,1015,16,15,13,23,6,35,0.00,0,Rain,218
2015-3-19,26,21,16,18,16,14,97,75,52,1020,1017,1015,16,14,8,21,6,27,0.00,3,,135
2015-3-20,28,22,16,19,17,15,100,78,55,1021,1019,1017,16,7,0,27,3,35,0.00,4,Fog,210
2015-3-21,28,23,17,20,19,16,100,81,62,1021,1019,1016,16,7,0,27,3,37,0.00,4,Fog,254
2015-3-22,25,22,19,22,20,19,97,90,82,1018,1015,1011,16,9,0,34,8,42,T,6,Fog,195
2015-3-23,25,21,17,20,17,14,93,74,54,1018,1013,1010,16,16,11,26,14,32,0.00,6,,325
2015-3-24,25,19,13,15,14,13,84,67,50,1021,1019,1017,16,16,16,19,11,23,0.00,7,,55
2015-3-25,27,20,12,18,16,12,100,73,45,1022,1020,1017,16,16,16,26,8,35,0.00,4,Rain,132
2015-3-26,21,19,17,19,18,17,100,89,78,1018,1014,1010,16,12,2,26,11,43,11.43,6,Rain-Thunderstorm,145
2015-3-27,20,14,8,18,12,1,100,64,27,1020,1012,1009,16,16,5,39,13,48,0.76,5,Rain,291
2015-3-28,18,11,4,4,1,-3,86,56,25,1026,1023,1020,16,16,16,32,11,43,0.00,0,,312
2015-3-29,19,12,4,10,3,-2,85,59,32,1030,1028,1026,16,16,16,23,8,27,0.00,2,,84
2015-3-30,24,17,10,17,14,9,100,82,64,1027,1024,1020,16,16,13,37,13,47,0.00,4,,196
2015-3-31,27,21,13,18,15,13,100,73,45,1022,1020,1016,16,7,0,37,5,50,0.00,2,Fog-Rain,237
2015-4-1,28,23,18,19,17,14,96,75,45,1021,1019,1017,16,16,14,37,16,47,0.00,1,,222
2015-4-2,27,21,13,20,16,12,100,71,42,1024,1021,1019,16,7,0,26,3,34,0.00,3,Fog,129
2015-4-3,27,20,13,20,16,13,100,79,58,1022,1021,1019,16,8,0,29,5,39,0.00,4,Fog,162
2015-4-4,25,19,13,22,17,8,97,72,46,1023,1020,1017,16,13,6,27,11,40,3.05,4,Rain,275
2015-4-5,27,19,11,18,12,4,93,73,52,1023,1021,1020,16,16,16,26,11,32,0.00,1,,78
2015-4-6,27,23,18,19,18,17,93,80,67,1023,1022,1021,16,16,10,23,8,26,0.00,5,,118
2015-4-7,29,24,18,20,18,16,100,74,47,1023,1021,1020,16,7,0,27,3,34,0.00,2,Fog,130
2015-4-8,29,23,16,19,17,15,100,72,43,1023,1020,1019,16,8,0,23,5,31,0.00,1,Fog,145
2015-4-9,29,24,20,21,19,18,97,78,58,1022,1020,1018,16,8,0,26,6,39,0.00,5,Fog-Rain,175
2015-4-10,28,24,20,22,21,19,93,79,65,1021,1019,1017,16,15,10,29,10,37,2.29,6,Rain,169
2015-4-11,27,23,19,21,19,18,100,84,67,1021,1019,1017,16,12,0,26,8,35,13.72,6,Fog-Rain-Thunderstorm,24
2015-4-12,27,23,19,22,20,19,100,84,67,1022,1019,1016,16,11,1,26,6,35,3.56,7,Fog-Rain,62
2015-4-13,23,22,20,23,21,20,100,97,93,1021,1019,1016,16,8,1,16,8,23,41.91,7,Rain-Thunderstorm,98
2015-4-14,27,24,21,23,22,20,100,90,79,1021,1019,1017,16,11,1,27,11,35,T,6,Fog,172
2015-4-15,28,25,22,23,22,20,100,84,67,1020,1017,1015,16,16,16,24,10,29,0.00,6,,172
2015-4-16,28,24,21,22,21,19,100,79,58,1021,1019,1017,16,14,3,21,6,32,T,5,Fog,66
2015-4-17,27,23,20,22,21,19,100,87,74,1020,1017,1013,16,13,3,27,10,37,3.05,8,Rain,105
2015-4-18,26,23,19,22,21,19,100,87,74,1016,1014,1012,16,8,0,19,2,23,0.25,5,Fog-Rain,149
2015-4-19,25,23,21,23,21,17,97,81,64,1014,1011,1008,16,11,3,47,13,61,3.30,5,Rain-Thunderstorm,165
2015-4-20,25,22,18,22,20,18,100,82,64,1013,1010,1009,16,16,10,34,14,43,0.76,5,Rain-Thunderstorm,200
2015-4-21,26,19,13,17,12,8,93,63,32,1019,1016,1014,16,16,16,23,10,29,0.00,0,,320
2015-4-22,29,22,13,18,14,10,93,62,31,1018,1016,1014,16,16,16,21,5,34,0.00,0,,296
2015-4-23,29,22,15,21,18,14,100,76,51,1016,1015,1014,16,16,11,21,3,24,0.00,3,,251
2015-4-24,29,24,18,21,17,13,97,70,42,1018,1015,1013,16,16,13,23,10,31,0.00,1,,84
2015-4-25,28,24,20,24,22,19,97,86,74,1013,1010,1007,16,13,6,39,14,50,0.51,6,Rain,181
2015-4-26,30,24,18,22,20,17,100,79,58,1009,1008,1006,16,15,8,24,8,31,0.00,2,Fog-Rain,210
2015-4-27,23,21,18,22,19,17,100,87,73,1012,1009,1006,16,13,3,23,6,29,5.33,4,Rain,30
2015-4-28,26,22,18,20,18,17,97,81,64,1011,1009,1005,16,16,13,26,8,34,T,6,Rain,33
2015-4-29,26,21,15,20,18,14,100,77,54,1011,1007,1005,16,11,0,34,10,42,11.43,6,Fog-Rain-Thunderstorm,315
2015-4-30,26,19,12,14,12,8,93,63,32,1014,1012,1010,16,16,14,27,10,35,0.00,0,,285
2015-5-1,27,19,12,13,9,3,93,58,23,1018,1015,1013,16,16,16,26,6,35,0.00,0,,332
2015-5-2,26,18,10,13,9,7,93,62,30,1021,1019,1017,16,16,11,24,6,32,0.00,0,,159
2015-5-3,28,19,11,18,14,11,97,66,34,1023,1021,1018,16,16,16,24,5,35,0.00,1,,160
2015-5-4,29,22,14,18,15,9,97,66,34,1025,1023,1021,16,16,14,29,6,34,0.00,1,Rain,104
2015-5-5,29,23,16,19,15,12,93,66,37,1025,1023,1020,16,16,16,19,8,32,0.00,3,,55
2015-5-6,31,24,17,19,16,12,93,65,37,1022,1020,1017,16,16,16,24,8,29,T,2,Rain,60
2015-5-7,31,23,15,19,16,12,100,66,31,1020,1018,1016,16,12,1,24,3,31,0.00,3,Fog,200
2015-5-8,32,24,16,18,16,12,100,65,29,1020,1018,1015,16,14,2,26,5,31,0.00,1,Rain,282
2015-5-9,33,25,17,18,17,14,93,64,34,1020,1019,1017,16,16,16,26,6,35,0.00,1,Rain,246
2015-5-10,33,26,19,19,17,15,93,66,38,1020,1019,1018,16,16,16,27,5,34,0.00,1,Rain,201
2015-5-11,30,23,17,23,19,16,100,78,55,1022,1020,1018,16,11,0,24,5,34,0.00,1,Fog,156
2015-5-12,32,26,18,22,20,18,100,74,47,1024,1021,1020,16,8,0,23,3,27,T,3,Fog,239
2015-5-13,34,27,19,21,19,18,93,67,41,1023,1021,1018,16,16,13,26,6,32,0.00,1,Thunderstorm,341
2015-5-14,33,27,19,22,20,19,93,69,44,1023,1021,1020,16,11,0,35,5,48,0.51,2,Fog-Rain-Thunderstorm,86
2015-5-15,32,26,21,22,21,20,100,78,55,1023,1021,1020,16,15,10,34,11,43,0.00,3,Thunderstorm,84
2015-5-16,31,26,21,22,21,20,97,78,59,1023,1022,1020,16,16,10,35,11,47,0.00,3,Thunderstorm,125
2015-5-17,33,27,21,23,21,19,100,78,55,1024,1022,1022,16,15,10,27,10,40,0.00,1,Thunderstorm,132
2015-5-18,32,27,21,23,21,18,100,72,44,1024,1022,1020,16,8,0,24,5,31,0.00,4,Fog,118
2015-5-19,33,27,21,23,21,18,100,72,44,1021,1019,1016,16,11,1,27,6,47,0.25,3,Fog,263
2015-5-20,33,27,20,22,21,19,97,73,49,1017,1016,1014,16,16,11,35,8,43,1.52,2,Rain-Thunderstorm,278
2015-5-21,33,26,19,22,20,18,93,72,50,1019,1016,1014,16,13,2,47,10,64,14.99,3,Rain-Thunderstorm,317
2015-5-22,31,24,18,19,16,12,87,60,32,1023,1021,1017,16,16,16,24,11,29,0.00,0,,340
2015-5-23,31,24,17,22,18,14,93,68,42,1026,1024,1022,16,16,16,21,6,27,0.00,1,,87
2015-5-24,31,27,22,22,21,18,90,75,59,1024,1022,1020,16,16,14,35,13,42,T,2,,104
2015-5-25,31,26,22,23,22,19,93,76,59,1023,1021,1020,16,16,16,35,11,42,T,3,,97
2015-5-26,31,26,20,23,21,19,93,76,59,1023,1022,1020,16,14,3,39,13,47,15.75,3,Rain-Thunderstorm,80
2015-5-27,30,26,21,23,21,19,100,83,65,1023,1022,1020,16,16,8,26,6,31,T,2,Rain-Thunderstorm,70
2015-5-28,28,24,21,23,22,20,100,85,69,1022,1021,1019,16,12,1,23,6,27,15.75,4,Fog-Rain-Thunderstorm,47
2015-5-29,31,26,19,22,20,17,100,82,44,1022,1020,1018,16,12,1,21,8,32,0.00,3,Fog,49
2015-5-30,31,26,20,22,21,18,93,71,48,1020,1019,1017,16,16,16,27,6,35,0.00,2,Thunderstorm,126
2015-5-31,32,27,21,22,21,20,100,79,57,1019,1017,1015,16,16,13,27,6,37,T,3,Rain-Thunderstorm,167
2015-6-1,29,24,19,22,21,18,97,80,62,1019,1018,1014,16,16,16,27,6,35,0.00,3,Thunderstorm,87
2015-6-2,29,24,20,22,21,19,97,80,63,1018,1015,1013,16,13,2,37,6,43,41.91,4,Rain-Thunderstorm,117
2015-6-3,29,26,21,22,21,20,100,81,61,1015,1014,1013,16,15,3,26,6,32,1.52,3,Rain,177
2015-6-4,31,27,22,23,22,21,93,75,57,1017,1015,1013,16,15,2,37,6,64,21.08,5,Rain-Thunderstorm,24
2015-6-5,32,27,21,23,22,20,100,79,57,1018,1016,1014,16,14,2,23,3,29,2.29,4,Thunderstorm,230
2015-6-6,33,27,22,23,21,17,93,72,40,1016,1014,1013,16,16,14,16,5,,0.00,2,,251
2015-6-7,33,27,21,24,22,19,94,71,47,1017,1016,1013,16,14,3,29,5,37,1.78,2,Rain,165
2015-6-8,31,27,22,23,22,21,100,79,57,1019,1017,1015,16,16,11,27,6,32,0.00,2,,159
2015-6-9,29,26,22,23,22,21,94,84,74,1016,1014,1013,16,15,6,29,6,39,3.81,2,Rain-Thunderstorm,188
2015-6-10,28,25,22,22,22,21,93,81,69,1016,1014,1011,16,15,3,24,5,29,2.03,3,Rain-Thunderstorm,152
2015-6-11,28,25,22,23,21,21,94,80,65,1019,1016,1013,16,15,3,39,10,48,7.11,4,Rain-Thunderstorm,138
2015-6-12,32,28,23,24,22,20,94,74,53,1021,1019,1017,16,16,16,27,11,39,T,2,Rain,150
2015-6-13,32,28,23,24,23,23,100,82,63,1021,1020,1019,16,11,1,26,10,35,T,2,Rain,101
2015-6-14,32,27,22,24,23,22,100,78,56,1021,1020,1018,16,15,10,24,6,31,0.00,1,,107
2015-6-15,33,28,22,25,23,21,94,72,49,1021,1020,1017,16,15,8,27,6,37,0.00,0,,113
2015-6-16,33,27,21,24,22,21,100,78,56,1022,1020,1019,16,15,2,24,6,,T,2,Rain,197
2015-6-17,34,29,23,25,23,21,100,75,49,1021,1020,1018,16,14,5,23,5,29,T,1,Rain,226
2015-6-18,34,29,23,24,22,20,94,72,49,1021,1020,1018,16,16,16,27,6,35,T,0,,217
2015-6-19,33,28,22,24,23,21,93,75,56,1021,1020,1018,16,16,14,27,6,43,0.00,2,,199
2015-6-20,34,28,23,24,23,21,94,72,49,1020,1019,1018,16,16,16,32,8,43,T,2,,219
2015-6-21,35,29,24,25,23,20,97,75,52,1021,1019,1017,16,15,11,27,6,34,2.79,2,Fog-Rain-Thunderstorm,238
2015-6-22,34,29,23,24,23,21,96,76,47,1021,1020,1017,16,15,10,27,5,37,T,1,Rain-Thunderstorm,113
2015-6-23,34,29,23,26,23,20,100,76,52,1022,1020,1019,16,14,2,32,6,37,6.10,3,Rain-Thunderstorm,138
2015-6-24,32,28,23,23,22,21,94,73,52,1022,1021,1019,16,16,11,29,8,39,0.76,3,Rain-Thunderstorm,299
