EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-1,-3,-6,-5,-8,-11,84,74,63,1019,1015,1011,16,12,2,52,32,66,1.27,8,Snow,254
2015-1-2,0,-3,-6,-7,-8,-10,88,71,54,1027,1024,1018,16,16,11,27,12,37,0.00,7,,248
2015-1-3,1,-2,-6,-1,-2,-8,92,84,75,1025,1014,1008,14,5,1,26,11,31,11.94,7,Rain-Snow,87
2015-1-4,1,-5,-11,-1,-6,-14,92,84,75,1026,1013,1003,14,5,0,40,20,53,5.33,8,Fog-Rain-Snow,308
2015-1-5,-11,-13,-15,-14,-17,-18,83,78,73,1034,1030,1025,16,6,1,37,22,45,1.27,8,Snow,270
2015-1-6,-8,-12,-15,-12,-14,-17,88,78,67,1028,1023,1018,14,3,0,42,19,52,4.57,8,Fog-Snow,242
2015-1-7,-10,-13,-17,-12,-18,-22,87,71,55,1038,1028,1018,16,9,0,42,24,56,0.51,5,Snow,311
2015-1-8,-8,-13,-18,-11,-18,-22,88,79,69,1033,1018,1004,14,5,0,47,29,63,6.10,8,Fog-Snow,207
2015-1-9,-8,-11,-14,-11,-14,-18,88,81,73,1027,1016,1004,16,3,1,42,26,56,5.08,7,Fog-Snow,281
2015-1-10,-9,-11,-13,-14,-16,-17,83,71,59,1029,1027,1025,16,8,0,35,20,47,1.27,8,Fog-Snow,219
2015-1-11,-1,-5,-9,-4,-8,-14,92,75,58,1027,1025,1024,16,13,2,26,18,35,1.02,7,Snow,201
