CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-1,-5,-10,-8,-11,-15,74,62,49,1021,1016,1012,16,16,16,24,12,39,0.00,5,,247
2015-1-2,-1,-4,-8,-7,-9,-13,84,65,46,1027,1024,1021,16,16,16,19,6,23,0.00,5,,162
2015-1-3,1,-1,-3,-2,-3,-6,92,84,75,1020,1013,1009,16,6,1,19,8,23,1.27,8,Snow,92
2015-1-4,-1,-11,-20,-3,-13,-26,92,71,49,1034,1019,1008,16,8,1,35,18,47,2.54,6,Snow,321
2015-1-5,-16,-19,-22,-19,-23,-26,87,72,56,1037,1032,1027,16,11,1,21,8,27,3.30,5,Snow,255
2015-1-6,-11,-16,-22,-19,-21,-23,90,68,46,1030,1027,1025,16,14,3,34,12,52,T,5,Snow,285
2015-1-7,-16,-19,-22,-24,-27,-27,65,56,47,1044,1040,1030,16,16,16,34,16,48,0.00,0,,313
2015-1-8,-11,-16,-22,-13,-19,-26,83,74,64,1036,1015,1006,16,7,0,37,21,56,2.79,7,Snow,214
2015-1-9,-13,-16,-18,-16,-22,-24,72,61,49,1030,1024,1016,16,14,1,32,14,48,0.25,4,Snow,296
2015-1-10,-5,-12,-19,-12,-18,-23,79,69,59,1029,1026,1023,16,16,16,29,13,37,0.00,6,,200
2015-1-11,-3,-8,-14,-10,-12,-16,91,71,50,1026,1024,1023,16,16,16,16,4,26,0.00,6,,206
2015-1-12,-7,-14,-21,-13,-18,-24,79,65,51,1044,1036,1027,16,16,16,29,15,37,0.00,2,,347
2015-1-13,-7,-14,-21,-14,-18,-22,87,74,61,1043,1039,1032,16,16,11,14,3,18,T,4,Snow,261
2015-1-14,-6,-13,-21,-9,-13,-23,84,76,67,1031,1026,1021,16,16,14,13,7,21,0.00,7,,209
2015-1-15,2,-2,-7,-4,-7,-9,84,72,59,1020,1016,1013,16,14,10,19,9,27,0.00,4,,241
2015-1-16,0,-2,-5,-4,-6,-8,85,74,63,1023,1018,1013,16,16,11,32,14,37,0.00,7,,129
2015-1-17,5,1,-4,-1,-2,-6,88,74,60,1011,1003,1000,16,15,8,26,15,37,T,7,Rain,217
2015-1-18,6,2,-1,-2,-3,-4,82,67,51,1016,1009,1003,16,16,14,23,10,35,T,5,Snow,281
2015-1-19,2,-2,-6,-1,-3,-8,100,85,70,1017,1014,1010,16,14,2,21,7,27,0.25,7,Snow,135
2015-1-20,1,-1,-2,-1,-2,-4,92,85,78,1017,1014,1009,16,11,3,24,13,34,0.25,8,Snow,87
2015-1-21,-1,-2,-3,-3,-4,-6,92,82,72,1026,1019,1015,16,11,3,19,7,23,0.76,8,Snow,64
2015-1-22,0,-2,-3,-4,-6,-7,85,74,63,1032,1029,1026,16,15,11,21,8,32,0.00,6,,265
2015-1-23,2,-1,-3,-3,-4,-6,85,75,64,1026,1016,1008,16,15,8,23,11,37,T,7,,220
2015-1-24,2,0,-2,-1,-2,-3,92,84,75,1008,1005,1003,16,14,10,19,5,29,0.00,8,,289
2015-1-25,1,-4,-10,-2,-8,-13,88,74,60,1020,1013,1005,16,14,6,39,22,52,T,6,Snow,37
2015-1-26,-3,-8,-12,-6,-8,-14,92,83,74,1018,1012,1009,16,6,1,27,9,37,1.78,7,Snow,174
2015-1-27,-2,-3,-4,-4,-6,-7,92,84,75,1025,1021,1013,16,9,2,14,7,21,T,8,Snow,34
2015-1-28,1,-3,-6,-4,-6,-8,84,73,61,1025,1019,1009,16,15,11,40,20,58,T,7,Rain,164
2015-1-29,2,-1,-4,-3,-5,-11,85,70,55,1029,1015,1007,16,14,2,35,18,53,0.25,8,Snow,335
2015-1-30,-4,-8,-12,-10,-13,-14,76,61,46,1035,1032,1026,16,16,16,26,7,35,0.00,3,,274
2015-1-31,2,-2,-6,-4,-7,-9,84,70,56,1026,1023,1021,16,12,1,26,10,32,3.30,7,Snow,55
2015-2-1,-3,-8,-13,-6,-12,-18,88,82,76,1021,1017,1014,16,3,0,52,34,63,8.13,8,Fog-Snow,30
2015-2-2,-9,-14,-20,-17,-19,-21,86,70,53,1025,1023,1020,16,16,16,29,9,37,0.00,2,,278
2015-2-3,-8,-14,-19,-10,-13,-21,91,79,67,1022,1019,1016,16,10,0,16,6,19,3.56,6,Fog-Snow,224
2015-2-4,-7,-11,-16,-11,-15,-22,88,67,45,1031,1023,1016,16,15,13,27,13,40,0.00,5,,321
2015-2-5,-10,-17,-23,-18,-20,-24,83,67,51,1033,1029,1023,16,16,16,27,11,35,0.00,1,,222
2015-2-6,-3,-7,-12,-9,-12,-18,77,66,55,1023,1019,1014,16,15,10,21,8,24,0.00,4,,179
2015-2-7,3,-4,-11,0,-5,-13,89,80,70,1014,1007,1002,11,7,2,21,5,40,0.00,6,,160
2015-2-8,1,-3,-7,-1,-4,-11,92,83,73,1021,1009,1002,16,7,2,37,19,43,T,7,Rain-Snow,12
2015-2-9,-3,-9,-15,-10,-12,-17,84,70,55,1027,1024,1020,16,16,16,32,14,37,0.00,4,,14
2015-2-10,-2,-9,-17,-5,-9,-18,88,76,63,1027,1022,1015,16,15,11,35,13,45,0.25,6,Snow,168
2015-2-11,1,-4,-10,-2,-8,-17,85,69,53,1023,1017,1013,16,14,3,35,17,48,T,7,Snow,289
2015-2-12,-10,-14,-18,-14,-19,-21,75,62,48,1034,1030,1023,16,14,3,37,14,48,0.25,5,Snow,334
2015-2-13,-3,-11,-19,-8,-13,-21,79,71,62,1029,1019,1011,16,16,14,26,10,42,T,7,Snow,244
2015-2-14,-3,-11,-19,-10,-20,-27,63,51,39,1036,1021,1011,16,12,0,42,25,63,T,5,Snow,333
2015-2-15,-12,-16,-21,-17,-22,-27,65,58,51,1038,1034,1029,16,16,16,21,9,24,0.00,6,,36
2015-2-16,-8,-10,-12,-12,-16,-17,73,61,49,1029,1021,1014,16,15,8,13,8,23,T,8,Snow,217
2015-2-17,-8,-11,-15,-11,-17,-21,80,66,51,1016,1014,1012,16,14,5,24,12,34,T,7,Snow,305
2015-2-18,-14,-18,-22,-18,-23,-28,87,66,44,1027,1018,1010,16,14,5,34,16,47,T,5,Snow,314
2015-2-19,-15,-19,-24,-26,-27,-29,64,53,42,1031,1029,1024,16,16,16,24,8,32,0.00,0,,303
2015-2-20,-7,-14,-22,-12,-18,-25,76,67,58,1028,1019,1013,16,11,2,37,20,45,T,7,Snow,181
2015-2-21,-1,-5,-9,-8,-11,-15,80,67,53,1024,1016,1011,16,15,11,26,9,35,0.00,7,,317
2015-2-22,-9,-14,-20,-16,-22,-26,69,57,45,1042,1034,1025,16,16,16,29,15,39,0.00,1,,317
2015-2-23,-13,-18,-24,-21,-25,-28,72,57,41,1042,1035,1022,16,16,16,23,10,32,0.00,1,,242
2015-2-24,2,-6,-13,-7,-14,-21,68,51,34,1020,1008,1004,16,16,13,27,17,42,T,4,Snow,261
2015-2-25,-8,-12,-16,-13,-16,-22,84,63,42,1021,1016,1012,16,9,1,27,8,31,1.52,7,Snow,41
2015-2-26,-10,-14,-18,-14,-21,-23,80,63,46,1033,1028,1022,16,16,16,29,14,35,0.00,3,,350
2015-2-27,-9,-14,-21,-20,-22,-24,72,57,42,1038,1036,1031,16,16,16,16,6,24,0.00,0,,254
2015-2-28,-8,-16,-23,-13,-19,-26,83,65,46,1041,1037,1030,16,15,5,24,11,31,T,4,Snow,181
2015-3-1,-2,-6,-10,-9,-12,-15,80,68,55,1031,1027,1023,16,14,8,23,9,35,T,6,Snow,230
2015-3-2,-2,-9,-16,-9,-13,-16,88,65,42,1034,1030,1023,16,16,14,23,9,26,0.00,4,,208
2015-3-3,0,-2,-5,-3,-6,-10,88,75,62,1022,1009,1002,16,8,2,29,15,39,2.79,8,Snow,188
2015-3-4,-4,-9,-16,-11,-19,-22,74,56,37,1030,1022,1013,16,16,16,32,16,47,0.00,2,,304
2015-3-5,-9,-14,-21,-20,-22,-24,72,56,40,1035,1033,1028,16,16,16,23,9,29,0.00,0,,290
2015-3-6,-2,-9,-17,-8,-14,-22,75,63,50,1033,1024,1019,16,16,16,29,13,40,0.00,2,,199
2015-3-7,7,-1,-8,-2,-6,-9,88,65,41,1021,1017,1015,16,15,11,29,9,40,0.00,2,,277
2015-3-8,8,3,-2,0,-3,-6,82,67,51,1023,1021,1018,16,16,16,21,7,35,0.00,2,,240
2015-3-9,11,4,-4,-1,-2,-5,92,67,42,1022,1020,1018,16,15,11,23,9,31,0.00,1,,202
2015-3-10,13,6,-2,4,1,-3,100,76,51,1017,1015,1012,16,8,0,27,9,53,0.00,3,Fog,200
2015-3-11,14,6,-2,1,-2,-6,92,58,24,1030,1023,1017,16,10,0,14,4,21,0.00,1,Fog,348
2015-3-12,13,6,-2,0,-3,-7,72,52,32,1032,1029,1026,16,16,16,35,17,43,0.00,4,,171
2015-3-13,20,10,0,6,2,-2,82,60,37,1026,1020,1015,16,15,11,32,10,48,0.00,4,,204
2015-3-14,16,8,-1,3,0,-3,76,55,33,1022,1018,1016,16,16,16,32,14,37,0.00,1,,322
2015-3-15,16,7,-3,2,-1,-4,85,59,32,1023,1019,1014,16,16,16,32,11,45,0.00,5,,206
2015-3-16,23,14,4,4,1,-1,70,50,29,1016,1012,1006,16,16,16,34,12,47,0.00,6,,284
2015-3-17,7,2,-4,3,-9,-15,70,46,22,1030,1026,1017,16,16,16,40,18,53,0.00,2,,342
2015-3-18,10,3,-4,-7,-10,-12,68,45,21,1028,1026,1024,16,16,16,14,3,21,0.00,6,,285
2015-3-19,8,5,2,-6,-7,-8,56,44,31,1025,1023,1019,16,16,14,27,11,35,0.00,7,,152
2015-3-20,14,9,3,2,-2,-6,64,50,35,1019,1016,1014,16,16,16,23,9,50,0.00,6,,223
2015-3-21,10,4,-1,1,-6,-12,82,51,20,1025,1020,1013,16,16,16,26,12,32,0.00,3,,337
2015-3-22,3,0,-3,-4,-7,-10,78,61,43,1028,1026,1025,16,15,6,26,15,34,T,7,Snow,106
