EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,4,-2,-8,-5,-9,-13,73,54,35,1029,1026,1022,16,16,16,39,18,47,0.00,3,,213
2015-1-2,3,2,1,1,-1,-5,92,76,59,1029,1026,1025,16,13,4,23,8,27,T,8,Rain,157
2015-1-3,16,10,3,14,9,1,100,92,84,1023,1016,1010,16,12,3,42,24,58,12.19,8,Rain,160
2015-1-4,15,6,-4,13,6,-7,93,82,70,1030,1014,1007,16,14,2,45,26,60,6.86,8,Rain,251
2015-1-5,-4,-7,-9,-8,-12,-15,81,62,42,1039,1035,1028,16,16,16,32,13,40,0.00,2,,286
2015-1-6,0,-3,-6,-8,-9,-12,74,66,58,1028,1026,1025,16,16,16,26,12,35,0.00,8,,276
2015-1-7,-6,-11,-17,-12,-16,-21,68,60,52,1043,1033,1026,16,14,1,37,21,50,T,6,Snow,314
2015-1-8,-3,-11,-18,-16,-19,-22,79,56,33,1042,1032,1019,16,16,16,42,19,61,0.00,2,,216
2015-1-9,-3,-8,-13,-9,-16,-19,58,46,33,1034,1027,1020,16,16,14,47,21,63,T,4,Snow,265
2015-1-10,-2,-9,-16,-15,-17,-19,86,59,32,1037,1035,1033,16,16,16,19,7,24,0.00,0,,198
2015-1-11,7,0,-8,-1,-9,-16,59,45,30,1032,1030,1025,16,16,16,23,11,31,T,7,Rain,164
2015-1-12,5,2,-1,4,2,-4,100,88,76,1031,1025,1023,16,8,2,32,13,39,5.59,8,Rain-Snow,19
2015-1-13,-1,-3,-4,-4,-7,-8,88,78,68,1034,1032,1029,16,16,11,32,19,39,T,8,Snow,35
2015-1-14,-1,-3,-5,-7,-8,-8,81,70,58,1029,1027,1025,16,16,14,14,7,18,T,5,,52
2015-1-15,1,-2,-4,-3,-4,-6,92,79,66,1025,1023,1020,16,14,6,24,12,29,0.00,7,,214
2015-1-16,6,1,-6,-1,-3,-6,100,81,62,1025,1023,1021,16,12,5,21,10,26,0.00,0,,197
2015-1-17,12,6,-2,0,-3,-4,92,62,32,1023,1018,1012,16,15,11,39,21,50,0.00,0,,185
2015-1-18,10,4,-1,3,0,-4,92,67,42,1018,1014,1010,16,16,11,40,19,56,1.52,4,Rain,241
2015-1-19,13,4,-4,-2,-3,-6,88,62,35,1018,1016,1013,16,16,5,16,7,21,0.00,0,,144
2015-1-20,14,7,-1,1,-2,-3,78,58,38,1016,1013,1011,16,16,16,21,10,26,0.00,2,,239
2015-1-21,12,5,-2,1,-1,-4,89,63,36,1025,1019,1015,16,16,16,34,15,47,0.00,3,,253
2015-1-22,3,0,-4,-2,-3,-5,92,78,64,1031,1029,1024,16,15,11,14,7,19,0.00,6,,355
2015-1-23,2,1,-1,-1,-2,-4,100,88,75,1029,1018,1011,16,6,1,23,12,26,10.16,7,Snow,27
2015-1-24,2,-2,-6,-1,-3,-6,100,89,78,1011,1010,1008,16,10,1,32,15,39,2.29,6,Snow,254
2015-1-25,7,3,0,4,1,-2,100,85,70,1010,1006,1004,16,13,3,26,13,32,6.60,5,Rain,162
2015-1-26,4,0,-5,4,-3,-7,100,88,75,1015,1010,1004,16,11,0,35,15,45,T,8,Fog-Snow,311
2015-1-27,1,-3,-8,-4,-7,-12,92,70,47,1025,1017,1012,16,12,4,23,9,26,0.51,5,Snow,9
2015-1-28,3,-4,-11,-6,-9,-12,88,68,47,1030,1026,1021,16,15,10,23,10,29,0.00,0,,115
2015-1-29,12,6,0,4,-1,-7,89,71,52,1024,1018,1012,16,15,6,45,26,63,1.27,7,Rain,249
2015-1-30,2,-2,-6,-1,-6,-10,89,65,40,1032,1028,1024,16,15,6,32,14,42,T,6,Snow,319
2015-1-31,6,-1,-8,-5,-8,-11,77,57,37,1031,1028,1025,16,16,16,19,9,23,0.00,2,,169
2015-2-1,9,5,1,9,2,-9,100,69,37,1023,1009,1001,16,11,3,39,21,50,14.73,8,Rain,182
2015-2-2,7,1,-6,4,-6,-11,85,74,62,1027,1016,1002,16,14,2,42,21,55,T,8,Snow,290
2015-2-3,3,-2,-7,-7,-8,-10,77,61,44,1029,1026,1023,16,16,16,24,14,31,0.00,4,,215
2015-2-4,11,4,-2,-1,-4,-7,82,59,35,1023,1020,1017,16,16,11,37,20,45,T,3,Snow,229
2015-2-5,-1,-5,-9,-3,-10,-14,92,67,42,1031,1027,1021,16,14,2,35,15,47,0.51,4,Snow,6
2015-2-6,4,-3,-11,-9,-12,-13,80,56,32,1030,1027,1022,16,16,16,21,13,26,0.00,1,,190
2015-2-7,16,8,0,-1,-6,-12,44,37,29,1022,1017,1011,16,16,16,42,22,55,0.00,0,,203
2015-2-8,13,11,9,10,5,-5,96,64,32,1012,1010,1008,16,15,8,45,24,60,0.25,6,Rain,219
2015-2-9,11,4,-3,10,2,-4,100,96,92,1020,1013,1008,10,4,0,27,17,35,0.25,8,Fog-Snow,337
2015-2-10,0,-2,-5,-4,-6,-7,92,82,72,1023,1021,1019,16,13,3,26,13,31,T,8,Snow,22
2015-2-11,8,1,-7,-1,-4,-8,92,69,45,1021,1019,1015,16,13,6,32,12,39,0.00,4,,268
2015-2-12,2,-3,-7,-1,-9,-14,89,72,55,1030,1023,1017,16,14,3,39,23,53,T,8,Snow,312
2015-2-13,-1,-5,-10,-12,-13,-14,80,58,36,1030,1026,1020,16,16,16,23,9,32,0.00,5,,232
2015-2-14,2,-6,-13,-2,-11,-21,92,68,43,1028,1016,1010,16,13,1,52,28,76,1.02,6,Fog-Snow,272
2015-2-15,-6,-11,-16,-17,-18,-19,79,59,39,1034,1031,1029,16,16,16,24,13,32,0.00,2,,7
2015-2-16,-8,-11,-13,-13,-14,-17,92,70,47,1028,1017,1012,16,5,0,27,19,34,26.67,8,Fog-Snow,42
2015-2-17,-6,-12,-18,-14,-16,-19,95,71,47,1020,1017,1014,16,14,2,21,11,24,0.00,3,,228
2015-2-18,-6,-12,-17,-8,-13,-22,92,73,53,1025,1014,1008,16,8,1,42,21,53,2.79,7,Fog-Snow,264
2015-2-19,-14,-18,-22,-22,-23,-26,91,70,49,1031,1027,1023,16,16,8,29,13,34,0.00,3,,267
2015-2-20,-4,-16,-28,-11,-21,-27,87,64,41,1033,1029,1019,16,16,13,29,12,35,T,4,,154
2015-2-21,2,-1,-4,2,0,-8,100,80,60,1020,1015,1011,16,7,0,39,19,52,29.97,8,Fog-Rain-Snow,189
2015-2-22,3,1,-2,-1,-3,-7,100,82,64,1031,1026,1020,16,11,0,26,11,32,0.00,6,,352
2015-2-23,-3,-8,-14,-7,-14,-20,77,63,49,1037,1033,1029,16,16,14,32,20,37,0.00,4,,25
2015-2-24,-2,-8,-15,-11,-16,-20,83,63,42,1028,1020,1014,16,16,16,34,14,39,0.00,2,,211
2015-2-25,2,-2,-6,-5,-8,-12,72,64,55,1017,1014,1011,16,16,16,21,9,27,0.00,3,,224
2015-2-26,1,-4,-9,-7,-9,-13,74,64,53,1028,1017,1010,16,16,8,29,16,37,T,6,Snow,360
2015-2-27,-5,-9,-14,-13,-15,-17,88,66,44,1039,1035,1029,16,16,11,21,8,26,T,2,,6
2015-2-28,1,-4,-9,-6,-12,-16,61,54,47,1040,1037,1032,16,16,16,23,14,29,T,7,,69
2015-3-1,5,2,-1,4,1,-7,100,80,59,1032,1027,1024,16,7,0,24,13,32,7.87,8,Fog-Rain,223
2015-3-2,3,-1,-4,1,-4,-8,100,78,56,1034,1030,1026,16,13,3,27,15,37,0.25,4,Rain,351
2015-3-3,16,7,-3,13,5,-7,93,78,63,1025,1015,1010,16,14,4,40,20,55,4.83,7,Rain,194
2015-3-4,10,3,-4,8,3,-5,100,96,92,1022,1015,1011,16,6,1,32,14,40,64.52,8,Fog-Rain-Snow,345
2015-3-5,-4,-8,-13,-5,-10,-15,96,79,62,1035,1027,1021,16,6,0,34,15,43,7.11,7,Fog-Snow,6
2015-3-6,-4,-11,-19,-11,-14,-20,100,78,55,1037,1034,1031,16,15,6,16,10,23,0.00,0,,166
2015-3-7,7,1,-7,-3,-7,-12,68,57,45,1030,1026,1023,16,16,16,35,22,43,0.00,0,,211
2015-3-8,11,5,-1,1,-3,-7,73,57,41,1026,1024,1022,16,16,16,19,7,23,0.00,0,,212
2015-3-9,13,8,3,6,2,-1,82,70,58,1025,1023,1022,16,16,16,19,8,24,0.00,3,,219
2015-3-10,16,12,7,15,11,4,100,86,71,1021,1016,1013,16,8,2,23,13,31,34.54,8,Rain,156
2015-3-11,18,13,7,11,8,4,100,70,40,1028,1022,1019,16,7,0,23,8,27,0.00,5,Fog,349
2015-3-12,18,11,4,6,1,-4,100,63,25,1032,1029,1027,16,11,2,34,21,43,0.00,0,,63
2015-3-13,13,12,10,11,8,-1,100,71,41,1026,1023,1019,16,10,2,29,17,40,26.42,8,Rain,157
2015-3-14,15,12,9,13,11,5,100,86,71,1021,1016,1014,16,11,2,23,13,31,15.49,7,Rain,259
