EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,3,-2,-8,-2,-6,-9,92,70,48,1028,1027,1025,16,13,1,16,3,19,0.00,5,Fog,236
2015-1-2,7,4,2,4,2,-2,93,75,57,1028,1026,1025,16,10,3,13,1,18,0.25,8,,16
2015-1-3,18,12,5,12,9,4,100,82,63,1024,1020,1015,16,15,6,24,7,35,1.78,7,Rain,128
2015-1-4,19,12,5,13,9,-1,100,80,60,1025,1016,1010,16,13,2,45,16,56,11.43,7,Rain,239
2015-1-5,5,0,-5,-1,-6,-10,74,57,40,1033,1030,1024,16,16,16,35,16,42,T,4,,269
2015-1-6,7,1,-4,-5,-6,-7,81,62,43,1027,1024,1022,16,16,16,34,12,43,0.00,4,,258
2015-1-7,-1,-7,-13,-7,-13,-20,69,54,38,1037,1028,1021,16,14,4,37,21,45,T,7,Snow,302
2015-1-8,-3,-9,-16,-14,-18,-21,86,59,32,1038,1032,1023,16,16,16,26,5,34,0.00,4,,272
2015-1-9,1,-2,-6,-12,-14,-16,57,46,34,1029,1025,1022,16,16,16,39,20,50,0.00,3,,239
2015-1-10,2,-5,-13,-13,-16,-18,73,48,22,1036,1033,1030,16,16,16,23,3,29,0.00,0,,304
2015-1-11,8,-1,-10,-2,-9,-13,80,52,23,1034,1032,1026,16,16,16,13,2,16,T,5,,115
2015-1-12,10,7,4,8,6,-3,100,77,54,1026,1023,1019,16,7,2,19,3,23,14.48,8,Rain,269
2015-1-13,6,4,2,4,2,1,92,86,79,1028,1026,1023,16,16,8,19,9,27,T,8,,28
