EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,6,0,-6,-2,-4,-6,92,73,54,1030,1028,1026,16,15,11,19,5,21,T,6,Rain,232
2015-1-2,6,5,4,5,3,-3,96,76,55,1028,1026,1025,16,11,2,16,7,19,T,8,Rain,27
2015-1-3,13,9,6,12,8,4,96,87,77,1024,1019,1015,16,11,3,29,6,35,17.27,8,Rain-Thunderstorm,3
2015-1-4,18,11,4,13,8,0,100,77,54,1028,1017,1012,16,16,11,47,24,64,7.87,7,Rain,239
2015-1-5,4,1,-2,-1,-6,-8,78,63,47,1036,1033,1028,16,16,16,32,9,39,0.00,4,,281
2015-1-6,6,1,-4,-4,-6,-7,88,66,43,1029,1026,1024,16,16,16,32,12,39,0.00,2,,248
2015-1-7,-1,-7,-12,-6,-12,-21,81,62,42,1040,1030,1024,16,16,14,35,18,48,T,5,Snow,311
2015-1-8,-2,-8,-14,-13,-17,-20,69,52,34,1041,1034,1025,16,16,16,29,11,37,0.00,3,,315
2015-1-9,2,-2,-6,-11,-14,-17,46,39,31,1032,1027,1025,16,16,16,47,20,55,0.00,3,,249
2015-1-10,3,-3,-10,-11,-14,-17,64,47,29,1036,1034,1032,16,16,16,19,7,24,0.00,1,,32
2015-1-11,4,-2,-8,-6,-9,-12,80,57,34,1035,1032,1028,16,16,16,13,4,16,T,5,,26
2015-1-12,6,4,1,6,3,-6,100,76,52,1027,1024,1021,16,6,1,26,4,31,28.70,8,Rain,348
2015-1-13,6,3,1,3,2,0,100,93,85,1028,1027,1025,16,11,3,27,15,32,T,8,Rain,6
2015-1-14,4,2,-2,1,0,-4,100,88,75,1027,1025,1024,16,9,2,14,6,18,0.25,7,Rain,270
2015-1-15,2,-1,-3,-1,-2,-4,92,87,82,1024,1023,1021,16,14,8,13,5,16,T,7,Snow,279
2015-1-16,9,4,-2,-1,-2,-3,92,69,46,1026,1024,1022,16,15,8,13,5,18,0.00,2,,229
2015-1-17,15,6,-4,2,-2,-6,92,63,33,1024,1021,1017,16,14,6,37,8,48,0.00,0,,219
2015-1-18,12,8,3,3,-1,-6,82,55,28,1019,1016,1014,16,16,11,40,21,55,0.51,3,Rain,235
2015-1-19,16,8,1,-2,-3,-5,64,47,29,1020,1017,1014,16,16,16,35,17,40,0.00,1,,227
2015-1-20,17,11,5,2,-1,-3,61,49,36,1015,1013,1011,16,16,16,34,15,40,0.00,6,,236
2015-1-21,14,8,2,2,-2,-7,82,55,27,1023,1019,1015,16,16,16,24,8,29,0.00,3,,257
2015-1-22,8,4,0,-2,-3,-4,75,60,45,1028,1026,1023,16,16,16,16,6,23,0.00,7,,10
2015-1-23,6,4,2,5,3,-2,100,82,64,1025,1016,1008,16,8,2,21,10,24,21.59,8,Rain,16
2015-1-24,6,3,1,4,-1,-4,100,75,49,1014,1011,1007,16,11,2,29,16,37,5.33,5,Rain-Snow,260
2015-1-25,12,6,0,4,0,-3,82,63,44,1014,1009,1005,16,16,16,42,16,53,0.51,5,Rain,226
2015-1-26,7,3,-1,5,-1,-4,96,84,72,1015,1010,1005,16,14,2,34,16,37,2.79,8,Rain-Snow,254
2015-1-27,2,1,-1,-1,-2,-6,100,85,69,1023,1016,1012,16,11,2,26,7,31,0.76,8,Rain-Snow,260
2015-1-28,7,1,-6,-6,-8,-10,75,53,30,1028,1025,1022,16,16,16,21,8,24,0.00,2,,29
2015-1-29,13,6,-3,4,-1,-6,84,64,43,1025,1021,1016,16,16,16,47,16,55,0.51,7,Rain,252
2015-1-30,6,2,-2,-1,-5,-8,65,52,38,1030,1027,1023,16,16,16,26,11,34,T,5,,356
2015-1-31,8,1,-7,-6,-8,-11,84,56,27,1030,1028,1025,16,16,16,14,6,19,0.00,5,,14
2015-2-1,14,8,2,11,2,-6,93,69,45,1025,1014,1003,16,13,2,42,9,63,12.19,8,Rain,293
2015-2-2,12,5,-3,11,-1,-9,93,76,58,1026,1013,1003,16,15,5,42,19,60,4.32,8,Rain-Snow-Thunderstorm,284
2015-2-3,7,1,-6,-6,-8,-9,84,59,33,1029,1027,1025,16,16,16,14,4,21,0.00,3,,249
2015-2-4,11,3,-6,-3,-6,-7,88,59,30,1026,1022,1019,16,16,14,24,6,29,0.00,6,,238
2015-2-5,5,1,-4,-2,-8,-16,72,50,27,1029,1024,1018,16,16,16,32,14,39,0.00,5,,354
2015-2-6,8,-1,-9,-9,-12,-15,80,51,21,1030,1028,1025,16,16,16,23,7,27,0.00,2,,232
2015-2-7,16,6,-4,-6,-8,-12,74,47,20,1025,1021,1017,16,16,16,40,17,50,0.00,1,,233
2015-2-8,17,13,8,8,3,-7,66,48,29,1017,1014,1010,16,16,16,47,26,58,T,5,,218
2015-2-9,15,9,3,12,8,0,93,78,62,1014,1010,1007,16,13,2,32,16,40,2.29,8,Rain,308
2015-2-10,7,3,-2,0,-2,-3,85,73,60,1019,1017,1014,16,16,11,27,16,35,T,7,Rain-Snow,8
2015-2-11,12,4,-4,2,-2,-5,92,69,45,1020,1018,1016,16,15,10,19,8,23,0.00,1,,299
2015-2-12,4,0,-5,0,-7,-14,82,58,33,1027,1022,1016,16,14,2,45,19,55,T,5,Snow,306
2015-2-13,3,-2,-7,-11,-14,-18,62,43,24,1029,1026,1022,16,16,16,26,10,35,0.00,5,,331
2015-2-14,8,1,-6,-4,-9,-14,54,46,37,1022,1017,1011,16,16,16,56,26,79,0.00,7,,245
2015-2-15,-2,-7,-12,-16,-19,-21,55,40,25,1031,1028,1026,16,16,16,32,18,43,0.00,3,,34
2015-2-16,0,-2,-4,-1,-7,-18,100,66,32,1025,1013,1007,16,8,1,24,11,29,30.99,8,Fog-Rain-Snow,29
2015-2-17,-1,-4,-8,-2,-8,-11,92,85,77,1019,1015,1009,16,13,4,26,12,35,0.25,7,Rain-Snow,343
2015-2-18,-2,-6,-11,-4,-8,-15,92,77,62,1024,1016,1013,16,9,1,42,20,55,T,6,Fog-Snow,244
2015-2-19,-9,-12,-16,-15,-17,-20,79,69,58,1030,1028,1024,16,16,11,32,15,43,0.00,3,,254
2015-2-20,-4,-10,-16,-7,-13,-19,88,75,61,1032,1029,1026,16,15,6,13,5,16,0.51,5,Snow,58
2015-2-21,4,0,-5,2,-2,-7,100,91,81,1025,1020,1015,16,6,2,24,7,27,26.42,8,Rain-Snow,49
2015-2-22,6,3,1,5,2,-1,100,91,82,1027,1023,1017,16,3,0,21,9,27,1.27,8,Fog-Rain,14
2015-2-23,2,0,-2,0,-4,-9,96,77,58,1030,1028,1024,16,11,3,27,16,35,T,8,Rain-Snow,10
2015-2-24,-1,-2,-4,-3,-6,-9,92,75,58,1024,1020,1015,16,7,1,19,8,23,6.86,7,Fog-Snow,303
2015-2-25,1,-4,-10,-2,-6,-11,100,78,56,1016,1012,1008,16,6,0,24,8,29,6.60,7,Fog-Snow,46
2015-2-26,3,0,-3,-1,-2,-3,100,91,82,1023,1013,1008,16,9,0,16,5,18,3.56,8,Fog-Snow,247
2015-2-27,2,-1,-4,-3,-8,-12,92,70,47,1035,1030,1024,16,16,11,26,13,32,0.00,5,,13
2015-2-28,8,2,-5,5,-6,-11,68,57,45,1037,1034,1032,16,16,16,21,10,23,0.00,6,,32
2015-3-1,9,4,-1,7,2,-3,92,76,60,1032,1029,1027,16,12,4,16,6,19,0.76,7,Rain,248
2015-3-2,8,6,4,7,4,2,100,85,70,1031,1027,1025,16,10,2,26,13,31,4.06,8,Rain,337
2015-3-3,11,8,5,10,6,2,100,88,76,1025,1019,1014,16,9,1,14,3,18,5.33,8,Fog-Rain,298
2015-3-4,22,13,5,15,11,4,100,83,66,1016,1013,1008,16,14,6,56,28,71,6.60,7,Rain,264
2015-3-5,5,0,-6,4,-2,-8,93,86,78,1032,1022,1014,16,10,2,29,19,40,24.13,8,Rain-Snow,359
2015-3-6,4,-2,-7,-6,-8,-10,84,64,44,1034,1032,1030,16,16,11,23,10,26,T,3,Snow,346
2015-3-7,13,4,-4,-3,-5,-7,88,57,26,1032,1029,1026,16,16,14,27,11,35,0.00,0,,223
2015-3-8,18,9,0,-2,-6,-9,70,43,15,1027,1024,1022,16,16,16,21,8,26,0.00,4,,226
2015-3-9,15,11,7,9,6,-2,93,66,38,1025,1023,1022,16,16,14,37,3,52,2.79,8,Rain,225
2015-3-10,20,15,9,14,11,9,100,84,68,1023,1019,1016,16,13,6,37,11,43,2.54,8,Rain,258
2015-3-11,21,17,13,16,14,12,100,87,73,1026,1021,1018,16,10,2,24,7,31,17.02,8,Rain,295
2015-3-12,21,16,9,11,9,8,93,73,52,1028,1026,1025,16,16,16,27,13,32,T,7,Rain,32
2015-3-13,16,13,9,12,9,8,100,86,72,1027,1025,1022,16,13,4,19,8,23,6.86,8,Rain,9
2015-3-14,14,11,8,13,11,7,100,97,93,1021,1018,1015,16,7,2,23,8,27,3.81,8,Rain,238
2015-3-15,21,14,7,12,7,2,100,66,32,1026,1023,1020,16,13,0,21,7,23,0.00,4,Fog,36
2015-3-16,24,14,4,6,3,1,86,56,25,1024,1021,1016,16,16,14,19,7,27,0.00,3,,210
2015-3-17,24,17,10,12,7,2,65,54,43,1020,1015,1013,16,16,13,34,15,43,0.00,3,,268
