CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,1,-3,-7,-1,-5,-11,89,76,63,1029,1025,1023,16,12,3,24,10,27,1.02,7,Rain,224
2015-1-2,3,2,0,2,1,-1,96,91,85,1025,1022,1015,16,8,3,27,8,34,6.60,8,Rain,149
2015-1-3,7,5,3,4,3,2,100,92,83,1015,1011,1006,16,11,3,32,10,39,8.13,8,Rain-Snow,278
2015-1-4,3,-3,-9,2,-9,-15,96,73,50,1041,1027,1012,16,13,3,37,20,45,T,6,Rain-Snow,306
2015-1-5,1,-6,-12,-9,-14,-17,73,54,35,1042,1034,1025,16,16,16,29,14,37,0.00,0,,146
2015-1-6,2,-2,-5,-6,-8,-10,69,60,51,1034,1030,1026,16,16,16,37,19,47,0.00,1,,321
2015-1-7,-3,-9,-16,-11,-17,-23,68,52,36,1048,1043,1034,16,15,3,50,25,61,T,4,Snow,352
2015-1-8,1,-8,-17,-13,-18,-21,79,51,23,1044,1030,1021,16,16,16,40,22,55,0.00,2,,212
2015-1-9,-1,-7,-14,-10,-16,-19,73,53,32,1036,1034,1026,16,16,16,42,18,50,0.00,2,,326
2015-1-10,3,-6,-14,-13,-15,-18,76,51,25,1035,1030,1025,16,16,16,35,19,42,0.00,3,,167
2015-1-11,2,0,-2,1,-2,-13,100,68,35,1026,1022,1020,16,8,2,29,17,37,2.29,8,Rain,149
2015-1-12,2,-2,-7,1,-3,-13,100,76,51,1035,1028,1021,16,10,1,37,20,42,T,6,Fog-Rain,3
2015-1-13,0,-6,-11,-11,-12,-14,76,58,39,1036,1034,1031,16,16,16,24,11,29,0.00,0,,34
2015-1-14,3,-2,-8,-4,-9,-11,84,60,35,1031,1027,1024,16,16,14,11,3,14,T,7,,243
2015-1-15,8,2,-5,-4,-5,-6,88,63,37,1025,1023,1022,16,14,3,23,10,42,0.25,3,Snow,242
2015-1-16,15,5,-6,-2,-4,-8,81,55,28,1025,1021,1016,16,16,14,26,13,32,0.00,0,,193
2015-1-17,16,9,3,1,-2,-5,70,53,36,1019,1014,1011,16,16,16,42,21,53,0.00,0,,236
2015-1-18,17,9,1,-5,-6,-8,56,37,17,1021,1017,1014,16,16,16,39,19,50,0.00,0,,233
2015-1-19,19,8,-2,-1,-3,-6,72,46,19,1015,1014,1012,16,16,16,26,9,35,0.00,0,,248
2015-1-20,8,4,1,4,1,-2,92,73,53,1021,1018,1014,16,16,16,32,9,43,1.02,3,Rain,273
2015-1-21,11,4,-2,1,-1,-7,100,66,31,1027,1022,1020,16,8,0,26,8,35,0.00,2,Fog,274
2015-1-22,7,3,-2,-2,-3,-5,78,64,49,1032,1029,1027,16,16,16,21,10,26,0.00,1,,39
2015-1-23,6,0,-7,-3,-6,-8,88,66,43,1027,1022,1017,16,15,8,23,7,29,0.00,0,,300
2015-1-24,14,5,-4,0,-2,-6,81,60,38,1017,1013,1007,16,16,16,29,17,39,0.00,1,,247
2015-1-25,10,6,2,3,1,-1,92,69,46,1020,1010,1004,16,13,5,45,26,60,0.51,8,Rain,307
2015-1-26,14,6,-3,2,-1,-4,92,64,36,1020,1017,1014,16,16,14,35,15,43,0.00,2,,267
2015-1-27,16,7,-2,1,-2,-4,85,57,28,1022,1020,1016,16,16,16,24,7,29,0.00,0,,47
2015-1-28,20,12,3,5,2,-2,79,61,42,1019,1015,1011,16,16,16,45,28,52,0.00,0,,166
2015-1-29,16,6,-4,4,-1,-6,79,61,42,1033,1024,1011,16,16,11,42,23,50,0.00,4,,325
2015-1-30,9,2,-6,-4,-7,-11,92,59,25,1034,1032,1027,16,16,16,16,7,21,0.00,0,,22
2015-1-31,7,5,3,1,-5,-9,76,54,31,1028,1021,1011,16,15,10,47,22,56,0.76,8,Rain,147
2015-2-1,7,-1,-8,5,0,-11,100,87,74,1022,1010,1006,16,9,3,47,24,58,8.89,8,Rain,230
2015-2-2,-2,-6,-9,-9,-11,-12,80,65,50,1029,1026,1023,16,14,8,34,14,43,T,5,Snow,283
2015-2-3,12,3,-7,-4,-7,-9,84,56,28,1024,1021,1018,16,16,16,42,17,50,0.00,0,,185
2015-2-4,8,1,-7,-1,-5,-9,92,71,49,1030,1024,1016,16,10,2,40,20,48,1.27,6,Rain-Snow,8
2015-2-5,1,-6,-13,-10,-13,-14,84,58,32,1034,1031,1028,16,16,16,29,11,39,0.00,2,,85
2015-2-6,14,5,-4,2,-3,-10,76,58,40,1027,1022,1017,16,16,16,35,20,42,0.00,0,,185
2015-2-7,23,12,1,4,2,0,89,56,23,1016,1011,1007,16,15,4,42,21,53,0.00,0,,187
2015-2-8,21,13,6,8,4,2,86,59,31,1014,1009,1007,16,16,16,34,17,43,0.00,0,,267
2015-2-9,7,4,1,3,-1,-3,89,80,70,1023,1021,1015,16,10,4,34,18,39,0.00,7,,7
2015-2-10,12,5,-3,-3,-4,-6,84,60,35,1022,1019,1015,16,16,16,32,17,39,0.00,1,,130
2015-2-11,9,2,-4,1,-3,-7,85,67,49,1029,1023,1017,16,16,13,35,18,42,0.00,1,,344
2015-2-12,-1,-4,-7,-7,-13,-18,88,58,28,1035,1031,1029,16,16,16,47,16,56,0.00,2,,5
2015-2-13,9,3,-4,-4,-9,-15,64,49,33,1028,1024,1020,16,16,16,32,16,37,0.00,2,,223
2015-2-14,13,4,-6,-1,-7,-19,81,57,32,1028,1023,1019,16,16,16,40,19,50,0.00,0,,334
2015-2-15,-1,-4,-8,-8,-14,-19,91,58,25,1028,1024,1021,16,11,1,34,21,42,10.16,6,Rain-Snow,96
2015-2-16,-5,-9,-13,-9,-11,-14,88,78,68,1022,1019,1017,16,7,0,24,15,29,9.91,7,Fog-Snow,15
2015-2-17,2,-7,-16,-2,-8,-18,92,75,58,1022,1019,1015,16,11,0,39,14,43,1.78,5,Snow,275
2015-2-18,-6,-12,-17,-13,-17,-21,73,57,41,1031,1026,1021,16,16,14,39,18,50,0.00,1,Snow,308
2015-2-19,-6,-13,-21,-16,-18,-23,79,59,39,1033,1029,1024,16,16,16,29,9,39,0.00,5,,138
2015-2-20,-1,-4,-8,-2,-6,-16,92,71,49,1023,1014,1009,16,12,4,40,27,52,1.78,7,Rain,143
2015-2-21,3,1,-1,1,-1,-2,96,91,85,1023,1015,1008,16,7,1,26,10,31,2.79,6,Fog-Rain-Snow,12
