CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-2,-9,-16,-6,-12,-21,81,67,52,1024,1016,1008,16,16,16,42,19,48,T,7,,341
2015-1-2,4,-6,-15,-3,-9,-21,81,67,52,1022,1016,1008,16,16,16,37,18,50,0.00,8,,182
2015-1-3,-3,-13,-24,-7,-19,-29,86,75,64,1035,1020,1007,16,9,1,60,39,71,1.02,6,Snow,345
2015-1-4,-20,-22,-25,-27,-28,-29,72,62,52,1038,1036,1033,16,16,11,35,19,40,T,2,,304
2015-1-5,-17,-21,-25,-23,-26,-29,78,68,58,1037,1031,1025,16,16,16,23,13,27,0.00,3,,216
2015-1-6,-14,-17,-21,-20,-23,-26,75,69,62,1045,1034,1029,16,14,2,42,25,52,T,3,Snow,306
2015-1-7,-14,-19,-25,-22,-24,-28,72,64,55,1053,1045,1026,16,16,16,29,20,37,0.00,0,,258
2015-1-8,-11,-14,-18,-14,-17,-23,80,70,60,1029,1015,1007,16,6,0,60,33,71,2.03,8,Snow,321
2015-1-9,-13,-17,-20,-21,-23,-24,72,64,55,1030,1028,1024,16,16,14,39,22,48,0.00,1,Snow,278
2015-1-10,-13,-17,-22,-19,-23,-26,75,65,55,1026,1022,1018,16,16,16,26,13,31,0.00,0,,287
2015-1-11,-12,-16,-21,-17,-21,-24,79,72,65,1037,1028,1024,16,12,3,24,10,27,0.51,5,Snow,303
2015-1-12,-19,-23,-27,-25,-27,-30,74,65,56,1048,1044,1038,16,16,16,29,11,37,0.00,0,,313
2015-1-13,-10,-16,-23,-14,-21,-27,86,75,64,1042,1031,1025,16,16,16,37,22,45,T,3,,177
2015-1-14,-3,-10,-17,-6,-12,-19,92,83,73,1025,1019,1013,16,13,2,32,15,39,2.03,6,Snow,199
2015-1-15,2,-3,-8,-3,-6,-9,92,81,70,1019,1016,1013,16,16,16,26,14,32,0.00,6,,323
2015-1-16,-2,-4,-8,-3,-7,-11,92,83,73,1019,1012,1003,16,14,5,37,21,48,0.00,8,,124
2015-1-17,4,1,-2,-1,-2,-4,92,81,69,1007,1001,996,16,10,1,39,25,52,3.56,6,Rain-Snow,275
2015-1-18,1,-4,-9,-3,-6,-10,91,82,72,1015,1012,1006,16,16,16,24,11,32,0.00,2,,359
2015-1-19,3,-1,-4,-1,-2,-6,89,80,70,1014,1010,1007,16,14,6,29,13,37,0.00,6,,144
2015-1-20,1,-1,-2,-1,-3,-4,92,85,78,1019,1015,1012,16,11,3,23,11,29,T,8,,33
2015-1-21,-2,-7,-12,-5,-9,-15,92,80,67,1030,1025,1019,16,14,2,34,17,37,T,7,Snow,350
2015-1-22,2,-5,-13,-3,-8,-15,92,78,64,1030,1023,1014,16,14,3,40,25,52,0.00,5,,188
2015-1-23,8,3,-2,2,-1,-4,92,79,65,1014,1013,1011,16,16,16,26,15,34,0.51,2,Rain,263
2015-1-24,2,-1,-4,-1,-2,-6,92,84,75,1011,1006,1002,16,13,3,29,13,37,0.51,6,Snow,337
2015-1-25,-2,-4,-7,-4,-8,-11,81,72,62,1019,1015,1009,16,16,14,37,16,43,T,6,Snow,234
2015-1-26,7,2,-4,1,-2,-6,92,79,65,1018,1012,1005,16,16,13,42,19,53,T,4,,335
2015-1-27,2,-1,-3,-1,-3,-4,100,91,82,1020,1017,1014,16,8,0,40,21,52,0.00,8,Fog,148
2015-1-28,2,1,-2,0,-1,-4,96,89,82,1020,1012,1008,16,9,2,48,28,60,T,8,,290
2015-1-29,-2,-8,-14,-5,-12,-18,85,73,61,1038,1032,1021,16,16,10,50,29,60,T,6,Snow,350
2015-1-30,1,-6,-14,-4,-11,-17,88,76,63,1037,1028,1020,16,16,11,39,19,48,0.00,4,,153
2015-1-31,-4,-11,-19,-8,-17,-23,80,64,48,1033,1029,1022,16,16,14,42,32,53,0.00,6,,1
2015-2-1,-14,-18,-22,-24,-25,-26,72,58,44,1037,1033,1028,16,16,16,39,22,48,0.00,3,,360
2015-2-2,-6,-12,-19,-17,-20,-24,76,58,39,1027,1020,1015,16,16,16,27,16,32,0.00,0,,216
2015-2-3,-9,-12,-16,-13,-16,-18,86,76,66,1023,1020,1016,16,10,1,14,5,18,1.27,8,Snow,322
2015-2-4,-12,-17,-21,-16,-21,-24,88,73,57,1033,1030,1021,16,16,5,27,17,35,T,3,Snow,283
2015-2-5,-3,-11,-19,-9,-15,-23,84,72,60,1028,1019,1015,16,16,16,34,18,42,0.00,1,,191
2015-2-6,1,-4,-9,-7,-9,-12,88,70,51,1017,1014,1008,16,15,10,24,12,27,0.00,3,,95
2015-2-7,2,-2,-7,-4,-7,-9,88,76,64,1008,1004,1002,16,11,6,29,12,35,0.00,5,,93
2015-2-8,-4,-7,-9,-7,-10,-13,92,80,67,1025,1016,1006,16,14,6,34,22,40,0.00,8,,354
2015-2-9,-4,-8,-11,-6,-10,-14,88,81,73,1028,1025,1019,16,10,3,21,11,24,T,8,,33
2015-2-10,0,-4,-8,-2,-5,-11,92,84,75,1023,1013,1009,16,5,0,48,24,60,9.40,8,Fog-Rain-Snow,158
