PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-3,-7,-12,-8,-10,-13,92,75,57,1036,1034,1030,16,16,16,11,2,11,0.00,5,,350
2015-1-2,-2,-6,-10,-6,-8,-11,100,82,63,1030,1024,1021,16,16,16,14,3,16,0.00,5,,52
2015-1-3,-1,-6,-11,-5,-7,-12,92,81,69,1029,1027,1026,16,15,11,14,5,18,0.00,5,,307
2015-1-4,3,1,-3,2,-2,-5,100,85,69,1030,1027,1018,16,8,1,34,3,37,5.08,7,Rain-Snow,269
2015-1-5,13,8,3,8,6,2,92,77,61,1026,1022,1017,16,16,16,53,32,68,T,3,,229
2015-1-6,8,4,-1,4,2,0,100,88,76,1031,1028,1025,16,16,13,19,8,23,0.00,0,,326
2015-1-7,5,1,-3,3,1,-2,100,93,85,1032,1030,1028,16,13,1,16,3,19,0.00,5,Fog,32
2015-1-8,2,2,1,2,1,1,100,96,92,1030,1030,1029,16,9,1,13,5,16,0.00,8,,334
2015-1-9,3,2,1,2,2,1,100,96,92,1029,1026,1022,16,13,4,10,3,11,0.00,8,,249
2015-1-10,3,2,0,2,1,0,100,93,85,1022,1020,1019,16,15,13,11,3,14,0.00,8,,309
2015-1-11,5,3,1,2,1,1,100,93,85,1027,1024,1021,16,16,13,14,3,18,T,8,Rain,323
2015-1-12,6,3,1,3,2,1,100,90,79,1033,1031,1028,16,15,10,13,5,14,0.51,8,Rain,175
2015-1-13,4,3,1,2,2,0,100,91,82,1036,1035,1034,16,14,11,19,5,21,0.00,8,,335
2015-1-14,3,3,2,1,1,0,92,87,82,1034,1033,1031,16,16,16,16,8,18,0.00,8,,315
2015-1-15,5,3,1,2,1,0,100,85,70,1031,1026,1016,16,16,13,14,3,18,1.02,8,Rain,19
2015-1-16,11,4,-2,5,1,-3,100,77,54,1026,1020,1015,16,13,5,14,6,16,T,2,Rain,329
2015-1-17,2,0,-2,2,1,-2,100,95,89,1025,1020,1012,16,11,3,16,8,19,8.38,6,Rain,291
