EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,6,-1,-8,-6,-9,-12,75,55,34,1024,1021,1018,16,16,16,27,11,35,0.00,2,,201
2015-1-2,7,1,-5,-4,-6,-7,88,66,43,1030,1026,1020,16,16,14,11,1,13,0.00,5,,270
2015-1-3,3,-1,-4,3,1,-6,100,85,70,1032,1028,1019,16,7,0,11,3,14,14.22,8,Fog-Rain,110
2015-1-4,16,9,3,12,7,-1,100,81,61,1018,1012,1006,16,11,0,48,20,58,7.11,8,Rain,220
2015-1-5,8,2,-4,-2,-11,-17,64,46,28,1032,1026,1017,16,16,16,53,26,64,0.00,4,,308
2015-1-6,-2,-7,-11,-7,-9,-16,100,68,36,1030,1025,1020,16,10,0,14,6,21,7.11,6,Fog-Snow,197
2015-1-7,-6,-9,-13,-10,-15,-23,92,65,38,1033,1023,1017,16,15,2,47,21,60,T,5,Snow,302
2015-1-8,-6,-11,-16,-17,-21,-23,56,47,37,1036,1032,1022,16,16,16,47,15,60,0.00,3,,245
2015-1-9,2,-2,-6,-11,-14,-17,55,44,32,1027,1021,1016,16,16,16,40,17,56,0.00,4,,265
2015-1-10,-4,-8,-13,-16,-18,-19,80,56,32,1037,1034,1028,16,16,16,26,8,35,0.00,0,,316
2015-1-11,4,-5,-14,-4,-12,-16,88,60,32,1039,1036,1032,16,16,16,24,5,40,T,6,Rain,165
2015-1-12,3,2,0,2,0,-4,100,85,69,1032,1025,1020,16,8,0,23,7,27,15.75,8,Rain,222
2015-1-13,3,-1,-6,0,-8,-12,85,64,43,1035,1033,1026,16,16,11,35,18,42,0.00,6,,6
2015-1-14,-2,-4,-6,-6,-8,-12,81,70,59,1033,1028,1024,16,14,8,19,10,23,T,8,Snow,350
2015-1-15,2,-2,-6,-3,-6,-7,92,74,56,1024,1021,1016,16,15,10,19,4,23,0.00,5,,261
2015-1-16,6,-1,-7,-4,-6,-8,100,73,46,1025,1018,1015,16,14,8,45,14,53,0.00,2,,302
2015-1-17,3,-2,-7,-3,-9,-12,77,60,43,1030,1026,1021,16,16,16,23,11,29,0.00,2,,136
2015-1-18,6,3,-1,2,-1,-3,92,81,70,1021,1013,1007,16,14,2,34,8,45,T,6,Rain,213
2015-1-19,8,2,-4,-2,-4,-6,81,59,37,1016,1014,1012,16,16,16,35,10,42,0.00,4,,291
2015-1-20,8,1,-6,-2,-4,-7,96,73,49,1018,1014,1012,16,16,11,21,2,35,T,4,,335
2015-1-21,1,-2,-4,0,-2,-6,100,92,84,1022,1020,1018,16,5,0,13,2,14,4.06,7,Fog-Snow,333
2015-1-22,7,3,-1,1,-2,-4,100,76,51,1029,1026,1022,16,10,0,40,13,52,0.25,7,Fog-Rain-Snow,282
2015-1-23,4,0,-5,0,-3,-7,96,78,59,1029,1022,1011,16,10,2,21,7,26,17.27,7,Rain-Snow,193
2015-1-24,6,3,0,1,-1,-4,96,78,59,1011,1003,998,16,9,2,35,15,45,9.40,7,Rain-Snow,323
2015-1-25,8,4,1,1,-2,-3,73,61,49,1011,1009,1006,16,16,16,23,7,45,0.00,8,,195
2015-1-26,6,2,-3,2,-2,-6,92,80,67,1010,1008,1006,16,6,1,29,17,35,5.84,8,Rain-Snow,36
2015-1-27,0,-2,-3,-4,-6,-10,84,71,57,1016,1010,1007,16,13,2,39,25,50,0.51,6,Snow,329
2015-1-28,2,-3,-8,-11,-13,-14,62,47,32,1028,1023,1016,16,16,16,39,19,50,0.00,0,,326
2015-1-29,2,-4,-10,-4,-9,-13,88,63,38,1028,1022,1013,16,16,16,21,9,29,1.27,6,Rain,163
2015-1-30,4,-2,-7,-2,-8,-16,70,55,40,1025,1018,1013,16,16,14,60,30,76,T,4,Snow,310
2015-1-31,1,-4,-9,-11,-14,-17,73,54,35,1028,1026,1025,16,16,16,45,15,56,0.00,1,,318
2015-2-1,5,-1,-8,-1,-8,-11,84,58,32,1026,1020,1009,16,15,8,21,8,24,1.27,8,Rain-Snow,157
2015-2-2,8,2,-5,3,-4,-14,100,73,46,1021,1004,997,16,13,2,63,22,82,3.81,6,Rain,311
2015-2-3,2,-2,-6,-10,-13,-14,68,43,22,1029,1026,1021,16,16,16,34,14,42,0.00,2,,291
2015-2-4,12,3,-6,-4,-6,-8,81,55,29,1026,1020,1013,16,16,16,26,11,34,0.00,6,,193
2015-2-5,5,-2,-8,-3,-13,-20,64,47,29,1028,1020,1011,16,16,16,56,27,69,0.00,4,,324
2015-2-6,2,-5,-13,-12,-16,-19,73,50,27,1028,1025,1022,16,16,16,26,9,32,0.00,3,,205
2015-2-7,8,0,-8,-7,-10,-13,80,52,24,1023,1019,1014,16,16,14,16,4,40,0.00,6,,183
2015-2-8,16,7,-3,-2,-4,-7,75,54,32,1014,1010,1007,16,16,11,16,6,50,0.00,6,,326
2015-2-9,4,2,0,2,-1,-3,92,78,64,1015,1012,1009,13,10,6,21,12,45,2.79,8,Rain,41
2015-2-10,3,1,-2,-2,-3,-6,85,75,64,1019,1016,1014,16,16,13,34,20,45,T,6,Rain,357
2015-2-11,7,2,-4,-4,-7,-8,81,59,36,1020,1016,1013,16,16,16,21,8,24,0.00,3,,7
2015-2-12,4,-2,-8,-2,-7,-18,78,59,39,1020,1012,1010,16,14,2,56,22,77,T,6,Snow,281
2015-2-13,-3,-7,-12,-16,-18,-20,59,44,29,1027,1024,1020,16,16,16,45,17,61,0.00,1,,318
2015-2-14,6,-2,-11,-2,-10,-21,67,49,30,1019,1006,998,16,12,0,71,20,85,0.76,7,Fog-Snow,258
2015-2-15,-8,-11,-14,-20,-22,-23,52,43,33,1028,1021,1012,16,15,10,72,43,90,0.00,2,Snow,308
2015-2-16,-9,-12,-14,-12,-18,-24,84,59,33,1029,1025,1017,16,9,1,34,11,40,6.60,7,Snow,310
2015-2-17,-2,-8,-14,-12,-13,-15,88,67,46,1016,1014,1012,16,13,2,23,6,27,3.05,6,Snow,17
2015-2-18,1,-8,-17,-4,-14,-22,91,65,39,1015,1011,1006,16,14,1,50,14,63,T,4,Snow,253
2015-2-19,-9,-12,-14,-18,-21,-25,57,47,36,1024,1019,1015,16,14,2,45,28,58,T,4,Snow,291
2015-2-20,-7,-12,-18,-22,-24,-26,51,40,28,1033,1030,1025,16,16,16,39,14,58,0.00,1,,276
2015-2-21,1,-6,-13,-1,-11,-23,92,65,38,1032,1026,1021,16,7,0,29,14,40,23.62,7,Fog-Rain-Snow,179
2015-2-22,8,4,0,1,-1,-2,92,73,53,1025,1022,1019,16,10,3,16,5,21,T,7,Rain,327
2015-2-23,3,-4,-12,-2,-12,-22,70,52,34,1030,1028,1024,16,16,16,24,20,29,0.00,5,,340
2015-2-24,-3,-11,-20,-14,-19,-24,92,63,33,1030,1022,1010,16,16,16,27,9,34,9.65,3,,174
2015-2-25,3,-6,-14,-1,-11,-16,80,58,35,1016,1013,1009,16,16,16,14,6,16,0.00,6,,191
2015-2-26,1,-1,-2,-3,-5,-9,92,72,51,1021,1014,1012,16,10,1,21,7,26,2.54,8,Fog-Snow,11
2015-2-27,-1,-3,-7,-4,-11,-17,85,61,36,1039,1030,1022,16,15,11,27,14,35,0.00,4,,337
