EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,1,-3,-8,-9,-12,-16,62,50,38,1022,1020,1016,16,16,16,45,26,58,0.00,2,,243
2015-1-2,3,-1,-4,-7,-8,-9,69,58,47,1029,1026,1021,16,16,14,34,11,45,0.00,6,,247
2015-1-3,13,6,-2,12,2,-7,93,77,61,1027,1017,1009,16,10,2,34,21,40,29.46,8,Rain,159
2015-1-4,14,6,-3,12,4,-8,93,78,63,1022,1010,1003,16,12,2,47,29,66,7.62,8,Rain-Snow,256
2015-1-5,-3,-7,-12,-7,-14,-18,81,70,58,1034,1029,1021,16,11,1,47,22,60,0.76,7,Snow,280
2015-1-6,-8,-10,-12,-13,-14,-17,84,71,58,1029,1024,1018,16,8,1,40,14,56,2.29,7,Snow,260
2015-1-7,-11,-14,-17,-16,-18,-23,75,65,54,1035,1026,1018,16,7,1,39,23,52,1.27,6,Snow,295
2015-1-8,-9,-14,-19,-14,-21,-25,76,61,45,1035,1027,1012,16,13,2,39,25,50,0.51,6,Snow,221
2015-1-9,-7,-12,-17,-9,-15,-22,84,72,59,1030,1019,1010,16,8,0,45,26,60,3.30,6,Snow,255
2015-1-10,-10,-15,-20,-18,-21,-23,79,63,46,1035,1033,1031,16,16,16,32,15,37,0.00,3,,218
2015-1-11,1,-4,-9,-3,-11,-17,85,62,38,1032,1030,1027,16,14,2,35,18,42,2.29,8,Snow,200
2015-1-12,1,-2,-6,0,-3,-10,96,86,75,1033,1026,1022,16,5,1,32,16,42,11.43,8,Rain-Snow,312
2015-1-13,-6,-9,-14,-11,-15,-18,80,63,45,1039,1036,1031,16,16,16,32,15,40,0.00,2,,40
2015-1-14,-6,-11,-16,-13,-16,-19,83,70,56,1030,1027,1024,16,15,10,13,6,14,0.00,4,,293
2015-1-15,-1,-3,-4,8,-11,-15,84,65,46,1026,1020,1014,16,12,6,26,15,37,0.00,5,,222
2015-1-16,1,-3,-7,-4,-7,-12,78,68,58,1025,1020,1013,16,13,3,29,18,37,T,7,Snow,305
2015-1-17,7,0,-8,-1,-6,-12,77,63,49,1025,1017,1009,16,15,10,39,22,52,0.00,3,,172
2015-1-18,7,4,1,1,-1,-3,92,71,49,1013,1009,1007,16,12,3,39,22,52,2.54,8,Rain-Snow,241
2015-1-19,4,2,-1,-1,-3,-3,89,77,64,1017,1015,1012,16,11,2,26,9,32,1.27,8,Snow,278
2015-1-20,2,1,-1,-1,-3,-4,92,84,75,1017,1014,1012,11,6,1,13,7,23,0.76,8,Snow,75
2015-1-21,2,1,-1,0,-2,-4,92,85,78,1021,1017,1014,10,3,0,26,11,35,6.60,8,Fog-Snow,193
2015-1-22,2,-1,-4,-3,-6,-7,85,80,75,1031,1028,1021,13,8,4,19,10,26,T,8,Snow,294
2015-1-23,-1,-2,-4,-6,-7,-7,81,75,69,1030,1022,1011,14,12,6,21,9,26,0.00,8,,230
2015-1-24,1,-2,-6,-2,-4,-7,92,82,72,1010,1006,1002,6,5,3,27,14,34,0.51,8,Snow,266
2015-1-25,2,-2,-6,0,-4,-9,89,82,75,1011,1009,1006,10,2,0,27,17,35,5.33,8,Snow,46
2015-1-26,-3,-4,-7,-8,-9,-10,84,76,68,1013,1010,1008,16,7,2,29,18,34,4.83,8,Snow,358
2015-1-27,-6,-9,-12,-9,-12,-14,84,76,67,1023,1017,1011,16,9,3,26,15,42,0.51,7,Snow,339
2015-1-28,-1,-8,-16,-11,-14,-17,100,71,41,1029,1027,1021,16,11,1,23,9,27,0.00,3,Fog,240
2015-1-29,3,-1,-5,1,-4,-12,85,68,50,1023,1013,1007,16,10,2,39,24,52,5.33,8,Rain-Snow,215
2015-1-30,-1,-8,-15,-3,-11,-18,88,74,59,1031,1025,1017,16,6,1,42,20,56,2.03,7,Snow,323
2015-1-31,-2,-8,-16,-7,-12,-18,86,72,58,1031,1028,1024,16,14,11,24,13,37,0.00,5,,217
2015-2-1,2,0,-2,1,-2,-7,96,83,69,1023,1014,999,16,3,0,26,13,39,17.78,8,Rain-Snow,153
2015-2-2,4,-5,-14,2,-10,-18,92,79,66,1024,1009,995,16,5,0,40,22,53,2.03,7,Fog-Rain-Snow,297
2015-2-3,-3,-9,-17,-6,-13,-19,86,72,57,1027,1024,1020,16,14,1,27,16,35,0.51,6,Snow,224
2015-2-4,3,-1,-5,-1,-5,-8,89,74,59,1021,1017,1014,16,9,0,32,19,58,7.11,8,Snow,235
2015-2-5,-5,-11,-17,-9,-18,-22,84,68,52,1030,1027,1020,16,14,2,35,16,50,0.51,4,Snow,312
2015-2-6,-2,-10,-18,-9,-14,-22,72,61,50,1028,1024,1022,16,16,16,32,20,39,0.00,6,,233
2015-2-7,6,0,-6,-2,-6,-11,70,60,49,1021,1015,1010,16,16,16,32,16,39,0.00,8,,202
2015-2-8,9,6,3,4,1,-2,93,73,53,1009,1007,1006,16,11,0,24,13,32,2.54,7,Fog-Rain,228
