EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,12,6,-1,3,-1,-2,93,74,38,1029,1028,1026,16,14,8,19,5,42,0.00,1,,235
2015-1-2,16,12,9,10,6,3,88,68,42,1029,1027,1026,16,16,16,14,8,,0.00,6,,256
2015-1-3,19,14,11,17,12,8,94,86,77,1028,1026,1023,16,12,0,19,10,,0.25,7,Fog,35
2015-1-4,26,22,19,19,18,12,94,83,61,1023,1021,1018,16,13,1,35,19,53,3.05,6,Rain,208
2015-1-5,18,11,4,11,4,-4,87,62,29,1031,1026,1021,16,16,16,34,18,34,0.00,1,,301
2015-1-6,17,9,2,4,1,-3,93,72,26,1030,1027,1020,16,16,16,34,5,42,0.00,0,,292
2015-1-7,9,4,-1,-1,-5,-16,75,49,28,1031,1022,1019,16,16,16,37,16,48,0.00,3,,333
2015-1-8,-1,-4,-8,-12,-18,-21,54,37,27,1038,1034,1030,16,16,16,39,27,50,0.00,0,,345
2015-1-9,13,4,-4,-1,-8,-13,61,47,28,1030,1027,1022,16,16,16,24,8,39,0.00,4,,301
2015-1-10,8,3,-1,-4,-9,-14,56,40,20,1037,1032,1027,16,16,16,27,13,27,0.00,0,,4
2015-1-11,14,7,-1,9,-3,-10,72,55,41,1037,1035,1030,16,16,16,27,14,32,0.00,3,,30
2015-1-12,18,16,13,17,13,9,94,87,72,1029,1025,1021,16,8,0,26,16,37,9.14,8,Fog-Rain-Thunderstorm,155
2015-1-13,15,9,4,13,8,2,94,88,76,1028,1024,1021,16,7,1,29,14,32,0.76,8,,359
2015-1-14,4,3,2,2,1,0,93,86,81,1026,1024,1022,16,13,3,29,21,35,0.76,8,,351
2015-1-15,8,6,3,4,2,0,93,84,76,1024,1023,1020,16,11,2,21,14,27,0.25,8,,330
2015-1-16,13,8,3,4,3,1,87,79,44,1024,1020,1018,16,12,8,23,10,27,0.51,5,,308
2015-1-17,14,7,1,8,3,-1,93,78,57,1029,1025,1022,16,16,10,21,6,42,0.00,1,,56
2015-1-18,18,13,9,13,7,0,94,71,39,1022,1017,1012,16,15,8,27,11,45,0.25,4,,248
2015-1-19,17,10,3,4,0,-3,75,54,27,1021,1019,1017,16,16,16,24,13,27,0.00,0,,256
2015-1-20,19,14,9,6,1,-1,66,48,30,1018,1016,1015,16,16,16,24,14,32,0.00,0,,237
2015-1-21,19,13,8,9,5,3,76,64,43,1021,1017,1015,16,16,16,19,10,,0.00,0,,261
2015-1-22,17,11,5,6,3,1,87,67,34,1027,1024,1021,16,16,11,21,10,29,0.00,1,,38
2015-1-23,19,14,9,16,7,1,94,68,44,1026,1020,1007,16,14,5,35,18,47,5.08,6,Rain,47
2015-1-24,20,13,7,18,11,2,88,82,66,1013,1005,1000,16,14,6,39,24,55,35.81,6,Rain-Thunderstorm,247
2015-1-25,12,7,2,6,1,-2,82,65,38,1017,1013,1011,16,16,16,23,14,,0.00,0,,244
2015-1-26,15,11,8,7,6,4,82,70,48,1010,1006,1002,16,16,16,26,14,39,1.27,3,,257
2015-1-27,8,4,1,6,-2,-8,87,60,32,1016,1010,1006,16,16,16,29,16,39,1.27,2,,305
2015-1-28,8,3,-2,-4,-7,-10,80,52,27,1028,1022,1016,16,16,16,26,13,37,0.00,0,,330
2015-1-29,11,3,-3,6,-2,-6,86,69,37,1029,1026,1021,16,16,16,19,6,,0.00,1,,224
2015-1-30,13,9,4,6,1,-10,76,52,28,1026,1020,1016,16,16,10,29,16,48,0.00,4,Rain,277
2015-1-31,11,4,-2,-2,-9,-14,75,43,16,1030,1028,1026,16,16,16,21,14,,0.00,0,,338
2015-2-1,17,9,1,12,2,-3,88,69,42,1028,1025,1014,16,16,13,23,8,42,0.25,2,,195
2015-2-2,18,11,5,14,8,-6,94,69,37,1022,1013,1008,16,14,4,40,23,58,0.51,6,Rain,235
2015-2-3,7,3,-1,-3,-7,-8,75,52,36,1030,1026,1022,16,16,16,23,16,42,0.00,0,,351
2015-2-4,13,7,0,9,1,-4,88,74,37,1029,1025,1018,16,16,10,16,8,,1.52,3,Rain,354
2015-2-5,14,8,2,7,1,-13,93,68,25,1026,1017,1014,16,15,10,34,14,47,1.78,5,Rain,329
2015-2-6,7,2,-3,0,-9,-13,70,49,30,1031,1029,1026,16,16,16,19,13,,0.00,0,,3
2015-2-7,14,7,-1,2,-2,-4,86,61,31,1028,1026,1023,16,16,16,27,8,,0.00,0,,227
2015-2-8,21,14,9,8,6,3,71,61,38,1023,1020,1015,16,16,16,27,16,39,0.00,0,,226
2015-2-9,20,16,11,10,8,7,82,70,49,1015,1012,1005,16,16,16,26,13,27,0.00,2,,233
2015-2-10,13,9,5,11,6,1,94,81,70,1013,1007,1003,16,15,6,37,14,48,0.00,7,Rain,340
2015-2-11,12,7,2,3,0,-3,93,69,47,1018,1015,1013,16,16,14,27,19,40,0.00,0,,338
2015-2-12,20,11,3,7,0,-13,93,62,26,1022,1014,1007,16,16,13,35,11,53,0.00,0,,241
2015-2-13,4,0,-3,-7,-11,-14,74,43,26,1027,1024,1022,16,16,16,26,19,42,0.00,0,,338
2015-2-14,14,4,-4,-2,-6,-10,80,54,21,1024,1018,1009,16,16,16,29,8,45,0.00,0,,249
2015-2-15,12,4,-3,-2,-14,-22,40,30,17,1028,1021,1009,16,16,16,45,27,61,0.00,0,,330
2015-2-16,14,6,-3,12,-9,-17,88,49,29,1028,1023,1009,16,16,13,27,10,32,0.00,4,,62
2015-2-17,17,9,1,13,4,-3,88,78,65,1016,1010,1005,16,14,3,37,26,48,9.14,6,Rain,314
2015-2-18,11,4,-2,-1,-4,-12,93,66,32,1017,1014,1010,16,15,6,34,13,47,0.25,2,,299
2015-2-19,1,-3,-6,-12,-16,-19,58,36,25,1027,1022,1018,16,16,16,27,18,37,0.25,0,,306
2015-2-20,1,-4,-8,-8,-16,-19,69,45,25,1034,1031,1027,16,16,16,222,13,,0.00,0,,358
2015-2-21,12,3,-4,11,2,-9,94,79,58,1034,1029,1024,16,12,0,16,5,,0.00,4,Fog-Rain,125
2015-2-22,16,13,11,12,11,9,94,87,77,1024,1023,1022,16,15,8,14,10,,0.00,4,,175
2015-2-23,16,9,3,14,9,-1,94,87,70,1026,1022,1019,16,12,2,29,10,37,9.40,8,Rain,335
2015-2-24,3,0,-2,-1,-3,-8,93,76,52,1026,1021,1015,16,11,3,26,16,37,0.00,8,Rain,22
2015-2-25,4,2,0,2,-1,-2,93,85,75,1018,1014,1006,16,11,6,26,5,27,8.13,8,Rain,32
2015-2-26,6,4,3,4,2,0,93,84,76,1022,1009,1000,16,14,5,35,21,48,14.73,8,,358
2015-2-27,9,4,1,2,1,-1,87,77,54,1033,1027,1022,16,16,11,19,10,,0.00,0,,14
2015-2-28,11,6,1,1,-2,-5,87,64,35,1040,1036,1033,16,16,16,26,16,,0.00,3,,30
2015-3-1,9,7,4,6,1,-4,87,73,49,1037,1032,1028,16,11,1,21,14,,1.52,8,Rain,356
2015-3-2,17,11,6,12,7,4,93,86,67,1028,1026,1024,16,9,0,27,6,37,1.52,7,Fog,267
2015-3-3,12,10,8,8,5,1,93,78,58,1028,1025,1021,16,11,0,32,21,39,0.00,8,Fog,45
2015-3-4,23,16,9,18,12,7,100,85,64,1021,1019,1015,16,7,0,29,8,37,0.25,5,Fog,197
2015-3-5,24,14,4,18,12,1,88,82,65,1025,1017,1013,16,14,6,42,21,55,0.25,3,,194
2015-3-6,7,4,2,1,-3,-7,87,64,39,1031,1029,1025,16,16,14,37,26,47,6.10,6,,15
2015-3-7,11,4,-1,2,-4,-7,76,58,33,1033,1030,1028,16,16,16,19,10,,0.00,0,,8
2015-3-8,19,11,4,5,2,0,81,59,28,1028,1026,1023,16,16,16,27,10,,0.00,0,,224
2015-3-9,19,13,8,11,6,1,82,67,50,1026,1025,1024,16,16,16,19,6,,0.00,3,,192
2015-3-10,21,16,12,17,14,10,94,85,68,1025,1024,1021,16,14,1,23,10,,0.00,3,Fog,151
2015-3-11,26,21,17,19,17,14,94,82,61,1023,1022,1020,16,15,8,26,16,32,0.00,3,,208
2015-3-12,21,16,12,16,11,3,82,70,48,1033,1027,1023,16,16,11,32,16,42,0.00,5,,39
2015-3-13,16,13,11,11,4,-1,77,57,41,1033,1030,1026,16,16,16,34,24,40,0.00,8,,62
2015-3-14,21,18,16,19,14,12,88,82,72,1025,1021,1015,16,13,3,29,18,39,0.00,6,Rain,176
2015-3-15,25,19,13,16,10,0,88,65,22,1021,1018,1016,16,16,16,27,14,37,0.00,0,,283
2015-3-16,21,14,8,11,4,-2,81,52,21,1023,1020,1016,16,16,16,23,10,,0.00,0,,257
2015-3-17,29,22,15,9,7,6,55,44,28,1016,1013,1008,16,16,16,24,16,40,0.00,0,,265
2015-3-18,21,16,11,8,3,-4,71,44,29,1024,1019,1014,16,16,16,32,19,37,0.00,0,,44
2015-3-19,14,12,10,9,7,5,88,71,58,1025,1023,1022,16,14,6,27,13,39,0.51,4,Rain,76
2015-3-20,18,13,9,12,10,7,94,83,68,1021,1019,1017,16,12,1,26,18,35,3.30,6,Fog,348
2015-3-21,16,14,13,11,9,9,82,74,63,1022,1020,1018,16,16,16,19,10,,0.00,5,,68
2015-3-22,17,14,12,14,12,9,94,82,68,1019,1018,1016,16,14,4,19,8,,0.51,5,Rain,59
2015-3-23,16,13,11,10,8,3,88,77,58,1021,1017,1014,16,14,4,26,19,34,11.68,8,Rain,35
2015-3-24,18,13,8,12,7,3,88,72,58,1024,1022,1021,16,16,13,26,14,,0.00,6,,44
2015-3-25,19,16,13,17,13,11,88,82,68,1025,1023,1020,16,14,5,27,21,37,0.00,7,Rain,79
2015-3-26,24,20,17,18,16,13,94,84,61,1020,1015,1009,16,12,1,27,19,35,3.81,6,Rain,182
2015-3-27,22,16,8,17,13,4,94,81,69,1011,1007,1004,16,14,3,35,16,45,0.25,7,Rain-Thunderstorm,264
2015-3-28,14,9,4,6,3,-4,87,69,31,1024,1016,1012,16,16,16,27,11,34,0.00,5,,315
2015-3-29,11,6,1,1,-5,-11,81,51,24,1032,1028,1025,16,16,16,29,14,29,0.00,0,,357
2015-3-30,21,12,4,9,3,-1,81,61,43,1027,1022,1016,16,16,11,26,10,35,0.00,1,,222
2015-3-31,21,14,9,13,8,-2,93,66,23,1019,1016,1011,16,16,16,27,13,35,0.00,0,,232
2015-4-1,19,17,14,13,11,8,73,68,55,1026,1016,1012,16,16,16,29,16,37,0.00,0,,200
2015-4-2,21,17,14,13,9,6,77,63,52,1028,1026,1024,16,16,16,24,19,35,0.00,0,,124
2015-4-3,24,20,17,17,15,13,88,76,65,1024,1021,1016,16,16,16,32,19,45,0.00,1,,186
2015-4-4,24,18,12,16,11,-2,73,56,22,1025,1017,1014,16,16,16,34,19,47,0.00,1,,258
2015-4-5,19,13,7,8,2,-4,66,47,35,1028,1026,1025,16,16,16,27,16,37,0.00,1,,46
2015-4-6,23,19,15,16,12,9,88,67,41,1028,1026,1025,16,16,16,21,14,,0.00,2,,94
2015-4-7,24,20,17,18,16,14,94,83,69,1025,1024,1022,16,14,3,23,11,,0.00,4,Rain,111
2015-4-8,24,20,17,18,17,15,94,82,69,1023,1021,1019,16,16,11,23,8,,1.52,2,,207
2015-4-9,26,22,19,19,18,16,88,79,61,1022,1021,1020,16,16,16,34,11,48,0.00,1,,203
2015-4-10,26,23,20,19,18,17,88,78,61,1021,1019,1016,16,16,2,29,18,45,0.00,3,,198
2015-4-11,23,20,17,19,17,12,83,73,53,1022,1018,1016,16,16,10,23,13,32,0.00,4,Rain,234
2015-4-12,22,17,12,14,12,9,88,75,50,1026,1024,1022,16,16,16,29,10,42,0.00,2,,40
2015-4-13,25,21,18,18,16,14,94,79,57,1026,1025,1023,16,14,3,32,18,,1.02,5,Rain,76
2015-4-14,23,21,19,21,19,17,94,88,83,1023,1020,1016,16,11,1,32,11,,0.00,6,Rain,176
2015-4-15,22,17,13,19,16,9,94,85,68,1024,1020,1016,16,14,3,27,11,40,2.03,6,Rain,54
2015-4-16,20,16,12,17,12,7,94,81,72,1025,1023,1022,16,13,2,29,19,37,0.00,8,Rain,33
2015-4-17,24,21,19,19,18,17,94,84,69,1022,1019,1016,16,16,6,23,16,,0.51,7,,57
2015-4-18,23,21,19,19,18,17,94,86,73,1017,1016,1014,16,14,6,19,5,,0.25,7,Rain,28
2015-4-19,23,21,19,19,18,17,88,85,78,1016,1014,1010,16,15,1,29,11,32,8.64,7,Fog-Rain-Thunderstorm,114
2015-4-20,26,22,19,18,18,16,88,81,65,1011,1010,1008,16,16,13,34,16,35,8.64,2,,213
2015-4-21,24,19,15,16,12,8,83,62,38,1014,1011,1009,16,16,16,27,18,40,0.00,1,,235
2015-4-22,27,19,12,13,8,3,77,57,24,1015,1013,1011,16,16,16,29,13,35,0.00,0,,253
2015-4-23,24,19,14,15,12,10,83,67,41,1013,1012,1011,16,16,16,23,16,32,0.00,0,,250
2015-4-24,21,16,11,11,2,-4,68,41,20,1019,1016,1012,16,16,16,29,18,39,0.00,0,,321
2015-4-25,22,18,14,19,12,6,83,70,52,1016,1011,1003,16,15,6,27,11,37,0.00,3,Rain,219
2015-4-26,24,18,13,19,15,9,88,76,57,1009,1004,1001,16,15,3,27,18,26,1.27,4,Rain,294
2015-4-27,22,16,11,10,8,4,88,68,33,1013,1009,1007,16,16,16,23,14,26,6.35,4,,343
2015-4-28,20,16,11,8,4,2,77,51,39,1016,1014,1012,16,16,16,23,16,27,0.00,1,,36
2015-4-29,18,14,12,13,11,8,88,78,55,1013,1010,1007,16,14,3,23,6,35,0.25,4,Rain,38
2015-4-30,24,18,13,16,12,11,94,76,44,1008,1006,1005,16,15,10,21,13,29,0.25,5,,316
2015-5-1,21,16,12,14,11,8,88,73,43,1017,1010,1007,16,16,16,29,13,39,0.00,3,,339
2015-5-2,24,17,10,14,9,8,87,71,36,1020,1017,1016,16,16,16,23,10,,0.00,1,,302
2015-5-3,23,18,13,17,14,1,88,75,39,1025,1022,1020,16,15,2,24,6,,0.00,1,,168
2015-5-4,26,20,14,17,14,12,94,70,44,1028,1026,1024,16,16,14,26,10,,0.00,0,,165
2015-5-5,24,19,14,16,13,12,88,74,47,1028,1027,1025,16,16,16,23,5,,0.00,0,,85
2015-5-6,25,20,16,16,14,13,83,71,50,1025,1023,1020,16,16,10,29,11,37,0.00,1,,25
2015-5-7,23,20,18,18,15,13,88,76,64,1020,1017,1015,16,14,3,29,21,39,0.25,5,Rain,19
2015-5-8,27,23,19,20,17,16,83,76,58,1017,1015,1014,16,14,4,32,26,45,0.00,6,Rain,23
2015-5-9,27,23,19,21,18,16,83,76,61,1017,1014,1009,16,12,4,42,26,58,0.51,7,Rain,12
2015-5-10,23,22,21,20,19,18,88,84,83,1019,1010,1004,16,7,2,50,35,63,4.32,7,Rain,290
2015-5-11,28,24,21,22,19,18,88,81,66,1022,1020,1019,16,13,5,32,14,42,0.00,5,Rain-Thunderstorm,224
2015-5-12,29,26,23,22,21,20,94,80,66,1022,1020,1017,16,15,6,27,14,27,0.00,3,,211
2015-5-13,29,26,22,20,18,14,83,70,40,1024,1020,1018,16,16,16,23,11,,0.00,0,,256
2015-5-14,23,20,18,18,16,13,94,74,57,1029,1026,1023,16,16,13,27,13,34,0.00,1,,69
2015-5-15,24,20,17,16,14,13,82,66,57,1028,1026,1025,16,16,16,21,13,,0.00,2,,108
2015-5-16,26,21,16,17,15,13,88,71,57,1027,1026,1025,16,16,13,24,8,27,0.00,0,,157
2015-5-17,27,22,17,20,17,14,94,74,54,1027,1026,1024,16,16,16,27,5,32,0.00,1,,177
2015-5-18,29,24,19,20,18,16,88,72,55,1025,1023,1020,16,16,16,27,10,37,0.00,0,,226
2015-5-19,32,26,21,22,19,17,88,73,49,1020,1017,1013,16,16,14,27,11,37,0.00,2,,232
2015-5-20,31,26,22,22,21,20,89,82,58,1015,1014,1013,16,14,3,27,10,,0.00,2,Rain-Thunderstorm,236
2015-5-21,33,26,21,28,21,17,89,77,46,1014,1011,1008,16,15,10,29,10,42,0.00,2,,179
2015-5-22,23,20,17,18,14,11,82,68,53,1026,1020,1014,16,16,16,29,16,37,0.00,5,,46
2015-5-23,26,21,16,15,13,10,88,68,41,1030,1028,1026,16,16,16,26,8,29,0.00,0,,72
