EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,12,4,-3,2,-1,-4,92,71,50,1028,1026,1024,16,13,5,21,9,27,0.00,0,,223
2015-1-2,13,10,7,9,5,3,93,74,55,1028,1026,1023,16,15,11,13,5,19,0.51,6,Rain,208
2015-1-3,12,11,9,11,9,8,100,92,83,1029,1025,1021,16,7,0,16,7,19,1.52,8,Fog-Rain,36
2015-1-4,24,18,12,19,18,11,100,84,67,1021,1017,1013,16,14,0,47,23,63,4.83,6,Fog-Rain,211
2015-1-5,17,9,1,10,-1,-6,89,58,26,1030,1026,1019,16,16,13,37,13,55,0.00,1,,320
2015-1-6,16,7,-2,-1,-3,-6,92,57,22,1029,1023,1017,16,16,16,37,11,50,0.00,0,,298
2015-1-7,6,0,-7,-3,-8,-21,85,57,29,1032,1022,1018,16,16,16,47,16,60,0.00,1,,316
2015-1-8,-2,-6,-11,-16,-20,-22,49,37,25,1037,1034,1029,16,16,16,37,13,52,0.00,0,,344
2015-1-9,10,1,-8,-6,-13,-16,67,41,14,1027,1024,1020,16,16,16,39,15,48,0.00,3,,251
2015-1-10,7,1,-4,-11,-13,-17,60,39,18,1036,1033,1027,16,16,16,24,8,29,0.00,0,,13
2015-1-11,10,1,-8,-5,-9,-12,84,52,20,1037,1035,1030,16,16,16,14,7,19,0.00,4,,27
2015-1-12,13,9,4,13,8,-2,100,71,41,1029,1023,1020,16,5,0,24,8,27,60.96,8,Fog-Rain-Thunderstorm,312
2015-1-13,10,6,2,9,3,0,96,86,76,1029,1026,1021,16,13,4,35,20,52,3.30,8,Rain,28
2015-1-14,2,1,0,1,-1,-1,96,93,89,1027,1024,1022,16,12,4,29,16,37,0.00,8,,356
2015-1-15,4,3,1,3,2,1,100,93,85,1023,1022,1019,16,8,0,13,5,16,0.25,8,Fog-Rain,308
2015-1-16,13,8,2,3,1,-2,100,68,35,1023,1019,1017,16,11,2,24,11,31,T,2,,278
2015-1-17,13,6,-1,3,-1,-3,92,65,38,1028,1025,1021,16,16,16,16,8,21,0.00,1,,64
2015-1-18,18,12,6,11,6,-2,96,68,39,1020,1015,1009,16,9,1,40,13,50,10.92,5,Fog-Rain,255
2015-1-19,18,10,1,1,-2,-5,82,51,20,1019,1016,1014,16,16,16,24,14,31,0.00,0,,229
2015-1-20,19,12,5,3,1,-1,67,47,26,1015,1013,1011,16,16,16,29,14,34,0.00,0,,213
2015-1-21,17,11,4,5,4,3,86,65,43,1021,1016,1013,16,16,16,16,8,19,0.00,0,,8
2015-1-22,16,9,2,4,1,-2,92,62,32,1027,1025,1022,16,14,6,13,5,16,0.00,2,,29
2015-1-23,8,6,3,7,4,-1,100,79,58,1026,1017,1005,16,8,2,24,13,31,13.72,7,Rain,48
2015-1-24,11,6,1,8,4,-1,93,78,63,1010,1003,1000,16,12,3,29,14,39,14.99,6,Rain,304
2015-1-25,14,7,-1,2,0,-3,89,65,40,1014,1012,1009,16,16,16,23,10,29,0.00,1,,206
2015-1-26,11,7,2,6,4,1,100,82,63,1008,1004,1001,16,15,10,21,8,26,T,7,Thunderstorm,320
2015-1-27,8,5,2,1,-6,-13,76,54,31,1015,1009,1005,16,16,16,27,17,40,0.00,4,,317
2015-1-28,9,3,-3,-6,-10,-13,69,45,21,1027,1023,1016,16,16,16,24,12,32,0.00,0,,339
2015-1-29,11,3,-6,2,-6,-10,92,58,24,1028,1024,1018,16,16,16,23,9,29,T,1,,185
2015-1-30,11,6,1,3,-5,-14,71,48,24,1026,1019,1014,16,16,16,40,22,58,0.00,2,,303
2015-1-31,11,4,-3,-6,-12,-17,61,38,14,1029,1027,1026,16,16,16,23,10,27,0.00,0,,306
2015-2-1,17,8,-1,11,-1,-7,69,47,24,1026,1021,1010,16,16,16,34,14,43,T,3,,187
2015-2-2,18,10,1,14,7,-8,93,64,35,1021,1006,1000,16,13,1,50,26,72,12.95,6,Rain,242
2015-2-3,8,2,-4,-4,-8,-11,78,51,25,1029,1026,1022,16,16,16,23,7,26,0.00,0,,259
2015-2-4,13,6,-2,2,-1,-4,85,60,35,1027,1022,1016,16,16,16,19,7,26,0.00,3,,217
2015-2-5,13,7,-1,6,-4,-16,89,53,17,1026,1017,1013,16,16,16,45,19,58,0.25,3,,310
2015-2-6,6,-1,-7,-7,-12,-16,65,43,21,1030,1027,1026,16,16,16,19,7,23,0.00,0,,252
2015-2-7,17,7,-3,-4,-7,-9,75,46,17,1025,1022,1019,16,16,16,32,14,43,0.00,0,,210
2015-2-8,22,14,7,7,0,-3,61,42,22,1018,1015,1012,16,16,16,42,23,58,0.00,0,,214
2015-2-9,21,16,9,12,10,7,80,65,49,1012,1008,1005,16,14,6,29,14,37,1.78,5,Rain,266
2015-2-10,12,8,3,12,3,-1,100,83,65,1013,1009,1004,16,13,4,40,28,53,5.59,8,Rain,10
2015-2-11,12,7,1,1,-1,-3,82,62,41,1017,1015,1014,16,16,16,35,14,47,0.00,1,,17
2015-2-12,16,7,-1,4,-3,-13,96,61,25,1021,1012,1007,16,12,0,52,15,69,0.00,2,Fog,330
2015-2-13,4,0,-4,-10,-14,-18,62,42,21,1026,1023,1021,16,16,16,27,11,39,0.00,0,,317
2015-2-14,13,4,-6,-2,-8,-12,71,49,26,1022,1012,1004,16,16,16,53,21,69,0.00,2,,219
2015-2-15,4,-1,-7,-11,-21,-23,48,32,16,1027,1023,1012,16,16,16,52,21,72,0.00,0,,323
2015-2-16,1,-3,-6,-4,-14,-20,84,54,23,1028,1021,1010,16,15,8,27,12,37,5.08,7,Rain,49
2015-2-17,1,-2,-4,-2,-3,-6,92,85,78,1014,1010,1006,16,11,4,34,12,42,11.43,6,Rain,6
2015-2-18,6,1,-5,2,-3,-13,100,70,39,1016,1013,1008,16,6,0,37,12,50,T,6,Fog-Snow,250
2015-2-19,-2,-5,-8,-14,-19,-21,43,34,25,1026,1021,1016,16,16,16,34,20,56,0.00,0,,310
2015-2-20,-1,-6,-12,-14,-19,-22,53,38,22,1033,1031,1026,16,16,16,24,12,31,0.00,0,,21
2015-2-21,11,2,-8,10,-1,-14,96,73,50,1033,1027,1022,16,16,11,24,10,29,T,5,Rain,139
2015-2-22,17,13,8,13,11,8,100,86,72,1022,1021,1020,16,9,0,23,8,35,4.06,7,Fog-Rain,220
2015-2-23,12,7,1,11,6,-3,96,88,79,1026,1022,1019,16,9,2,37,16,47,9.91,8,Rain,25
2015-2-24,1,-2,-4,-3,-6,-10,92,71,49,1026,1021,1013,16,7,0,24,13,32,3.05,8,Fog-Rain-Snow,39
2015-2-25,6,2,-2,1,-1,-4,100,69,38,1016,1012,1007,16,9,4,19,8,27,14.22,6,Rain-Snow,106
2015-2-26,4,2,1,1,-1,-2,100,88,75,1022,1011,1002,16,13,4,35,17,43,14.99,8,Rain-Snow,8
2015-2-27,12,5,-2,-1,-2,-5,92,65,38,1033,1027,1021,16,14,5,21,9,26,0.00,0,,1
2015-2-28,7,2,-2,-3,-7,-9,85,59,33,1040,1038,1034,16,16,13,32,17,40,0.00,2,,35
2015-3-1,3,2,0,3,0,-7,100,76,52,1037,1032,1026,16,10,2,24,11,29,4.83,8,Rain-Snow,2
2015-3-2,19,11,3,8,6,3,100,74,48,1027,1024,1022,16,9,0,23,11,29,0.00,4,Fog,261
2015-3-3,7,5,3,4,1,-5,100,85,49,1028,1024,1020,16,8,1,23,9,29,0.76,8,Rain,46
2015-3-4,26,15,4,16,11,4,100,76,52,1019,1016,1012,16,8,0,48,18,60,0.00,5,Fog,219
2015-3-5,23,12,2,17,9,-1,100,87,73,1027,1016,1010,16,13,2,56,24,74,9.65,7,Rain,340
2015-3-6,6,2,-3,-2,-8,-12,82,56,30,1032,1030,1026,16,16,16,42,17,58,0.00,3,,22
2015-3-7,14,4,-6,0,-5,-7,88,56,24,1031,1028,1025,16,16,16,26,9,34,0.00,0,,223
2015-3-8,22,13,3,3,0,-2,85,53,20,1026,1023,1021,16,16,16,23,13,27,0.00,0,,215
2015-3-9,19,15,11,9,5,2,77,60,43,1024,1023,1021,16,16,16,23,6,29,0.00,3,,216
2015-3-10,26,19,11,17,13,8,96,72,48,1024,1022,1019,16,16,16,29,12,40,0.00,3,,168
2015-3-11,29,23,17,18,16,13,93,65,37,1023,1020,1017,16,16,13,50,17,72,0.51,5,Rain,230
2015-3-12,20,15,10,16,4,-4,97,59,20,1033,1028,1023,16,16,16,35,16,45,0.00,3,,37
2015-3-13,17,13,8,9,2,-4,71,55,39,1033,1030,1025,16,16,16,21,11,27,T,6,,45
2015-3-14,21,16,11,18,15,8,100,89,77,1024,1017,1012,16,11,2,29,13,40,25.40,7,Rain,207
2015-3-15,23,18,13,14,7,0,93,58,22,1020,1017,1014,16,16,16,34,17,47,0.00,1,,281
2015-3-16,26,16,5,5,2,-2,76,47,18,1020,1017,1013,16,16,16,32,13,42,0.00,0,,240
2015-3-17,30,21,11,9,5,3,59,41,22,1013,1010,1006,16,16,16,37,16,43,0.00,0,,273
2015-3-18,17,13,8,3,-4,-8,54,37,19,1023,1020,1014,16,16,16,29,13,39,0.00,0,,53
2015-3-19,11,8,6,8,6,3,100,80,59,1025,1023,1022,16,11,4,23,9,31,5.33,8,Rain,52
2015-3-20,17,11,6,9,7,5,100,82,64,1022,1019,1015,16,14,5,21,10,27,4.83,6,Rain,353
2015-3-21,19,12,5,10,7,5,100,74,48,1022,1019,1016,16,9,0,16,7,24,0.00,3,Fog,51
2015-3-22,21,16,11,12,9,5,96,68,40,1018,1016,1015,16,16,16,23,9,29,0.00,3,,183
2015-3-23,16,11,6,8,3,1,83,60,37,1021,1018,1015,16,16,16,32,13,42,T,3,,53
2015-3-24,22,12,2,11,4,-1,85,61,37,1024,1022,1021,16,16,16,23,8,29,0.00,1,,59
2015-3-25,24,17,9,17,12,5,100,77,53,1026,1023,1020,16,14,2,23,12,32,0.25,7,,94
2015-3-26,25,21,16,18,16,13,100,74,47,1020,1014,1006,16,11,0,34,16,43,5.84,6,Fog-Rain-Thunderstorm,169
2015-3-27,19,13,6,14,8,4,96,84,72,1010,1006,1003,16,14,3,39,17,47,7.37,7,Rain,15
2015-3-28,11,6,1,5,-2,-9,89,58,26,1024,1015,1010,16,16,8,32,15,43,1.78,5,Rain,322
2015-3-29,12,4,-3,-6,-10,-14,58,37,16,1031,1027,1025,16,16,16,24,10,32,0.00,0,,324
2015-3-30,19,11,3,8,4,-6,86,64,42,1024,1018,1014,16,16,10,29,16,39,2.03,3,Rain,232
