CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,14,11,7,9,7,6,100,83,66,1027,1026,1023,16,14,10,16,7,24,0.00,3,,46
2015-1-2,18,15,11,16,13,7,100,86,71,1024,1022,1021,16,10,1,24,13,31,0.00,8,,95
2015-1-3,23,20,17,21,18,16,100,92,84,1021,1019,1017,16,8,2,32,22,43,T,8,Rain,137
2015-1-4,22,16,9,21,16,5,93,79,64,1029,1020,1016,16,11,1,42,19,58,70.10,6,Fog-Rain-Thunderstorm,300
2015-1-5,13,9,4,3,2,0,82,63,43,1035,1032,1030,16,16,16,29,13,43,0.00,0,,4
2015-1-6,17,10,3,2,1,-3,85,55,25,1032,1028,1026,16,16,16,21,8,31,0.00,0,,343
2015-1-7,14,6,-2,2,-3,-11,79,56,32,1035,1029,1026,16,16,16,45,22,60,0.00,1,,353
2015-1-8,4,-2,-7,-8,-14,-17,58,40,21,1036,1033,1028,16,16,16,37,14,52,0.00,0,,14
2015-1-9,6,3,-1,-4,-7,-11,64,49,34,1031,1029,1027,16,16,13,24,14,31,T,6,Rain,5
2015-1-10,12,6,1,-4,-8,-12,69,44,18,1033,1031,1029,16,16,16,26,10,35,0.00,2,,18
2015-1-11,14,9,4,11,6,-6,83,63,43,1030,1027,1024,16,16,11,16,8,23,T,5,Rain,61
2015-1-12,19,16,12,17,15,11,100,93,86,1024,1021,1020,16,5,0,21,8,24,0.51,8,Fog-Rain,89
2015-1-13,17,12,8,16,11,6,100,88,75,1025,1023,1020,16,15,3,26,17,34,T,8,,357
2015-1-14,12,9,6,6,5,4,89,78,66,1026,1024,1023,16,16,13,26,15,35,0.00,4,,2
2015-1-15,9,8,6,8,6,4,92,87,82,1025,1023,1020,16,9,3,24,12,29,17.78,8,Rain,9
2015-1-16,14,8,2,5,2,-1,96,70,43,1026,1024,1022,16,14,10,24,13,31,0.00,2,,353
2015-1-17,16,9,3,10,6,1,96,74,51,1025,1022,1020,16,16,8,16,8,23,0.00,0,,87
2015-1-18,19,12,5,9,3,-3,100,61,22,1024,1022,1020,16,16,11,34,11,45,0.00,0,,329
2015-1-19,18,11,2,7,3,-4,93,58,22,1024,1021,1018,16,16,16,23,5,27,0.00,0,,210
2015-1-20,20,13,7,15,12,6,100,78,55,1018,1016,1015,16,15,11,21,7,27,0.00,4,,111
2015-1-21,22,17,11,15,11,3,100,69,38,1021,1018,1016,16,8,0,21,11,26,0.00,3,Fog,358
2015-1-22,19,14,9,8,4,-1,54,45,36,1023,1020,1015,16,14,4,34,15,42,10.16,5,Rain,45
2015-1-23,17,12,7,16,10,6,100,95,90,1015,1012,1009,16,8,1,29,15,43,65.79,8,Rain,355
2015-1-24,14,9,4,6,2,-2,96,65,33,1020,1017,1013,16,16,6,37,19,47,T,4,,307
2015-1-25,17,11,4,9,6,3,96,70,43,1018,1015,1011,16,16,13,42,18,56,0.00,0,,249
2015-1-26,15,11,6,4,2,0,70,55,39,1018,1016,1013,16,16,16,39,18,47,0.00,0,,311
2015-1-27,20,13,6,6,2,0,71,49,27,1021,1018,1016,16,16,16,29,15,39,0.00,0,,311
2015-1-28,18,12,6,7,2,-2,86,56,26,1026,1024,1021,16,16,16,21,8,23,0.00,0,,26
2015-1-29,20,13,7,14,10,5,89,72,55,1026,1024,1022,16,16,11,27,14,35,0.00,0,,166
2015-1-30,17,12,7,14,3,-2,90,60,29,1028,1026,1022,16,16,16,39,17,50,0.00,0,,352
2015-1-31,14,9,4,7,2,-3,74,58,41,1028,1026,1022,16,16,16,24,12,31,0.00,0,,83
2015-2-1,22,15,8,17,14,6,100,87,73,1022,1016,1012,16,13,3,39,15,48,9.65,7,Rain,162
2015-2-2,18,10,2,17,4,-3,84,63,41,1026,1019,1011,16,16,4,45,25,56,0.51,3,Rain,330
2015-2-3,11,6,1,2,-2,-4,75,57,39,1029,1027,1025,16,16,16,21,9,31,0.00,0,,20
2015-2-4,9,8,7,8,7,1,100,80,60,1025,1020,1015,16,11,3,24,11,34,26.67,8,Rain,31
2015-2-5,16,11,5,7,3,-4,93,68,42,1026,1021,1017,16,15,10,35,20,45,T,3,,354
2015-2-6,13,7,0,3,-3,-6,85,59,32,1030,1028,1026,16,16,16,21,7,29,0.00,0,,37
2015-2-7,18,11,3,9,6,1,89,69,48,1026,1024,1022,16,16,11,23,8,29,0.00,0,,115
2015-2-8,22,15,8,14,12,7,100,77,53,1021,1018,1014,16,16,11,27,11,34,0.00,1,,176
2015-2-9,24,19,13,16,13,6,100,69,38,1014,1012,1008,16,12,0,35,16,43,T,4,Fog-Rain,288
2015-2-10,16,11,5,6,1,0,76,56,36,1017,1015,1013,16,16,13,37,20,50,0.00,1,,349
2015-2-11,16,8,1,6,2,-1,89,64,38,1020,1019,1017,16,15,10,19,9,23,0.00,0,,318
2015-2-12,18,11,4,6,-1,-8,86,55,23,1025,1022,1019,16,15,11,35,20,45,0.00,0,,340
2015-2-13,12,6,-1,-2,-8,-13,56,37,17,1029,1026,1024,16,16,16,27,12,37,0.00,0,,353
