EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,7,3,-2,3,-3,-6,85,65,45,1030,1028,1026,16,16,16,8,0,10,0.25,6,Rain,165
2015-1-2,7,7,6,6,4,2,96,86,76,1029,1026,1025,16,10,3,13,3,16,7.37,8,Fog-Rain,21
2015-1-3,14,11,7,13,10,6,100,96,92,1024,1020,1015,11,4,1,34,5,42,25.65,8,Rain-Thunderstorm,186
2015-1-4,17,11,6,15,9,0,100,76,52,1029,1019,1014,16,13,5,37,16,52,19.05,7,Rain,241
2015-1-5,6,2,-1,0,-6,-9,78,58,38,1038,1033,1029,16,16,16,32,12,37,0.00,5,,343
2015-1-6,10,3,-3,-3,-4,-6,84,62,39,1029,1027,1025,16,16,16,23,9,29,0.00,3,,288
2015-1-7,2,-4,-11,-6,-12,-19,64,51,38,1042,1032,1026,16,16,16,50,23,60,0.00,4,,334
2015-1-8,-1,-7,-13,-14,-18,-19,69,48,27,1042,1035,1028,16,16,16,29,12,39,0.00,2,,74
2015-1-9,5,0,-5,-11,-13,-14,46,38,30,1033,1029,1026,16,16,16,24,11,31,0.00,2,,283
2015-1-10,4,-2,-7,-9,-13,-16,68,47,25,1037,1034,1032,16,16,16,27,9,32,0.00,2,,358
2015-1-11,4,0,-5,-3,-7,-9,81,63,44,1035,1032,1028,16,16,16,11,4,14,T,7,,351
2015-1-12,8,6,3,7,4,-3,100,80,59,1028,1024,1021,16,5,0,23,4,26,11.18,8,Fog-Rain,20
2015-1-13,7,6,3,6,3,2,92,86,79,1028,1026,1025,16,11,3,29,15,34,0.25,8,Rain,13
2015-1-14,8,4,-1,2,1,-2,92,75,58,1027,1026,1024,16,13,4,14,5,19,T,7,Rain,18
2015-1-15,3,1,-2,1,-1,-3,100,88,76,1025,1023,1022,16,8,1,10,0,11,2.03,7,Fog-Rain-Snow,19
2015-1-16,11,4,-2,1,-1,-3,100,75,50,1026,1024,1023,16,7,0,10,1,13,0.00,3,Fog,10
2015-1-17,14,6,-3,2,-2,-5,92,63,33,1025,1022,1019,16,13,5,32,7,40,0.00,0,Fog,188
