CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,6,0,-6,-2,-6,-10,74,60,46,1029,1026,1023,16,16,16,29,15,37,0.00,3,,220
2015-1-2,4,3,2,2,1,-2,92,81,70,1029,1026,1021,16,10,5,19,7,23,2.79,8,Rain,151
2015-1-3,17,11,4,14,8,2,96,90,84,1020,1012,1006,16,6,1,34,11,48,50.04,8,Rain-Thunderstorm,152
2015-1-4,11,3,-6,10,0,-12,96,78,60,1037,1020,1009,16,14,2,34,19,50,1.78,7,Rain,286
2015-1-5,-3,-6,-8,-10,-13,-16,62,54,46,1042,1036,1027,16,16,16,21,9,32,0.00,1,,293
2015-1-6,2,-1,-4,-7,-9,-12,74,63,51,1031,1029,1025,16,16,16,24,14,34,0.00,5,,299
2015-1-7,-4,-9,-15,-9,-16,-21,60,54,48,1047,1039,1030,16,13,3,42,19,56,T,5,Snow,334
2015-1-8,-3,-9,-16,-14,-18,-21,79,58,37,1045,1031,1022,16,16,16,40,18,50,T,4,,202
2015-1-9,-2,-6,-11,-12,-16,-19,59,47,34,1037,1031,1023,16,16,16,34,17,52,0.00,2,,301
2015-1-10,-2,-8,-14,-11,-15,-17,80,59,38,1038,1035,1031,16,16,16,21,6,27,0.00,1,,166
2015-1-11,4,1,-3,1,-5,-12,92,64,35,1031,1028,1025,16,12,5,29,8,35,5.33,8,Rain,157
2015-1-12,3,0,-3,2,-1,-8,92,78,64,1034,1027,1023,16,8,1,32,15,40,4.06,8,Rain,8
2015-1-13,-2,-3,-5,-7,-8,-11,69,64,58,1036,1034,1030,16,16,16,26,14,35,0.00,8,,17
2015-1-14,-1,-3,-6,-7,-8,-9,84,71,58,1031,1029,1026,16,16,16,13,5,18,0.00,7,,327
2015-1-15,4,1,-2,-2,-4,-8,92,76,59,1026,1024,1022,16,15,8,23,11,26,0.00,4,,213
2015-1-16,8,2,-4,0,-3,-6,92,73,53,1025,1023,1021,16,13,8,14,5,18,0.00,0,,223
2015-1-17,13,6,-2,4,-1,-3,85,63,41,1020,1015,1011,16,16,10,42,15,55,1.02,2,Rain,200
2015-1-18,11,5,-2,3,-2,-4,92,65,38,1018,1016,1012,16,16,8,34,14,43,0.00,0,,255
2015-1-19,14,6,-3,-1,-2,-5,85,62,38,1017,1015,1013,16,16,16,11,3,14,0.00,0,,53
