EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,18,12,6,10,7,4,89,73,56,1028,1026,1023,16,16,11,21,7,23,0.00,5,,32
2015-1-2,20,16,12,16,12,8,78,73,68,1026,1024,1022,16,16,16,19,9,23,0.00,7,,76
2015-1-3,23,21,18,19,18,16,90,85,79,1023,1022,1020,16,9,2,27,13,39,1.27,8,Rain,139
2015-1-4,23,17,11,21,18,8,90,79,67,1027,1022,1019,16,11,1,24,15,32,41.15,8,Rain-Thunderstorm,210
2015-1-5,16,11,6,7,3,0,82,57,30,1033,1030,1027,16,16,16,26,16,29,0.00,5,,359
2015-1-6,19,10,1,4,1,-2,89,58,26,1030,1027,1025,16,16,16,24,5,37,0.00,2,,307
2015-1-7,18,9,1,2,-2,-11,89,56,22,1032,1026,1022,16,16,16,45,13,60,0.00,1,,335
2015-1-8,6,1,-4,-6,-13,-17,58,39,19,1035,1032,1029,16,16,16,37,13,47,0.00,1,,30
2015-1-9,9,3,-3,0,-4,-9,81,58,34,1030,1028,1026,16,16,16,21,8,27,0.00,5,,330
2015-1-10,14,9,3,-2,-7,-9,52,36,19,1032,1030,1029,16,16,16,21,11,27,0.00,3,,27
2015-1-11,20,14,9,11,7,1,80,63,46,1030,1028,1026,16,16,16,21,12,26,T,7,,58
2015-1-12,21,17,13,17,14,11,90,82,73,1025,1023,1020,16,11,1,13,4,18,T,8,,60
2015-1-13,18,17,14,16,13,11,93,83,73,1024,1022,1021,16,11,1,21,9,24,0.00,8,Fog,357
2015-1-14,14,12,9,11,9,6,86,74,62,1024,1022,1021,16,13,3,19,10,23,0.00,7,,1
2015-1-15,10,9,8,7,6,4,86,79,71,1024,1022,1020,16,14,3,14,6,19,8.13,8,Rain,15
2015-1-16,16,9,3,6,3,0,89,64,39,1024,1022,1021,16,16,10,23,9,29,T,4,Fog,353
2015-1-17,18,9,-1,6,2,-3,89,63,37,1026,1023,1021,16,16,6,19,3,23,0.00,3,Fog,140
2015-1-18,21,11,2,7,2,-1,85,56,26,1022,1021,1019,16,16,16,34,8,40,0.00,2,,305
2015-1-19,22,10,-2,2,-2,-7,85,50,14,1024,1021,1019,16,16,16,14,3,19,0.00,1,,194
2015-1-20,22,12,1,9,5,-2,89,67,44,1020,1017,1015,16,16,16,19,3,21,0.00,4,,139
2015-1-21,24,16,7,13,9,5,89,68,46,1021,1018,1016,16,16,16,16,2,23,0.00,3,Fog,299
2015-1-22,24,16,8,11,6,-1,86,57,28,1025,1021,1018,16,16,16,26,10,31,0.00,5,,67
2015-1-23,21,19,18,19,17,11,100,78,56,1017,1012,1008,16,12,2,40,15,58,70.36,8,Rain-Thunderstorm,151
2015-1-24,20,11,2,16,6,-2,84,59,33,1017,1013,1007,16,16,10,37,19,47,T,5,Rain,281
2015-1-25,19,9,-1,9,2,-3,89,63,37,1019,1015,1011,16,16,16,32,6,43,T,2,,195
2015-1-26,16,9,3,9,3,0,93,67,40,1016,1013,1010,16,16,11,39,17,52,0.00,1,,295
2015-1-27,19,10,1,2,1,-1,89,59,28,1019,1016,1013,16,16,16,35,11,43,0.00,0,,288
2015-1-28,15,7,-1,1,-1,-3,82,62,29,1026,1024,1020,16,16,16,19,3,,0.00,0,,7
2015-1-29,18,9,-1,4,-1,-4,82,52,22,1028,1026,1023,16,16,16,23,6,27,0.00,1,,166
2015-1-30,18,12,5,11,3,-3,86,55,24,1026,1023,1021,16,16,11,32,12,39,T,4,Rain,333
2015-1-31,18,8,-2,2,-2,-4,78,51,23,1028,1026,1025,16,16,16,19,7,26,0.00,3,,76
2015-2-1,21,13,5,15,9,2,90,69,47,1024,1019,1014,16,13,2,37,15,50,17.02,6,Rain,159
2015-2-2,19,12,4,17,9,-2,90,63,36,1024,1014,1011,16,14,3,47,18,56,7.62,6,Rain,270
2015-2-3,12,7,1,2,-2,-4,75,57,38,1028,1026,1023,16,16,2,19,8,23,0.00,4,,21
2015-2-4,12,10,8,10,7,1,96,76,56,1025,1021,1015,16,10,3,16,8,21,25.15,8,Rain,53
2015-2-5,18,14,9,10,6,-5,96,65,34,1024,1017,1014,16,14,3,32,16,37,3.05,4,Rain,344
2015-2-6,17,9,1,-1,-4,-7,76,48,20,1029,1027,1024,16,16,16,24,8,29,0.00,2,,15
2015-2-7,20,9,-1,4,0,-3,85,55,24,1027,1025,1023,16,16,16,19,4,21,0.00,2,,171
2015-2-8,23,12,2,12,7,-1,93,69,44,1022,1019,1016,16,13,0,21,5,32,0.00,1,Fog,178
2015-2-9,22,16,9,15,12,8,100,83,66,1015,1012,1007,16,8,0,24,5,29,0.51,6,Fog-Rain-Thunderstorm,198
2015-2-10,14,9,4,11,5,2,89,72,55,1016,1012,1009,16,16,14,35,14,42,0.00,3,,331
2015-2-11,20,11,1,7,4,-1,92,66,39,1019,1017,1015,16,16,16,19,5,21,0.00,0,,264
2015-2-12,22,13,4,6,1,-7,92,59,25,1022,1019,1016,16,16,16,35,14,43,0.00,0,Fog,316
2015-2-13,12,6,-1,-5,-9,-11,59,39,19,1027,1024,1022,16,16,16,29,10,40,0.00,1,,354
2015-2-14,20,9,-3,7,-2,-8,81,51,21,1025,1022,1018,16,16,16,34,11,43,0.00,0,,266
2015-2-15,20,13,5,7,1,-6,92,57,22,1024,1022,1020,16,14,5,23,9,31,0.00,4,,360
2015-2-16,22,16,9,16,8,-5,90,59,28,1022,1016,1010,16,16,16,32,16,40,0.00,6,,153
2015-2-17,21,13,5,18,8,-1,100,81,62,1017,1012,1008,16,14,3,35,18,48,10.16,8,Rain,306
