EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,11,3,-4,-2,-6,-8,81,57,33,1028,1025,1023,16,16,16,27,9,31,0.00,2,,341
2015-1-2,11,7,4,7,2,-3,93,73,53,1027,1025,1024,16,16,8,24,9,34,1.52,6,Rain,342
2015-1-3,9,8,7,8,7,6,100,96,92,1027,1024,1020,16,7,2,21,11,24,15.49,8,Rain,167
2015-1-4,16,11,6,12,9,-2,100,79,57,1023,1018,1013,16,10,3,40,15,52,31.50,7,Rain,185
2015-1-5,6,2,-3,0,-6,-9,82,60,38,1031,1028,1023,16,16,16,39,19,53,0.00,2,,353
2015-1-6,8,2,-5,-5,-7,-8,88,61,34,1028,1024,1020,16,16,16,29,12,40,0.00,0,,351
2015-1-7,-1,-7,-14,-7,-13,-22,75,59,42,1033,1024,1020,16,15,3,52,28,79,T,3,Snow,341
2015-1-8,-1,-8,-16,-17,-19,-22,68,45,22,1036,1032,1023,16,16,6,40,18,60,0.00,0,,130
2015-1-9,2,-3,-8,-12,-16,-19,61,45,29,1027,1023,1021,16,16,16,37,19,50,0.00,0,,348
2015-1-10,5,-2,-10,-12,-16,-18,59,40,20,1035,1032,1028,16,16,16,35,12,48,0.00,0,,16
2015-1-11,7,-1,-8,1,-6,-12,100,63,25,1036,1033,1030,16,12,3,19,5,24,2.03,5,Rain,164
2015-1-12,9,6,2,8,5,1,100,96,92,1029,1024,1020,16,4,0,29,6,34,5.84,8,Fog-Rain,322
2015-1-13,8,4,1,6,3,-1,96,89,82,1027,1025,1021,16,12,2,24,12,34,0.25,8,Rain,10
2015-1-14,7,4,0,2,-1,-3,96,81,65,1026,1023,1020,16,11,1,32,12,37,0.00,7,,340
2015-1-15,4,1,-3,-1,-3,-7,92,71,50,1022,1021,1019,16,11,0,27,9,34,T,6,Fog-Snow,347
2015-1-16,9,4,-2,-2,-3,-6,85,61,37,1024,1020,1018,16,16,16,39,19,50,0.00,4,,346
2015-1-17,12,3,-6,-2,-4,-7,92,65,38,1026,1024,1020,16,16,16,37,10,43,0.00,0,,161
2015-1-18,12,6,0,1,-4,-9,92,59,26,1019,1015,1013,16,16,16,40,13,58,0.00,2,,324
2015-1-19,18,8,-2,-3,-6,-8,75,46,16,1019,1016,1013,16,16,16,29,6,45,0.00,0,,220
2015-1-20,19,9,0,0,-3,-5,75,49,22,1015,1013,1011,16,16,16,27,6,40,0.00,0,,337
2015-1-21,13,8,3,1,-2,-7,76,50,24,1022,1017,1013,16,16,16,34,13,42,0.00,0,,354
2015-1-22,11,5,-2,-1,-4,-6,78,54,30,1027,1025,1022,16,16,16,23,9,27,0.00,3,,338
2015-1-23,4,3,1,1,1,-2,96,80,64,1025,1017,1007,16,9,3,24,7,32,19.30,8,Rain,187
2015-1-24,4,2,-1,2,-1,-6,92,73,54,1010,1006,1002,16,15,8,37,18,50,1.27,5,Rain,345
2015-1-25,13,4,-4,-1,-3,-5,92,64,35,1014,1010,1005,16,16,16,34,12,42,T,2,Rain,187
2015-1-26,7,2,-2,2,-2,-7,89,77,64,1009,1006,1003,16,16,13,39,18,52,0.51,6,Rain,348
2015-1-27,2,0,-3,-5,-6,-8,78,67,56,1017,1012,1007,16,16,11,47,24,60,T,6,Snow,352
2015-1-28,8,1,-6,-7,-9,-12,74,51,27,1026,1023,1018,16,16,16,45,18,58,0.00,0,,357
2015-1-29,11,3,-5,-1,-5,-8,81,59,36,1026,1022,1016,16,16,16,34,10,43,T,2,,192
2015-1-30,7,3,-2,1,-6,-10,78,58,37,1027,1022,1017,16,16,13,60,31,82,T,4,Rain-Snow,348
2015-1-31,8,2,-5,-6,-13,-21,65,39,12,1028,1027,1025,16,16,16,32,10,45,0.00,1,,342
2015-2-1,9,5,1,8,1,-8,100,68,36,1024,1017,1006,16,14,6,29,11,39,12.70,6,Rain,165
2015-2-2,10,3,-5,8,-1,-10,93,75,56,1023,1010,1001,16,15,4,53,24,71,5.33,7,Rain-Snow,335
2015-2-3,9,2,-6,-6,-9,-12,77,51,25,1027,1025,1021,16,16,16,32,9,43,0.00,1,,350
