CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,13,10,6,12,5,0,93,79,65,1028,1024,1020,16,16,10,23,12,31,0.25,8,,53
2015-1-2,20,17,13,19,16,12,100,94,87,1022,1018,1015,16,7,0,16,7,26,0.25,6,Fog,65
2015-1-3,22,19,15,21,18,15,100,94,87,1018,1014,1011,16,9,1,29,13,37,49.02,8,Fog-Rain-Thunderstorm,222
2015-1-4,15,11,7,14,7,1,100,78,55,1034,1027,1019,16,16,16,34,17,42,0.00,2,,335
2015-1-5,10,6,1,1,-2,-3,82,64,46,1038,1034,1031,16,16,16,32,13,39,0.00,0,,15
2015-1-6,18,9,-1,5,1,-2,92,60,28,1032,1030,1027,16,16,13,13,2,19,0.00,0,,340
2015-1-7,13,6,-1,5,-2,-11,83,61,38,1038,1032,1027,16,16,16,45,21,61,0.00,3,,19
2015-1-8,3,-1,-5,-4,-12,-16,64,47,29,1038,1034,1029,16,16,16,35,11,43,0.00,1,,46
2015-1-9,4,3,2,0,-3,-6,76,65,54,1033,1031,1029,16,16,11,26,16,34,1.02,8,Rain,21
2015-1-10,10,6,1,-2,-6,-7,56,44,32,1033,1031,1028,16,16,16,24,10,32,0.00,6,,58
2015-1-11,16,11,7,14,8,-5,100,69,38,1027,1023,1021,16,10,1,21,9,29,5.84,7,Fog-Rain,80
2015-1-12,16,12,8,14,12,6,100,90,80,1025,1022,1021,16,8,0,29,13,37,0.25,8,Fog-Rain,334
2015-1-13,8,6,3,5,2,1,89,83,76,1029,1027,1025,16,15,11,34,22,45,0.00,8,,19
2015-1-14,4,3,2,2,1,0,92,86,79,1028,1025,1023,16,15,11,27,16,34,T,8,Rain,18
2015-1-15,12,7,2,6,3,1,100,88,76,1026,1024,1023,16,14,5,27,11,34,3.56,6,Rain,1
2015-1-16,14,7,-1,3,1,-1,96,67,38,1029,1026,1023,16,16,11,14,3,19,0.00,0,,8
2015-1-17,17,9,1,12,6,-1,100,78,55,1024,1022,1019,16,9,0,21,6,26,0.00,1,Fog,190
2015-1-18,22,15,8,8,3,-2,86,52,18,1027,1023,1022,16,12,0,21,8,27,0.00,0,Fog,342
2015-1-19,21,11,0,11,6,-1,100,63,26,1023,1021,1017,16,12,1,23,6,27,0.00,0,,182
2015-1-20,22,14,5,13,11,4,100,77,53,1017,1016,1014,16,13,4,19,4,23,0.00,2,,212
2015-1-21,22,15,8,14,9,3,100,74,47,1022,1019,1017,16,8,1,21,9,26,0.00,3,Fog,31
2015-1-22,16,12,7,10,7,3,100,73,46,1021,1017,1015,16,10,2,40,17,52,56.39,7,Rain-Thunderstorm,49
