CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,4,3,2,4,2,-2,100,82,64,1029,1025,1022,16,8,2,16,10,23,39.62,8,Rain-Thunderstorm,46
2015-1-2,10,7,4,10,6,3,100,96,92,1023,1019,1012,16,5,0,19,10,24,8.38,8,Fog-Rain-Thunderstorm,49
2015-1-3,14,8,3,13,8,3,100,93,86,1019,1013,1008,16,8,0,64,10,79,61.98,7,Fog-Rain-Thunderstorm,243
2015-1-4,7,4,0,3,0,-6,100,75,49,1038,1026,1019,16,10,0,39,19,53,0.00,4,Fog,306
2015-1-5,8,3,-3,-3,-7,-9,85,59,33,1041,1035,1029,16,16,16,23,10,26,0.00,4,,73
2015-1-6,16,7,-3,2,-1,-5,92,64,36,1031,1029,1027,16,16,16,16,4,23,0.00,2,,82
2015-1-7,9,3,-3,1,-5,-16,92,62,31,1043,1036,1028,16,16,16,39,20,55,0.00,1,,29
2015-1-8,4,-2,-8,-8,-14,-17,54,40,25,1042,1034,1027,16,16,16,29,12,39,0.00,2,,111
2015-1-9,5,2,-2,-6,-7,-9,69,53,37,1034,1032,1028,16,16,16,21,8,27,0.00,8,,3
2015-1-10,4,2,0,-2,-8,-12,75,54,32,1034,1032,1028,16,16,16,23,11,32,1.02,8,Rain,85
2015-1-11,6,4,1,6,2,-3,100,85,70,1027,1024,1020,16,9,2,21,8,26,28.45,8,Rain,50
2015-1-12,8,7,6,6,5,3,100,91,82,1029,1025,1021,16,11,3,29,15,37,T,8,Fog-Rain,350
2015-1-13,6,3,-1,3,-1,-2,86,76,65,1032,1030,1028,16,16,14,27,15,35,0.00,7,,33
2015-1-14,6,2,-2,-2,-3,-5,85,65,45,1030,1027,1025,16,15,11,21,10,24,0.00,7,,18
2015-1-15,13,7,0,0,-1,-4,82,62,41,1026,1025,1023,16,16,16,21,8,26,0.00,4,,330
2015-1-16,16,7,-2,2,-1,-3,92,62,32,1027,1025,1021,16,16,11,16,5,23,0.00,5,,210
2015-1-17,19,9,-1,5,2,-2,92,65,37,1021,1019,1015,16,16,11,29,14,40,0.00,1,,211
2015-1-18,21,11,2,2,-2,-7,82,49,15,1027,1023,1021,16,16,16,16,8,23,0.00,1,,250
2015-1-19,21,13,4,2,0,-2,79,51,22,1020,1017,1015,16,16,16,27,11,39,0.00,3,,199
2015-1-20,20,12,4,12,8,3,100,77,54,1019,1015,1013,16,11,0,26,6,32,0.00,4,Fog,89
2015-1-21,18,12,6,8,3,0,86,60,34,1024,1021,1019,16,16,16,26,13,32,1.27,5,Rain,66
2015-1-22,11,8,4,6,3,2,93,74,54,1026,1023,1020,16,11,3,40,22,55,47.75,8,Rain,43
2015-1-23,8,5,2,4,2,-1,93,79,65,1022,1021,1019,16,14,5,29,15,40,0.76,7,Rain,350
2015-1-24,15,7,-2,2,0,-3,92,64,36,1021,1019,1016,16,16,16,26,10,29,0.00,2,,250
2015-1-25,19,11,2,4,1,-1,85,57,28,1019,1014,1011,16,16,16,50,20,64,0.00,1,,276
2015-1-26,18,11,3,3,1,0,79,55,31,1023,1020,1017,16,16,16,24,10,29,0.00,0,,292
2015-1-27,24,14,3,5,3,-1,92,56,19,1022,1020,1017,16,16,16,13,3,18,0.00,0,,332
2015-1-28,24,14,4,7,6,3,86,59,31,1023,1020,1018,16,16,11,32,14,40,0.00,2,,166
2015-1-29,25,17,9,13,8,1,93,61,29,1030,1023,1019,16,15,11,34,19,45,0.00,5,,268
2015-1-30,15,10,4,2,-1,-3,70,50,30,1033,1030,1028,16,16,16,27,13,34,0.00,7,,59
2015-1-31,14,10,6,7,2,-1,67,53,39,1027,1022,1014,16,16,11,23,14,39,T,8,Rain,122
2015-2-1,21,12,3,16,10,-5,93,71,49,1022,1013,1010,16,13,2,48,22,60,9.65,7,Rain,260
2015-2-2,7,2,-2,-3,-7,-9,78,58,37,1029,1027,1023,16,16,16,39,13,52,0.00,3,,349
2015-2-3,10,5,-1,0,-2,-4,78,60,42,1029,1026,1022,16,16,16,16,7,19,0.00,8,,144
