EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,13,6,-2,3,-1,-4,100,68,35,1029,1027,1025,16,12,0,16,4,19,0.00,0,Fog,204
2015-1-2,17,11,5,9,6,4,89,68,46,1029,1026,1025,16,16,11,13,5,19,2.54,5,Rain,212
2015-1-3,19,15,10,19,14,9,100,89,78,1028,1025,1022,16,13,2,16,7,23,4.06,7,Rain,61
2015-1-4,24,22,18,21,19,14,100,84,68,1022,1020,1016,16,15,3,47,25,58,4.32,6,Rain,209
2015-1-5,18,11,3,15,2,-3,90,61,32,1031,1027,1019,16,16,16,34,13,42,0.00,1,,314
2015-1-6,17,8,-1,5,1,-3,92,62,32,1030,1024,1019,16,15,3,37,9,47,0.00,0,,272
2015-1-7,8,2,-4,1,-6,-17,92,63,34,1030,1021,1017,16,16,16,40,16,55,0.00,3,,346
2015-1-8,-1,-4,-9,-9,-18,-20,77,52,27,1038,1034,1030,16,16,16,39,14,55,0.00,0,,345
2015-1-9,13,4,-6,1,-7,-13,69,51,33,1029,1025,1021,16,16,16,29,12,39,0.00,4,,276
2015-1-10,8,2,-3,-8,-11,-13,63,43,22,1036,1033,1027,16,16,16,32,14,39,0.00,0,,16
2015-1-11,14,5,-5,7,-1,-9,86,65,44,1038,1035,1031,16,16,16,21,11,27,0.00,0,,51
2015-1-12,19,14,9,18,15,7,100,89,77,1030,1023,1020,16,8,0,27,9,34,24.64,7,Fog-Rain-Thunderstorm,227
2015-1-13,14,8,2,14,8,2,100,92,83,1027,1024,1020,16,8,0,35,21,43,1.02,8,Fog-Rain,8
2015-1-14,3,2,1,2,1,0,100,93,85,1025,1023,1021,16,10,2,27,18,37,1.52,8,Rain,340
2015-1-15,9,6,2,4,3,1,100,83,66,1023,1022,1019,16,12,3,19,9,29,0.51,7,Rain,326
2015-1-16,13,7,2,4,3,1,93,70,46,1023,1019,1017,16,13,8,27,12,35,0.51,5,Rain,303
2015-1-17,13,6,-1,6,2,-2,100,75,50,1029,1025,1022,16,16,16,21,9,26,T,2,,56
2015-1-18,17,12,6,14,10,3,100,74,48,1021,1015,1010,16,13,2,37,16,50,30.99,5,Rain-Thunderstorm,238
2015-1-19,18,10,1,4,1,-3,92,58,24,1020,1017,1016,16,16,16,24,12,31,0.00,0,,243
2015-1-20,19,14,8,4,3,1,71,50,29,1017,1015,1013,16,16,16,29,15,40,0.00,0,,226
2015-1-21,19,12,4,8,6,3,92,68,44,1021,1016,1014,16,16,16,21,7,26,0.00,0,,203
2015-1-22,17,9,2,5,2,0,100,68,35,1027,1025,1022,16,13,5,19,8,23,0.00,1,,54
2015-1-23,18,12,7,17,9,2,100,83,65,1026,1018,1006,16,12,4,35,17,47,13.97,8,Rain,88
2015-1-24,19,12,5,18,11,4,100,86,71,1011,1003,998,16,11,3,56,24,71,39.88,7,Rain-Thunderstorm,259
2015-1-25,13,7,1,4,2,1,100,72,43,1016,1013,1010,16,16,5,21,5,26,0.00,0,,227
2015-1-26,14,9,4,7,6,3,100,79,57,1010,1004,1001,16,16,8,26,13,34,0.76,4,,283
2015-1-27,8,3,-2,7,1,-3,93,75,57,1015,1009,1004,16,15,6,29,16,37,T,7,Rain,316
2015-1-28,8,3,-3,-5,-7,-10,85,56,26,1027,1022,1015,16,16,16,32,14,39,0.00,1,,342
2015-1-29,11,3,-6,6,-4,-11,92,59,25,1029,1025,1020,16,16,16,19,6,24,T,1,Rain,171
2015-1-30,12,7,1,7,-1,-9,86,59,31,1025,1019,1015,16,16,16,42,21,53,1.78,3,Rain,298
2015-1-31,10,4,-3,-3,-10,-13,75,47,18,1029,1027,1026,16,16,16,24,10,32,0.00,0,,338
2015-2-1,16,8,-1,13,3,-3,92,61,29,1027,1023,1014,16,16,8,32,9,45,4.32,2,Rain,182
2015-2-2,18,10,2,15,10,-6,93,69,44,1021,1007,1001,16,13,3,63,31,82,11.68,6,Rain,232
