EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,4,-3,-10,-9,-12,-15,73,53,33,1022,1019,1015,16,16,16,37,15,48,0.00,0,,238
2015-1-2,6,1,-5,-8,-8,-9,74,56,38,1031,1024,1017,16,16,16,29,11,39,0.00,2,,249
2015-1-3,3,-2,-7,1,-3,-9,96,82,68,1035,1029,1019,16,6,1,13,6,16,16.00,7,Rain-Snow,63
2015-1-4,10,6,2,7,2,-2,100,77,53,1018,1011,1006,16,3,0,48,7,66,4.32,8,Fog-Rain,241
2015-1-5,7,0,-8,-2,-12,-18,57,43,29,1031,1022,1012,16,16,16,48,26,72,0.00,3,,285
2015-1-6,-6,-9,-13,-10,-12,-18,84,66,47,1030,1023,1017,16,7,1,16,6,23,2.29,6,Snow,233
2015-1-7,-6,-9,-13,-12,-16,-24,84,59,33,1027,1018,1014,16,13,1,42,21,58,0.25,5,Snow,272
2015-1-8,-8,-12,-17,-18,-20,-24,66,54,41,1032,1028,1022,16,16,16,32,15,47,0.00,0,,238
2015-1-9,-1,-5,-9,-10,-14,-17,67,53,38,1025,1019,1016,16,16,10,42,17,61,0.25,4,Snow,251
2015-1-10,-7,-9,-12,-16,-18,-20,61,50,39,1036,1032,1025,16,16,16,26,15,37,0.00,0,,260
2015-1-11,3,-4,-12,-7,-13,-17,67,50,32,1039,1036,1032,16,16,16,27,5,32,0.25,4,Rain,231
2015-1-12,3,2,0,1,-1,-6,92,74,56,1032,1024,1020,16,7,1,29,5,37,10.92,8,Rain-Snow,277
2015-1-13,2,-4,-11,-4,-13,-19,70,51,31,1037,1033,1026,16,16,16,35,17,45,0.00,2,,11
2015-1-14,-2,-7,-11,-8,-14,-19,63,58,53,1035,1029,1023,16,16,16,23,9,26,0.00,8,,60
2015-1-15,1,-3,-7,-6,-9,-11,75,61,47,1022,1019,1014,16,16,14,23,8,29,0.00,5,,266
2015-1-16,4,-2,-8,-6,-10,-16,73,59,44,1025,1015,1011,16,16,14,39,20,53,T,3,,283
2015-1-17,0,-6,-13,-10,-16,-19,67,47,27,1030,1027,1023,16,16,16,24,8,32,0.00,0,,227
2015-1-18,3,-1,-6,2,-2,-11,92,75,57,1022,1011,1006,16,6,1,16,8,21,10.41,7,Rain,112
2015-1-19,6,2,-3,-2,-3,-5,92,71,50,1013,1011,1009,16,16,10,34,15,45,0.00,8,,267
2015-1-20,5,1,-3,-2,-4,-8,85,68,50,1019,1014,1012,16,14,6,24,8,29,T,5,Snow,281
2015-1-21,-1,-3,-7,-4,-7,-12,92,69,46,1022,1021,1019,16,9,1,16,4,21,2.29,6,Snow,42
2015-1-22,4,1,-3,-2,-3,-8,92,75,58,1028,1024,1021,16,9,0,19,6,23,T,7,Fog-Snow,286
2015-1-23,3,-2,-7,-2,-6,-9,81,70,59,1028,1023,1014,16,13,2,19,6,29,0.51,2,Rain-Snow,236
2015-1-24,3,2,-1,0,-2,-4,92,78,64,1013,1003,994,16,5,0,35,11,47,16.76,8,Fog-Rain-Snow,3
2015-1-25,4,2,-2,-2,-5,-10,70,57,44,1015,1008,1000,16,16,16,24,14,34,T,8,,284
2015-1-26,-2,-4,-7,-8,-10,-11,84,70,55,1015,1012,1007,16,5,1,39,25,47,3.30,8,Snow,55
2015-1-27,-1,-4,-8,-7,-12,-16,68,51,34,1013,1008,1006,16,15,4,37,19,48,T,5,Snow,335
2015-1-28,-1,-4,-9,-15,-17,-20,54,43,31,1027,1021,1014,16,16,16,35,19,45,0.00,0,,317
