EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,0,-4,-8,-10,-14,-16,60,47,33,1018,1015,1012,16,16,16,32,14,42,0.00,5,,177
2015-1-2,3,0,-3,-6,-8,-10,63,55,47,1032,1022,1014,16,16,16,37,15,48,T,7,Snow,289
2015-1-3,1,-3,-7,-1,-7,-12,88,72,55,1036,1030,1020,16,8,1,24,7,34,14.48,8,Rain-Snow,114
2015-1-4,7,4,1,4,2,-1,92,89,85,1019,1008,1002,16,10,1,39,16,53,5.59,8,Rain,177
2015-1-5,5,-3,-11,-2,-12,-18,73,56,38,1029,1021,1007,16,14,1,52,27,68,T,5,Snow,306
2015-1-6,-8,-11,-13,-12,-15,-19,83,67,51,1029,1023,1015,16,12,2,21,8,27,1.27,7,Snow,188
2015-1-7,-6,-13,-19,-13,-18,-27,80,60,39,1026,1016,1011,16,16,14,53,21,76,T,4,Snow,257
2015-1-8,-7,-14,-21,-17,-22,-27,65,54,43,1028,1025,1019,16,16,16,34,14,43,T,4,,201
2015-1-9,-2,-7,-12,-8,-13,-18,80,65,50,1021,1015,1012,16,9,1,42,20,53,1.27,6,Snow,216
2015-1-10,-7,-11,-16,-13,-18,-21,76,55,34,1034,1029,1022,16,16,16,34,12,43,T,2,Snow,258
2015-1-11,-1,-8,-15,-10,-16,-20,69,56,42,1037,1034,1030,16,16,16,26,13,31,0.00,7,,175
2015-1-12,2,0,-2,-1,-4,-10,92,71,49,1030,1025,1021,16,6,1,29,14,37,5.08,8,Snow,186
2015-1-13,-1,-9,-19,-6,-18,-23,69,58,46,1041,1037,1026,16,15,4,34,16,42,T,4,Snow,7
2015-1-14,-7,-15,-23,-15,-21,-27,79,64,49,1038,1032,1024,16,16,16,13,3,14,T,4,Fog-Snow,7
2015-1-15,-3,-9,-16,-12,-14,-17,87,69,50,1023,1019,1010,16,16,16,16,5,23,0.00,4,,354
2015-1-16,1,-6,-14,-4,-13,-21,68,54,40,1024,1012,1007,16,14,1,50,19,66,T,5,Snow,269
2015-1-17,-4,-12,-19,-12,-21,-24,69,51,33,1032,1026,1020,16,16,16,42,10,58,0.00,3,,164
2015-1-18,4,0,-4,3,-2,-13,92,71,50,1020,1011,1004,16,9,0,34,16,48,14.99,7,Fog-Rain,205
2015-1-19,3,1,-2,-1,-4,-8,89,73,56,1011,1008,1004,16,16,16,47,23,61,T,6,,284
2015-1-20,-1,-4,-8,-7,-12,-17,69,54,39,1020,1014,1011,16,16,14,34,18,42,T,4,Snow,299
2015-1-21,-4,-9,-13,-12,-14,-17,80,63,46,1024,1023,1020,16,16,16,13,3,18,0.00,5,,358
2015-1-22,0,-4,-8,-7,-11,-13,74,62,49,1028,1025,1023,16,16,16,32,8,40,0.00,6,,317
2015-1-23,1,-4,-9,-9,-11,-12,80,61,41,1027,1023,1013,16,16,14,24,5,31,T,4,Snow,203
2015-1-24,1,-2,-6,-2,-5,-9,85,73,61,1012,1001,993,16,9,2,45,11,55,1.52,8,Snow,323
2015-1-25,2,-4,-11,-3,-11,-18,75,57,38,1020,1008,996,16,16,11,50,22,69,T,6,Snow,290
2015-1-26,-8,-10,-12,-13,-16,-19,73,60,47,1021,1018,1014,16,11,2,23,13,29,0.51,8,Snow,8
2015-1-27,-8,-10,-12,-14,-16,-18,76,63,49,1012,1011,1009,16,8,0,32,18,39,5.84,8,Snow,7
2015-1-28,-5,-11,-17,-16,-18,-21,69,54,38,1028,1020,1012,16,16,16,29,15,34,T,4,Snow,344
2015-1-29,-1,-11,-20,-6,-16,-22,79,55,31,1028,1022,1013,16,14,3,34,11,47,T,6,Snow,171
2015-1-30,-1,-7,-13,-3,-7,-20,92,71,50,1019,1012,1010,16,7,0,60,24,71,4.57,7,Fog-Snow,225
2015-1-31,-10,-14,-18,-16,-21,-25,66,52,38,1023,1022,1019,16,16,16,50,23,63,T,1,Snow,297
2015-2-1,-3,-8,-13,-11,-14,-21,73,60,46,1023,1021,1019,16,15,6,23,9,31,T,6,Snow,32
2015-2-2,-11,-14,-18,-14,-17,-23,83,70,57,1018,1009,1000,16,3,0,29,13,37,22.35,7,Snow,4
2015-2-3,-8,-16,-24,-16,-20,-27,83,66,49,1025,1023,1017,16,16,16,21,5,24,0.00,2,Fog,164
2015-2-4,0,-7,-14,-3,-11,-17,69,64,58,1025,1019,1012,16,14,2,32,18,42,0.25,8,Snow,174
2015-2-5,-1,-9,-17,-3,-12,-22,92,67,41,1024,1017,1011,16,12,3,37,22,47,0.51,6,Snow,313
2015-2-6,-5,-14,-23,-14,-19,-24,83,64,44,1024,1021,1018,16,14,3,23,8,29,0.25,4,Snow,173
2015-2-7,-3,-5,-7,-6,-9,-13,88,73,57,1020,1018,1016,16,8,2,21,8,24,1.78,8,Snow,170
2015-2-8,-6,-8,-11,-10,-13,-15,84,76,67,1017,1016,1013,16,6,1,23,11,32,8.64,8,Snow,19
2015-2-9,-4,-7,-11,-7,-10,-13,88,81,73,1021,1019,1017,14,3,0,16,7,23,11.68,8,Snow,6
2015-2-10,-1,-5,-9,-8,-9,-13,84,71,58,1023,1022,1020,16,16,16,35,12,43,T,6,,1
2015-2-11,-3,-8,-14,-13,-14,-17,84,63,42,1023,1018,1011,16,16,16,21,6,31,0.00,4,,353
2015-2-12,1,-6,-13,-5,-11,-21,81,64,46,1014,1009,1006,16,14,2,42,19,60,0.25,7,Snow,224
2015-2-13,-12,-16,-20,-22,-24,-27,69,55,41,1023,1020,1015,16,16,16,37,20,48,0.00,2,,290
2015-2-14,-6,-12,-17,-8,-16,-23,88,70,51,1020,1008,1001,16,9,1,35,14,50,1.78,8,Snow,177
2015-2-15,-8,-14,-21,-11,-18,-28,80,65,50,1020,1009,1001,16,6,0,58,29,74,3.81,5,Snow,312
2015-2-16,-12,-17,-22,-23,-26,-29,57,47,37,1023,1021,1019,16,16,16,39,23,50,0.00,3,,294
2015-2-17,-6,-12,-18,-18,-22,-24,72,54,36,1020,1015,1012,16,16,16,13,3,16,0.00,5,,11
2015-2-18,-3,-12,-22,-8,-16,-24,87,63,38,1015,1010,1005,16,13,2,16,2,21,0.25,4,Snow,142
2015-2-19,-7,-11,-16,-9,-16,-22,80,65,49,1013,1007,1004,16,11,1,56,28,74,0.51,7,Snow,274
2015-2-20,-11,-15,-20,-20,-22,-25,72,60,48,1031,1022,1012,16,16,5,45,21,56,T,4,Snow,292
2015-2-21,-4,-14,-23,-7,-15,-26,81,61,40,1032,1025,1020,16,8,0,45,17,64,2.29,7,Snow,175
2015-2-22,1,-2,-6,-7,-8,-9,88,71,53,1024,1022,1020,16,15,8,21,8,26,T,7,Snow,306
2015-2-23,-3,-11,-19,-9,-19,-24,68,57,45,1029,1027,1022,16,16,16,47,24,60,T,4,Snow,298
2015-2-24,-7,-15,-23,-14,-22,-27,71,51,31,1029,1020,1009,16,16,16,37,16,53,0.00,6,,180
2015-2-25,-2,-8,-14,-12,-15,-17,67,53,39,1019,1011,1007,16,16,16,45,16,55,T,3,,250
2015-2-26,-7,-9,-12,-16,-19,-21,67,51,35,1023,1020,1017,16,16,16,23,12,27,T,8,Snow,3
2015-2-27,-6,-11,-16,-17,-19,-21,66,54,41,1038,1030,1023,16,16,16,34,15,47,T,3,Snow,321
2015-2-28,-3,-10,-17,-15,-18,-21,69,51,33,1044,1042,1038,16,16,16,21,8,26,0.00,0,,283
2015-3-1,-3,-10,-17,-7,-12,-19,81,70,59,1041,1032,1020,16,9,2,34,9,47,2.03,7,Snow,173
2015-3-2,-1,-3,-6,-7,-10,-14,88,67,46,1028,1021,1016,16,13,3,63,24,82,T,6,Snow,289
2015-3-3,-1,-7,-14,-5,-11,-17,81,60,38,1030,1020,1006,16,11,1,39,18,56,2.54,7,Rain-Snow,174
2015-3-4,4,2,-1,-2,-3,-6,82,71,59,1014,1010,1005,16,16,16,34,15,47,0.00,8,,299
2015-3-5,1,-6,-12,-6,-14,-21,63,54,44,1031,1022,1014,16,16,14,39,22,48,T,7,Snow,300
2015-3-6,-3,-10,-18,-16,-19,-22,69,51,32,1035,1031,1026,16,16,16,19,7,24,0.00,2,,306
2015-3-7,2,-6,-13,-6,-13,-19,67,51,35,1025,1020,1016,16,16,11,24,8,27,T,6,Snow,170
2015-3-8,3,-1,-6,-2,-6,-9,92,68,44,1021,1017,1016,16,12,1,50,10,69,0.51,6,Snow,281
2015-3-9,7,-1,-8,-4,-7,-11,77,60,43,1025,1021,1018,16,16,16,37,11,47,0.00,3,,267
2015-3-10,9,2,-7,3,-4,-8,92,66,39,1026,1022,1015,16,16,8,32,11,42,0.76,7,Rain,177
2015-3-11,9,6,3,3,1,-4,92,71,49,1019,1014,1012,16,9,0,45,19,63,T,6,Fog-Rain,232
2015-3-12,5,1,-4,-4,-12,-16,54,40,25,1036,1029,1019,16,16,16,47,26,61,0.00,2,,313
2015-3-13,6,-1,-7,-9,-14,-16,62,42,22,1038,1033,1026,16,16,16,23,9,34,0.00,5,,171
2015-3-14,5,3,2,3,1,-7,92,72,52,1025,1013,1006,16,7,0,34,9,47,2.03,8,Fog-Rain,151
2015-3-15,5,2,-1,-1,-3,-6,76,65,54,1017,1009,1005,16,16,16,47,25,56,T,8,,310
2015-3-16,8,2,-4,-4,-6,-7,81,61,41,1017,1013,1008,16,16,16,16,5,21,0.00,7,,94
2015-3-17,8,3,-2,2,-5,-16,85,57,28,1012,1005,1001,16,15,10,60,21,76,0.76,6,Rain,258
2015-3-18,1,-4,-8,-12,-18,-21,46,33,20,1022,1017,1013,16,16,16,56,26,77,0.00,2,,324
2015-3-19,3,-3,-9,-16,-17,-21,59,40,20,1029,1026,1022,16,16,14,35,16,47,0.00,1,,303
2015-3-20,1,-2,-6,-4,-9,-16,85,57,29,1029,1025,1021,16,11,1,27,8,37,1.02,8,Snow,175
2015-3-21,6,2,-2,0,-4,-8,78,63,48,1021,1015,1009,16,16,11,40,17,60,T,7,Rain-Snow,185
2015-3-22,1,-4,-8,-7,-16,-21,63,44,25,1022,1019,1013,16,16,16,47,24,58,0.00,2,,308
2015-3-23,-2,-6,-10,-16,-18,-22,58,42,26,1027,1024,1022,16,16,16,37,20,50,0.00,0,,303
2015-3-24,4,-3,-11,-10,-14,-17,67,47,27,1029,1028,1027,16,16,16,16,5,29,0.00,2,,320
