CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,7,7,6,7,6,4,100,96,92,1024,1021,1019,11,5,2,32,17,42,3.81,8,Rain,321
2015-1-2,9,8,7,9,8,6,100,96,92,1021,1017,1014,16,10,4,19,11,26,3.30,8,Rain,315
2015-1-3,12,11,9,10,9,8,100,92,83,1020,1016,1014,16,15,5,23,11,27,0.25,8,,319
2015-1-4,15,12,9,9,7,6,93,77,61,1034,1028,1021,16,15,13,34,14,45,T,4,,345
2015-1-5,15,11,7,8,6,4,86,74,62,1037,1034,1031,16,16,16,24,14,34,0.00,2,,354
2015-1-6,21,15,9,13,11,7,93,75,57,1031,1028,1026,16,15,8,16,9,23,0.00,3,,1
2015-1-7,21,16,10,16,13,7,93,80,66,1035,1029,1026,16,13,4,39,17,55,T,8,Rain,6
2015-1-8,10,7,4,3,-1,-6,70,59,48,1036,1031,1025,16,16,16,42,21,60,T,8,,329
2015-1-9,9,8,6,8,5,1,93,79,65,1028,1026,1024,16,12,5,37,20,50,4.83,8,Rain,323
2015-1-10,6,4,3,4,3,2,100,95,89,1029,1026,1024,16,9,0,40,25,56,68.58,8,Fog-Rain-Thunderstorm,324
2015-1-11,16,10,4,9,6,3,100,82,64,1025,1023,1020,16,16,11,24,10,32,0.00,6,,320
2015-1-12,17,12,6,12,10,6,100,85,69,1025,1023,1021,16,14,8,29,12,47,T,6,Rain,357
2015-1-13,11,9,7,9,7,6,93,90,86,1029,1027,1025,14,11,5,34,21,45,3.56,8,Rain,340
2015-1-14,8,8,7,7,6,6,93,93,92,1026,1024,1021,16,7,3,32,21,43,1.52,8,Rain,328
2015-1-15,12,9,6,7,6,6,100,83,66,1029,1026,1022,16,14,6,32,16,42,0.25,5,Rain,334
2015-1-16,18,11,4,7,6,4,93,69,44,1029,1027,1024,16,16,16,19,6,23,0.00,0,,347
2015-1-17,22,14,6,13,10,6,93,73,52,1023,1021,1018,16,13,5,26,7,32,0.00,0,,163
2015-1-18,22,17,12,14,12,7,100,81,61,1027,1024,1023,16,13,8,19,7,26,0.00,0,,336
2015-1-19,21,16,11,14,12,10,100,78,55,1023,1019,1015,16,9,0,16,6,21,0.00,2,Fog,157
2015-1-20,27,18,9,17,13,9,100,74,48,1016,1014,1012,16,5,0,24,10,31,0.00,1,Fog,174
2015-1-21,25,21,17,20,19,16,100,85,69,1017,1014,1012,16,9,0,37,15,43,T,8,Fog-Rain,140
2015-1-22,24,18,11,22,17,8,97,85,73,1020,1013,1011,16,11,3,37,21,50,4.32,8,Rain-Thunderstorm,203
