CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,2,-4,-9,-7,-11,-13,84,60,35,1028,1024,1022,16,16,16,26,10,32,0.00,2,,229
2015-1-2,4,-1,-6,-2,-4,-6,92,73,54,1024,1021,1016,16,15,8,21,6,24,0.00,6,,198
2015-1-3,4,-4,-12,-1,-5,-14,100,80,59,1024,1014,1010,16,5,0,27,6,48,1.02,6,Fog-Snow,313
2015-1-4,-8,-12,-15,-14,-18,-21,83,63,43,1043,1033,1023,16,13,3,24,10,39,T,5,Snow,337
2015-1-5,-3,-10,-18,-9,-14,-19,87,69,51,1044,1033,1023,16,16,16,27,7,34,0.00,1,,189
2015-1-6,-4,-7,-11,-8,-13,-14,84,67,50,1040,1035,1029,16,16,16,24,9,37,T,2,,348
2015-1-7,-7,-13,-20,-12,-19,-22,79,63,46,1055,1046,955,16,16,10,32,14,48,T,3,Snow,359
2015-1-8,2,-9,-19,-6,-13,-22,86,69,51,1041,1028,1019,16,16,16,42,21,58,0.00,2,,235
2015-1-9,-4,-11,-17,-12,-18,-19,79,56,32,1040,1037,1034,16,16,16,23,9,37,0.00,0,,313
2015-1-10,6,-5,-17,-12,-14,-18,88,56,24,1033,1026,1021,16,16,16,48,19,58,0.00,1,,205
2015-1-11,4,-1,-5,0,-4,-12,96,69,42,1027,1022,1019,16,14,6,24,9,32,0.25,5,Rain,211
2015-1-12,-2,-6,-11,-7,-13,-17,81,58,34,1041,1037,1028,16,16,16,32,18,40,0.00,1,,22
2015-1-13,-3,-9,-15,-13,-16,-17,87,62,37,1041,1037,1032,16,16,16,21,8,24,0.00,4,,55
2015-1-14,6,-1,-8,-7,-9,-12,84,61,38,1032,1027,1023,16,16,16,16,5,23,0.00,3,,254
2015-1-15,12,1,-11,-3,-6,-12,92,64,35,1025,1024,1022,16,16,14,21,6,27,0.00,0,,267
2015-1-16,19,6,-8,-2,-6,-8,92,56,19,1024,1017,1010,16,16,16,39,14,52,0.00,0,,219
2015-1-17,14,7,0,0,-4,-8,75,49,23,1020,1014,1008,16,16,16,32,14,52,0.00,0,,260
2015-1-18,13,3,-6,-3,-6,-8,84,58,32,1019,1016,1012,16,16,16,23,6,26,0.00,0,,234
2015-1-19,17,6,-6,1,-3,-7,92,63,34,1017,1015,1013,16,16,16,29,8,47,0.00,0,,272
2015-1-20,13,4,-5,-1,-3,-6,92,62,32,1021,1019,1016,16,16,16,19,7,27,0.00,1,,248
2015-1-21,10,2,-7,-3,-6,-7,88,59,29,1029,1025,1021,16,16,16,21,7,29,0.00,1,,272
2015-1-22,4,-2,-8,-2,-6,-9,92,71,50,1034,1031,1029,16,15,13,13,3,14,0.00,4,,339
2015-1-23,11,1,-11,-4,-8,-12,92,57,21,1029,1022,1017,16,14,6,32,9,40,0.00,0,,232
2015-1-24,16,5,-6,4,-2,-6,92,61,29,1018,1013,1006,16,16,16,32,13,42,T,2,Rain,244
2015-1-25,11,3,-6,2,-1,-5,92,73,54,1021,1015,1007,16,16,16,37,15,60,T,6,,344
2015-1-26,20,7,-6,2,-2,-6,100,61,22,1021,1017,1014,16,16,14,24,9,34,0.00,0,,272
2015-1-27,18,7,-4,2,-1,-5,92,62,31,1022,1018,1015,16,16,16,26,8,34,0.00,0,,123
2015-1-28,22,10,-2,3,1,-2,100,65,29,1014,1010,1006,16,16,16,35,11,43,0.00,0,,243
2015-1-29,12,2,-8,2,-2,-8,88,65,41,1035,1029,1016,16,16,16,32,14,53,0.00,5,,351
2015-1-30,7,-1,-9,1,-5,-11,92,69,45,1036,1032,1027,16,15,6,21,4,42,0.76,2,Rain,190
2015-1-31,4,3,1,3,2,1,100,96,92,1027,1019,1009,16,7,4,23,8,27,21.34,8,Rain,142
2015-2-1,2,-6,-14,1,-7,-17,100,87,73,1031,1016,1007,16,6,0,34,17,58,5.08,8,Fog-Rain-Snow,343
2015-2-2,-1,-9,-18,-7,-13,-19,87,73,59,1031,1027,1021,16,16,16,29,10,37,0.00,0,,217
2015-2-3,12,2,-9,1,-3,-9,100,73,46,1022,1017,1014,16,16,14,39,10,48,0.00,0,,222
2015-2-4,2,-6,-14,-1,-9,-17,92,77,61,1037,1028,1016,16,11,0,40,19,53,0.51,5,Fog-Snow,25
2015-2-5,2,-7,-17,-8,-13,-18,91,63,35,1037,1030,1023,16,16,16,34,11,45,0.00,1,,205
2015-2-6,16,7,-1,3,-1,-7,78,58,37,1022,1016,1012,16,16,16,35,18,43,0.00,0,,218
2015-2-7,23,11,-1,6,3,-1,100,65,29,1011,1007,1003,16,15,8,27,15,37,0.00,0,,220
2015-2-8,21,12,3,6,3,1,92,63,33,1019,1011,1006,16,16,16,21,9,31,0.00,0,,309
2015-2-9,6,3,0,2,2,-1,96,88,79,1025,1022,1020,14,6,2,23,9,27,0.00,6,,64
2015-2-10,10,4,-2,2,-1,-3,92,74,56,1021,1018,1015,16,12,6,24,9,29,0.00,2,,154
2015-2-11,3,-1,-6,2,-4,-8,100,74,48,1033,1028,1021,16,15,8,29,10,45,0.00,4,,357
2015-2-12,-1,-6,-11,-6,-14,-17,88,63,37,1040,1034,1028,16,16,16,32,13,43,0.00,3,,81
2015-2-13,13,3,-7,-1,-6,-12,92,64,35,1026,1023,1021,16,16,16,21,5,31,0.00,0,,238
2015-2-14,6,-1,-7,-1,-8,-18,85,56,27,1030,1025,1019,16,16,14,48,22,58,0.00,1,,43
2015-2-15,-6,-8,-10,-11,-14,-18,88,65,41,1030,1027,1024,16,10,1,32,19,40,4.32,5,Fog-Snow,54
2015-2-16,1,-4,-10,-6,-11,-13,92,73,53,1026,1023,1020,16,16,13,11,5,14,T,5,,15
2015-2-17,2,-6,-13,-3,-7,-17,92,72,52,1023,1021,1018,16,11,0,26,7,40,1.52,5,Fog-Snow,353
