CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,0,-2,-4,-1,-3,-5,96,91,85,1029,1024,1020,16,13,4,26,9,32,3.56,8,Rain,38
2015-1-2,1,1,0,1,-1,-1,100,95,89,1023,1019,1012,16,11,3,29,12,37,7.62,8,Rain,15
2015-1-3,13,7,0,2,0,-1,100,69,38,1022,1015,1013,16,16,16,48,19,63,0.00,4,,257
2015-1-4,7,2,-3,-1,-3,-6,82,61,40,1037,1033,1023,16,16,16,32,12,37,0.00,1,,14
2015-1-5,14,5,-5,0,-3,-7,88,62,36,1038,1033,1028,16,16,16,34,11,40,0.00,0,,202
2015-1-6,19,11,2,3,1,-1,82,58,34,1030,1028,1025,16,16,16,24,9,29,0.00,0,,262
2015-1-7,4,0,-4,1,-6,-14,100,71,42,1046,1038,1029,16,14,1,48,22,61,0.00,1,Fog,27
2015-1-8,6,-1,-7,-4,-10,-15,67,51,35,1043,1031,1023,16,16,16,27,13,35,T,2,,204
2015-1-9,3,1,-2,-3,-7,-12,78,61,43,1035,1032,1025,16,16,16,37,17,45,0.00,6,,33
2015-1-10,2,0,-2,0,-4,-11,89,68,47,1033,1029,1023,16,16,16,16,8,26,1.02,7,Rain,155
2015-1-11,17,9,0,6,3,-1,100,74,48,1023,1020,1016,16,16,16,24,13,29,0.00,4,,217
2015-1-12,6,3,0,4,2,-2,96,91,85,1033,1027,1020,16,15,8,34,19,42,T,6,,21
2015-1-13,4,2,-1,-2,-3,-5,92,76,59,1033,1030,1027,16,16,11,27,13,35,T,8,,41
2015-1-14,4,3,1,2,-2,-4,92,78,64,1029,1027,1025,16,16,11,19,7,21,0.00,8,,29
2015-1-15,14,8,1,2,1,-1,92,66,39,1029,1027,1026,16,16,16,26,10,31,0.00,3,,286
2015-1-16,19,8,-3,2,-1,-4,92,57,22,1028,1024,1019,16,16,16,24,11,32,0.00,0,,226
2015-1-17,21,13,4,3,-1,-3,76,48,20,1027,1020,1016,16,16,16,39,18,50,0.00,0,,269
2015-1-18,22,9,-3,-2,-3,-6,85,51,16,1030,1025,1020,16,16,16,32,15,39,0.00,0,,220
2015-1-19,24,14,4,1,-2,-4,58,37,15,1019,1016,1013,16,16,16,35,15,43,0.00,0,,248
2015-1-20,26,13,0,2,-1,-3,78,47,16,1018,1015,1012,16,16,16,32,16,40,0.00,0,,289
2015-1-21,11,7,4,6,3,-2,96,70,44,1022,1019,1016,16,15,6,29,14,40,9.40,6,Rain,47
2015-1-22,7,5,3,7,3,2,92,89,86,1027,1023,1018,16,15,6,47,27,63,12.45,8,Rain-Thunderstorm,19
2015-1-23,8,4,0,2,1,-1,100,80,60,1029,1026,1023,16,15,5,29,16,35,4.06,6,Rain-Snow,309
2015-1-24,17,8,-1,4,1,-3,92,64,36,1026,1022,1018,16,16,16,23,12,27,0.00,0,,252
2015-1-25,19,11,2,2,1,-2,89,57,24,1025,1022,1017,16,16,16,32,11,37,0.00,0,,292
2015-1-26,21,11,2,5,2,-1,85,57,28,1026,1024,1022,16,16,16,24,9,31,0.00,0,,256
